# 字 5000-5499
 5000 | materialism                    | 唯物主義                           | 💰        | chunks=['ma', 'te', 'ri', 'al', 'ism'] | py=ㄇㄜ-ㄊㄧ-ㄌㄧ-ㄦ-ㄧㄗㄣ | theme=philosophy | stage=3
 5099 | seldom                         | 罕見地                            | 🦄        | chunks=['sel', 'dom'] | py=ㄙㄝㄛ-ㄉㄚㄇ | theme=sight-words | stage=3
 5100 | previously                     | 先前                             | ⏮️       | chunks=['pre', 'vi', 'ous', 'ly'] | py=ㄆㄖㄧ-ㄨㄧ-ㄜㄙ-ㄌㄧ | theme=sight-words | stage=2 base=previous
 5101 | alas                           | 唉                              | 😩        | chunks=['a', 'las'] | py=ㄜ-ㄌㄚㄙ | theme=sight-words | stage=3
 5102 | amidst                         | 在...之中                         | 🌀        | chunks=['a', 'midst'] | py=ㄜ-ㄇㄧㄉㄙㄊ | theme=sight-words | stage=3
 5103 | apart                          | 分開地、分隔                         | ↔️       | chunks=['a', 'part'] | py=ㄜ-ㄆㄚㄜㄊ | theme=sight-words | stage=2
 5104 | aside                          | 在一邊                            | ➡️       | chunks=['a', 'side'] | py=ㄜ-ㄙㄞㄉ | theme=sight-words | stage=2
 5105 | ahead                          | 在前面                            | ⬆️       | chunks=['a', 'head'] | py=ㄜ-ㄏㄝㄉ | theme=sight-words | stage=1
 5106 | onward                         | 向前                             | ➡️       | chunks=['on', 'ward'] | py=ㄛㄣ-ㄨㄜㄉ | theme=sight-words | stage=2
 5107 | altogether                     | 完全地                            | 🎯        | chunks=['al', 'to', 'geth', 'er'] | py=ㄛ-ㄊㄨ-ㄍㄝ-ㄜ | theme=sight-words | stage=2
 5108 | wholly                         | 完全                             | 💯        | chunks=['whol', 'ly'] | py=ㄏㄡ-ㄌㄧ | theme=sight-words | stage=3 base=whole [有易混提示]
 5109 | partially                      | 部分地                            | ◐        | chunks=['par', 'tial', 'ly'] | py=ㄆㄚ-ㄒㄛ-ㄌㄧ | theme=sight-words | stage=2 base=partial
 5110 | clearly                        | 清楚地                            | 💎        | chunks=['clear', 'ly'] | py=ㄎㄌㄧㄜ-ㄌㄧ | theme=sight-words | stage=1 base=clear
 5111 | briefly                        | 簡短地                            | ⏱️       | chunks=['brief', 'ly'] | py=ㄅㄖㄧㄈ-ㄌㄧ | theme=sight-words | stage=2 base=brief
 5112 | closely                        | 密切地                            | 🔍        | chunks=['close', 'ly'] | py=ㄎㄌㄡㄙ-ㄌㄧ | theme=sight-words | stage=2 base=close
 5113 | deeply                         | 深深地                            | 🌊        | chunks=['deep', 'ly'] | py=ㄉㄧㄆ-ㄌㄧ | theme=sight-words | stage=1 base=deep
 5114 | firmly                         | 堅定地                            | ✊        | chunks=['firm', 'ly'] | py=ㄈㄜㄜㄇ-ㄌㄧ | theme=sight-words | stage=2 base=firm
 5115 | gently                         | 溫柔地                            | 🤲        | chunks=['gen', 'tly'] | py=ㄐㄣ-ㄊㄌㄧ | theme=sight-words | stage=1 base=gentle
 5116 | greatly                        | 大大地                            | 📈        | chunks=['great', 'ly'] | py=ㄍㄖㄟㄊ-ㄌㄧ | theme=sight-words | stage=1 base=great
 5117 | highly                         | 高度地                            | ⬆️       | chunks=['high', 'ly'] | py=ㄏㄞ-ㄌㄧ | theme=sight-words | stage=1 base=high
 5118 | kindly                         | 和善地                            | 😊        | chunks=['kind', 'ly'] | py=ㄎㄞㄣㄉ-ㄌㄧ | theme=sight-words | stage=1 base=kind
 5119 | largely                        | 大多、大致上                         | 📊        | chunks=['large', 'ly'] | py=ㄌㄚㄐ-ㄌㄧ | theme=sight-words | stage=2 base=large
 5120 | loudly                         | 大聲地                            | 📢        | chunks=['loud', 'ly'] | py=ㄌㄠㄉ-ㄌㄧ | theme=sight-words | stage=1 base=loud
 5121 | nicely                         | 很好地                            | 👍        | chunks=['nice', 'ly'] | py=ㄋㄞㄙ-ㄌㄧ | theme=sight-words | stage=1 base=nice
 5122 | poorly                         | 差勁地                            | 👎        | chunks=['poor', 'ly'] | py=ㄆㄨㄜ-ㄌㄧ | theme=sight-words | stage=1 base=poor
 5123 | proudly                        | 驕傲地                            | 😤        | chunks=['proud', 'ly'] | py=ㄆㄖㄠㄉ-ㄌㄧ | theme=sight-words | stage=1 base=proud
 5124 | slowly                         | 慢慢地                            | 🐌        | chunks=['slow', 'ly'] | py=ㄙㄌㄡ-ㄌㄧ | theme=sight-words | stage=1 base=slow
 5125 | softly                         | 輕柔地                            | 🪶        | chunks=['soft', 'ly'] | py=ㄙㄛㄈㄊ-ㄌㄧ | theme=sight-words | stage=1 base=soft
 5126 | strongly                       | 強烈地                            | 💪        | chunks=['strong', 'ly'] | py=ㄙㄊㄖㄛㄥ-ㄌㄧ | theme=sight-words | stage=1 base=strong
 5127 | widely                         | 廣泛地                            | 🌐        | chunks=['wide', 'ly'] | py=ㄨㄞㄉ-ㄌㄧ | theme=sight-words | stage=2 base=wide
 5128 | wisely                         | 明智地                            | 🦉        | chunks=['wise', 'ly'] | py=ㄨㄞㄗ-ㄌㄧ | theme=sight-words | stage=2 base=wise
 5129 | poem                           | 詩                              | 📜        | chunks=['po', 'em'] | py=ㄆㄡ-ㄝㄇ | theme=literature | stage=2
 5130 | poetry                         | 詩歌                             | 📜        | chunks=['po', 'et', 'ry'] | py=ㄆㄡ-ㄝ-ㄊㄖㄧ | theme=literature | stage=2
 5131 | prose                          | 散文                             | 📄        | chunks=['pr', 'ose'] | py=ㄆㄖㄡㄗ | theme=literature | stage=3
 5132 | novel                          | 小說                             | 📚        | chunks=['nov', 'el'] | py=ㄋㄚ-ㄨㄛ | theme=literature | stage=2 [有易混提示]
 5133 | novella                        | 中篇小說                           | 📖        | chunks=['no', 'vel', 'la'] | py=ㄋㄛ-ㄨㄝ-ㄌㄚ | theme=literature | stage=3
 5134 | fiction                        | 虛構作品                           | 📚        | chunks=['fic', 'tion'] | py=ㄈㄧㄎ-ㄒㄣ | theme=literature | stage=2
 5135 | nonfiction                     | 非虛構                            | 📰        | chunks=['non', 'fic', 'tion'] | py=ㄋㄚㄣ-ㄈㄧㄎ-ㄒㄣ | theme=literature | stage=3
 5136 | protagonist                    | 主角                             | 🦸        | chunks=['pro', 'tag', 'o', 'nist'] | py=ㄆㄖㄡ-ㄊㄚ-ㄜ-ㄋㄧㄙㄊ | theme=literature | stage=3
 5137 | antagonist                     | 反派                             | 😈        | chunks=['an', 'tag', 'o', 'nist'] | py=ㄢ-ㄊㄚ-ㄜ-ㄋㄧㄙㄊ | theme=literature | stage=3
 5138 | narrator                       | 敘述者                            | 🗣️       | chunks=['nar', 'ra', 'tor'] | py=ㄋㄚ-ㄖㄟ-ㄊㄜ | theme=literature | stage=3 base=narrate
 5139 | narrative                      | 敘事                             | 📖        | chunks=['nar', 'ra', 'tive'] | py=ㄋㄚ-ㄖㄚ-ㄊㄧㄈ | theme=literature | stage=3 base=narrate
 5140 | chapter                        | 章節                             | 📑        | chunks=['chap', 'ter'] | py=ㄔㄚㄆ-ㄊㄜ | theme=literature | stage=1
 5141 | verse                          | 詩節                             | 📜        | chunks=['v', 'erse'] | py=ㄨㄜㄜㄙ | theme=literature | stage=2
 5142 | stanza                         | 詩段                             | 📜        | chunks=['stan', 'za'] | py=ㄙㄊㄢ-ㄗㄚ | theme=literature | stage=3
 5143 | rhyme                          | 押韻                             | 🎵        | chunks=['rh', 'yme'] | py=ㄖㄞㄇ | theme=literature | stage=2
 5144 | meter                          | 韻律                             | 📏        | chunks=['me', 'ter'] | py=ㄇㄧ-ㄊㄜ | theme=literature | stage=2
 5145 | metaphor                       | 隱喻                             | 💭        | chunks=['met', 'a', 'phor'] | py=ㄇㄝ-ㄜ-ㄈㄛ | theme=literature | stage=3
 5146 | simile                         | 明喻                             | 🔗        | chunks=['sim', 'i', 'le'] | py=ㄒㄧ-ㄇㄧ-ㄌㄧ | theme=literature | stage=3
 5147 | allegory                       | 寓言                             | 🎭        | chunks=['al', 'le', 'go', 'ry'] | py=ㄚ-ㄌㄜ-ㄍㄛ-ㄖㄧ | theme=literature | stage=3
 5148 | irony                          | 反諷                             | 🙃        | chunks=['i', 'ro', 'ny'] | py=ㄞ-ㄖㄛ-ㄋㄧ | theme=literature | stage=2
 5149 | symbolism                      | 象徵主義                           | 🔣        | chunks=['sym', 'bol', 'ism'] | py=ㄒㄧㄇ-ㄅㄛ-ㄧㄗㄇ | theme=literature | stage=3
 5150 | foreshadowing                  | 伏筆                             | 🔮        | chunks=['fore', 'shad', 'ow', 'ing'] | py=ㄈㄛ-ㄒㄚ-ㄛ-ㄧㄥ | theme=literature | stage=3
 5151 | climax                         | 高潮                             | 🎢        | chunks=['cli', 'max'] | py=ㄎㄌㄞ-ㄇㄚㄎㄙ | theme=literature | stage=2
 5152 | resolution                     | 結局                             | ✅        | chunks=['res', 'o', 'lu', 'tion'] | py=ㄖㄝ-ㄜ-ㄌㄨ-ㄒㄣ | theme=literature | stage=2
 5153 | monologue                      | 獨白                             | 🗣️       | chunks=['mon', 'o', 'logue'] | py=ㄇㄚ-ㄋㄛ-ㄌㄚㄍ | theme=literature | stage=3
 5154 | soliloquy                      | (戲劇)獨白                         | 🎭        | chunks=['so', 'lil', 'o', 'quy'] | py=ㄙㄛ-ㄌㄧ-ㄜ-ㄎㄨㄧ | theme=literature | stage=4
 5155 | satire                         | 諷刺                             | 😏        | chunks=['sat', 'ire'] | py=ㄙㄚ-ㄊㄞㄜ | theme=literature | stage=3
 5156 | parody                         | 戲仿、諷刺模仿                        | 🤡        | chunks=['par', 'o', 'dy'] | py=ㄆㄚ-ㄖㄛ-ㄉㄧ | theme=literature | stage=3
 5157 | epic                           | 史詩                             | ⚔️       | chunks=['ep', 'ic'] | py=ㄝ-ㄆㄧㄎ | theme=literature | stage=2
 5158 | fable                          | 寓言故事                           | 🦊        | chunks=['fa', 'ble'] | py=ㄈㄟ-ㄅㄛ | theme=literature | stage=2
 5159 | myth                           | 神話                             | 🐉        | chunks=['m', 'yth'] | py=ㄇㄧㄒ | theme=literature | stage=2
 5160 | legend                         | 傳奇                             | 🏰        | chunks=['le', 'gend'] | py=ㄌㄝ-ㄐㄣㄉ | theme=literature | stage=2
 5161 | folklore                       | 民間傳說                           | 🧙        | chunks=['folk', 'lore'] | py=ㄈㄡㄎ-ㄌㄛㄜ | theme=literature | stage=3
 5162 | biography                      | 傳記                             | 👤        | chunks=['bi', 'og', 'ra', 'phy'] | py=ㄅㄞ-ㄚ-ㄍㄖㄚ-ㄈㄧ | theme=literature | stage=2
