# 字 2000-2499
 2000 | brusselsprout                  | 球芽甘藍                           | 🥬        | chunks=['brus', 'sels', 'sprout'] | py=ㄅㄌㄚ-ㄙㄜㄗ-ㄙㄆㄌㄠㄊ | theme=vegetables | stage=3
 2042 | decaf                          | 低咖啡因                           | ☕        | chunks=['de', 'caf'] | py=ㄉㄧ-ㄎㄚㄈ | theme=drinks | stage=3
 2043 | chai                           | 印度奶茶                           | ☕        | chunks=['ch', 'ai'] | py=ㄑㄞ | theme=drinks | stage=2
 2044 | oolong                         | 烏龍茶                            | 🍵        | chunks=['oo', 'long'] | py=ㄨ-ㄌㄚㄥ | theme=drinks | stage=2
 2045 | jasmine                        | 茉莉、茉莉花                         | 🍵        | chunks=['jas', 'mine'] | py=ㄐㄚㄗ-ㄇㄧㄣ | theme=drinks | stage=2
 2046 | chamomile                      | 洋甘菊                            | 🌼        | chunks=['cham', 'o', 'mile'] | py=ㄎㄚ-ㄇㄜ-ㄇㄞㄦ | theme=drinks | stage=3
 2047 | greentea                       | 綠茶                             | 🍵        | chunks=['green', 'tea'] | py=ㄍㄌㄧㄣ-ㄊㄧ | theme=drinks | stage=1
 2048 | milktea                        | 奶茶                             | 🥤        | chunks=['milk', 'tea'] | py=ㄇㄧㄦㄎ-ㄊㄧ | theme=drinks | stage=1
 2049 | bubbletea                      | 珍珠奶茶                           | 🧋        | chunks=['bub', 'ble', 'tea'] | py=ㄅㄚ-ㄅㄜ-ㄊㄧ | theme=drinks | stage=1
 2050 | slush                          | 碎冰飲                            | 🥤        | chunks=['sl', 'ush'] | py=ㄙㄌㄚㄒ | theme=drinks | stage=2
 2051 | snowcone                       | 刨冰                             | 🍧        | chunks=['snow', 'cone'] | py=ㄙㄋㄛ-ㄎㄛㄣ | theme=drinks | stage=2
 2052 | prosecco                       | 普羅賽克                           | 🍾        | chunks=['pro', 'sec', 'co'] | py=ㄆㄌㄛ-ㄙㄝ-ㄎㄛ | theme=drinks | stage=3
 2053 | sparkling                      | 氣泡的                            | 🍾        | chunks=['spark', 'ling'] | py=ㄙㄆㄚㄦㄎ-ㄌㄧㄥ | theme=drinks | stage=2 base=sparkle
 2054 | mineralwater                   | 礦泉水                            | 💧        | chunks=['min', 'er', 'al', 'wa', 'ter'] | py=ㄇㄧ-ㄋㄜ-ㄦ-ㄨㄛ-ㄊㄜ | theme=drinks | stage=2
 2055 | tapwater                       | 自來水                            | 🚰        | chunks=['tap', 'wa', 'ter'] | py=ㄊㄚㄆ-ㄨㄛ-ㄊㄜ | theme=drinks | stage=2
 2056 | sodawater                      | 蘇打水                            | 🥤        | chunks=['so', 'da', 'wa', 'ter'] | py=ㄙㄛ-ㄉㄚ-ㄨㄛ-ㄊㄜ | theme=drinks | stage=2
 2057 | tonicwater                     | 通寧水                            | 🥤        | chunks=['ton', 'ic', 'wa', 'ter'] | py=ㄊㄚ-ㄋㄧㄎ-ㄨㄛ-ㄊㄜ | theme=drinks | stage=3
 2058 | beverage                       | 飲料                             | 🥤        | chunks=['bev', 'er', 'age'] | py=ㄅㄝ-ㄈㄜ-ㄌㄧㄐ | theme=drinks | stage=2
 2059 | liquor                         | 烈酒                             | 🍷        | chunks=['li', 'quor'] | py=ㄌㄧ-ㄎㄜ | theme=drinks | stage=3
 2060 | spirit                         | 烈酒                             | 🍶        | chunks=['spi', 'rit'] | py=ㄙㄆㄧ-ㄌㄝㄊ | theme=drinks | stage=2
 2061 | hotchocolate                   | 熱可可                            | ☕        | chunks=['hot', 'choc', 'o', 'late'] | py=ㄏㄚㄊ-ㄑㄚㄎ-ㄜ-ㄌㄝㄊ | theme=drinks | stage=1
 2062 | eggnog                         | 蛋酒                             | 🥃        | chunks=['egg', 'nog'] | py=ㄝㄍ-ㄋㄚㄍ | theme=drinks | stage=3
 2063 | buttermilk                     | 白脫牛奶                           | 🥛        | chunks=['but', 'ter', 'milk'] | py=ㄅㄚ-ㄊㄜ-ㄇㄧㄦㄎ | theme=drinks | stage=2
 2064 | kombucha                       | 康普茶                            | 🥤        | chunks=['kom', 'bu', 'cha'] | py=ㄎㄚㄇ-ㄅㄨ-ㄑㄚ | theme=drinks | stage=3
 2065 | rootbeer                       | 麥根沙士                           | 🥤        | chunks=['root', 'beer'] | py=ㄌㄨㄊ-ㄅㄧㄜ | theme=drinks | stage=2
 2066 | fizz                           | 氣泡飲                            | 🥤        | chunks=['f', 'izz'] | py=ㄈㄧㄗ | theme=drinks | stage=2
 2067 | nectar                         | 果蜜                             | 🍯        | chunks=['nec', 'tar'] | py=ㄋㄝㄎ-ㄊㄜ | theme=drinks | stage=2
 2068 | brew                           | 釀造飲品、啤酒                        | 🍺        | chunks=['br', 'ew'] | py=ㄅㄌㄨ | theme=drinks | stage=2
 2069 | shake                          | 奶昔                             | 🥤        | chunks=['sh', 'ake'] | py=ㄒㄟㄎ | theme=drinks | stage=1
 2070 | tart                           | 塔派                             | 🥧        | chunks=['t', 'art'] | py=ㄊㄚㄦㄊ | theme=desserts | stage=1
 2071 | custard                        | 卡士達                            | 🍮        | chunks=['cus', 'tard'] | py=ㄎㄚㄙ-ㄊㄜㄉ | theme=desserts | stage=2
 2072 | mousse                         | 慕斯                             | 🍮        | chunks=['m', 'ousse'] | py=ㄇㄨㄙ | theme=desserts | stage=2
 2073 | sorbet                         | 雪酪、果露冰                         | 🍧        | chunks=['sor', 'bet'] | py=ㄙㄛㄦ-ㄅㄝ | theme=desserts | stage=3
 2074 | gelato                         | 義式冰淇淋                          | 🍨        | chunks=['ge', 'la', 'to'] | py=ㄐㄜ-ㄌㄚ-ㄊㄛ | theme=desserts | stage=2
 2075 | sherbet                        | 雪酪                             | 🍧        | chunks=['sher', 'bet'] | py=ㄒㄜ-ㄅㄝㄊ | theme=desserts | stage=3
 2076 | parfait                        | 芭菲                             | 🍨        | chunks=['par', 'fait'] | py=ㄆㄚㄦ-ㄈㄟ | theme=desserts | stage=3
 2077 | sundae                         | 聖代                             | 🍨        | chunks=['sun', 'dae'] | py=ㄙㄚㄣ-ㄉㄟ | theme=desserts | stage=2 [有易混提示]
 2078 | popsicle                       | 冰棒                             | 🍡        | chunks=['pop', 'si', 'cle'] | py=ㄆㄚㄆ-ㄒㄜ-ㄎㄜ | theme=desserts | stage=1
 2079 | lollipop                       | 棒棒糖                            | 🍭        | chunks=['lol', 'li', 'pop'] | py=ㄌㄚ-ㄌㄧ-ㄆㄚㄆ | theme=desserts | stage=1
 2080 | cupcake                        | 杯子蛋糕                           | 🧁        | chunks=['cup', 'cake'] | py=ㄎㄚㄆ-ㄎㄟㄎ | theme=desserts | stage=1
 2081 | cheesecake                     | 起司蛋糕                           | 🍰        | chunks=['cheese', 'cake'] | py=ㄑㄧㄗ-ㄎㄟㄎ | theme=desserts | stage=1
 2082 | fudge                          | 軟糖                             | 🍫        | chunks=['f', 'udge'] | py=ㄈㄚㄐ | theme=desserts | stage=2
 2083 | toffee                         | 太妃糖                            | 🍬        | chunks=['tof', 'fee'] | py=ㄊㄚ-ㄈㄧ | theme=desserts | stage=2
 2084 | caramel                        | 焦糖                             | 🍮        | chunks=['car', 'a', 'mel'] | py=ㄎㄝ-ㄜ-ㄇㄜ | theme=desserts | stage=2
 2085 | praline                        | 果仁糖                            | 🍬        | chunks=['pra', 'line'] | py=ㄆㄌㄚ-ㄌㄧㄣ | theme=desserts | stage=3
 2086 | truffle                        | 松露巧克力                          | 🍫        | chunks=['truf', 'fle'] | py=ㄊㄌㄚ-ㄈㄜ | theme=desserts | stage=3
 2087 | macaroon                       | 馬卡龍                            | 🍪        | chunks=['mac', 'a', 'roon'] | py=ㄇㄚ-ㄎㄜ-ㄌㄨㄣ | theme=desserts | stage=2
 2088 | macaron                        | 法式小圓餅                          | 🍪        | chunks=['mac', 'a', 'ron'] | py=ㄇㄚ-ㄎㄚ-ㄌㄚㄣ | theme=desserts | stage=2
 2089 | eclair                         | 閃電泡芙                           | 🥐        | chunks=['e', 'clair'] | py=ㄝ-ㄎㄌㄝㄜ | theme=desserts | stage=3
 2090 | profiterole                    | 小泡芙                            | 🥐        | chunks=['pro', 'fit', 'e', 'role'] | py=ㄆㄌㄚ-ㄈㄜ-ㄊㄜ-ㄌㄛㄦ | theme=desserts | stage=3
 2091 | crepe                          | 可麗餅                            | 🥞        | chunks=['cr', 'epe'] | py=ㄎㄌㄝㄆ | theme=desserts | stage=2
 2092 | tiramisu                       | 提拉米蘇                           | 🍰        | chunks=['ti', 'ra', 'mi', 'su'] | py=ㄊㄧ-ㄌㄚ-ㄇㄧ-ㄙㄨ | theme=desserts | stage=2
 2093 | baklava                        | 果仁蜜餅                           | 🥮        | chunks=['bak', 'la', 'va'] | py=ㄅㄚㄎ-ㄌㄚ-ㄈㄚ | theme=desserts | stage=3
 2094 | churro                         | 吉拿棒                            | 🥖        | chunks=['chur', 'ro'] | py=ㄑㄨ-ㄌㄛ | theme=desserts | stage=2
 2095 | cannoli                        | 義式甜捲                           | 🥮        | chunks=['can', 'no', 'li'] | py=ㄎㄚ-ㄋㄛ-ㄌㄧ | theme=desserts | stage=3
 2096 | biscotti                       | 義式脆餅                           | 🍪        | chunks=['bis', 'cot', 'ti'] | py=ㄅㄧㄙ-ㄎㄚ-ㄊㄧ | theme=desserts | stage=3
 2097 | scone                          | 司康                             | 🥯        | chunks=['sc', 'one'] | py=ㄙㄎㄛㄣ | theme=desserts | stage=2
 2098 | shortbread                     | 奶油酥餅                           | 🍪        | chunks=['short', 'bread'] | py=ㄒㄛㄦㄊ-ㄅㄌㄝㄉ | theme=desserts | stage=2
 2099 | gingerbread                    | 薑餅                             | 🍪        | chunks=['gin', 'ger', 'bread'] | py=ㄐㄧㄣ-ㄐㄜ-ㄅㄌㄝㄉ | theme=desserts | stage=2
 2100 | mooncake                       | 月餅                             | 🥮        | chunks=['moon', 'cake'] | py=ㄇㄨㄣ-ㄎㄟㄎ | theme=desserts | stage=1
 2101 | mochi                          | 麻糬                             | 🍡        | chunks=['mo', 'chi'] | py=ㄇㄛ-ㄑㄧ | theme=desserts | stage=1
 2102 | halva                          | 芝麻酥糖(哈爾瓦)                      | 🍬        | chunks=['hal', 'va'] | py=ㄏㄚㄦ-ㄈㄚ | theme=desserts | stage=3
 2103 | flan                           | 焦糖布丁                           | 🍮        | chunks=['fl', 'an'] | py=ㄈㄌㄚㄣ | theme=desserts | stage=2
 2104 | gummy                          | 軟糖                             | 🍬        | chunks=['gum', 'my'] | py=ㄍㄚ-ㄇㄧ | theme=desserts | stage=1
 2105 | jellybean                      | 雷根糖                            | 🍬        | chunks=['jel', 'ly', 'bean'] | py=ㄐㄝ-ㄌㄧ-ㄅㄧㄣ | theme=desserts | stage=2
 2106 | licorice                       | 甘草糖                            | 🍬        | chunks=['li', 'co', 'rice'] | py=ㄌㄧ-ㄎㄜ-ㄌㄧㄒ | theme=desserts | stage=3
 2107 | nougat                         | 牛軋糖                            | 🍬        | chunks=['nou', 'gat'] | py=ㄋㄨ-ㄍㄚㄊ | theme=desserts | stage=3
 2108 | taffy                          | 太妃糖                            | 🍬        | chunks=['taf', 'fy'] | py=ㄊㄚ-ㄈㄧ | theme=desserts | stage=3
 2109 | cottoncandy                    | 棉花糖                            | 🍬        | chunks=['cot', 'ton', 'can', 'dy'] | py=ㄎㄚ-ㄉㄣ-ㄎㄢ-ㄉㄧ | theme=desserts | stage=2
 2110 | gumdrop                        | 水果糖                            | 🍬        | chunks=['gum', 'drop'] | py=ㄍㄚㄇ-ㄉㄌㄚㄆ | theme=desserts | stage=3
 2111 | sweets                         | 甜食                             | 🍬        | chunks=['sw', 'eets'] | py=ㄙㄨㄧㄊㄙ | theme=desserts | stage=1
 2112 | treat                          | 小點心                            | 🍡        | chunks=['tr', 'eat'] | py=ㄊㄌㄧㄊ | theme=desserts | stage=1
 2113 | frosting                       | 糖霜                             | 🎂        | chunks=['fros', 'ting'] | py=ㄈㄌㄚㄙ-ㄊㄧㄥ | theme=desserts | stage=2 base=frost
 2114 | icing                          | 糖衣                             | 🎂        | chunks=['i', 'cing'] | py=ㄞ-ㄒㄧㄥ | theme=desserts | stage=2 base=ice
 2115 | glaze                          | 糖釉                             | 🎂        | chunks=['gl', 'aze'] | py=ㄍㄌㄟㄗ | theme=desserts | stage=2
 2116 | sprinkle                       | 糖粒                             | 🎂        | chunks=['sprin', 'kle'] | py=ㄙㄆㄌㄧㄣ-ㄎㄜ | theme=desserts | stage=2
 2117 | fondue                         | 起司火鍋、巧克力鍋                      | 🍫        | chunks=['fon', 'due'] | py=ㄈㄚㄣ-ㄉㄧㄨ | theme=desserts | stage=3
 2118 | cross                          | 十字                             | ➕        | chunks=['cr', 'oss'] | py=ㄎㄌㄚㄙ | theme=shapes | stage=1
 2119 | arrow                          | 箭頭                             | ➡️       | chunks=['ar', 'row'] | py=ㄝ-ㄌㄛ | theme=shapes | stage=1
 2120 | sphere                         | 球體                             | 🔵        | chunks=['sph', 'ere'] | py=ㄙㄈㄧㄦ | theme=shapes | stage=2
 2121 | cylinder                       | 圓柱                             | 🥫        | chunks=['cyl', 'in', 'der'] | py=ㄒㄧ-ㄌㄧㄣ-ㄉㄜ | theme=shapes | stage=2
 2122 | cone                           | 圓錐                             | 🍦        | chunks=['c', 'one'] | py=ㄎㄛㄣ | theme=shapes | stage=2
 2123 | pyramid                        | 金字塔                            | 🔺        | chunks=['py', 'ra', 'mid'] | py=ㄆㄧ-ㄌㄜ-ㄇㄧㄉ | theme=shapes | stage=2
 2124 | prism                          | 稜柱                             | 🔷        | chunks=['pr', 'ism'] | py=ㄆㄌㄧ-ㄗㄣ | theme=shapes | stage=3
 2125 | hexagon                        | 六邊形                            | ⬡        | chunks=['hex', 'a', 'gon'] | py=ㄏㄝㄎ-ㄙㄜ-ㄍㄚㄣ | theme=shapes | stage=2
 2126 | pentagon                       | 五邊形                            | ⬠        | chunks=['pen', 'ta', 'gon'] | py=ㄆㄣ-ㄊㄜ-ㄍㄚㄣ | theme=shapes | stage=2
 2127 | octagon                        | 八邊形                            | 🛑        | chunks=['oc', 'ta', 'gon'] | py=ㄚㄎ-ㄊㄜ-ㄍㄚㄣ | theme=shapes | stage=2
 2128 | heptagon                       | 七邊形                            | 7️⃣      | chunks=['hep', 'ta', 'gon'] | py=ㄏㄝㄆ-ㄊㄜ-ㄍㄚㄣ | theme=shapes | stage=3
 2129 | decagon                        | 十邊形                            | 🔟        | chunks=['dec', 'a', 'gon'] | py=ㄉㄝㄎ-ㄜ-ㄍㄚㄣ | theme=shapes | stage=3
 2130 | trapezoid                      | 梯形                             | 🔶        | chunks=['trap', 'e', 'zoid'] | py=ㄊㄌㄚ-ㄆㄜ-ㄗㄛㄧㄉ | theme=shapes | stage=3
 2131 | parallelogram                  | 平行四邊形                          | 🔷        | chunks=['par', 'al', 'lel', 'o', 'gram'] | py=ㄆㄝ-ㄌㄦ-ㄦ-ㄜ-ㄍㄌㄚㄇ | theme=shapes | stage=3
 2132 | rhombus                        | 菱形                             | 🔷        | chunks=['rhom', 'bus'] | py=ㄌㄚㄇ-ㄅㄜㄙ | theme=shapes | stage=3
 2133 | semicircle                     | 半圓                             | 🌗        | chunks=['se', 'mi', 'cir', 'cle'] | py=ㄙㄝ-ㄇㄧ-ㄙㄜ-ㄎㄜ | theme=shapes | stage=2
 2134 | crescent                       | 新月形                            | 🌙        | chunks=['cres', 'cent'] | py=ㄎㄌㄝ-ㄗㄣㄊ | theme=shapes | stage=2
 2135 | ring                           | 環                              | 💍        | chunks=['r', 'ing'] | py=ㄌㄧㄥ | theme=shapes | stage=1 [有易混提示]
 2136 | ellipse                        | 橢圓                             | 🥚        | chunks=['el', 'lipse'] | py=ㄧ-ㄌㄧㄆㄙ | theme=shapes | stage=3
 2137 | polygon                        | 多邊形                            | 🔶        | chunks=['pol', 'y', 'gon'] | py=ㄆㄚ-ㄌㄧ-ㄍㄚㄣ | theme=shapes | stage=3
 2138 | zigzag                         | 鋸齒形                            | ⚡        | chunks=['zig', 'zag'] | py=ㄗㄧㄍ-ㄗㄚㄍ | theme=shapes | stage=1
 2139 | spiral                         | 螺旋                             | 🌀        | chunks=['spi', 'ral'] | py=ㄙㄆㄞ-ㄦ | theme=shapes | stage=2
 2140 | swirl                          | 漩渦                             | 🌀        | chunks=['sw', 'irl'] | py=ㄙㄨㄜㄦ | theme=shapes | stage=2
 2141 | curve                          | 曲線                             | 〰️       | chunks=['c', 'urve'] | py=ㄎㄜㄈ | theme=shapes | stage=1
 2142 | straight                       | 直的                             | 📏        | chunks=['str', 'aight'] | py=ㄙㄉㄌㄟㄊ | theme=shapes | stage=1
 2143 | curved                         | 彎曲的                            | 〰️       | chunks=['c', 'urved'] | py=ㄎㄜㄈㄉ | theme=shapes | stage=1 base=curve
 2144 | bent                           | 彎的、折彎的                         | 📐        | chunks=['b', 'ent'] | py=ㄅㄝㄣㄊ | theme=shapes | stage=1 base=bend
 2145 | vertex                         | 頂點                             | 📐        | chunks=['ver', 'tex'] | py=ㄈㄜ-ㄊㄝㄎㄙ | theme=shapes | stage=3
 2146 | angle                          | 角度                             | 📐        | chunks=['an', 'gle'] | py=ㄢ-ㄍㄜ | theme=shapes | stage=1
 2147 | axis                           | 軸                              | 📊        | chunks=['ax', 'is'] | py=ㄚㄎ-ㄒㄧㄙ | theme=shapes | stage=3
 2148 | diameter                       | 直徑                             | 📏        | chunks=['di', 'am', 'e', 'ter'] | py=ㄉㄞ-ㄝㄇ-ㄜ-ㄊㄜ | theme=shapes | stage=3
 2149 | radius                         | 半徑                             | 📏        | chunks=['ra', 'di', 'us'] | py=ㄌㄟ-ㄉㄧ-ㄚㄙ | theme=shapes | stage=3
 2150 | perimeter                      | 周長                             | 📏        | chunks=['pe', 'ri', 'me', 'ter'] | py=ㄆㄜ-ㄌㄧ-ㄇㄜ-ㄊㄜ | theme=shapes | stage=3
 2151 | volume                         | 體積                             | 🔊        | chunks=['vol', 'ume'] | py=ㄈㄚ-ㄌㄧㄨㄇ | theme=shapes | stage=2 [有易混提示]
 2152 | length                         | 長度                             | 📏        | chunks=['len', 'gth'] | py=ㄌㄝㄥㄎ-ㄙ | theme=shapes | stage=1
 2153 | width                          | 寬度                             | 📏        | chunks=['w', 'idth'] | py=ㄨㄧㄉㄙ | theme=shapes | stage=1
 2154 | height                         | 高度                             | 📏        | chunks=['h', 'eight'] | py=ㄏㄞㄊ | theme=shapes | stage=1
 2155 | depth                          | 深度                             | 📏        | chunks=['d', 'epth'] | py=ㄉㄝㄆㄙ | theme=shapes | stage=2
 2156 | size                           | 大小                             | 📏        | chunks=['s', 'ize'] | py=ㄙㄞㄗ | theme=shapes | stage=0
 2157 | flat                           | 平的                             | ⬛        | chunks=['fl', 'at'] | py=ㄈㄌㄚㄊ | theme=shapes | stage=1
 2158 | solid                          | 實心的                            | ⬛        | chunks=['sol', 'id'] | py=ㄙㄚ-ㄌㄝㄉ | theme=shapes | stage=2
 2159 | hollow                         | 空心的                            | ⭕        | chunks=['hol', 'low'] | py=ㄏㄚ-ㄌㄛ | theme=shapes | stage=2
 2160 | round                          | 圓的                             | ⭕        | chunks=['r', 'ound'] | py=ㄌㄠㄣㄉ | theme=shapes | stage=0 [有易混提示]
 2161 | slab                           | 厚板                             | ⬛        | chunks=['sl', 'ab'] | py=ㄙㄌㄚㄅ | theme=shapes | stage=3
 2162 | bar                            | 條                              | 📊        | chunks=['b', 'ar'] | py=ㄅㄚㄦ | theme=shapes | stage=1
 2163 | strip                          | 細條                             | 📏        | chunks=['str', 'ip'] | py=ㄙㄉㄌㄧㄆ | theme=shapes | stage=2
 2164 | slice                          | 片                              | 🍕        | chunks=['sl', 'ice'] | py=ㄙㄌㄞㄙ | theme=shapes | stage=1
 2165 | hoop                           | 圈                              | ⭕        | chunks=['h', 'oop'] | py=ㄏㄨㄆ | theme=shapes | stage=2
 2166 | loop                           | 環圈                             | ⭕        | chunks=['l', 'oop'] | py=ㄌㄨㄆ | theme=shapes | stage=2
 2167 | blob                           | 塊狀                             | 🟦        | chunks=['bl', 'ob'] | py=ㄅㄌㄚㄅ | theme=shapes | stage=2
 2168 | north                          | 北                              | ⬆️       | chunks=['n', 'orth'] | py=ㄋㄛㄦㄙ | theme=directions | stage=1
 2169 | south                          | 南                              | ⬇️       | chunks=['s', 'outh'] | py=ㄙㄠㄙ | theme=directions | stage=1
 2170 | east                           | 東                              | ➡️       | chunks=['e', 'ast'] | py=ㄧㄙㄊ | theme=directions | stage=1
 2171 | west                           | 西                              | ⬅️       | chunks=['w', 'est'] | py=ㄨㄝㄙㄊ | theme=directions | stage=1
 2172 | northeast                      | 東北                             | ↗️       | chunks=['north', 'east'] | py=ㄋㄛㄦㄙ-ㄧㄙㄊ | theme=directions | stage=2
 2173 | northwest                      | 西北                             | ↖️       | chunks=['north', 'west'] | py=ㄋㄛㄦㄙ-ㄨㄝㄙㄊ | theme=directions | stage=2
