# 字 2500-2999
 2500 | dinein                         | 內用                             | 🍽️       | chunks=['dine', 'in'] | py=ㄉㄞㄣ-ㄧㄣ | theme=restaurant | stage=2
 2522 | feast                          | 盛宴                             | 🍽️       | chunks=['f', 'east'] | py=ㄈㄧㄙㄊ | theme=restaurant | stage=2
 2523 | potluck                        | 百樂宴                            | 🍱        | chunks=['pot', 'luck'] | py=ㄆㄚㄊ-ㄌㄚㄎ | theme=restaurant | stage=3
 2524 | catering                       | 外燴                             | 🍽️       | chunks=['ca', 'ter', 'ing'] | py=ㄎㄟ-ㄊㄜ-ㄧㄥ | theme=restaurant | stage=2
 2525 | caterer                        | 外燴業者                           | 🍽️       | chunks=['ca', 'ter', 'er'] | py=ㄎㄟ-ㄊㄜ-ㄜ | theme=restaurant | stage=3 base=cater
 2526 | dine                           | 用餐                             | 🍽️       | chunks=['d', 'ine'] | py=ㄉㄞㄣ | theme=restaurant | stage=1
 2527 | hotpot                         | 火鍋                             | 🍲        | chunks=['hot', 'pot'] | py=ㄏㄚㄊ-ㄆㄚㄊ | theme=restaurant | stage=1
 2528 | barbecue                       | 燒烤                             | 🍖        | chunks=['bar', 'be', 'cue'] | py=ㄅㄚㄦ-ㄅㄜ-ㄎㄧㄨ | theme=restaurant | stage=1
 2529 | bbq                            | 燒烤                             | 🍖        | chunks=['b', 'b', 'q'] | py=ㄅㄧ-ㄅㄧ-ㄎㄧㄨ | theme=restaurant | stage=1
 2530 | refill                         | 續杯                             | 🥤        | chunks=['re', 'fill'] | py=ㄌㄧ-ㄈㄧㄦ | theme=restaurant | stage=1
 2531 | combo                          | 套餐                             | 🍱        | chunks=['com', 'bo'] | py=ㄎㄚㄇ-ㄅㄛ | theme=restaurant | stage=2
 2532 | special                        | 特餐                             | ⭐        | chunks=['spe', 'cial'] | py=ㄙㄆㄝ-ㄒㄦ | theme=restaurant | stage=1
 2533 | platter                        | 拼盤                             | 🍽️       | chunks=['plat', 'ter'] | py=ㄆㄌㄚ-ㄊㄜ | theme=restaurant | stage=2
 2534 | euro                           | 歐元                             | 💶        | chunks=['eu', 'ro'] | py=ㄧㄨ-ㄌㄛ | theme=money | stage=1
 2535 | pound                          | 英鎊                             | 💷        | chunks=['p', 'ound'] | py=ㄆㄠㄣㄉ | theme=money | stage=1
 2536 | yen                            | 日圓                             | 💴        | chunks=['y', 'en'] | py=ㄧㄝㄣ | theme=money | stage=1
 2537 | peso                           | 披索                             | 💵        | chunks=['pe', 'so'] | py=ㄆㄟ-ㄙㄛ | theme=money | stage=3
 2538 | ruble                          | 盧布                             | 💵        | chunks=['ru', 'ble'] | py=ㄌㄨ-ㄅㄜ | theme=money | stage=3
 2539 | rupee                          | 盧比                             | 💵        | chunks=['ru', 'pee'] | py=ㄌㄨ-ㄆㄧ | theme=money | stage=3
 2540 | won                            | 韓圓                             | 💴        | chunks=['w', 'on'] | py=ㄨㄢ | theme=money | stage=3 [有易混提示]
 2541 | baht                           | 泰銖                             | 💵        | chunks=['b', 'aht'] | py=ㄅㄚㄊ | theme=money | stage=3
 2542 | budget                         | 預算                             | 📊        | chunks=['bud', 'get'] | py=ㄅㄚ-ㄐㄝㄊ | theme=money | stage=1
 2543 | finance                        | 財務                             | 💼        | chunks=['fi', 'nance'] | py=ㄈㄞ-ㄋㄢㄙ | theme=money | stage=2
 2544 | investment                     | 投資                             | 📈        | chunks=['in', 'vest', 'ment'] | py=ㄧㄣ-ㄈㄝㄙㄊ-ㄇㄣㄊ | theme=money | stage=2 base=invest
 2545 | invest                         | 投資                             | 📈        | chunks=['in', 'vest'] | py=ㄧㄣ-ㄈㄝㄙㄊ | theme=money | stage=2
 2546 | profit                         | 利潤                             | 📈        | chunks=['pro', 'fit'] | py=ㄆㄌㄚ-ㄈㄝㄊ | theme=money | stage=2
 2547 | loss                           | 虧損                             | 📉        | chunks=['l', 'oss'] | py=ㄌㄚㄙ | theme=money | stage=1 [有易混提示]
 2548 | gain                           | 獲得、增加                          | 📈        | chunks=['g', 'ain'] | py=ㄍㄟㄣ | theme=money | stage=2
 2549 | income                         | 收入                             | 💰        | chunks=['in', 'come'] | py=ㄧㄣ-ㄎㄚㄇ | theme=money | stage=1
 2550 | salary                         | 薪水                             | 💰        | chunks=['sal', 'a', 'ry'] | py=ㄙㄚ-ㄌㄜ-ㄌㄧ | theme=money | stage=2
 2551 | wage                           | 工資                             | 💰        | chunks=['w', 'age'] | py=ㄨㄟㄐ | theme=money | stage=2
 2552 | paycheck                       | 薪水支票                           | 💵        | chunks=['pay', 'check'] | py=ㄆㄟ-ㄑㄝㄎ | theme=money | stage=2
 2553 | bonus                          | 獎金                             | 🎁        | chunks=['bo', 'nus'] | py=ㄅㄛ-ㄋㄜㄙ | theme=money | stage=2
 2554 | commission                     | 佣金                             | 💰        | chunks=['com', 'mis', 'sion'] | py=ㄎㄜ-ㄇㄧ-ㄒㄣ | theme=money | stage=2
 2555 | allowance                      | 零用錢                            | 💰        | chunks=['al', 'low', 'ance'] | py=ㄚ-ㄌㄠ-ㄢㄙ | theme=money | stage=2
 2556 | pension                        | 退休金                            | 💰        | chunks=['pen', 'sion'] | py=ㄆㄣ-ㄓㄣ | theme=money | stage=3
 2557 | tax                            | 稅                              | 💸        | chunks=['t', 'ax'] | py=ㄊㄚㄎㄙ | theme=money | stage=1
 2558 | fee                            | 費用                             | 💸        | chunks=['f', 'ee'] | py=ㄈㄧ | theme=money | stage=1
 2559 | charge                         | 收費                             | 💳        | chunks=['ch', 'arge'] | py=ㄑㄚㄦㄐ | theme=money | stage=1
 2560 | cost                           | 成本                             | 💸        | chunks=['c', 'ost'] | py=ㄎㄚㄙㄊ | theme=money | stage=1 base=cost
 2561 | expense                        | 支出                             | 💸        | chunks=['ex', 'pense'] | py=ㄝㄎ-ㄙㄆㄣㄙ | theme=money | stage=2
 2562 | account                        | 帳戶                             | 📒        | chunks=['ac', 'count'] | py=ㄚ-ㄎㄠㄣㄊ | theme=money | stage=1
 2563 | wallet                         | 錢包                             | 👛        | chunks=['wal', 'let'] | py=ㄨㄛ-ㄌㄝㄊ | theme=money | stage=0
 2564 | purse                          | 皮包                             | 👛        | chunks=['p', 'urse'] | py=ㄆㄜㄙ | theme=money | stage=1
 2565 | deposit                        | 存款                             | 🏦        | chunks=['de', 'pos', 'it'] | py=ㄉㄧ-ㄆㄚ-ㄗㄜㄊ | theme=money | stage=2
 2566 | withdraw                       | 提款                             | 🏧        | chunks=['with', 'draw'] | py=ㄨㄧㄒ-ㄉㄌㄛ | theme=money | stage=2
 2567 | credit                         | 信用                             | 💳        | chunks=['cred', 'it'] | py=ㄎㄌㄝ-ㄉㄜㄊ | theme=money | stage=1
 2568 | debit                          | 扣款                             | 💳        | chunks=['deb', 'it'] | py=ㄉㄝ-ㄅㄜㄊ | theme=money | stage=2
 2569 | balance                        | 餘額                             | ⚖️       | chunks=['bal', 'ance'] | py=ㄅㄚ-ㄌㄢㄙ | theme=money | stage=1
 2570 | interest                       | 利息                             | 💵        | chunks=['in', 'ter', 'est'] | py=ㄧㄣ-ㄊㄜ-ㄝㄙㄊ | theme=money | stage=2
 2571 | inflation                      | 通膨                             | 📈        | chunks=['in', 'fla', 'tion'] | py=ㄧㄣ-ㄈㄌㄟ-ㄒㄣ | theme=money | stage=3
 2572 | recession                      | 經濟衰退                           | 📉        | chunks=['re', 'ces', 'sion'] | py=ㄌㄧ-ㄙㄝ-ㄒㄣ | theme=money | stage=3
 2573 | asset                          | 資產                             | 💎        | chunks=['as', 'set'] | py=ㄚ-ㄙㄝㄊ | theme=money | stage=2
 2574 | capital                        | 資本                             | 💰        | chunks=['cap', 'i', 'tal'] | py=ㄎㄚ-ㄆㄜ-ㄉㄜ | theme=money | stage=2
 2575 | broker                         | 經紀人                            | 🧑‍💼      | chunks=['bro', 'ker'] | py=ㄅㄌㄛ-ㄎㄜ | theme=money | stage=3
 2576 | bond                           | 債券                             | 📄        | chunks=['b', 'ond'] | py=ㄅㄚㄣㄉ | theme=money | stage=3
 2577 | mortgage                       | 房貸                             | 🏠        | chunks=['mort', 'gage'] | py=ㄇㄛㄦ-ㄍㄧㄐ | theme=money | stage=3
 2578 | lease                          | 租賃                             | 📜        | chunks=['l', 'ease'] | py=ㄌㄧㄙ | theme=money | stage=3
 2579 | rent                           | 租金                             | 🏠        | chunks=['r', 'ent'] | py=ㄌㄝㄣㄊ | theme=money | stage=1
 2580 | fund                           | 基金                             | 💰        | chunks=['f', 'und'] | py=ㄈㄚㄣㄉ | theme=money | stage=2
 2581 | checkup                        | 健檢                             | 🩺        | chunks=['check', 'up'] | py=ㄑㄝㄎ-ㄚㄆ | theme=health | stage=1
 2582 | appointment                    | 預約                             | 📅        | chunks=['ap', 'point', 'ment'] | py=ㄚ-ㄆㄛㄧㄣㄊ-ㄇㄣㄊ | theme=health | stage=2 base=appoint
 2583 | examination                    | 檢查                             | 🩺        | chunks=['ex', 'am', 'i', 'na', 'tion'] | py=ㄝㄍ-ㄗㄚㄇ-ㄜ-ㄋㄟ-ㄒㄣ | theme=health | stage=2 base=examine
 2584 | diagnose                       | 診斷                             | 🩺        | chunks=['di', 'ag', 'nose'] | py=ㄉㄞ-ㄚㄍ-ㄋㄛㄙ | theme=health | stage=3
 2585 | diagnosis                      | 診斷                             | 🩺        | chunks=['di', 'ag', 'no', 'sis'] | py=ㄉㄞ-ㄚㄍ-ㄋㄛ-ㄒㄧㄙ | theme=health | stage=3 base=diagnose
 2586 | treatment                      | 治療                             | 💊        | chunks=['treat', 'ment'] | py=ㄊㄌㄧㄊ-ㄇㄣㄊ | theme=health | stage=2 base=treat
 2587 | therapy                        | 療法                             | 🩹        | chunks=['ther', 'a', 'py'] | py=ㄙㄝ-ㄌㄜ-ㄆㄧ | theme=health | stage=2
 2588 | prescription                   | 處方                             | 📜        | chunks=['pre', 'scrip', 'tion'] | py=ㄆㄌㄧ-ㄙㄎㄌㄧㄆ-ㄒㄣ | theme=health | stage=2
 2589 | dose                           | 劑量                             | 💊        | chunks=['d', 'ose'] | py=ㄉㄛㄙ | theme=health | stage=2
 2590 | dosage                         | 劑量                             | 💊        | chunks=['dos', 'age'] | py=ㄉㄛㄙ-ㄧㄐ | theme=health | stage=3 base=dose
 2591 | allergic                       | 過敏的                            | 🤧        | chunks=['al', 'ler', 'gic'] | py=ㄚ-ㄌㄜ-ㄐㄧㄎ | theme=health | stage=2 base=allergy
 2592 | antibiotic                     | 抗生素                            | 💊        | chunks=['an', 'ti', 'bi', 'ot', 'ic'] | py=ㄢ-ㄊㄧ-ㄅㄞ-ㄚ-ㄊㄧㄎ | theme=health | stage=2
 2593 | painkiller                     | 止痛藥                            | 💊        | chunks=['pain', 'kill', 'er'] | py=ㄆㄟㄣ-ㄎㄧ-ㄌㄜ | theme=health | stage=2
 2594 | supplement                     | 補充劑                            | 💊        | chunks=['sup', 'ple', 'ment'] | py=ㄙㄚ-ㄆㄌㄜ-ㄇㄣㄊ | theme=health | stage=2
 2595 | capsule                        | 膠囊                             | 💊        | chunks=['cap', 'sule'] | py=ㄎㄚㄆ-ㄙㄨㄦ | theme=health | stage=2
 2596 | lozenge                        | 含片                             | 💊        | chunks=['lo', 'zenge'] | py=ㄌㄚ-ㄗㄣㄐ | theme=health | stage=3
 2597 | injection                      | 注射                             | 💉        | chunks=['in', 'jec', 'tion'] | py=ㄧㄣ-ㄐㄝㄎ-ㄒㄣ | theme=health | stage=2
 2598 | shot                           | 打針、一槍、一杯                       | 💉        | chunks=['sh', 'ot'] | py=ㄒㄚㄊ | theme=health | stage=1 base=shoot
 2599 | infection                      | 感染                             | 🦠        | chunks=['in', 'fec', 'tion'] | py=ㄧㄣ-ㄈㄝㄎ-ㄒㄣ | theme=health | stage=2
 2600 | illness                        | 疾病                             | 🤒        | chunks=['ill', 'ness'] | py=ㄧㄦ-ㄋㄝㄙ | theme=health | stage=1 base=ill
 2601 | virus                          | 病毒                             | 🦠        | chunks=['vi', 'rus'] | py=ㄈㄞ-ㄌㄜㄙ | theme=health | stage=1
 2602 | bacteria                       | 細菌                             | 🦠        | chunks=['bac', 'te', 'ri', 'a'] | py=ㄅㄚㄎ-ㄊㄧ-ㄌㄧ-ㄚ | theme=health | stage=2
 2603 | germ                           | 細菌                             | 🦠        | chunks=['g', 'erm'] | py=ㄐㄜㄇ | theme=health | stage=1
 2604 | contagious                     | 會傳染的                           | 🦠        | chunks=['con', 'ta', 'gious'] | py=ㄎㄢ-ㄊㄟ-ㄐㄚㄙ | theme=health | stage=3 base=contagion
 2605 | asthma                         | 氣喘                             | 😮‍💨      | chunks=['asth', 'ma'] | py=ㄚㄗ-ㄇㄚ | theme=health | stage=3
 2606 | diabetes                       | 糖尿病                            | 🍬        | chunks=['di', 'a', 'be', 'tes'] | py=ㄉㄞ-ㄜ-ㄅㄧ-ㄊㄧㄗ | theme=health | stage=2
 2607 | cancer                         | 癌症                             | 🎗️       | chunks=['can', 'cer'] | py=ㄎㄢ-ㄙㄜ | theme=health | stage=2
 2608 | pneumonia                      | 肺炎                             | 🫁        | chunks=['pneu', 'mo', 'ni', 'a'] | py=ㄋㄨ-ㄇㄛ-ㄋㄧ-ㄚ | theme=health | stage=3
 2609 | stroke                         | 中風                             | 🧠        | chunks=['str', 'oke'] | py=ㄙㄉㄌㄛㄎ | theme=health | stage=3
 2610 | heartattack                    | 心臟病發作                          | 💔        | chunks=['heart', 'at', 'tack'] | py=ㄏㄚㄦㄊ-ㄚ-ㄊㄚㄎ | theme=health | stage=2
 2611 | surgery                        | 手術                             | 🩺        | chunks=['sur', 'ger', 'y'] | py=ㄙㄜ-ㄐㄜ-ㄌㄧ | theme=health | stage=2
 2612 | operation                      | 手術                             | 🩺        | chunks=['op', 'er', 'a', 'tion'] | py=ㄚ-ㄆㄜ-ㄝ-ㄒㄣ | theme=health | stage=2 base=operate
 2613 | anesthesia                     | 麻醉                             | 😴        | chunks=['an', 'es', 'the', 'sia'] | py=ㄚ-ㄋㄝㄙ-ㄒㄧ-ㄓㄚ | theme=health | stage=3
 2614 | recover                        | 復原                             | 💪        | chunks=['re', 'cov', 'er'] | py=ㄌㄧ-ㄎㄚ-ㄈㄜ | theme=health | stage=2
 2615 | recovery                       | 康復                             | 💪        | chunks=['re', 'cov', 'er', 'y'] | py=ㄌㄧ-ㄎㄚ-ㄈㄜ-ㄌㄧ | theme=health | stage=2 base=recover
 2616 | healing                        | 癒合                             | 🩹        | chunks=['heal', 'ing'] | py=ㄏㄧ-ㄌㄧㄥ | theme=health | stage=2 base=heal
 2617 | heal                           | 治癒                             | 🩹        | chunks=['h', 'eal'] | py=ㄏㄧㄦ | theme=health | stage=1 [有易混提示]
 2618 | injury                         | 傷害                             | 🩹        | chunks=['in', 'ju', 'ry'] | py=ㄧㄣ-ㄐㄜ-ㄌㄧ | theme=health | stage=2
 2619 | fracture                       | 骨折                             | 🦴        | chunks=['frac', 'ture'] | py=ㄈㄌㄚㄎ-ㄑㄜ | theme=health | stage=3
 2620 | sprain                         | 扭傷                             | 🦶        | chunks=['spr', 'ain'] | py=ㄙㄆㄌㄟㄣ | theme=health | stage=2
 2621 | burn                           | 燒傷                             | 🔥        | chunks=['b', 'urn'] | py=ㄅㄜㄣ | theme=health | stage=1
 2622 | nutrition                      | 營養                             | 🥗        | chunks=['nu', 'tri', 'tion'] | py=ㄋㄨ-ㄊㄌㄧ-ㄒㄣ | theme=health | stage=2
 2623 | calorie                        | 卡路里                            | 📊        | chunks=['cal', 'o', 'rie'] | py=ㄎㄚ-ㄌㄜ-ㄌㄧ | theme=health | stage=2
 2624 | protein                        | 蛋白質                            | 🥩        | chunks=['pro', 'tein'] | py=ㄆㄌㄛ-ㄊㄧㄣ | theme=health | stage=2
 2625 | carb                           | 碳水化合物                          | 🍞        | chunks=['c', 'arb'] | py=ㄎㄚㄦㄅ | theme=health | stage=2
 2626 | fiber                          | 纖維                             | 🌾        | chunks=['fi', 'ber'] | py=ㄈㄞ-ㄅㄜ | theme=health | stage=2
 2627 | stretch                        | 伸展                             | 🤸        | chunks=['str', 'etch'] | py=ㄙㄉㄌㄝㄑ | theme=health | stage=1
 2628 | fitness                        | 健身                             | 💪        | chunks=['fit', 'ness'] | py=ㄈㄧㄊ-ㄋㄝㄙ | theme=health | stage=1 base=fit
 2629 | wellness                       | 健康                             | 💚        | chunks=['well', 'ness'] | py=ㄨㄝㄦ-ㄋㄝㄙ | theme=health | stage=2 base=well
 2630 | last                           | 最後                             | 🔚        | chunks=['l', 'ast'] | py=ㄌㄚㄙㄊ | theme=sight-words | stage=0 [有易混提示]
 2631 | next                           | 下一個                            | ▶️       | chunks=['n', 'ext'] | py=ㄋㄝㄎㄙㄊ | theme=sight-words | stage=0
 2632 | latest                         | 最新                             | 🆕        | chunks=['la', 'test'] | py=ㄌㄟ-ㄊㄝㄙㄊ | theme=sight-words | stage=1 base=late
 2633 | previous                       | 先前                             | ◀️       | chunks=['pre', 'vi', 'ous'] | py=ㄆㄌㄧ-ㄈㄧ-ㄚㄙ | theme=sight-words | stage=2
 2634 | former                         | 前者、以前的                         | ◀️       | chunks=['for', 'mer'] | py=ㄈㄛㄦ-ㄇㄜ | theme=sight-words | stage=2 base=form
 2635 | current                        | 目前                             | ⏺️       | chunks=['cur', 'rent'] | py=ㄎㄜ-ㄌㄣㄊ | theme=sight-words | stage=1
 2636 | prior                          | 之前的                            | ◀️       | chunks=['pri', 'or'] | py=ㄆㄌㄞ-ㄜ | theme=sight-words | stage=2
 2637 | indeed                         | 確實                             | ✅        | chunks=['in', 'deed'] | py=ㄧㄣ-ㄉㄧㄉ | theme=sight-words | stage=2
 2638 | surely                         | 當然                             | ✅        | chunks=['sure', 'ly'] | py=ㄒㄨㄜ-ㄌㄧ | theme=sight-words | stage=1 base=sure
 2639 | truly                          | 真的                             | 💯        | chunks=['tru', 'ly'] | py=ㄊㄌㄨ-ㄌㄧ | theme=sight-words | stage=1 base=true
 2640 | frankly                        | 坦白地、坦白說                        | 💬        | chunks=['frank', 'ly'] | py=ㄈㄌㄚㄣㄎ-ㄌㄧ | theme=sight-words | stage=2 base=frank
 2641 | actually                       | 實際上                            | 💡        | chunks=['ac', 'tu', 'al', 'ly'] | py=ㄚㄎ-ㄑㄨ-ㄦ-ㄌㄧ | theme=sight-words | stage=1 base=actual
 2642 | basically                      | 基本上                            | 📋        | chunks=['ba', 'si', 'cal', 'ly'] | py=ㄅㄝ-ㄗㄜ-ㄎㄜ-ㄌㄧ | theme=sight-words | stage=1 base=basic
 2643 | generally                      | 一般而言                           | 📋        | chunks=['gen', 'er', 'al', 'ly'] | py=ㄐㄣ-ㄋㄜ-ㄦ-ㄌㄧ | theme=sight-words | stage=2 base=general
 2644 | particularly                   | 特別                             | ⭐        | chunks=['par', 'tic', 'u', 'lar', 'ly'] | py=ㄆㄜ-ㄊㄧㄎ-ㄐㄜ-ㄌㄜ-ㄌㄧ | theme=sight-words | stage=2 base=particular
 2645 | especially                     | 特別                             | ⭐        | chunks=['es', 'pe', 'cial', 'ly'] | py=ㄧ-ㄙㄆㄝ-ㄒㄦ-ㄌㄧ | theme=sight-words | stage=1 base=especial
 2646 | mainly                         | 主要地                            | 📊        | chunks=['main', 'ly'] | py=ㄇㄟㄣ-ㄌㄧ | theme=sight-words | stage=1 base=main
 2647 | mostly                         | 大多                             | 📊        | chunks=['most', 'ly'] | py=ㄇㄛㄙㄊ-ㄌㄧ | theme=sight-words | stage=1 base=most
 2648 | partly                         | 部分                             | 🥧        | chunks=['part', 'ly'] | py=ㄆㄚㄦㄊ-ㄌㄧ | theme=sight-words | stage=2 base=part
 2649 | completely                     | 完全                             | 💯        | chunks=['com', 'plete', 'ly'] | py=ㄎㄚㄇ-ㄆㄌㄧㄊ-ㄌㄧ | theme=sight-words | stage=1 base=complete
 2650 | entirely                       | 完全                             | 💯        | chunks=['en', 'tire', 'ly'] | py=ㄧㄣ-ㄊㄞㄜ-ㄌㄧ | theme=sight-words | stage=2 base=entire
 2651 | totally                        | 完全                             | 💯        | chunks=['to', 'tal', 'ly'] | py=ㄊㄛ-ㄉㄜ-ㄌㄧ | theme=sight-words | stage=1 base=total
 2652 | fully                          | 完全                             | 💯        | chunks=['ful', 'ly'] | py=ㄈㄨ-ㄌㄧ | theme=sight-words | stage=1 base=full
 2653 | fairly                         | 相當                             | 👌        | chunks=['fair', 'ly'] | py=ㄈㄝㄜ-ㄌㄧ | theme=sight-words | stage=2 base=fair
 2654 | somewhat                       | 有點                             | 🤔        | chunks=['some', 'what'] | py=ㄙㄚㄇ-ㄨㄚㄊ | theme=sight-words | stage=2
 2655 | slightly                       | 稍微                             | 🤏        | chunks=['slight', 'ly'] | py=ㄙㄌㄞㄊ-ㄌㄧ | theme=sight-words | stage=2 base=slight
 2656 | barely                         | 勉強                             | 😅        | chunks=['bare', 'ly'] | py=ㄅㄝㄜ-ㄌㄧ | theme=sight-words | stage=2 base=bare
 2657 | hardly                         | 幾乎不                            | 🚫        | chunks=['hard', 'ly'] | py=ㄏㄚㄦㄉ-ㄌㄧ | theme=sight-words | stage=2 base=hard
 2658 | nearly                         | 幾乎                             | 🎯        | chunks=['near', 'ly'] | py=ㄋㄧㄦ-ㄌㄧ | theme=sight-words | stage=1 base=near [有易混提示]
 2659 | exactly                        | 正好                             | 🎯        | chunks=['ex', 'act', 'ly'] | py=ㄧㄍ-ㄗㄚㄎㄊ-ㄌㄧ | theme=sight-words | stage=1 base=exact
 2660 | precisely                      | 精確                             | 🎯        | chunks=['pre', 'cise', 'ly'] | py=ㄆㄌㄧ-ㄙㄞㄙ-ㄌㄧ | theme=sight-words | stage=3 base=precise
 2661 | approximately                  | 大約                             | ~        | chunks=['ap', 'prox', 'i', 'mate', 'ly'] | py=ㄚ-ㄆㄌㄚㄎㄙ-ㄜ-ㄇㄝㄊ-ㄌㄧ | theme=sight-words | stage=3 base=approximate
 2662 | roughly                        | 大致                             | ~        | chunks=['rough', 'ly'] | py=ㄌㄚㄈ-ㄌㄧ | theme=sight-words | stage=2 base=rough
 2663 | possibly                       | 可能                             | 🤔        | chunks=['pos', 'si', 'bly'] | py=ㄆㄚ-ㄙㄜ-ㄅㄌㄧ | theme=sight-words | stage=1 base=possible
 2664 | hopefully                      | 希望                             | 🤞        | chunks=['hope', 'ful', 'ly'] | py=ㄏㄛㄆ-ㄈㄜ-ㄌㄧ | theme=sight-words | stage=2 base=hopeful
 2665 | eventually                     | 最終                             | ⏳        | chunks=['e', 'ven', 'tu', 'al', 'ly'] | py=ㄧ-ㄈㄣ-ㄑㄨ-ㄦ-ㄌㄧ | theme=sight-words | stage=2 base=eventual
 2666 | finally                        | 終於                             | 🏁        | chunks=['fi', 'nal', 'ly'] | py=ㄈㄞ-ㄋㄜ-ㄌㄧ | theme=sight-words | stage=1 base=final
 2667 | ultimately                     | 最終地、最後                         | 🏁        | chunks=['ul', 'ti', 'mate', 'ly'] | py=ㄚㄦ-ㄊㄜ-ㄇㄝㄊ-ㄌㄧ | theme=sight-words | stage=3 base=ultimate
 2668 | whenever                       | 無論何時                           | ⏰        | chunks=['when', 'ev', 'er'] | py=ㄨㄝㄣ-ㄝ-ㄈㄜ | theme=sight-words | stage=2
 2669 | wherever                       | 無論何處                           | 📍        | chunks=['where', 'ev', 'er'] | py=ㄨㄝㄜ-ㄝ-ㄈㄜ | theme=sight-words | stage=2
 2670 | whoever                        | 無論誰                            | 👤        | chunks=['who', 'ev', 'er'] | py=ㄏㄨ-ㄝ-ㄈㄜ | theme=sight-words | stage=2
 2671 | whatever                       | 無論什麼                           | ❓        | chunks=['what', 'ev', 'er'] | py=ㄨㄚㄊ-ㄝ-ㄈㄜ | theme=sight-words | stage=1
 2672 | whichever                      | 無論哪個                           | ❓        | chunks=['which', 'ev', 'er'] | py=ㄨㄧㄑ-ㄝ-ㄈㄜ | theme=sight-words | stage=3
 2673 | whether                        | 是否                             | ❓        | chunks=['whe', 'ther'] | py=ㄨㄝ-ㄉㄜ | theme=sight-words | stage=1 [有易混提示]
