# 字 7500-8999
 7500 | overtake                       | 追上                             | 🏃        | chunks=['o', 'ver', 'ta', 'ke'] | py=ㄛ-ㄈㄜ-ㄊㄝ-ㄎㄟ | theme=directions | stage=3
 7526 | pregnant                       | 懷孕的，懷胎的                        | 🎨        | chunks=['preg', 'nant'] | py=ㄆㄖㄝㄍ-ㄋㄣㄊ | theme=adjectives | stage=3
 7527 | preposition                    | 介系詞，前置詞                        | 🧭        | chunks=['pre', 'po', 'si', 'tion'] | py=ㄆㄌㄧ-ㄆㄛ-ㄗㄜ-ㄒㄣ | theme=directions | stage=3
 7528 | preservation                   | 保護                             | 🎓        | chunks=['pre', 'ser', 'va', 'tion'] | py=ㄆㄌㄧ-ㄗㄜ-ㄈㄚ-ㄒㄣ | theme=academic-words | stage=3 base=preserve
 7529 | prevention                     | 預防，防止                          | 🎓        | chunks=['pre', 'ven', 'tion'] | py=ㄆㄌㄧ-ㄈㄣ-ㄒㄣ | theme=academic-words | stage=3
 7530 | primitive                      | 原始的                            | 🎨        | chunks=['pri', 'mi', 'ti', 've'] | py=ㄆㄌㄞ-ㄇㄞ-ㄊㄜ-ㄈㄜ | theme=adjectives | stage=3
 7531 | privacy                        | 隱私                             | 🏃        | chunks=['pri', 'va', 'cy'] | py=ㄆㄌㄞ-ㄈㄚ-ㄒㄧ | theme=directions | stage=3
 7532 | privilege                      | 特權                             | 🏃        | chunks=['pri', 'vi', 'le', 'ge'] | py=ㄆㄌㄞ-ㄈㄞ-ㄌㄧ-ㄐㄧ | theme=actions | stage=3
 7533 | procedure                      | 程序                             | 🎓        | chunks=['pro', 'ce', 'du', 're'] | py=ㄆㄜ-ㄙㄜ-ㄉㄨ-ㄌㄧ | theme=academic-words | stage=3
 7534 | production                     | 生產                             | 🎓        | chunks=['pro', 'duc', 'tion'] | py=ㄆㄜ-ㄉㄚㄎ-ㄒㄣ | theme=academic-words | stage=3 base=produce
 7535 | productive                     | 生產的                            | 🎨        | chunks=['pro', 'duc', 'ti', 've'] | py=ㄆㄜ-ㄉㄚㄎ-ㄊㄜ-ㄈㄜ | theme=adjectives | stage=3 base=product
 7536 | profession                     | 職業                             | 🎓        | chunks=['pro', 'fes', 'sion'] | py=ㄆㄜ-ㄈㄝ-ㄒㄣ | theme=academic-words | stage=3
 7537 | profitable                     | 有利的，贏利的                        | 🎨        | chunks=['pro', 'fi', 'tab', 'le'] | py=ㄆㄜ-ㄈㄜ-ㄊㄚ-ㄌㄧ | theme=adjectives | stage=3 base=profit
 7538 | prominent                      | 突出的                            | 🎨        | chunks=['pro', 'mi', 'nent'] | py=ㄆㄜ-ㄇㄞ-ㄋㄣㄊ | theme=adjectives | stage=3
 7539 | promising                      | 有希望的，有前途的                      | 🧭        | chunks=['pro', 'mi', 'sing'] | py=ㄆㄜ-ㄇㄞ-ㄒㄧㄥ | theme=directions | stage=3 base=promise
 7540 | pronoun                        | 代名詞                            | 🏃        | chunks=['pro', 'noun'] | py=ㄆㄜ-ㄋㄠㄋ | theme=actions | stage=3
 7541 | pronunciation                  | 發音                             | 🎓        | chunks=['pro', 'nun', 'cia', 'tion'] | py=ㄆㄜ-ㄋㄚㄋ-ㄎㄧㄚ-ㄒㄣ | theme=academic-words | stage=3
 7542 | prosper                        | 繁榮，昌盛                          | 🏃        | chunks=['pros', 'per'] | py=ㄆㄌㄚ-ㄆㄜ | theme=actions | stage=3
 7543 | prosperous                     | 興旺的，繁榮的，昌盛                     | 🎨        | chunks=['pros', 'pe', 'rous'] | py=ㄆㄌㄚ-ㄆㄜ-ㄌㄨ | theme=adjectives | stage=3 base=prosper
 7544 | proverb                        | 諺語，俗語                          | 🏃        | chunks=['pro', 'verb'] | py=ㄆㄜ-ㄨㄜㄅ | theme=actions | stage=3
 7545 | psychological                  | 心理學的                           | 🎨        | chunks=['psyc', 'ho', 'lo', 'gi', 'cal'] | py=ㄆㄙㄧㄎ-ㄏㄚ-ㄌㄛ-ㄐㄜ-ㄎㄜ | theme=adjectives | stage=3
 7546 | pursuit                        | 追求、追逐                          | 🏃        | chunks=['pur', 'suit'] | py=ㄆㄜ-ㄙㄨㄊ | theme=internet | stage=3
 7547 | quake                          | 顫抖，哆嗦                          | 🏃        | chunks=['qua', 'ke'] | py=ㄎㄨㄝ-ㄎㄟ | theme=actions | stage=3
 7548 | quilt                          | 棉被、被子                          | 🏃        | chunks=['q', 'uilt'] | py=ㄎㄧㄨ-ㄨㄌㄊ | theme=actions | stage=3
 7549 | rebel                          | 造反                             | 🏃        | chunks=['re', 'bel'] | py=ㄌㄧ-ㄅㄝ | theme=actions | stage=3
 7550 | recite                         | 背誦                             | 📖        | chunks=['re', 'ci', 'te'] | py=ㄌㄧ-ㄙㄜ-ㄊㄧ | theme=body | stage=3
 7551 | recognition                    | 認出，識別                          | 🎓        | chunks=['re', 'cog', 'ni', 'tion'] | py=ㄌㄧ-ㄎㄛㄍ-ㄋㄜ-ㄒㄣ | theme=academic-words | stage=3
 7552 | refer                          | 提到、查閱、歸因於                      | 🏃        | chunks=['re', 'fer'] | py=ㄌㄧ-ㄈㄜ | theme=actions | stage=3
 7553 | reference                      | 參考、提及                          | 🎓        | chunks=['re', 'fe', 'ren', 'ce'] | py=ㄌㄧ-ㄈㄧ-ㄌㄣ-ㄙㄜ | theme=academic-words | stage=3
 7554 | reflect                        | 反射                             | 🏃        | chunks=['ref', 'lect'] | py=ㄌㄝ-ㄌㄝㄎㄊ | theme=actions | stage=3
 7555 | reflection                     | 反射                             | 🎓        | chunks=['ref', 'lec', 'tion'] | py=ㄌㄝ-ㄌㄝㄎ-ㄒㄣ | theme=academic-words | stage=3
 7556 | refresh                        | 使恢復精神、刷新                       | 🏃        | chunks=['ref', 'resh'] | py=ㄌㄝ-ㄖㄝㄒ | theme=actions | stage=3
 7557 | refusal                        | 拒絕                             | 🏃        | chunks=['re', 'fu', 'sal'] | py=ㄌㄧ-ㄈㄧㄨ-ㄙㄚㄦ | theme=actions | stage=3 base=refuse
 7558 | registration                   | 登記、註冊                          | 🎓        | chunks=['re', 'gis', 'tra', 'tion'] | py=ㄌㄧ-ㄐㄧㄙ-ㄊㄌㄚ-ㄒㄣ | theme=academic-words | stage=3
 7559 | rejection                      | 拒絕                             | 🎓        | chunks=['re', 'jec', 'tion'] | py=ㄌㄧ-ㄐㄝㄎ-ㄒㄣ | theme=academic-words | stage=3
 7560 | relaxation                     | 鬆弛，放鬆                          | 🎓        | chunks=['re', 'la', 'xa', 'tion'] | py=ㄌㄧ-ㄌㄚ-ㄎㄙㄚ-ㄒㄣ | theme=academic-words | stage=3 base=relax
 7561 | relieve                        | 緩和，減輕                          | 🏃        | chunks=['re', 'lie', 've'] | py=ㄌㄧ-ㄌㄞ-ㄈㄜ | theme=actions | stage=3
 7562 | reluctant                      | 不情願的                           | 🎨        | chunks=['re', 'luc', 'tant'] | py=ㄌㄧ-ㄌㄚㄎ-ㄊㄣㄊ | theme=adjectives | stage=3
 7563 | remark                         | 評論、談到                          | 🏃        | chunks=['re', 'mark'] | py=ㄌㄧ-ㄇㄚㄦㄎ | theme=actions | stage=3
 7564 | remarkable                     | 值得注意的                          | 🎨        | chunks=['re', 'mar', 'kab', 'le'] | py=ㄌㄧ-ㄇㄚㄦ-ㄎㄚㄅ-ㄌㄧ | theme=adjectives | stage=3 base=remark
 7565 | remedy                         | 治療                             | 🏃        | chunks=['re', 'me', 'dy'] | py=ㄌㄧ-ㄇㄝ-ㄉㄧ | theme=actions | stage=3
 7566 | representation                 | 代表                             | 🎓        | chunks=['rep', 're', 'sen', 'ta', 'tion'] | py=ㄌㄝ-ㄌㄧ-ㄙㄝㄣ-ㄊㄝ-ㄒㄣ | theme=academic-words | stage=3 base=represent
 7567 | reputation                     | 名譽，名聲                          | 🎓        | chunks=['re', 'pu', 'ta', 'tion'] | py=ㄌㄧ-ㄆㄧㄨ-ㄊㄝ-ㄒㄣ | theme=academic-words | stage=3
 7568 | researcher                     | 研究員                            | 🔬        | chunks=['re', 'sear', 'cher'] | py=ㄌㄧ-ㄙㄧㄜ-ㄑㄜ | theme=science | stage=3 base=research
 7569 | resemble                       | 像，類似                           | 🏃        | chunks=['re', 'sem', 'ble'] | py=ㄌㄧ-ㄙㄝ-ㄅㄜ | theme=actions | stage=3
 7570 | resignation                    | 辭職                             | 🎓        | chunks=['re', 'sig', 'na', 'tion'] | py=ㄌㄧ-ㄒㄧㄍ-ㄋㄚ-ㄒㄣ | theme=academic-words | stage=3 base=resign
 7571 | resistance                     | 抵抗，反抗，抵抗力                      | 🎓        | chunks=['re', 'sis', 'tan', 'ce'] | py=ㄌㄧ-ㄒㄜㄙ-ㄊㄢ-ㄙㄜ | theme=academic-words | stage=3
 7572 | respectable                    | 值得尊敬的                          | 🎨        | chunks=['res', 'pec', 'tab', 'le'] | py=ㄌㄝㄙ-ㄆㄝㄎ-ㄊㄚ-ㄌㄧ | theme=adjectives | stage=3 base=respect
 7573 | respectful                     | 恭敬的                            | 🎨        | chunks=['res', 'pec', 'tful'] | py=ㄌㄝㄙ-ㄆㄝㄎ-ㄊㄈㄚㄛ | theme=adjectives | stage=3 base=respect
 7574 | restriction                    | 限制                             | 🎓        | chunks=['res', 'tric', 'tion'] | py=ㄌㄝㄙ-ㄊㄖㄧㄎ-ㄒㄣ | theme=academic-words | stage=3
 7575 | retreat                        | 撤退                             | 🏃        | chunks=['ret', 'reat'] | py=ㄌㄝㄊ-ㄖㄧㄊ | theme=actions | stage=3
 7576 | revenge                        | 報仇、復仇                          | 🏃        | chunks=['re', 'ven', 'ge'] | py=ㄌㄧ-ㄈㄣ-ㄐㄧ | theme=actions | stage=3
 7577 | revision                       | 修訂                             | 🎓        | chunks=['re', 'vi', 'sion'] | py=ㄌㄧ-ㄈㄞ-ㄒㄣ | theme=academic-words | stage=3
 7578 | revolutionary                  | 革命的                            | 📜        | chunks=['re', 'vo', 'lu', 'tio', 'na', 'ry'] | py=ㄌㄧ-ㄈㄛ-ㄌㄨ-ㄒㄛ-ㄋㄚ-ㄌㄧ | theme=history | stage=3
 7579 | reward                         | 報答                             | 🏃        | chunks=['re', 'ward'] | py=ㄌㄧ-ㄨㄜㄉ | theme=actions | stage=3
 7580 | sacrifice                      | 犧牲、祭品                          | 🏃        | chunks=['sac', 'ri', 'fi', 'ce'] | py=ㄙㄚ-ㄌㄧ-ㄈㄜ-ㄙㄜ | theme=actions | stage=3
 7581 | salesperson                    | 店員，售貨員                         | 👨‍⚕️     | chunks=['sa', 'les', 'per', 'son'] | py=ㄙㄚ-ㄌㄝ-ㄆㄜ-ㄗㄣ | theme=jobs | stage=3
 7582 | saleswoman                     | 女店員                            | 👨‍⚕️     | chunks=['sa', 'les', 'wo', 'man'] | py=ㄙㄚ-ㄌㄝ-ㄨㄨ-ㄇㄢ | theme=jobs | stage=3
 7583 | satellite                      | 衛星                             | 🏃        | chunks=['sa', 'tel', 'li', 'te'] | py=ㄙㄚ-ㄊㄝㄦ-ㄌㄧ-ㄊㄧ | theme=actions | stage=3
 7584 | satisfaction                   | 滿意，滿足                          | 😊        | chunks=['sa', 'tis', 'fac', 'tion'] | py=ㄙㄚ-ㄊㄜㄙ-ㄈㄚㄎ-ㄒㄣ | theme=emotions | stage=3
 7585 | scenery                        | 風景，景色                          | 🏞️       | chunks=['sce', 'ne', 'ry'] | py=ㄙㄜ-ㄋㄧ-ㄌㄧ | theme=weather | stage=3
 7586 | scold                          | 罵，責罵                           | 🏃        | chunks=['sc', 'old'] | py=ㄙㄎ-ㄛㄌㄉ | theme=actions | stage=3
 7587 | scratch                        | 抓                              | 🏃        | chunks=['scr', 'atch'] | py=ㄙㄎㄖ-ㄚㄊㄔ | theme=actions | stage=3
 7588 | seagull                        | 海鷗                             | 🕊️       | chunks=['sea', 'gull'] | py=ㄒㄧ-ㄍㄚㄌㄌ | theme=nature | stage=3
 7589 | severe                         | 嚴重的                            | 🎨        | chunks=['se', 've', 're'] | py=ㄙㄜ-ㄈㄜ-ㄌㄧ | theme=adjectives | stage=3
 7590 | shameful                       | 可恥的，丟臉的                        | 😳        | chunks=['sha', 'me', 'ful'] | py=ㄒㄚ-ㄇㄝ-ㄈㄜ | theme=body | stage=3 base=shame
 7591 | shaver                         | 理髮師                            | 👨‍⚕️     | chunks=['sha', 'ver'] | py=ㄒㄚ-ㄈㄜ | theme=jobs | stage=3 base=shave
 7592 | shortsighted                   | 近視的                            | 🎨        | chunks=['shor', 'tsig', 'hted'] | py=ㄒㄛㄜ-ㄊㄙㄧㄍ-ㄏㄊㄝㄉ | theme=adjectives | stage=3
 7593 | shrug                          | 聳肩                             | 🏃        | chunks=['shr', 'ug'] | py=ㄒㄖ-ㄚㄍ | theme=actions | stage=3
 7594 | significance                   | 重要性，重要                         | 🎓        | chunks=['sig', 'ni', 'fi', 'can', 'ce'] | py=ㄒㄧㄍ-ㄋㄜ-ㄈㄜ-ㄎㄢ-ㄙㄜ | theme=academic-words | stage=3
 7595 | sincerity                      | 真誠、誠意                          | 🎓        | chunks=['sin', 'ce', 'ri', 'ty'] | py=ㄗㄣ-ㄙㄜ-ㄌㄧ-ㄊㄧ | theme=academic-words | stage=3
 7596 | singular                       | 單數的、單數                         | 🔢        | chunks=['sin', 'gu', 'lar'] | py=ㄗㄣ-ㄍㄧㄨ-ㄌㄜ | theme=numbers | stage=3
 7597 | sledge                         | 雪橇、乘雪橇                         | 🏃        | chunks=['sled', 'ge'] | py=ㄙㄌㄝㄉ-ㄐㄧ | theme=weather | stage=3
 7598 | sleigh                         | 雪橇、乘雪橇                         | 🏃        | chunks=['sl', 'eigh'] | py=ㄙㄌ-ㄟ | theme=weather | stage=3
 7599 | slight                         | 輕微的                            | 🎨        | chunks=['sl', 'ight'] | py=ㄙㄌ-ㄧㄊ | theme=adjectives | stage=3
 7600 | slogan                         | 口號，標語                          | 🏃        | chunks=['slo', 'gan'] | py=ㄙㄌㄛ-ㄍㄢ | theme=actions | stage=3
 7601 | sneeze                         | 打噴嚏、噴嚏                         | 🏃        | chunks=['snee', 'ze'] | py=ㄙㄋㄧ-ㄗㄧ | theme=actions | stage=3
 7602 | sob                            | 嗚咽                             | 🏃        | chunks=['s', 'ob'] | py=ㄝㄙ-ㄚㄅ | theme=actions | stage=3
 7603 | sophomore                      | 二年級學生                          | 🎓        | chunks=['sop', 'ho', 'mo', 're'] | py=ㄙㄚㄆ-ㄏㄚ-ㄇㄛ-ㄌㄧ | theme=numbers | stage=3
 7604 | sorrowful                      | 悲傷的，傷心的                        | 😊        | chunks=['sor', 'row', 'ful'] | py=ㄗㄜ-ㄌㄛ-ㄈㄜ | theme=emotions | stage=3 base=sorrow
 7605 | spare                          | 分出，騰出                          | 🏃        | chunks=['spa', 're'] | py=ㄙㄆㄚ-ㄌㄧ | theme=actions | stage=3
 7606 | sparkle                        | 閃耀、火花                          | ✨        | chunks=['spar', 'kle'] | py=ㄙㄆㄚ-ㄎㄜ | theme=nature | stage=3
 7607 | spear                          | 矛                              | 🏃        | chunks=['sp', 'ear'] | py=ㄙㄆ-ㄦ | theme=actions | stage=3
 7608 | split                          | 劈開                             | 🏃        | chunks=['spl', 'it'] | py=ㄙㄆㄌ-ㄧㄊ | theme=actions | stage=3 base=split
 7609 | sportsman                      | 喜好運動的人                         | ⚽        | chunks=['sport', 'sman'] | py=ㄙㄆㄛㄜㄊ-ㄙㄇㄚㄋ | theme=sports | stage=3
 7610 | sportsmanship                  | 運動員精神                          | ⚽        | chunks=['sport', 'sman', 'ship'] | py=ㄙㄆㄛㄜㄊ-ㄙㄇㄚㄋ-ㄒㄧㄆ | theme=sports | stage=3
 7611 | strengthen                     | 加強                             | 🏃        | chunks=['streng', 'then'] | py=ㄙㄊㄖㄝㄥ-ㄒㄝ | theme=numbers | stage=3
 7612 | strive                         | 努力，苦幹，奮鬥                       | 🎨        | chunks=['stri', 've'] | py=ㄙㄊㄖㄧ-ㄈㄜ | theme=adjectives | stage=3
 7613 | suggestion                     | 建議，提議                          | 🎓        | chunks=['sug', 'ges', 'tion'] | py=ㄙㄚㄐ-ㄐㄝㄙ-ㄒㄣ | theme=academic-words | stage=3
 7614 | summarize                      | 總結，概述                          | 🏃        | chunks=['sum', 'ma', 'ri', 'ze'] | py=ㄙㄚ-ㄇㄚ-ㄌㄧ-ㄗㄧ | theme=numbers | stage=3
 7615 | surf                           | 衝浪                             | 🏄        | chunks=['s', 'urf'] | py=ㄝㄙ-ㄜㄈ | theme=sports | stage=3
 7616 | surroundings                   | 環境                             | 🌍        | chunks=['sur', 'roun', 'dings'] | py=ㄙㄜ-ㄖㄠㄋ-ㄉㄧㄥㄙ | theme=environment | stage=3
 7617 | suspicious                     | 猜疑的，可疑的                        | 🎨        | chunks=['sus', 'pi', 'cious'] | py=ㄙㄜ-ㄆㄧ-ㄒㄜㄙ | theme=adjectives | stage=3
 7618 | sway                           | 搖動，搖擺                          | 🏃        | chunks=['sw', 'ay'] | py=ㄙㄨ-ㄟ | theme=actions | stage=3
 7619 | syllable                       | 音節                             | 🎨        | chunks=['syl', 'lab', 'le'] | py=ㄒㄜ-ㄌㄚ-ㄌㄧ | theme=adjectives | stage=3
 7620 | sympathetic                    | 同情的                            | 🎨        | chunks=['sym', 'pat', 'he', 'tic'] | py=ㄒㄧㄇ-ㄆㄚ-ㄏㄝ-ㄊㄧㄎ | theme=adjectives | stage=3
 7621 | symphony                       | 交響樂，交響曲                        | 🏃        | chunks=['sym', 'pho', 'ny'] | py=ㄒㄧㄇ-ㄈㄛ-ㄋㄧ | theme=music | stage=3
 7622 | systematic                     | 有系統的                           | 🎨        | chunks=['sys', 'te', 'ma', 'tic'] | py=ㄒㄧㄙ-ㄊㄧ-ㄇㄚ-ㄊㄧㄎ | theme=adjectives | stage=3
 7623 | technological                  | 技術的，工藝的                        | 💻        | chunks=['tec', 'hno', 'lo', 'gi', 'cal'] | py=ㄊㄝㄎ-ㄏㄋㄛ-ㄌㄛ-ㄐㄜ-ㄎㄜ | theme=technology | stage=3
 7624 | telegram                       | 電報                             | 🏃        | chunks=['te', 'leg', 'ram'] | py=ㄊㄧ-ㄌㄝ-ㄌㄚ | theme=actions | stage=3
 7625 | telegraph                      | 電報                             | 🏃        | chunks=['te', 'leg', 'raph'] | py=ㄊㄧ-ㄌㄝ-ㄖㄚㄈ | theme=actions | stage=3
 7626 | tendency                       | 傾向                             | 🏃        | chunks=['ten', 'den', 'cy'] | py=ㄊㄣ-ㄉㄣ-ㄒㄧ | theme=actions | stage=3
 7627 | tension                        | 拉緊，繃緊                          | 🎓        | chunks=['ten', 'sion'] | py=ㄊㄣ-ㄒㄣ | theme=academic-words | stage=3 base=ten
 7628 | terrify                        | 使害怕，使恐怖                        | 😱        | chunks=['ter', 'ri', 'fy'] | py=ㄊㄜ-ㄌㄧ-ㄈㄞ | theme=emotions | stage=3
 7629 | terror                         | 恐怖，驚駭                          | 🏃        | chunks=['ter', 'ror'] | py=ㄊㄜ-ㄖㄜ | theme=actions | stage=3
 7630 | theme                          | 論題，話題                          | 🏃        | chunks=['the', 'me'] | py=ㄉㄚ-ㄇㄝ | theme=actions | stage=3
 7631 | thorough                       | 徹底的                            | 🎨        | chunks=['tho', 'rough'] | py=ㄙㄜ-ㄌㄚㄈ | theme=adjectives | stage=3
 7632 | thoughtful                     | 深思的                            | 🎨        | chunks=['though', 'tful'] | py=ㄉㄛ-ㄊㄈㄚㄛ | theme=adjectives | stage=3 base=thought
 7633 | tiresome                       | 使人疲勞的                          | 🎨        | chunks=['ti', 're', 'so', 'me'] | py=ㄊㄜ-ㄌㄧ-ㄙㄛ-ㄇㄝ | theme=adjectives | stage=3
 7634 | tolerable                      | 可忍受的                           | 🎨        | chunks=['to', 'le', 'rab', 'le'] | py=ㄊㄛ-ㄌㄧ-ㄖㄝ-ㄌㄧ | theme=adjectives | stage=3
 7635 | tolerance                      | 寬容，寬大                          | 🎓        | chunks=['to', 'le', 'ran', 'ce'] | py=ㄊㄛ-ㄌㄧ-ㄌㄚㄣ-ㄙㄜ | theme=academic-words | stage=3
 7636 | tolerate                       | 忍受                             | 🏃        | chunks=['to', 'le', 'ra', 'te'] | py=ㄊㄛ-ㄌㄧ-ㄌㄚ-ㄊㄧ | theme=actions | stage=3
 7637 | tolerant                       | 忍受的，容忍的                        | 🎨        | chunks=['to', 'le', 'rant'] | py=ㄊㄛ-ㄌㄧ-ㄌㄣㄊ | theme=adjectives | stage=3
 7638 | tomb                           | 墓                              | 🏃        | chunks=['t', 'omb'] | py=ㄊㄧ-ㄛㄇㄅ | theme=actions | stage=3
 7639 | tragic                         | 悲劇的                            | 🎨        | chunks=['tra', 'gic'] | py=ㄊㄌㄚ-ㄐㄧㄎ | theme=adjectives | stage=3
 7640 | translate                      | 翻譯，轉譯                          | 🏃        | chunks=['tran', 'sla', 'te'] | py=ㄊㄌㄚㄣ-ㄙㄌㄚ-ㄊㄧ | theme=actions | stage=3
 7641 | translation                    | 翻譯                             | 🎓        | chunks=['tran', 'sla', 'tion'] | py=ㄊㄌㄚㄣ-ㄙㄌㄚ-ㄒㄣ | theme=academic-words | stage=3 base=translate
 7642 | transportation                 | 運輸                             | 🎓        | chunks=['tran', 'spor', 'ta', 'tion'] | py=ㄊㄌㄚㄣ-ㄙㄆㄛㄜ-ㄊㄝ-ㄒㄣ | theme=academic-words | stage=3 base=transport
 7643 | tremendous                     | 巨大的，極大的                        | 🎨        | chunks=['tre', 'men', 'dous'] | py=ㄊㄌㄜ-ㄇㄣ-ㄉㄜㄙ | theme=adjectives | stage=3
 7644 | tribal                         | 部落的，種族的                        | 🎨        | chunks=['tri', 'bal'] | py=ㄊㄌㄧ-ㄅㄚ | theme=adjectives | stage=3
 7645 | triumph                        | 勝利                             | 🏃        | chunks=['tr', 'iumph'] | py=ㄊㄖ-ㄧㄚㄇㄈ | theme=actions | stage=3
 7646 | troublesome                    | 麻煩的，棘手的                        | 😣        | chunks=['troub', 'le', 'so', 'me'] | py=ㄊㄖㄠㄅ-ㄌㄧ-ㄙㄛ-ㄇㄝ | theme=materials | stage=3
 7647 | tug-of-war                     | 拔河                             | 🪢        | chunks=['tug', 'of', 'war'] | py=ㄊㄚㄍ-ㄚㄈ-ㄨㄛ | theme=nature | stage=3
 7648 | twinkle                        | 閃爍                             | 🏃        | chunks=['twin', 'kle'] | py=ㄊㄨㄧㄋ-ㄎㄜ | theme=actions | stage=3
 7649 | typist                         | 打字員                            | 👨‍⚕️     | chunks=['ty', 'pist'] | py=ㄊㄧ-ㄆㄧㄙㄊ | theme=jobs | stage=3
 7650 | underpass                      | 地下道                            | 🏃        | chunks=['un', 'der', 'pass'] | py=ㄚㄣ-ㄉㄜ-ㄆㄚㄙ | theme=directions | stage=3
 7651 | universal                      | 全體的                            | 🎨        | chunks=['u', 'ni', 'ver', 'sal'] | py=ㄧㄨ-ㄋㄜ-ㄈㄜ-ㄙㄚㄦ | theme=adjectives | stage=3
 7652 | urge                           | 催促                             | 🏃        | chunks=['ur', 'ge'] | py=ㄜ-ㄐㄧ | theme=actions | stage=3
