# 字 9000-10100
 9000 | vaccine                        | 疫苗                             | 🎨        | chunks=['vac', 'ci', 'ne'] | py=ㄈㄚ-ㄙㄜ-ㄋㄧ | theme=adjectives | stage=4
 9012 | victor                         | 勝利者                            | 🏆        | chunks=['vic', 'tor'] | py=ㄈㄧㄎ-ㄊㄜ | theme=jobs | stage=4
 9013 | victorious                     | 勝利的                            | 🎨        | chunks=['vic', 'to', 'rious'] | py=ㄈㄧㄎ-ㄊㄛ-ㄖㄧㄜㄙ | theme=adjectives | stage=4
 9014 | villa                          | 別墅                             | 🏃        | chunks=['vil', 'la'] | py=ㄈㄧ-ㄌㄚ | theme=actions | stage=4
 9015 | vineyard                       | 葡萄園                            | 🍇        | chunks=['vi', 'neyard'] | py=ㄈㄞ-ㄋㄧㄚㄜㄉ | theme=fruits | stage=4
 9016 | visualize                      | 使視覺化                           | 🏃        | chunks=['vi', 'sua', 'li', 'ze'] | py=ㄈㄞ-ㄙㄨㄟ-ㄌㄧ-ㄗㄧ | theme=actions | stage=4 base=visual
 9017 | vitality                       | 活力                             | 🎓        | chunks=['vi', 'ta', 'li', 'ty'] | py=ㄈㄞ-ㄊㄝ-ㄌㄧ-ㄊㄧ | theme=academic-words | stage=4
 9018 | vocal                          | 聲音的                            | 🎨        | chunks=['vo', 'cal'] | py=ㄈㄛ-ㄎㄜ | theme=adjectives | stage=4
 9019 | vocation                       | 行業                             | 🎓        | chunks=['vo', 'ca', 'tion'] | py=ㄈㄛ-ㄎㄚ-ㄒㄣ | theme=academic-words | stage=4
 9020 | vocational                     | 職業的                            | 🎨        | chunks=['vo', 'ca', 'tio', 'nal'] | py=ㄈㄛ-ㄎㄚ-ㄒㄛ-ㄋㄦ | theme=adjectives | stage=4
 9021 | vogue                          | 流行                             | 🎵        | chunks=['vo', 'gue'] | py=ㄈㄛ-ㄍㄝ | theme=music | stage=4
 9022 | vulgar                         | 粗俗的                            | 🎨        | chunks=['vul', 'gar'] | py=ㄈㄚㄦ-ㄍㄚㄦ | theme=adjectives | stage=4
 9023 | vulnerable                     | 易受傷的                           | 💊        | chunks=['vul', 'ne', 'rab', 'le'] | py=ㄈㄚㄦ-ㄋㄧ-ㄖㄝ-ㄌㄧ | theme=health | stage=4
 9024 | warfare                        | 戰爭                             | 📜        | chunks=['war', 'fa', 're'] | py=ㄨㄛ-ㄈㄚ-ㄌㄧ | theme=history | stage=4
 9025 | warranty                       | 保證書                            | 🏃        | chunks=['war', 'ran', 'ty'] | py=ㄨㄛ-ㄌㄚㄣ-ㄊㄧ | theme=actions | stage=4
 9026 | watertight                     | 防水的                            | 💧        | chunks=['wa', 'ter', 'tight'] | py=ㄨㄛ-ㄊㄜ-ㄊㄞㄊ | theme=drinks | stage=4
 9027 | whatsoever                     | 任何事物                           | 🏃        | chunks=['what', 'soe', 'ver'] | py=ㄨㄚㄊ-ㄙㄛ-ㄈㄜ | theme=actions | stage=4
 9028 | windshield                     | 擋風玻璃                           | 🚗        | chunks=['wind', 'shield'] | py=ㄨㄧㄋㄉ-ㄒㄞㄌㄉ | theme=materials | stage=4
 9029 | withstand                      | 承受、抵擋                          | 🏃        | chunks=['with', 'stand'] | py=ㄨㄧㄒ-ㄙㄉㄢㄉ | theme=actions | stage=4
 9030 | woo                            | 追求                             | 🏃        | chunks=['w', 'oo'] | py=ㄨ-ㄨ | theme=actions | stage=4
 9031 | wrestle                        | 摔角、扭打                          | 🏃        | chunks=['wres', 'tle'] | py=ㄨㄖㄝㄙ-ㄉㄜ | theme=actions | stage=4
 9032 | yearn                          | 思念                             | 🏃        | chunks=['y', 'earn'] | py=ㄌㄧ-ㄧㄜㄋ | theme=actions | stage=4
 9033 | zeal                           | 熱心                             | 🏃        | chunks=['z', 'eal'] | py=ㄗ-ㄧㄌ | theme=actions | stage=4
 9034 | kindness                       | 善意                             | 🎓        | chunks=['kin', 'dness'] | py=ㄎㄧㄣ-ㄉㄋㄝㄙ | theme=academic-words | stage=3 base=kind
 9035 | darkness                       | 黑暗                             | 🎓        | chunks=['dar', 'kness'] | py=ㄉㄜ-ㄎㄋㄝㄙ | theme=academic-words | stage=3 base=dark
 9036 | weakness                       | 弱點                             | 🎓        | chunks=['weak', 'ness'] | py=ㄨㄧㄎ-ㄋㄝㄙ | theme=academic-words | stage=3 base=weak
 9037 | madness                        | 瘋狂                             | 🎓        | chunks=['mad', 'ness'] | py=ㄇㄚㄉ-ㄋㄝㄙ | theme=academic-words | stage=2 base=mad
 9038 | softness                       | 柔軟                             | 🎓        | chunks=['sof', 'tness'] | py=ㄙㄛㄈ-ㄊㄋㄝㄙ | theme=academic-words | stage=3 base=soft
 9039 | coldness                       | 寒冷、冷漠                          | 🎓        | chunks=['col', 'dness'] | py=ㄎㄚ-ㄉㄋㄝㄙ | theme=academic-words | stage=3 base=cold
 9040 | tiredness                      | 疲倦                             | 🎓        | chunks=['ti', 'red', 'ness'] | py=ㄊㄜ-ㄌㄝㄉ-ㄋㄝㄙ | theme=academic-words | stage=3 base=tired
 9041 | fairness                       | 公平                             | 🎓        | chunks=['fair', 'ness'] | py=ㄈㄝㄜ-ㄋㄝㄙ | theme=academic-words | stage=3 base=fair
 9042 | greatness                      | 偉大                             | 🎓        | chunks=['great', 'ness'] | py=ㄍㄖㄟㄊ-ㄋㄝㄙ | theme=academic-words | stage=3 base=great
 9043 | thickness                      | 厚度                             | 🎓        | chunks=['thic', 'kness'] | py=ㄒㄧㄎ-ㄎㄋㄝㄙ | theme=academic-words | stage=3 base=thick
 9044 | quickness                      | 迅速                             | 🎓        | chunks=['quic', 'kness'] | py=ㄎㄨㄧㄎ-ㄎㄋㄝㄙ | theme=academic-words | stage=3 base=quick
 9045 | emptiness                      | 空虛                             | 🎓        | chunks=['em', 'pti', 'ness'] | py=ㄝㄇ-ㄆㄊㄧ-ㄋㄝㄙ | theme=academic-words | stage=3
 9046 | loneliness                     | 孤獨                             | 🎓        | chunks=['lo', 'ne', 'li', 'ness'] | py=ㄌㄛ-ㄋㄧ-ㄌㄧ-ㄋㄝㄙ | theme=academic-words | stage=3
 9047 | weariness                      | 疲憊                             | 🎓        | chunks=['wea', 'ri', 'ness'] | py=ㄨㄝ-ㄌㄧ-ㄋㄝㄙ | theme=academic-words | stage=3 base=wear
 9048 | sweetness                      | 甜美                             | 🍬        | chunks=['sweet', 'ness'] | py=ㄙㄨㄧㄊ-ㄋㄝㄙ | theme=appearance | stage=3 base=sweet
 9049 | boldness                       | 大膽                             | 🤔        | chunks=['bol', 'dness'] | py=ㄅㄛ-ㄉㄋㄝㄙ | theme=personality | stage=3 base=bold
 9050 | readiness                      | 準備                             | 🎓        | chunks=['rea', 'di', 'ness'] | py=ㄌㄝ-ㄉㄧ-ㄋㄝㄙ | theme=academic-words | stage=3 base=read
 9051 | shyness                        | 害羞                             | 🤔        | chunks=['shy', 'ness'] | py=ㄒㄧ-ㄋㄝㄙ | theme=personality | stage=2 base=shy
 9052 | eagerness                      | 熱切                             | 🎓        | chunks=['ea', 'ger', 'ness'] | py=ㄧ-ㄍㄜ-ㄋㄝㄙ | theme=academic-words | stage=3 base=eager
 9053 | rudeness                       | 粗魯                             | 🎓        | chunks=['ru', 'de', 'ness'] | py=ㄌㄨ-ㄉㄧ-ㄋㄝㄙ | theme=academic-words | stage=3 base=rude
 9054 | selfishness                    | 自私                             | 🎓        | chunks=['sel', 'fis', 'hness'] | py=ㄙㄝ-ㄈㄧㄙ-ㄏㄋㄝㄙ | theme=academic-words | stage=3 base=selfish
 9055 | politeness                     | 禮貌                             | 🎓        | chunks=['po', 'li', 'te', 'ness'] | py=ㄆㄛ-ㄌㄧ-ㄊㄧ-ㄋㄝㄙ | theme=academic-words | stage=3 base=polite
 9056 | seriousness                    | 嚴肅                             | 🎓        | chunks=['se', 'rious', 'ness'] | py=ㄙㄜ-ㄖㄧㄜㄙ-ㄋㄝㄙ | theme=academic-words | stage=3 base=serious
 9057 | cleverness                     | 聰明                             | 🤔        | chunks=['cle', 'ver', 'ness'] | py=ㄎㄜ-ㄈㄜ-ㄋㄝㄙ | theme=personality | stage=3 base=clever
 9058 | toughness                      | 韌性                             | 🎓        | chunks=['toug', 'hness'] | py=ㄊㄠㄍ-ㄏㄋㄝㄙ | theme=academic-words | stage=3 base=tough
 9059 | vagueness                      | 含糊                             | 🎓        | chunks=['va', 'gue', 'ness'] | py=ㄈㄚ-ㄍㄝ-ㄋㄝㄙ | theme=academic-words | stage=3 base=vague
 9060 | compartment                    | 隔間                             | 🎨        | chunks=['com', 'par', 'tment'] | py=ㄎㄚㄇ-ㄆㄚㄦ-ㄊㄇㄣㄊ | theme=adjectives | stage=3
 9061 | encouragement                  | 鼓勵                             | 💪        | chunks=['en', 'cou', 'ra', 'ge', 'ment'] | py=ㄣ-ㄎㄚ-ㄌㄚ-ㄐㄧ-ㄇㄣㄊ | theme=music | stage=3 base=encourage
 9062 | enjoyment                      | 享受                             | 🎨        | chunks=['en', 'joy', 'ment'] | py=ㄣ-ㄐㄛㄧ-ㄇㄣㄊ | theme=adjectives | stage=3 base=enjoy
 9063 | excitement                     | 興奮                             | 😊        | chunks=['ex', 'ci', 'te', 'ment'] | py=ㄝㄎㄙ-ㄙㄜ-ㄊㄧ-ㄇㄣㄊ | theme=emotions | stage=3
 9064 | improvement                    | 改善                             | 🎨        | chunks=['im', 'pro', 've', 'ment'] | py=ㄧㄇ-ㄆㄜ-ㄈㄜ-ㄇㄣㄊ | theme=adjectives | stage=3 base=improve
 9065 | judgement                      | 判斷                             | 🎨        | chunks=['jud', 'ge', 'ment'] | py=ㄐㄚㄉ-ㄐㄧ-ㄇㄣㄊ | theme=adjectives | stage=3 base=judge
 9066 | movement                       | 運動                             | ⚽        | chunks=['mo', 've', 'ment'] | py=ㄇㄛ-ㄈㄜ-ㄇㄣㄊ | theme=sports | stage=3 base=move
 9067 | payment                        | 支付                             | 🎨        | chunks=['pay', 'ment'] | py=ㄆㄟ-ㄇㄣㄊ | theme=adjectives | stage=2 base=pay
 9068 | placement                      | 安置                             | 🎨        | chunks=['pla', 'ce', 'ment'] | py=ㄆㄌㄚ-ㄙㄜ-ㄇㄣㄊ | theme=adjectives | stage=3 base=place
 9069 | requirement                    | 要求                             | 🎨        | chunks=['re', 'qui', 're', 'ment'] | py=ㄌㄧ-ㄎㄧ-ㄌㄧ-ㄇㄣㄊ | theme=adjectives | stage=3 base=require
 9070 | shipment                       | 貨運                             | 🎨        | chunks=['ship', 'ment'] | py=ㄒㄧㄆ-ㄇㄣㄊ | theme=adjectives | stage=3 base=ship
 9071 | adoption                       | 收養                             | 🎓        | chunks=['a', 'dop', 'tion'] | py=ㄜ-ㄉㄛㄆ-ㄒㄣ | theme=academic-words | stage=3
 9072 | punctuation                    | 標點                             | 🎓        | chunks=['pun', 'ctua', 'tion'] | py=ㄆㄚ-ㄎㄊㄚㄚ-ㄒㄣ | theme=academic-words | stage=3
 9073 | a chip on shoulder             | 積怨                             | 💬        | chunks=['a', 'chip', 'on', 'shoul', 'der'] | py=ㄚ-ㄔㄧㄆ-ㄛㄋ-ㄒㄠㄌㄉㄜ | theme=idioms | stage=3
 9074 | add insult to injury           | 雪上加霜                           | 💬        | chunks=['add', 'in', 'sult', 'to', 'in', 'ju', 'ry'] | py=ㄚㄉㄉ-ㄧㄋㄙㄚㄌㄊ-ㄊㄛ-ㄧㄋㄐㄜㄧ | theme=idioms | stage=3
 9075 | against the clock              | 分秒必爭                           | 💬        | chunks=['a', 'gainst', 'the', 'clo', 'ck'] | py=ㄚㄍㄟㄋㄙㄊ-ㄒㄝ-ㄎㄌㄛㄎ | theme=idioms | stage=3
 9076 | apple of the eye               | 心愛的人                           | 💬        | chunks=['ap', 'ple', 'of', 'the', 'eye'] | py=ㄚㄆㄆㄌㄝ-ㄛㄈ-ㄒㄝ-ㄧㄝ | theme=idioms | stage=3
 9077 | at the drop of a hat           | 立即                             | 💬        | chunks=['at', 'the', 'drop', 'of', 'a', 'hat'] | py=ㄚㄊ-ㄒㄝ-ㄉㄖㄛㄆ-ㄛㄈ-ㄚ-ㄏㄚㄊ | theme=idioms | stage=3
 9078 | at the end of the day          | 歸根究底                           | 💬        | chunks=['at', 'the', 'end', 'of', 'the', 'day'] | py=ㄚㄊ-ㄒㄝ-ㄝㄋㄉ-ㄛㄈ-ㄒㄝ-ㄉㄟ | theme=idioms | stage=3
 9079 | bend over backwards            | 竭盡所能                           | 💬        | chunks=['bend', 'over', 'bac', 'kwards'] | py=ㄅㄝㄋㄉ-ㄛㄨㄜ-ㄅㄚㄎㄨㄚㄜㄉㄙ | theme=idioms | stage=3
 9080 | blow your own horn             | 自我吹捧                           | 💬        | chunks=['blow', 'your', 'own', 'horn'] | py=ㄅㄌㄠ-ㄧㄠㄖ-ㄠㄋ-ㄏㄛㄜㄋ | theme=idioms | stage=3
 9081 | bring home the bacon           | 賺錢養家                           | 💬        | chunks=['bri', 'ng', 'home', 'the', 'ba', 'con'] | py=ㄅㄖㄧㄥ-ㄏㄛㄇ-ㄒㄝ-ㄅㄚㄎㄛㄋ | theme=idioms | stage=3
 9082 | burn bridges                   | 斷絕關係                           | 🔗        | chunks=['burn', 'brid', 'ges'] | py=ㄅㄜㄋ-ㄅㄖㄧㄉㄍㄝㄙ | theme=phrasal-verbs | stage=3
 9083 | catch red handed               | 當場抓到                           | 💬        | chunks=['cat', 'ch', 'red', 'han', 'ded'] | py=ㄎㄚㄊㄔ-ㄖㄝㄉ-ㄏㄚㄋㄉㄝㄉ | theme=idioms | stage=3
 9084 | chip off the old block         | 一個模子刻出來的(像爸媽的孩子)               | 💬        | chunks=['chip', 'off', 'the', 'old', 'blo', 'ck'] | py=ㄔㄧㄆ-ㄛㄈㄈ-ㄒㄝ-ㄛㄌㄉ-ㄅㄌㄛㄎ | theme=idioms | stage=3
 9085 | cut corners                    | 偷工減料                           | 🔗        | chunks=['cut', 'cor', 'ners'] | py=ㄎㄚㄊ-ㄎㄛㄜㄋㄜㄙ | theme=phrasal-verbs | stage=3
 9086 | drag your feet                 | 拖延                             | 💬        | chunks=['drag', 'your', 'feet'] | py=ㄉㄖㄚㄍ-ㄧㄠㄖ-ㄈㄧㄊ | theme=idioms | stage=3
 9087 | dressed to the nines           | 盛裝打扮                           | 💬        | chunks=['dres', 'sed', 'to', 'the', 'ni', 'nes'] | py=ㄉㄖㄝㄙㄙㄝㄉ-ㄊㄛ-ㄒㄝ-ㄋㄧㄋㄝㄙ | theme=idioms | stage=3
 9088 | eat humble pie                 | 低頭認錯                           | 💬        | chunks=['eat', 'hum', 'ble', 'pie'] | py=ㄧㄊ-ㄏㄚㄇㄅㄌㄝ-ㄆㄞ | theme=idioms | stage=3
 9089 | face the music                 | 面對後果                           | 💬        | chunks=['face', 'the', 'mu', 'sic'] | py=ㄈㄚㄎ-ㄒㄝ-ㄇㄚㄙㄧㄎ | theme=idioms | stage=3
 9090 | fly off the handle             | 勃然大怒                           | 💬        | chunks=['fly', 'off', 'the', 'han', 'dle'] | py=ㄈㄌㄧ-ㄛㄈㄈ-ㄒㄝ-ㄏㄚㄋㄉㄌㄝ | theme=idioms | stage=3
 9091 | food for thought               | 值得深思                           | 💬        | chunks=['food', 'for', 'thou', 'ght'] | py=ㄈㄨㄉ-ㄈㄛㄜ-ㄒㄛㄊ | theme=idioms | stage=3
 9092 | get out of hand                | 失控                             | 💬        | chunks=['get', 'out', 'of', 'hand'] | py=ㄍㄝㄊ-ㄠㄊ-ㄛㄈ-ㄏㄚㄋㄉ | theme=idioms | stage=3
 9093 | grin and bear it               | 咬牙忍受                           | 💬        | chunks=['grin', 'and', 'bear', 'it'] | py=ㄍㄖㄧㄋ-ㄚㄋㄉ-ㄅㄧㄜ-ㄧㄊ | theme=idioms | stage=3
 9094 | hands are tied                 | 無能為力                           | 💬        | chunks=['han', 'ds', 'are', 'tied'] | py=ㄏㄚㄋㄉㄙ-ㄚㄜ-ㄊㄞㄉ | theme=idioms | stage=3
 9095 | account for                    | 解釋                             | 🔗        | chunks=['ac', 'count', 'for'] | py=ㄚㄎㄎㄠㄋㄊ-ㄈㄛㄜ | theme=phrasal-verbs | stage=3
 9096 | add up                         | 合理                             | 🔗        | chunks=['add', 'up'] | py=ㄚㄉㄉ-ㄚㄆ | theme=phrasal-verbs | stage=2
 9097 | back down                      | 讓步                             | 🔗        | chunks=['back', 'down'] | py=ㄅㄚㄎ-ㄉㄠㄋ | theme=phrasal-verbs | stage=3
 9098 | back off                       | 退讓                             | 🔗        | chunks=['back', 'off'] | py=ㄅㄚㄎ-ㄛㄈㄈ | theme=phrasal-verbs | stage=3
 9099 | bear with                      | 容忍                             | 🔗        | chunks=['bear', 'with'] | py=ㄅㄧㄜ-ㄨㄧㄒ | theme=phrasal-verbs | stage=3
 9100 | beef up                        | 加強                             | 🔗        | chunks=['beef', 'up'] | py=ㄅㄧㄈ-ㄚㄆ | theme=phrasal-verbs | stage=2
 9101 | blow up                        | 爆炸                             | 🔗        | chunks=['blow', 'up'] | py=ㄅㄌㄠ-ㄚㄆ | theme=phrasal-verbs | stage=2
 9102 | boil down to                   | 歸結為                            | 💬        | chunks=['boil', 'down', 'to'] | py=ㄅㄛㄧㄌ-ㄉㄠㄋ-ㄊㄛ | theme=idioms | stage=3
 9103 | bottle up                      | 壓抑                             | 🔗        | chunks=['bot', 'tle', 'up'] | py=ㄅㄛㄊㄊㄌㄝ-ㄚㄆ | theme=phrasal-verbs | stage=3
 9104 | branch out                     | 拓展                             | 🔗        | chunks=['bra', 'nch', 'out'] | py=ㄅㄖㄚㄋㄔ-ㄠㄊ | theme=phrasal-verbs | stage=3
 9105 | breeze through                 | 輕鬆通過                           | 🔗        | chunks=['bree', 'ze', 'thro', 'ugh'] | py=ㄅㄖㄧㄗ-ㄒㄖㄛ | theme=phrasal-verbs | stage=3
 9106 | brush off                      | 輕視                             | 🔗        | chunks=['bru', 'sh', 'off'] | py=ㄅㄖㄚㄒ-ㄛㄈㄈ | theme=phrasal-verbs | stage=3
 9107 | bump into                      | 偶遇                             | 🔗        | chunks=['bump', 'into'] | py=ㄅㄚㄇㄆ-ㄧㄋㄊㄛ | theme=phrasal-verbs | stage=3
 9108 | butter up                      | 奉承                             | 🔗        | chunks=['but', 'ter', 'up'] | py=ㄅㄚㄊㄊㄜ-ㄚㄆ | theme=phrasal-verbs | stage=3
 9109 | cash in                        | 兌現                             | 🔗        | chunks=['cash', 'in'] | py=ㄎㄚㄒ-ㄧㄋ | theme=phrasal-verbs | stage=2
 9110 | chew out                       | 責罵                             | 🔗        | chunks=['chew', 'out'] | py=ㄔㄩ-ㄠㄊ | theme=phrasal-verbs | stage=3
 9111 | chip in                        | 湊錢                             | 🔗        | chunks=['chip', 'in'] | py=ㄔㄧㄆ-ㄧㄋ | theme=phrasal-verbs | stage=2
 9112 | chop up                        | 切碎                             | 🔗        | chunks=['chop', 'up'] | py=ㄔㄛㄆ-ㄚㄆ | theme=phrasal-verbs | stage=2
 9113 | clean out                      | 清空                             | 🔗        | chunks=['cle', 'an', 'out'] | py=ㄎㄌㄧㄋ-ㄠㄊ | theme=phrasal-verbs | stage=3
 9114 | clock in                       | 打卡上班                           | 🔗        | chunks=['clo', 'ck', 'in'] | py=ㄎㄌㄛㄎ-ㄧㄋ | theme=phrasal-verbs | stage=3
 9115 | clock out                      | 打卡下班                           | 🔗        | chunks=['clo', 'ck', 'out'] | py=ㄎㄌㄛㄎ-ㄠㄊ | theme=phrasal-verbs | stage=3
 9116 | come up with                   | 想出                             | 💬        | chunks=['come', 'up', 'with'] | py=ㄎㄛㄇ-ㄚㄆ-ㄨㄧㄒ | theme=idioms | stage=3
 9117 | cool off                       | 冷卻                             | 🔗        | chunks=['cool', 'off'] | py=ㄎㄨㄌ-ㄛㄈㄈ | theme=phrasal-verbs | stage=3
 9118 | count on                       | 依靠                             | 🔗        | chunks=['cou', 'nt', 'on'] | py=ㄎㄠㄋㄊ-ㄛㄋ | theme=phrasal-verbs | stage=3
 9119 | crack down                     | 嚴打                             | 🔗        | chunks=['cra', 'ck', 'down'] | py=ㄎㄖㄚㄎ-ㄉㄠㄋ | theme=phrasal-verbs | stage=3
 9120 | die down                       | 平息                             | 🔗        | chunks=['die', 'down'] | py=ㄉㄞ-ㄉㄠㄋ | theme=phrasal-verbs | stage=3
 9121 | dig up                         | 挖掘                             | 🔗        | chunks=['dig', 'up'] | py=ㄉㄧㄍ-ㄚㄆ | theme=phrasal-verbs | stage=2
 9122 | dish out                       | 分發                             | 🔗        | chunks=['dish', 'out'] | py=ㄉㄧㄒ-ㄠㄊ | theme=phrasal-verbs | stage=3
 9123 | do without                     | 沒有也行                           | 🔗        | chunks=['do', 'wit', 'hout'] | py=ㄉㄛ-ㄨㄧㄒㄠㄊ | theme=phrasal-verbs | stage=3
 9124 | doze off                       | 打瞌睡                            | 🔗        | chunks=['doze', 'off'] | py=ㄉㄛㄗ-ㄛㄈㄈ | theme=phrasal-verbs | stage=3
 9125 | dress up                       | 打扮                             | 🔗        | chunks=['dre', 'ss', 'up'] | py=ㄉㄖㄝㄙㄙ-ㄚㄆ | theme=phrasal-verbs | stage=3
 9126 | drop in                        | 順道拜訪                           | 🔗        | chunks=['drop', 'in'] | py=ㄉㄖㄛㄆ-ㄧㄋ | theme=phrasal-verbs | stage=2
 9127 | eat out                        | 外食                             | 🔗        | chunks=['eat', 'out'] | py=ㄧㄊ-ㄠㄊ | theme=phrasal-verbs | stage=2
 9128 | end up                         | 結果                             | 🔗        | chunks=['end', 'up'] | py=ㄝㄋㄉ-ㄚㄆ | theme=phrasal-verbs | stage=2
 9129 | fade away                      | 消逝                             | 🔗        | chunks=['fade', 'away'] | py=ㄈㄚㄉ-ㄛㄟ | theme=phrasal-verbs | stage=3
 9130 | feel like                      | 想要                             | 🔗        | chunks=['feel', 'like'] | py=ㄈㄧㄌ-ㄌㄧㄎ | theme=phrasal-verbs | stage=3
 9131 | fish for                       | 設法獲得                           | 🔗        | chunks=['fish', 'for'] | py=ㄈㄧㄒ-ㄈㄛㄜ | theme=phrasal-verbs | stage=3
 9132 | flag down                      | 招手攔下                           | 🔗        | chunks=['flag', 'down'] | py=ㄈㄌㄚㄍ-ㄉㄠㄋ | theme=phrasal-verbs | stage=3
 9133 | flip out                       | 發火                             | 🔗        | chunks=['flip', 'out'] | py=ㄈㄌㄧㄆ-ㄠㄊ | theme=phrasal-verbs | stage=3
 9134 | focus on                       | 專注於                            | 🔗        | chunks=['fo', 'cus', 'on'] | py=ㄈㄛㄎㄚㄙ-ㄛㄋ | theme=phrasal-verbs | stage=3
 9135 | freak out                      | 嚇壞                             | 🔗        | chunks=['fre', 'ak', 'out'] | py=ㄈㄖㄧㄎ-ㄠㄊ | theme=phrasal-verbs | stage=3
 9136 | frown upon                     | 不贊同                            | 🔗        | chunks=['fro', 'wn', 'upon'] | py=ㄈㄖㄠㄋ-ㄚㄆㄛㄋ | theme=phrasal-verbs | stage=3
 9137 | gear up                        | 準備                             | 🔗        | chunks=['gear', 'up'] | py=ㄍㄧㄜ-ㄚㄆ | theme=phrasal-verbs | stage=2
 9138 | give in                        | 屈服                             | 🔗        | chunks=['give', 'in'] | py=ㄍㄧㄨ-ㄧㄋ | theme=phrasal-verbs | stage=2
 9139 | grow up                        | 長大                             | 🔗        | chunks=['grow', 'up'] | py=ㄍㄖㄠ-ㄚㄆ | theme=phrasal-verbs | stage=2
 9140 | hand down                      | 傳承                             | 🔗        | chunks=['hand', 'down'] | py=ㄏㄚㄋㄉ-ㄉㄠㄋ | theme=phrasal-verbs | stage=3
 9141 | hand off                       | 移交                             | 🔗        | chunks=['hand', 'off'] | py=ㄏㄚㄋㄉ-ㄛㄈㄈ | theme=phrasal-verbs | stage=3
 9142 | head off                       | 出發                             | 🔗        | chunks=['head', 'off'] | py=ㄏㄧㄉ-ㄛㄈㄈ | theme=phrasal-verbs | stage=3
 9143 | hold off                       | 延後                             | 🔗        | chunks=['hold', 'off'] | py=ㄏㄛㄌㄉ-ㄛㄈㄈ | theme=phrasal-verbs | stage=3
 9144 | hook up                        | 勾搭                             | 🔗        | chunks=['hook', 'up'] | py=ㄏㄨㄎ-ㄚㄆ | theme=phrasal-verbs | stage=2
 9145 | iron out                       | 解決                             | 🔗        | chunks=['iron', 'out'] | py=ㄜㄛㄋ-ㄠㄊ | theme=phrasal-verbs | stage=3
 9146 | jump in                        | 加入                             | 🔗        | chunks=['jump', 'in'] | py=ㄐㄚㄇㄆ-ㄧㄋ | theme=phrasal-verbs | stage=2
 9147 | keep at                        | 堅持                             | 🔗        | chunks=['keep', 'at'] | py=ㄎㄧㄆ-ㄚㄊ | theme=phrasal-verbs | stage=2
 9148 | kick back                      | 放鬆                             | 🔗        | chunks=['kick', 'back'] | py=ㄎㄧㄎ-ㄅㄚㄎ | theme=phrasal-verbs | stage=3
 9149 | knock off                      | 停工                             | 🔗        | chunks=['kno', 'ck', 'off'] | py=ㄎㄋㄛㄎ-ㄛㄈㄈ | theme=phrasal-verbs | stage=3
 9150 | knock out                      | 擊倒                             | 🔗        | chunks=['kno', 'ck', 'out'] | py=ㄎㄋㄛㄎ-ㄠㄊ | theme=phrasal-verbs | stage=3
 9151 | lay out                        | 陳列                             | 🔗        | chunks=['lay', 'out'] | py=ㄌㄟ-ㄠㄊ | theme=phrasal-verbs | stage=2
 9152 | lead to                        | 導致                             | 🔗        | chunks=['lead', 'to'] | py=ㄌㄧㄉ-ㄊㄛ | theme=phrasal-verbs | stage=2
