# 字 6000-7499
 6000 | bug                            | 蟲子                             | 🐾        | chunks=['b', 'ug'] | py=ㄅㄧ-ㄚㄍ | theme=animals | stage=1
 6026 | difficult                      | 困難的                            | 🎨        | chunks=['dif', 'fi', 'cult'] | py=ㄉㄧ-ㄈㄜ-ㄎㄚㄌㄊ | theme=adjectives | stage=1
 6027 | dig                            | 挖                              | 🏃        | chunks=['d', 'ig'] | py=ㄉㄧ-ㄧㄍ | theme=actions | stage=1
 6028 | direct                         | 指揮                             | 🏃        | chunks=['di', 'rect'] | py=ㄉㄧ-ㄖㄝㄎㄊ | theme=actions | stage=1
 6029 | discover                       | 發現                             | 🏃        | chunks=['dis', 'co', 'ver'] | py=ㄉㄧㄙ-ㄎㄛ-ㄈㄜ | theme=actions | stage=1
 6030 | buck                           | 美元(俚)、公鹿                       | 🏃        | chunks=['b', 'uck'] | py=ㄅㄧ-ㄚㄎ | theme=actions | stage=2
 6031 | downstairs                     | 樓下的                            | 🎨        | chunks=['down', 'stairs'] | py=ㄉㄠㄣ-ㄙㄊㄝㄜㄙ | theme=adjectives | stage=2
 6032 | draw                           | 畫                              | 🎨        | chunks=['dr', 'aw'] | py=ㄉㄖ-ㄛ | theme=art | stage=1
 6033 | duckling                       | 小鴨                             | 🐾        | chunks=['duc', 'kling'] | py=ㄉㄚㄎ-ㄎㄌㄧㄥ | theme=animals | stage=1
 6034 | during                         | 在…期間                           | 🏃        | chunks=['du', 'ring'] | py=ㄉㄨ-ㄌㄧㄥ | theme=sight-words | stage=1
 6035 | ease                           | 輕鬆、緩和                          | 🏃        | chunks=['ea', 'se'] | py=ㄧ-ㄙㄜ | theme=actions | stage=1
 6036 | else                           | 其他                             | 🏃        | chunks=['el', 'se'] | py=ㄝ-ㄙㄜ | theme=actions | stage=1
 6037 | enter                          | 進入                             | 🏃        | chunks=['en', 'ter'] | py=ㄣ-ㄊㄜ | theme=actions | stage=1
 6038 | examine                        | 檢查                             | 🎨        | chunks=['e', 'xa', 'mi', 'ne'] | py=ㄧ-ㄎㄙㄚ-ㄇㄞ-ㄋㄧ | theme=adjectives | stage=1
 6039 | feed                           | 餵食                             | 🏃        | chunks=['f', 'eed'] | py=ㄝㄈ-ㄧㄉ | theme=actions | stage=1
 6040 | feel                           | 觸摸                             | 🏃        | chunks=['f', 'eel'] | py=ㄝㄈ-ㄧㄌ | theme=actions | stage=1
 6041 | feelings                       | 感情                             | 💗        | chunks=['fee', 'lings'] | py=ㄈㄧ-ㄌㄧㄥㄙ | theme=emotions | stage=1
 6042 | fill                           | 填滿                             | 🏃        | chunks=['f', 'ill'] | py=ㄝㄈ-ㄧㄦ | theme=actions | stage=1
 6043 | follow                         | 跟隨                             | 🏃        | chunks=['fol', 'low'] | py=ㄈㄛㄛ-ㄌㄛ | theme=actions | stage=1
 6044 | forget                         | 忘記                             | 🏃        | chunks=['for', 'get'] | py=ㄈㄛ-ㄍㄝㄊ | theme=actions | stage=1
 6045 | fun                            | 樂趣                             | 🏃        | chunks=['f', 'un'] | py=ㄝㄈ-ㄚㄣ | theme=actions | stage=1
 6046 | glad                           | 高興的                            | 😄        | chunks=['gl', 'ad'] | py=ㄍㄌ-ㄚㄉ | theme=appearance | stage=1
 6047 | grandchild                     | 孫子女                            | 👨‍👩‍👧    | chunks=['grand', 'child'] | py=ㄍㄌㄚㄣ-ㄑㄞㄦㄉ | theme=family | stage=2
 6048 | granddaughter                  | 孫女                             | 👨‍👩‍👧    | chunks=['gran', 'ddaug', 'hter'] | py=ㄍㄌㄚ-ㄉㄉㄛㄍ-ㄏㄊㄜ | theme=family | stage=2
 6049 | grandson                       | 孫子                             | 👨‍👩‍👧    | chunks=['gran', 'dson'] | py=ㄍㄌㄚ-ㄉㄙㄛㄋ | theme=family | stage=2
 6050 | grey                           | 灰色的                            | 🩶        | chunks=['gr', 'ey'] | py=ㄍㄖ-ㄧ | theme=colors | stage=1
 6051 | grow                           | 生長                             | 🏃        | chunks=['gr', 'ow'] | py=ㄍㄖ-ㄛ | theme=actions | stage=1
 6052 | guess                          | 猜測                             | 🏃        | chunks=['g', 'uess'] | py=ㄐㄧ-ㄩㄙㄙ | theme=actions | stage=1
 6053 | gun                            | 槍                              | 🏃        | chunks=['g', 'un'] | py=ㄐㄧ-ㄚㄣ | theme=actions | stage=1
 6054 | haircut                        | 理髮                             | 🏃        | chunks=['hair', 'cut'] | py=ㄏㄝㄜ-ㄎㄚㄊ | theme=actions | stage=1
 6055 | happen                         | 發生                             | 🏃        | chunks=['hap', 'pen'] | py=ㄏㄝ-ㄆㄣ | theme=actions | stage=1
 6056 | health                         | 健康                             | 💊        | chunks=['h', 'ealth'] | py=ㄝㄑ-ㄧㄌㄒ | theme=health | stage=1
 6057 | hole                           | 洞                              | 🏃        | chunks=['ho', 'le'] | py=ㄏㄚ-ㄌㄧ | theme=actions | stage=1 [有易混提示]
 6058 | hungry                         | 飢餓的                            | 🎨        | chunks=['hun', 'gry'] | py=ㄏㄚㄣ-ㄍㄖㄧ | theme=adjectives | stage=1
 6059 | important                      | 重要的                            | 🎨        | chunks=['im', 'por', 'tant'] | py=ㄧㄇ-ㄆㄜ-ㄊㄣㄊ | theme=adjectives | stage=1
 6060 | inch                           | 英吋                             | 🏃        | chunks=['in', 'ch'] | py=ㄧㄣ-ㄔ | theme=actions | stage=1
 6061 | job                            | 工作                             | 🏃        | chunks=['j', 'ob'] | py=ㄐ-ㄚㄅ | theme=actions | stage=1
 6062 | join                           | 參加                             | 🏃        | chunks=['j', 'oin'] | py=ㄐ-ㄛㄧㄋ | theme=actions | stage=1
 6063 | joke                           | 玩笑                             | 🏃        | chunks=['jo', 'ke'] | py=ㄐㄛ-ㄎㄟ | theme=actions | stage=1
 6064 | keep                           | 保有                             | 🏃        | chunks=['k', 'eep'] | py=ㄎㄟ-ㄧㄆ | theme=actions | stage=1
 6065 | keeper                         | 管理者                            | 👨‍⚕️     | chunks=['kee', 'per'] | py=ㄎㄧ-ㄆㄜ | theme=jobs | stage=1 base=keep
 6066 | kill                           | 殺死                             | 🏃        | chunks=['k', 'ill'] | py=ㄎㄟ-ㄧㄦ | theme=actions | stage=1
 6067 | king                           | 國王                             | 👑        | chunks=['k', 'ing'] | py=ㄎㄟ-ㄧㄥ | theme=countries | stage=1
 6068 | kitten                         | 小貓                             | 🐱        | chunks=['kit', 'ten'] | py=ㄎㄧㄊ-ㄊㄣ | theme=animals | stage=1
 6069 | kitty                          | 小貓                             | 🐾        | chunks=['kit', 'ty'] | py=ㄎㄧㄊ-ㄊㄧ | theme=animals | stage=1
 6070 | lack                           | 缺少                             | 🏃        | chunks=['l', 'ack'] | py=ㄝㄦ-ㄚ | theme=actions | stage=1
 6071 | land                           | 陸地、降落                          | 🏃        | chunks=['l', 'and'] | py=ㄝㄦ-ㄢㄉ | theme=actions | stage=1
 6072 | large                          | 寬的                             | 🎨        | chunks=['lar', 'ge'] | py=ㄌㄜ-ㄐㄧ | theme=adjectives | stage=1
 6073 | least                          | 最小的                            | 🎨        | chunks=['l', 'east'] | py=ㄝㄦ-ㄧㄙㄊ | theme=adjectives | stage=1
 6074 | leave                          | 離開                             | 🏃        | chunks=['lea', 've'] | py=ㄌㄝ-ㄈㄜ | theme=actions | stage=1
 6075 | less                           | 較少的                            | 🎨        | chunks=['l', 'ess'] | py=ㄝㄦ-ㄊㄝㄙ | theme=adjectives | stage=1
 6076 | let                            | 讓                              | 🏃        | chunks=['l', 'et'] | py=ㄝㄦ-ㄝㄊ | theme=actions | stage=1 base=let
 6077 | letter                         | 信件、字母                          | ✉️       | chunks=['let', 'ter'] | py=ㄌㄝㄊ-ㄊㄜ | theme=actions | stage=1
 6078 | likely                         | 很可能的                           | 🎨        | chunks=['li', 'ke', 'ly'] | py=ㄌㄧ-ㄎㄟ-ㄌㄧ | theme=adjectives | stage=1
 6079 | lily                           | 百合                             | 🌷        | chunks=['li', 'ly'] | py=ㄌㄧ-ㄌㄧ | theme=nature | stage=2
 6080 | little                         | 小的、少                           | 🏃        | chunks=['lit', 'tle'] | py=ㄌㄧ-ㄉㄜ | theme=actions | stage=1 [有易混提示]
 6081 | lucky                          | 幸運的                            | 🎨        | chunks=['luc', 'ky'] | py=ㄌㄚㄎ-ㄎㄧ | theme=adjectives | stage=1 base=luck
 6082 | luncheon                       | 午餐                             | 🍱        | chunks=['lun', 'cheon'] | py=ㄌㄚㄋ-ㄔㄝㄛㄋ | theme=food | stage=3
 6083 | mail                           | 郵件                             | 📬        | chunks=['m', 'ail'] | py=ㄝㄇ-ㄝㄦ | theme=actions | stage=1 [有易混提示]
 6084 | marry                          | 嫁娶                             | 🏃        | chunks=['mar', 'ry'] | py=ㄇㄚㄦ-ㄌㄧ | theme=actions | stage=1
 6085 | master                         | 主人、精通                          | 👨‍⚕️     | chunks=['mas', 'ter'] | py=ㄇㄚㄙ-ㄊㄜ | theme=jobs | stage=1
 6086 | me                             | 我                              | 🏃        | chunks=['m', 'e'] | py=ㄝㄇ-ㄧ | theme=actions | stage=1
 6087 | meet                           | 遇見                             | 🏃        | chunks=['m', 'eet'] | py=ㄝㄇ-ㄧㄊ | theme=actions | stage=1 [有易混提示]
 6088 | mile                           | 英里                             | 🏃        | chunks=['mi', 'le'] | py=ㄇㄞ-ㄌㄧ | theme=actions | stage=1
 6089 | mistake                        | 錯誤                             | 🏃        | chunks=['mis', 'ta', 'ke'] | py=ㄇㄧㄙ-ㄊㄝ-ㄎㄟ | theme=actions | stage=1
 6090 | mommy                          | 媽媽                             | 👨‍👩‍👧    | chunks=['mom', 'my'] | py=ㄇㄛㄇ-ㄇㄧ | theme=family | stage=1
 6091 | momma                          | 媽媽                             | 👨‍👩‍👧    | chunks=['mom', 'ma'] | py=ㄇㄛㄇ-ㄇㄚ | theme=family | stage=2
 6092 | money                          | 錢                              | 💰        | chunks=['mo', 'ney'] | py=ㄇㄛ-ㄋㄧ | theme=money | stage=1
 6093 | more                           | 更多                             | 🏃        | chunks=['mo', 're'] | py=ㄇㄛ-ㄌㄧ | theme=actions | stage=1 base=many
 6094 | mister                         | 先生                             | 🏃        | chunks=['mis', 'ter'] | py=ㄇㄧㄙ-ㄊㄜ | theme=actions | stage=1
 6095 | my                             | 我的                             | 🎨        | chunks=['m', 'y'] | py=ㄝㄇ-ㄌㄧ | theme=adjectives | stage=1
 6096 | nature                         | 大自然                            | 🌳        | chunks=['na', 'tu', 're'] | py=ㄋㄚ-ㄑㄨ-ㄌㄧ | theme=nature | stage=1
 6097 | no                             | 不是                             | 🏃        | chunks=['n', 'o'] | py=ㄝㄣ-ㄛ | theme=actions | stage=1 [有易混提示]
 6098 | nope                           | 不是                             | 🏃        | chunks=['no', 'pe'] | py=ㄋㄛ-ㄆㄜ | theme=actions | stage=1
 6099 | noise                          | 噪音                             | 📢        | chunks=['noi', 'se'] | py=ㄋㄛㄧ-ㄙㄜ | theme=environment | stage=1 base=no
 6100 | noisy                          | 喧鬧的                            | 🎨        | chunks=['noi', 'sy'] | py=ㄋㄛㄧ-ㄗㄧ | theme=adjectives | stage=1 base=noise
 6101 | nor                            | 也不                             | 🏃        | chunks=['n', 'or'] | py=ㄝㄣ-ㄛㄦ | theme=actions | stage=1
 6102 | not                            | 不                              | 🏃        | chunks=['n', 'ot'] | py=ㄝㄣ-ㄚ | theme=actions | stage=1 [有易混提示]
 6103 | nothing                        | 沒什麼                            | 🏃        | chunks=['not', 'hing'] | py=ㄋㄚㄊ-ㄏㄧㄥ | theme=actions | stage=1
 6104 | notice                         | 注意                             | 🏃        | chunks=['no', 'ti', 'ce'] | py=ㄋㄛ-ㄊㄜ-ㄙㄜ | theme=actions | stage=1
 6105 | office                         | 辦公室                            | 🏢        | chunks=['of', 'fi', 'ce'] | py=ㄚㄈ-ㄈㄜ-ㄙㄜ | theme=office | stage=1
 6106 | own                            | 自己的、擁有                         | 🏃        | chunks=['ow', 'n'] | py=ㄛ-ㄝㄣ | theme=actions | stage=1
 6107 | page                           | 頁                              | 🏃        | chunks=['pa', 'ge'] | py=ㄆㄜ-ㄐㄧ | theme=actions | stage=1
 6108 | trousers                       | 褲子                             | 👖        | chunks=['trou', 'sers'] | py=ㄊㄖㄠ-ㄙㄜㄙ | theme=clothing | stage=2
 6109 | pass                           | 經過                             | 🏃        | chunks=['p', 'ass'] | py=ㄆㄧ-ㄚㄙㄙ | theme=actions | stage=1
 6110 | picture                        | 圖像                             | 🎓        | chunks=['pic', 'tu', 're'] | py=ㄆㄧㄎ-ㄑㄨ-ㄌㄧ | theme=academic-words | stage=1
 6111 | plant                          | 植物、栽種、工廠                       | 🎨        | chunks=['pl', 'ant'] | py=ㄆㄌ-ㄣㄊ | theme=adjectives | stage=1
 6112 | policeman                      | 警察                             | 🚨        | chunks=['po', 'li', 'ce', 'man'] | py=ㄆㄛ-ㄌㄧ-ㄙㄜ-ㄇㄢ | theme=emergencies | stage=1
 6113 | cop                            | 警察                             | 🚨        | chunks=['c', 'op'] | py=ㄒㄧ-ㄚㄆ | theme=emergencies | stage=1
 6114 | pool                           | 水池                             | 🏊        | chunks=['p', 'ool'] | py=ㄆㄧ-ㄨㄌ | theme=places | stage=1
 6115 | possible                       | 可能的                            | 🎨        | chunks=['pos', 'sib', 'le'] | py=ㄆㄚ-ㄒㄧㄅ-ㄌㄧ | theme=adjectives | stage=1
 6116 | practice                       | 練習                             | 🏃        | chunks=['prac', 'ti', 'ce'] | py=ㄆㄌㄚㄎ-ㄊㄜ-ㄙㄜ | theme=actions | stage=1
 6117 | prepare                        | 準備                             | 🏃        | chunks=['pre', 'pa', 're'] | py=ㄆㄌㄧ-ㄆㄜ-ㄌㄧ | theme=actions | stage=1
 6118 | prove                          | 證明                             | 🏃        | chunks=['pro', 've'] | py=ㄆㄜ-ㄈㄜ | theme=actions | stage=1
 6119 | public                         | 公眾的                            | 🎨        | chunks=['pub', 'lic'] | py=ㄆㄚ-ㄌㄧㄎ | theme=adjectives | stage=1
 6120 | queen                          | 女王                             | 👸        | chunks=['q', 'ueen'] | py=ㄎㄧㄨ-ㄩㄝㄋ | theme=jobs | stage=1
 6121 | question                       | 問題                             | ❓        | chunks=['ques', 'tion'] | py=ㄎㄨㄝㄙ-ㄒㄣ | theme=academic-words | stage=1
 6122 | quick                          | 快的、快速的                         | 🏃        | chunks=['q', 'uick'] | py=ㄎㄧㄨ-ㄨㄎ | theme=actions | stage=1
 6123 | rat                            | 老鼠                             | 🐀        | chunks=['r', 'at'] | py=ㄚㄦ-ㄚ | theme=animals | stage=1
 6124 | reach                          | 抵達                             | 🏃        | chunks=['r', 'each'] | py=ㄚㄦ-ㄧㄔ | theme=actions | stage=1
 6125 | remember                       | 記得                             | 🏃        | chunks=['re', 'mem', 'ber'] | py=ㄌㄧ-ㄇㄝㄇ-ㄅㄜ | theme=actions | stage=1
 6126 | rest                           | 休息                             | 🏃        | chunks=['r', 'est'] | py=ㄚㄦ-ㄝㄙㄊ | theme=actions | stage=1
 6127 | rise                           | 上升                             | 🏃        | chunks=['ri', 'se'] | py=ㄌㄧ-ㄙㄜ | theme=directions | stage=1 [有易混提示]
 6128 | roll                           | 滾動                             | 🏃        | chunks=['r', 'oll'] | py=ㄚㄦ-ㄛㄌㄌ | theme=actions | stage=1 [有易混提示]
 6129 | room                           | 房間                             | 🏃        | chunks=['r', 'oom'] | py=ㄚㄦ-ㄨㄇ | theme=actions | stage=1
 6130 | rub                            | 摩擦                             | 🏃        | chunks=['r', 'ub'] | py=ㄚㄦ-ㄚㄅ | theme=actions | stage=1
 6131 | sail                           | 航行                             | 🏃        | chunks=['s', 'ail'] | py=ㄝㄙ-ㄝㄦ | theme=actions | stage=1 [有易混提示]
 6132 | scare                          | 使恐懼                            | 😱        | chunks=['sca', 're'] | py=ㄙㄎㄚ-ㄌㄧ | theme=emotions | stage=1
 6133 | seem                           | 似乎                             | 🏃        | chunks=['s', 'eem'] | py=ㄝㄙ-ㄧㄇ | theme=actions | stage=1
 6134 | sense                          | 感官                             | 🏃        | chunks=['sen', 'se'] | py=ㄙㄝㄣ-ㄙㄜ | theme=actions | stage=1
 6135 | serve                          | 為…服務                           | 🏃        | chunks=['ser', 've'] | py=ㄗㄜ-ㄈㄜ | theme=actions | stage=1
 6136 | shall                          | 將、會                            | 🏃        | chunks=['sh', 'all'] | py=ㄒ-ㄛ | theme=actions | stage=2
 6137 | shine                          | 發光、擦亮、光亮                       | 🎨        | chunks=['shi', 'ne'] | py=ㄒㄧ-ㄋㄧ | theme=adjectives | stage=1
 6138 | shout                          | 呼喊                             | 🏃        | chunks=['sh', 'out'] | py=ㄒ-ㄠㄊ | theme=actions | stage=1
 6139 | shut                           | 關上                             | 🏃        | chunks=['sh', 'ut'] | py=ㄒ-ㄚ | theme=directions | stage=1 base=shut
 6140 | sight                          | 視界                             | 🏃        | chunks=['s', 'ight'] | py=ㄝㄙ-ㄧㄊ | theme=actions | stage=1
 6141 | skill                          | 技術                             | 💻        | chunks=['sk', 'ill'] | py=ㄙㄎ-ㄧㄦ | theme=technology | stage=1
 6142 | smell                          | 聞                              | 🏃        | chunks=['sm', 'ell'] | py=ㄙㄇ-ㄝㄌㄌ | theme=actions | stage=1
 6143 | space                          | 空間                             | 🏃        | chunks=['spa', 'ce'] | py=ㄙㄆㄚ-ㄙㄜ | theme=actions | stage=1
 6144 | spell                          | 拼寫                             | 🏃        | chunks=['sp', 'ell'] | py=ㄙㄆ-ㄝㄌㄌ | theme=actions | stage=1
 6145 | sport                          | 運動                             | ⚽        | chunks=['sp', 'ort'] | py=ㄙㄆ-ㄛㄜㄊ | theme=sports | stage=1
 6146 | stair                          | 階梯                             | 🪜        | chunks=['st', 'air'] | py=ㄙㄊ-ㄟㄦ | theme=tools | stage=1 [有易混提示]
 6147 | stay                           | 停留                             | 🏃        | chunks=['st', 'ay'] | py=ㄙㄊ-ㄟ | theme=actions | stage=1
 6148 | such                           | 如此的                            | 🎨        | chunks=['s', 'uch'] | py=ㄝㄙ-ㄚㄔ | theme=adjectives | stage=1
 6149 | super                          | 極度的                            | 🎨        | chunks=['su', 'per'] | py=ㄙㄨ-ㄆㄜ | theme=adjectives | stage=1
 6150 | sure                           | 確信的、當然                         | 🏃        | chunks=['su', 're'] | py=ㄙㄨ-ㄌㄧ | theme=actions | stage=1
 6151 | surprise                       | 使吃驚                            | 😲        | chunks=['sur', 'pri', 'se'] | py=ㄙㄜ-ㄆㄌㄞ-ㄙㄜ | theme=emotions | stage=1
 6152 | tail                           | 尾巴                             | 🏃        | chunks=['t', 'ail'] | py=ㄊㄧ-ㄝㄦ | theme=actions | stage=1 [有易混提示]
 6153 | tale                           | 故事                             | 🏃        | chunks=['ta', 'le'] | py=ㄊㄝ-ㄌㄧ | theme=actions | stage=1 [有易混提示]
 6154 | taste                          | 嚐                              | 🏃        | chunks=['tas', 'te'] | py=ㄊㄚㄙ-ㄊㄧ | theme=actions | stage=1
 6155 | cab                            | 計程車                            | 🚗        | chunks=['c', 'ab'] | py=ㄒㄧ-ㄚㄅ | theme=transportation | stage=1
 6156 | thank                          | 感謝                             | 🙏        | chunks=['th', 'ank'] | py=ㄒ-ㄚㄋㄎ | theme=emotions | stage=1
 6157 | time                           | 時間                             | ⏰        | chunks=['ti', 'me'] | py=ㄊㄜ-ㄇㄝ | theme=time | stage=1
 6158 | tire                           | 輪胎、使疲倦                         | 🏃        | chunks=['ti', 're'] | py=ㄊㄜ-ㄌㄧ | theme=actions | stage=1
 6159 | together                       | 一起                             | 🔢        | chunks=['to', 'get', 'her'] | py=ㄊㄛ-ㄍㄝㄊ-ㄏㄜ | theme=sight-words | stage=1
 6160 | tool                           | 工具                             | 🔨        | chunks=['t', 'ool'] | py=ㄊㄧ-ㄨㄌ | theme=tools | stage=1
 6161 | touch                          | 觸摸                             | 🏃        | chunks=['t', 'ouch'] | py=ㄊㄧ-ㄠㄔ | theme=actions | stage=1
 6162 | trouble                        | 麻煩                             | ⚠️       | chunks=['troub', 'le'] | py=ㄊㄖㄠㄅ-ㄌㄧ | theme=materials | stage=1
 6163 | t-shirt                        | 短袖圓領汗衫                         | 🏃        | chunks=['t', 'shirt'] | py=ㄊㄧ-ㄒㄜㄊ | theme=actions | stage=1
 6164 | tummy                          | 肚子                             | 🏃        | chunks=['tum', 'my'] | py=ㄊㄣ-ㄇㄧ | theme=actions | stage=2
 6165 | understand                     | 理解                             | 🏃        | chunks=['un', 'der', 'stand'] | py=ㄚㄣ-ㄉㄜ-ㄙㄉㄢㄉ | theme=actions | stage=1
 6166 | unit                           | 單位                             | 🏃        | chunks=['u', 'nit'] | py=ㄧㄨ-ㄋㄧㄊ | theme=actions | stage=1
 6167 | till                           | 直到…為止                          | 🏃        | chunks=['t', 'ill'] | py=ㄊㄧ-ㄧㄦ | theme=actions | stage=1
 6168 | upstairs                       | 在樓上                            | 🏃        | chunks=['up', 'stairs'] | py=ㄚㄆ-ㄙㄊㄝㄜㄙ | theme=directions | stage=2
 6169 | useful                         | 有用的                            | 🎨        | chunks=['u', 'se', 'ful'] | py=ㄧㄨ-ㄙㄜ-ㄈㄜ | theme=adjectives | stage=1 base=use
 6170 | view                           | 視野                             | 🏃        | chunks=['v', 'iew'] | py=ㄈㄧ-ㄞㄨ | theme=actions | stage=1
 6171 | visit                          | 參觀                             | 🏃        | chunks=['vi', 'sit'] | py=ㄈㄞ-ㄒㄧㄊ | theme=actions | stage=1
 6172 | voice                          | 聲音                             | 🏃        | chunks=['voi', 'ce'] | py=ㄨㄛㄧ-ㄙㄜ | theme=actions | stage=1
 6173 | wear                           | 穿                              | 🏃        | chunks=['w', 'ear'] | py=ㄨ-ㄦ | theme=actions | stage=1 [有易混提示]
 6174 | weigh                          | 秤…的重量                          | 🏃        | chunks=['w', 'eigh'] | py=ㄨ-ㄟ | theme=actions | stage=2
 6175 | weight                         | 重量                             | 🏃        | chunks=['w', 'eight'] | py=ㄨ-ㄝㄊ | theme=actions | stage=1 [有易混提示]
 6176 | win                            | 贏                              | 🏃        | chunks=['w', 'in'] | py=ㄨ-ㄧㄣ | theme=actions | stage=1
 6177 | worry                          | 使擔心                            | 🏃        | chunks=['wor', 'ry'] | py=ㄨㄜ-ㄌㄧ | theme=actions | stage=1
 6178 | worse                          | 更壞的                            | 🎨        | chunks=['wor', 'se'] | py=ㄨㄜ-ㄙㄜ | theme=adjectives | stage=1 base=bad
 6179 | worst                          | 最壞的                            | 🎨        | chunks=['w', 'orst'] | py=ㄨ-ㄛㄜㄙㄊ | theme=adjectives | stage=1 base=bad
 6180 | sweet potato                   | 番薯                             | 🔗        | chunks=['sw', 'eet', 'po', 'ta', 'to'] | py=ㄙㄨㄧㄊ-ㄆㄛㄊㄚㄊㄛ | theme=phrasal-verbs | stage=1
 6181 | yes                            | 是                              | 🏃        | chunks=['y', 'es'] | py=ㄌㄧ-ㄝㄙ | theme=actions | stage=1
 6182 | yeah                           | 是                              | 🏃        | chunks=['y', 'eah'] | py=ㄌㄧ-ㄧㄏ | theme=actions | stage=1
 6183 | yucky                          | 噁心的                            | 🎨        | chunks=['yuc', 'ky'] | py=ㄧㄚㄎ-ㄎㄧ | theme=adjectives | stage=2
 6184 | ability                        | 能力                             | 🎓        | chunks=['a', 'bi', 'li', 'ty'] | py=ㄜ-ㄅㄞ-ㄌㄧ-ㄊㄧ | theme=academic-words | stage=2
 6185 | absence                        | 缺席                             | 🎓        | chunks=['ab', 'sen', 'ce'] | py=ㄚㄅ-ㄙㄝㄣ-ㄙㄜ | theme=academic-words | stage=2
 6186 | absent                         | 缺席的                            | 🎨        | chunks=['ab', 'sent'] | py=ㄚㄅ-ㄗㄣㄊ | theme=adjectives | stage=2
 6187 | active                         | 活潑的                            | ⚡        | chunks=['ac', 'ti', 've'] | py=ㄚㄎ-ㄊㄜ-ㄈㄜ | theme=personality | stage=2 base=act
 6188 | addition                       | 附加                             | 🎓        | chunks=['ad', 'di', 'tion'] | py=ㄚㄉ-ㄉㄧ-ㄒㄣ | theme=academic-words | stage=2 base=add
