# 字 3000-4499
 3000 | attorney                       | 律師                             | ⚖️       | chunks=['at', 'tor', 'ney'] | py=ㄚ-ㄊㄜ-ㄋㄧ | theme=jobs-advanced | stage=2
 3013 | columnist                      | 專欄作家                           | 📰        | chunks=['col', 'um', 'nist'] | py=ㄎㄚ-ㄌㄚㄇ-ㄋㄧㄙㄊ | theme=jobs-advanced | stage=3
 3014 | blogger                        | 部落客                            | 💻        | chunks=['blog', 'ger'] | py=ㄅㄌㄚ-ㄍㄜ | theme=jobs-advanced | stage=1
 3015 | vlogger                        | 影音部落客                          | 📹        | chunks=['vlog', 'ger'] | py=ㄈㄌㄚ-ㄍㄜ | theme=jobs-advanced | stage=2
 3016 | podcaster                      | 播客主                            | 🎙️       | chunks=['pod', 'cas', 'ter'] | py=ㄆㄚㄉ-ㄎㄚㄙ-ㄊㄜ | theme=jobs-advanced | stage=2 base=podcast
 3017 | anchor                         | 主播、船錨                          | 📺        | chunks=['an', 'chor'] | py=ㄢ-ㄎㄜ | theme=jobs-advanced | stage=2
 3018 | technician                     | 技術員                            | 🔧        | chunks=['tech', 'ni', 'cian'] | py=ㄊㄝㄎ-ㄋㄜ-ㄒㄢ | theme=jobs-advanced | stage=2
 3019 | locksmith                      | 鎖匠                             | 🔐        | chunks=['lock', 'smith'] | py=ㄌㄚㄎ-ㄙㄇㄧㄙ | theme=jobs-advanced | stage=3
 3020 | builder                        | 建築工                            | 👷        | chunks=['buil', 'der'] | py=ㄅㄧㄦ-ㄉㄜ | theme=jobs-advanced | stage=1 base=build
 3021 | mason                          | 泥水匠                            | 🧱        | chunks=['ma', 'son'] | py=ㄇㄝ-ㄗㄣ | theme=jobs-advanced | stage=3
 3022 | priest                         | 神父                             | ⛪        | chunks=['pr', 'iest'] | py=ㄆㄌㄧㄙㄊ | theme=jobs-advanced | stage=1
 3023 | pastor                         | 牧師                             | ⛪        | chunks=['pas', 'tor'] | py=ㄆㄚㄙ-ㄊㄜ | theme=jobs-advanced | stage=2
 3024 | minister                       | 部長、牧師                          | 🏛️       | chunks=['min', 'is', 'ter'] | py=ㄇㄧ-ㄋㄜ-ㄙㄉㄜ | theme=jobs-advanced | stage=2
 3025 | monk                           | 僧侶                             | 🧘        | chunks=['m', 'onk'] | py=ㄇㄚㄣㄎ | theme=jobs-advanced | stage=2
 3026 | nun                            | 修女                             | ⛪        | chunks=['n', 'un'] | py=ㄋㄚㄣ | theme=jobs-advanced | stage=2
 3027 | missionary                     | 傳教士                            | 📖        | chunks=['mis', 'sion', 'a', 'ry'] | py=ㄇㄧ-ㄒㄣ-ㄜ-ㄌㄧ | theme=jobs-advanced | stage=3
 3028 | officer                        | 軍官                             | 🪖        | chunks=['of', 'fi', 'cer'] | py=ㄛ-ㄈㄜ-ㄙㄜ | theme=jobs-advanced | stage=1 base=office
 3029 | sergeant                       | 中士                             | 🪖        | chunks=['ser', 'geant'] | py=ㄙㄚㄦ-ㄐㄣㄊ | theme=jobs-advanced | stage=3
 3030 | lieutenant                     | 中尉                             | 🪖        | chunks=['lieu', 'ten', 'ant'] | py=ㄌㄨ-ㄊㄣ-ㄣㄊ | theme=jobs-advanced | stage=3
 3031 | admiral                        | 海軍上將                           | ⚓        | chunks=['ad', 'mi', 'ral'] | py=ㄚㄉ-ㄇㄜ-ㄦ | theme=jobs-advanced | stage=3
 3032 | spy                            | 間諜                             | 🕵️       | chunks=['sp', 'y'] | py=ㄙㄆㄞ | theme=jobs-advanced | stage=1
 3033 | agent                          | 特務                             | 🕵️       | chunks=['a', 'gent'] | py=ㄝ-ㄐㄣㄊ | theme=jobs-advanced | stage=1
 3034 | detective                      | 偵探                             | 🕵️       | chunks=['de', 'tec', 'tive'] | py=ㄉㄧ-ㄊㄝㄎ-ㄊㄧㄈ | theme=jobs-advanced | stage=1 base=detect
 3035 | caregiver                      | 照護者                            | 🧓        | chunks=['care', 'giv', 'er'] | py=ㄎㄝㄜ-ㄍㄧ-ㄈㄜ | theme=jobs-advanced | stage=2
 3036 | therapist                      | 治療師                            | 🩺        | chunks=['ther', 'a', 'pist'] | py=ㄙㄝ-ㄌㄜ-ㄆㄧㄙㄊ | theme=jobs-advanced | stage=2
 3037 | counselor                      | 諮商師                            | 💬        | chunks=['coun', 'se', 'lor'] | py=ㄎㄠㄣ-ㄙㄜ-ㄌㄜ | theme=jobs-advanced | stage=2
 3038 | slim                           | 苗條                             | 📏        | chunks=['sl', 'im'] | py=ㄙㄌㄧㄇ | theme=appearance | stage=1
 3039 | slender                        | 纖細                             | 📏        | chunks=['slen', 'der'] | py=ㄙㄌㄝㄣ-ㄉㄜ | theme=appearance | stage=2
 3040 | skinny                         | 皮包骨                            | 🦴        | chunks=['skin', 'ny'] | py=ㄙㄎㄧ-ㄋㄧ | theme=appearance | stage=1 base=skin
 3041 | plump                          | 豐滿                             | 🍑        | chunks=['pl', 'ump'] | py=ㄆㄌㄚㄇㄆ | theme=appearance | stage=2
 3042 | chubby                         | 圓潤                             | 🐹        | chunks=['chub', 'by'] | py=ㄑㄚ-ㄅㄧ | theme=appearance | stage=1
 3043 | lean                           | 精瘦、傾斜                          | 💪        | chunks=['l', 'ean'] | py=ㄌㄧㄣ | theme=appearance | stage=2
 3044 | muscular                       | 肌肉發達                           | 💪        | chunks=['mus', 'cu', 'lar'] | py=ㄇㄚㄙ-ㄎㄧㄨ-ㄌㄜ | theme=appearance | stage=2
 3045 | beefy                          | 健壯                             | 💪        | chunks=['bee', 'fy'] | py=ㄅㄧ-ㄈㄧ | theme=appearance | stage=3 base=beef
 3046 | bulky                          | 龐大                             | 🦣        | chunks=['bul', 'ky'] | py=ㄅㄚㄦ-ㄎㄧ | theme=appearance | stage=3 base=bulk
 3047 | scrawny                        | 瘦小                             | 🦴        | chunks=['scraw', 'ny'] | py=ㄙㄎㄌㄛ-ㄋㄧ | theme=appearance | stage=3
 3048 | gaunt                          | 憔悴                             | 💀        | chunks=['g', 'aunt'] | py=ㄍㄛㄣㄊ | theme=appearance | stage=3
 3049 | handsome                       | 英俊                             | 🧔        | chunks=['hand', 'some'] | py=ㄏㄢ-ㄙㄣ | theme=appearance | stage=1
 3050 | gorgeous                       | 美艷                             | 💃        | chunks=['gor', 'geous'] | py=ㄍㄛㄦ-ㄐㄚㄙ | theme=appearance | stage=2 base=gorge
 3051 | stunning                       | 驚豔                             | 😍        | chunks=['stun', 'ning'] | py=ㄙㄉㄚ-ㄋㄧㄥ | theme=appearance | stage=2 base=stun
 3052 | attractive                     | 有魅力                            | 💖        | chunks=['at', 'trac', 'tive'] | py=ㄚ-ㄊㄌㄚㄎ-ㄊㄧㄈ | theme=appearance | stage=1 base=attract
 3053 | charming                       | 迷人                             | 💖        | chunks=['charm', 'ing'] | py=ㄑㄚㄦㄇ-ㄧㄥ | theme=appearance | stage=1 base=charm
 3054 | elegant                        | 優雅                             | 👗        | chunks=['el', 'e', 'gant'] | py=ㄝ-ㄌㄜ-ㄍㄣㄊ | theme=appearance | stage=2
 3055 | graceful                       | 優雅                             | 💃        | chunks=['grace', 'ful'] | py=ㄍㄌㄝㄙ-ㄈㄜ | theme=appearance | stage=2 base=grace
 3056 | classy                         | 有格調                            | 🎩        | chunks=['clas', 'sy'] | py=ㄎㄌㄚ-ㄒㄧ | theme=appearance | stage=2 base=class
 3057 | dapper                         | 瀟灑                             | 🤵        | chunks=['dap', 'per'] | py=ㄉㄚ-ㄆㄜ | theme=appearance | stage=3
 3058 | dashing                        | 瀟灑                             | 🤵        | chunks=['dash', 'ing'] | py=ㄉㄚㄒ-ㄧㄥ | theme=appearance | stage=3 base=dash
 3059 | foxy                           | 性感                             | 💋        | chunks=['fox', 'y'] | py=ㄈㄚㄎ-ㄒㄧ | theme=appearance | stage=3 base=fox
 3060 | sexy                           | 性感                             | 💋        | chunks=['sex', 'y'] | py=ㄙㄝㄎ-ㄒㄧ | theme=appearance | stage=1
 3061 | homely                         | 相貌平凡的(美式)                      | 👵        | chunks=['home', 'ly'] | py=ㄏㄛㄇ-ㄌㄧ | theme=appearance | stage=3
 3062 | average                        | 普通                             | 😐        | chunks=['av', 'er', 'age'] | py=ㄚ-ㄈㄜ-ㄧㄐ | theme=appearance | stage=1
 3063 | bald                           | 禿頭                             | 👨‍🦲      | chunks=['b', 'ald'] | py=ㄅㄛㄦㄉ | theme=appearance | stage=1
 3064 | bearded                        | 有鬍鬚                            | 🧔        | chunks=['bear', 'ded'] | py=ㄅㄧㄦ-ㄉㄝㄉ | theme=appearance | stage=2
 3065 | mustached                      | 留小鬍子                           | 🥸        | chunks=['mus', 'tached'] | py=ㄇㄚㄙ-ㄊㄚㄒㄊ | theme=appearance | stage=3
 3066 | hairy                          | 多毛                             | 🧔        | chunks=['hair', 'y'] | py=ㄏㄝㄜ-ㄧ | theme=appearance | stage=1 base=hair
 3067 | tanned                         | 曬黑                             | 🌞        | chunks=['tan', 'ned'] | py=ㄊㄚㄣㄉ | theme=appearance | stage=2
 3068 | fair                           | 公平、(膚色)白皙                      | ⬜        | chunks=['f', 'air'] | py=ㄈㄝㄜ | theme=appearance | stage=1
 3069 | sunburned                      | 曬傷                             | ☀️       | chunks=['sun', 'burned'] | py=ㄙㄚㄣ-ㄅㄜㄣㄉ | theme=appearance | stage=2
 3070 | blonde                         | 金髮的、金髮女子                       | 👱        | chunks=['bl', 'onde'] | py=ㄅㄌㄚㄣㄉ | theme=appearance | stage=1
 3071 | brunette                       | 棕髮                             | 👩        | chunks=['bru', 'nette'] | py=ㄅㄌㄨ-ㄋㄝㄊ | theme=appearance | stage=3
 3072 | redhead                        | 紅髮                             | 👩‍🦰      | chunks=['red', 'head'] | py=ㄌㄝㄉ-ㄏㄝㄉ | theme=appearance | stage=2
 3073 | curly                          | 捲髮                             | 💁        | chunks=['cur', 'ly'] | py=ㄎㄜ-ㄌㄧ | theme=appearance | stage=1 base=curl
 3074 | wavy                           | 波浪髮                            | 〰️       | chunks=['wa', 'vy'] | py=ㄨㄝ-ㄈㄧ | theme=appearance | stage=2 base=wave
 3075 | frizzy                         | 毛躁                             | 🦱        | chunks=['friz', 'zy'] | py=ㄈㄌㄧ-ㄗㄧ | theme=appearance | stage=3
 3076 | braided                        | 編髮                             | 👰        | chunks=['braid', 'ed'] | py=ㄅㄌㄝㄉ-ㄝㄉ | theme=appearance | stage=2
 3077 | glasses                        | 眼鏡                             | 👓        | chunks=['glas', 'ses'] | py=ㄍㄌㄚ-ㄗㄝㄗ | theme=appearance | stage=0
 3078 | contacts                       | 隱形眼鏡                           | 👁️       | chunks=['con', 'tacts'] | py=ㄎㄚㄣ-ㄊㄚㄎㄗ | theme=appearance | stage=2
 3079 | mature                         | 成熟                             | 🧑        | chunks=['ma', 'ture'] | py=ㄇㄚ-ㄑㄜ | theme=appearance | stage=1
 3080 | youthful                       | 年輕                             | 👶        | chunks=['youth', 'ful'] | py=ㄧㄨㄙ-ㄈㄜ | theme=appearance | stage=2 base=youth
 3081 | aged                           | 年長                             | 👴        | chunks=['a', 'ged'] | py=ㄝㄐㄉ | theme=appearance | stage=2
 3082 | wrinkly                        | 皺巴巴                            | 👴        | chunks=['wrink', 'ly'] | py=ㄌㄧㄣㄎ-ㄌㄧ | theme=appearance | stage=3
 3083 | smiley                         | 愛笑                             | 😊        | chunks=['smi', 'ley'] | py=ㄙㄇㄞ-ㄌㄧ | theme=appearance | stage=2
 3084 | dimpled                        | 有酒窩                            | 😊        | chunks=['dim', 'pled'] | py=ㄉㄧㄇ-ㄆㄜㄉ | theme=appearance | stage=3
 3085 | tattooed                       | 有刺青                            | 💪        | chunks=['tat', 'tooed'] | py=ㄊㄚ-ㄊㄨㄉ | theme=appearance | stage=2
 3086 | pierced                        | 穿耳洞                            | 👂        | chunks=['pier', 'ced'] | py=ㄆㄧㄦ-ㄙㄉ | theme=appearance | stage=2
 3087 | neat                           | 整潔                             | ✨        | chunks=['n', 'eat'] | py=ㄋㄧㄊ | theme=appearance | stage=1
 3088 | scruffy                        | 邋遢                             | 👤        | chunks=['scruf', 'fy'] | py=ㄙㄎㄌㄚ-ㄈㄧ | theme=appearance | stage=3
 3089 | shabby                         | 破舊                             | 👤        | chunks=['shab', 'by'] | py=ㄒㄚ-ㄅㄧ | theme=appearance | stage=3
 3090 | untidy                         | 凌亂                             | 🌪️       | chunks=['un', 'ti', 'dy'] | py=ㄚㄣ-ㄊㄞ-ㄉㄧ | theme=appearance | stage=2
 3091 | polished                       | 精緻                             | 💎        | chunks=['pol', 'ished'] | py=ㄆㄚ-ㄌㄧㄒㄉ | theme=appearance | stage=3
 3092 | refined                        | 優雅                             | 🎩        | chunks=['re', 'fined'] | py=ㄌㄧ-ㄈㄞㄣㄉ | theme=appearance | stage=3
 3093 | petite                         | 嬌小                             | 🤏        | chunks=['pe', 'tite'] | py=ㄆㄜ-ㄊㄧㄊ | theme=appearance | stage=2
 3094 | curvy                          | 曲線玲瓏                           | 〰️       | chunks=['cur', 'vy'] | py=ㄎㄜ-ㄈㄧ | theme=appearance | stage=3
 3095 | rugged                         | 粗獷                             | ⛰️       | chunks=['rug', 'ged'] | py=ㄌㄚ-ㄍㄝㄉ | theme=appearance | stage=3
 3096 | disheveled                     | 凌亂                             | 🌪️       | chunks=['di', 'shev', 'eled'] | py=ㄉㄧ-ㄒㄝ-ㄈㄜㄉ | theme=appearance | stage=3
 3097 | ambitious                      | 有抱負                            | 🎯        | chunks=['am', 'bi', 'tious'] | py=ㄚㄇ-ㄅㄧ-ㄒㄚㄙ | theme=personality | stage=2
 3098 | hardworking                    | 勤奮                             | 💪        | chunks=['hard', 'work', 'ing'] | py=ㄏㄚㄦㄉ-ㄨㄜㄎ-ㄧㄥ | theme=personality | stage=1
 3099 | diligent                       | 勤勉                             | 📚        | chunks=['dil', 'i', 'gent'] | py=ㄉㄧ-ㄌㄜ-ㄐㄣㄊ | theme=personality | stage=2
 3100 | motivated                      | 有動力                            | 🎯        | chunks=['mo', 'ti', 'vat', 'ed'] | py=ㄇㄛ-ㄊㄜ-ㄈㄝㄊ-ㄝㄉ | theme=personality | stage=2
 3101 | driven                         | 有衝勁                            | 🚀        | chunks=['dri', 'ven'] | py=ㄉㄌㄧ-ㄈㄣ | theme=personality | stage=2 base=drive
 3102 | determined                     | 堅定                             | 💪        | chunks=['de', 'ter', 'mined'] | py=ㄉㄧ-ㄊㄜ-ㄇㄞㄣㄉ | theme=personality | stage=2
 3103 | reserved                       | 內斂                             | 🤐        | chunks=['re', 'served'] | py=ㄌㄧ-ㄗㄜㄈㄉ | theme=personality | stage=2 base=reserve
 3104 | outgoing                       | 外向                             | 🥳        | chunks=['out', 'go', 'ing'] | py=ㄠㄊ-ㄍㄛ-ㄧㄥ | theme=personality | stage=2
 3105 | introverted                    | 內向                             | 🧘        | chunks=['in', 'tro', 'vert', 'ed'] | py=ㄧㄣ-ㄊㄌㄛ-ㄈㄜㄊ-ㄝㄉ | theme=personality | stage=2
 3106 | extroverted                    | 外向                             | 🥳        | chunks=['ex', 'tro', 'vert', 'ed'] | py=ㄝㄎㄙ-ㄊㄌㄛ-ㄈㄜㄊ-ㄝㄉ | theme=personality | stage=2
 3107 | unfriendly                     | 不友善                            | 😒        | chunks=['un', 'friend', 'ly'] | py=ㄚㄣ-ㄈㄌㄝㄣ-ㄌㄧ | theme=personality | stage=1
 3108 | hostile                        | 有敵意的                           | 😡        | chunks=['hos', 'tile'] | py=ㄏㄚㄙ-ㄊㄜ | theme=personality | stage=2
 3109 | distant                        | 冷淡                             | 🧊        | chunks=['dis', 'tant'] | py=ㄉㄧㄙ-ㄊㄣㄊ | theme=personality | stage=2
 3110 | aloof                          | 高傲                             | 🙅        | chunks=['a', 'loof'] | py=ㄚ-ㄌㄨㄈ | theme=personality | stage=3
 3111 | dishonest                      | 不誠實                            | 🤥        | chunks=['dis', 'hon', 'est'] | py=ㄉㄧㄙ-ㄚ-ㄋㄝㄙㄊ | theme=personality | stage=2
 3112 | sincere                        | 真誠                             | 💗        | chunks=['sin', 'cere'] | py=ㄒㄧㄣ-ㄒㄧㄦ | theme=personality | stage=2
 3113 | candid                         | 坦率                             | 💬        | chunks=['can', 'did'] | py=ㄎㄢ-ㄉㄧㄉ | theme=personality | stage=3
 3114 | blunt                          | 直白                             | 💬        | chunks=['bl', 'unt'] | py=ㄅㄌㄚㄣㄊ | theme=personality | stage=2
 3115 | tactful                        | 圓融                             | 🤝        | chunks=['tact', 'ful'] | py=ㄊㄚㄎㄊ-ㄈㄜ | theme=personality | stage=3 base=tact
 3116 | diplomatic                     | 圓滑                             | 🤝        | chunks=['dip', 'lo', 'mat', 'ic'] | py=ㄉㄧ-ㄆㄌㄜ-ㄇㄚ-ㄊㄧㄎ | theme=personality | stage=2
 3117 | loyal                          | 忠誠                             | 🐕        | chunks=['loy', 'al'] | py=ㄌㄛㄧ-ㄦ | theme=personality | stage=1
 3118 | faithful                       | 忠實                             | 💍        | chunks=['faith', 'ful'] | py=ㄈㄝㄒ-ㄈㄜ | theme=personality | stage=2 base=faith
 3119 | reliable                       | 可靠                             | 💪        | chunks=['re', 'li', 'a', 'ble'] | py=ㄌㄧ-ㄌㄞ-ㄜ-ㄅㄜ | theme=personality | stage=1
 3120 | dependable                     | 可信賴                            | 💪        | chunks=['de', 'pen', 'da', 'ble'] | py=ㄉㄧ-ㄆㄣ-ㄉㄜ-ㄅㄜ | theme=personality | stage=2 base=depend
 3121 | trustworthy                    | 值得信賴                           | 🤝        | chunks=['trust', 'wor', 'thy'] | py=ㄊㄌㄚㄙㄊ-ㄨㄜ-ㄒㄧ | theme=personality | stage=2
 3122 | optimistic                     | 樂觀                             | 😊        | chunks=['op', 'ti', 'mis', 'tic'] | py=ㄚㄆ-ㄊㄜ-ㄇㄧㄙ-ㄊㄧㄎ | theme=personality | stage=2
 3123 | pessimistic                    | 悲觀                             | 😔        | chunks=['pes', 'si', 'mis', 'tic'] | py=ㄆㄝ-ㄙㄜ-ㄇㄧㄙ-ㄊㄧㄎ | theme=personality | stage=2
 3124 | realistic                      | 務實的、現實的                        | 💯        | chunks=['re', 'al', 'is', 'tic'] | py=ㄌㄧ-ㄜ-ㄌㄧㄙ-ㄊㄧㄎ | theme=personality | stage=1
 3125 | idealistic                     | 理想主義                           | 💭        | chunks=['i', 'de', 'al', 'is', 'tic'] | py=ㄞ-ㄉㄧ-ㄜ-ㄌㄧㄙ-ㄊㄧㄎ | theme=personality | stage=3
 3126 | cynical                        | 憤世嫉俗                           | 😒        | chunks=['cyn', 'i', 'cal'] | py=ㄒㄧ-ㄋㄜ-ㄎㄜ | theme=personality | stage=3
 3127 | skeptical                      | 多疑的                            | 🤨        | chunks=['skep', 'ti', 'cal'] | py=ㄙㄎㄝㄆ-ㄊㄜ-ㄎㄜ | theme=personality | stage=3
 3128 | creative                       | 有創意                            | 🎨        | chunks=['cre', 'a', 'tive'] | py=ㄎㄌㄧ-ㄝ-ㄊㄧㄈ | theme=personality | stage=1 base=create
 3129 | imaginative                    | 有想像力                           | 💭        | chunks=['i', 'mag', 'i', 'na', 'tive'] | py=ㄧ-ㄇㄚ-ㄐㄜ-ㄋㄜ-ㄊㄧㄈ | theme=personality | stage=2
 3130 | innovative                     | 創新                             | 💡        | chunks=['in', 'no', 'va', 'tive'] | py=ㄧ-ㄋㄛ-ㄈㄝ-ㄊㄧㄈ | theme=personality | stage=2 base=innovate
 3131 | artistic                       | 藝術的                            | 🎨        | chunks=['ar', 'tis', 'tic'] | py=ㄚㄦ-ㄊㄧㄙ-ㄊㄧㄎ | theme=personality | stage=1
 3132 | original                       | 原創                             | ⭐        | chunks=['o', 'rig', 'i', 'nal'] | py=ㄜ-ㄌㄧ-ㄐㄜ-ㄋㄦ | theme=personality | stage=1 base=origin
 3133 | arrogant                       | 自大                             | 🦚        | chunks=['ar', 'ro', 'gant'] | py=ㄝ-ㄌㄜ-ㄍㄣㄊ | theme=personality | stage=2
 3134 | humble                         | 謙虛                             | 🙏        | chunks=['hum', 'ble'] | py=ㄏㄚㄇ-ㄅㄜ | theme=personality | stage=2
 3135 | modest                         | 謙虛                             | 🙏        | chunks=['mod', 'est'] | py=ㄇㄚ-ㄉㄝㄙㄊ | theme=personality | stage=2
 3136 | conceited                      | 自負                             | 😏        | chunks=['con', 'ceit', 'ed'] | py=ㄎㄢ-ㄒㄧㄊ-ㄝㄉ | theme=personality | stage=3
 3137 | vain                           | 虛榮                             | 💄        | chunks=['v', 'ain'] | py=ㄈㄟㄣ | theme=personality | stage=2 [有易混提示]
 3138 | pretentious                    | 做作                             | 🎭        | chunks=['pre', 'ten', 'tious'] | py=ㄆㄌㄧ-ㄊㄣ-ㄒㄚㄙ | theme=personality | stage=3
 3139 | generous                       | 慷慨                             | 🎁        | chunks=['gen', 'er', 'ous'] | py=ㄐㄣ-ㄋㄜ-ㄚㄙ | theme=personality | stage=1
 3140 | stingy                         | 小氣                             | 🤏        | chunks=['stin', 'gy'] | py=ㄙㄉㄧㄣ-ㄐㄧ | theme=personality | stage=2
 3141 | selfish                        | 自私                             | 😒        | chunks=['self', 'ish'] | py=ㄙㄝㄦㄈ-ㄧㄒ | theme=personality | stage=1
 3142 | selfless                       | 無私                             | 🤲        | chunks=['self', 'less'] | py=ㄙㄝㄦㄈ-ㄌㄝㄙ | theme=personality | stage=2 base=self
 3143 | charitable                     | 樂善好施的                          | ❤️       | chunks=['char', 'i', 'ta', 'ble'] | py=ㄑㄝ-ㄌㄜ-ㄊㄜ-ㄅㄜ | theme=personality | stage=3
 3144 | impatient                      | 沒耐心                            | 😤        | chunks=['im', 'pa', 'tient'] | py=ㄧㄇ-ㄆㄟ-ㄒㄣㄊ | theme=personality | stage=2
 3145 | emotional                      | 情緒化                            | 😭        | chunks=['e', 'mo', 'tion', 'al'] | py=ㄧ-ㄇㄛ-ㄒㄣ-ㄦ | theme=personality | stage=2 base=emotion
 3146 | sensitive                      | 敏感                             | 💖        | chunks=['sen', 'si', 'tive'] | py=ㄙㄝㄣ-ㄙㄜ-ㄊㄧㄈ | theme=personality | stage=1
 3147 | sentimental                    | 多愁善感                           | 💗        | chunks=['sen', 'ti', 'men', 'tal'] | py=ㄙㄝㄣ-ㄊㄜ-ㄇㄣ-ㄉㄜ | theme=personality | stage=3 base=sentiment
 3148 | romantic                       | 浪漫                             | 💕        | chunks=['ro', 'man', 'tic'] | py=ㄌㄛ-ㄇㄢ-ㄊㄧㄎ | theme=personality | stage=1
 3149 | practical                      | 務實                             | 🔧        | chunks=['prac', 'ti', 'cal'] | py=ㄆㄌㄚㄎ-ㄊㄜ-ㄎㄜ | theme=personality | stage=2 base=practice
 3150 | logical                        | 有邏輯                            | 🧠        | chunks=['log', 'i', 'cal'] | py=ㄌㄚ-ㄐㄜ-ㄎㄜ | theme=personality | stage=1 base=logic
 3151 | rational                       | 理性                             | 🧠        | chunks=['ra', 'tion', 'al'] | py=ㄌㄚ-ㄒㄣ-ㄦ | theme=personality | stage=2
 3152 | irrational                     | 非理性                            | 🌀        | chunks=['ir', 'ra', 'tion', 'al'] | py=ㄧ-ㄌㄚ-ㄒㄣ-ㄦ | theme=personality | stage=3
 3153 | spontaneous                    | 自發                             | 🎉        | chunks=['spon', 'ta', 'ne', 'ous'] | py=ㄙㄆㄢ-ㄊㄝ-ㄋㄧ-ㄚㄙ | theme=personality | stage=3
 3154 | impulsive                      | 衝動                             | 💥        | chunks=['im', 'pul', 'sive'] | py=ㄧㄇ-ㄆㄚㄦ-ㄒㄧㄈ | theme=personality | stage=2 base=impulse
 3155 | reckless                       | 魯莽                             | 💥        | chunks=['reck', 'less'] | py=ㄌㄝㄎ-ㄌㄝㄙ | theme=personality | stage=3
 3156 | cautious                       | 謹慎                             | ⚠️       | chunks=['cau', 'tious'] | py=ㄎㄛ-ㄒㄚㄙ | theme=personality | stage=2
 3157 | careful                        | 小心                             | ⚠️       | chunks=['care', 'ful'] | py=ㄎㄝㄜ-ㄈㄜ | theme=personality | stage=0 base=care
 3158 | childish                       | 幼稚                             | 👶        | chunks=['child', 'ish'] | py=ㄑㄞㄦㄉ-ㄧㄒ | theme=personality | stage=1
 3159 | immature                       | 不成熟                            | 👶        | chunks=['im', 'ma', 'ture'] | py=ㄧ-ㄇㄚ-ㄑㄜ | theme=personality | stage=2
 3160 | naive                          | 天真                             | 👶        | chunks=['na', 'ive'] | py=ㄋㄚ-ㄧㄈ | theme=personality | stage=2
 3161 | gullible                       | 易上當                            | 🤡        | chunks=['gul', 'li', 'ble'] | py=ㄍㄚ-ㄌㄜ-ㄅㄜ | theme=personality | stage=3
 3162 | witty                          | 機智                             | 🧠        | chunks=['wit', 'ty'] | py=ㄨㄧ-ㄊㄧ | theme=personality | stage=2
 3163 | sarcastic                      | 諷刺                             | 😏        | chunks=['sar', 'cas', 'tic'] | py=ㄙㄚㄦ-ㄎㄚㄙ-ㄊㄧㄎ | theme=personality | stage=2
 3164 | humorous                       | 幽默                             | 😂        | chunks=['hu', 'mor', 'ous'] | py=ㄏㄧㄨ-ㄇㄜ-ㄚㄙ | theme=personality | stage=1 base=humor
 3165 | talkative                      | 愛說話                            | 💬        | chunks=['talk', 'a', 'tive'] | py=ㄊㄛㄎ-ㄜ-ㄊㄧㄈ | theme=personality | stage=1
