# 字 500-999
  500 | live                           | 居住                             | 🏠        | chunks=['l', 'ive'] | py=ㄌㄧㄈ | theme=actions | stage=0 [有易混提示]
  541 | funny                          | 好笑                             | 😂        | chunks=['fun', 'ny'] | py=ㄈㄚㄣ-ㄋㄧ | theme=adjectives | stage=1 base=fun [有易混提示]
  542 | boring                         | 無聊的(事物)                        | 😴        | chunks=['bor', 'ing'] | py=ㄅㄛ-ㄌㄧㄥ | theme=adjectives | stage=1 base=bore
  543 | interesting                    | 有趣                             | 🤩        | chunks=['in', 'ter', 'est', 'ing'] | py=ㄧㄣ-ㄊㄜ-ㄖㄜㄙ-ㄊㄧㄥ | theme=adjectives | stage=2 base=interest
  544 | busy                           | 忙碌                             | 🏃        | chunks=['bu', 'sy'] | py=ㄅㄧ-ㄗㄧ | theme=adjectives | stage=1
  545 | lazy                           | 懶                              | 🦥        | chunks=['la', 'zy'] | py=ㄌㄟ-ㄗㄧ | theme=adjectives | stage=1
  546 | free                           | 免費、自由                          | 🆓        | chunks=['free'] | py=ㄈㄦㄧ | theme=adjectives | stage=1 [有易混提示]
  547 | full                           | 滿                              | 🍱        | chunks=['f', 'ull'] | py=ㄈㄨㄦ | theme=adjectives | stage=0 [有易混提示]
  548 | empty                          | 空                              | 🫙        | chunks=['emp', 'ty'] | py=ㄝㄇ-ㄆㄊㄧ | theme=adjectives | stage=1
  549 | safe                           | 安全                             | 🛡️       | chunks=['s', 'afe'] | py=ㄙㄟㄈ | theme=adjectives | stage=1 [有易混提示]
  550 | dangerous                      | 危險                             | ⚠️       | chunks=['dan', 'ger', 'ous'] | py=ㄉㄟㄣ-ㄐㄜ-ㄜㄙ | theme=adjectives | stage=2
  551 | true                           | 真的                             | ✅        | chunks=['true'] | py=ㄊㄦㄨ | theme=adjectives | stage=1 [有易混提示]
  552 | false                          | 假的、錯的                          | ❌        | chunks=['f', 'alse'] | py=ㄈㄛㄦㄙ | theme=adjectives | stage=1
  553 | real                           | 真實                             | 💯        | chunks=['r', 'eal'] | py=ㄖㄧㄜㄦ | theme=adjectives | stage=1 [有易混提示]
  554 | fake                           | 假的                             | 🃏        | chunks=['f', 'ake'] | py=ㄈㄟㄎ | theme=adjectives | stage=1
  555 | same                           | 一樣                             | 🟰        | chunks=['s', 'ame'] | py=ㄙㄟㄇ | theme=adjectives | stage=0 [有易混提示]
  556 | different                      | 不同                             | 🔄        | chunks=['dif', 'fer', 'ent'] | py=ㄉㄧ-ㄈㄜ-ㄜㄣㄊ | theme=adjectives | stage=2
  557 | wrong                          | 錯                              | ❌        | chunks=['wr', 'ong'] | py=ㄌㄚㄥ | theme=adjectives | stage=1 [有易混提示]
  558 | early                          | 早                              | 🌅        | chunks=['ear', 'ly'] | py=ㄦ-ㄌㄧ | theme=adjectives | stage=1
  559 | late                           | 晚                              | 🌙        | chunks=['l', 'ate'] | py=ㄌㄟㄊ | theme=adjectives | stage=1 [有易混提示]
  560 | ready                          | 準備好                            | 👌        | chunks=['read', 'y'] | py=ㄌㄝ-ㄉㄧ | theme=adjectives | stage=1
  561 | healthy                        | 健康                             | 🥗        | chunks=['health', 'y'] | py=ㄏㄝㄦ-ㄒㄧ | theme=adjectives | stage=1 base=health
  562 | delicious                      | 美味                             | 😋        | chunks=['de', 'li', 'cious'] | py=ㄉㄧ-ㄌㄧ-ㄒㄜㄙ | theme=adjectives | stage=2
  563 | sweet                          | 甜                              | 🍬        | chunks=['sw', 'eet'] | py=ㄙㄨㄧㄊ | theme=adjectives | stage=0 [有易混提示]
  564 | sour                           | 酸                              | 🍋        | chunks=['s', 'our'] | py=ㄙㄠㄜ | theme=adjectives | stage=1
  565 | spicy                          | 辣                              | 🌶️       | chunks=['spi', 'cy'] | py=ㄙㄆㄞ-ㄒㄧ | theme=adjectives | stage=1 base=spice
  566 | salty                          | 鹹                              | 🧂        | chunks=['sal', 'ty'] | py=ㄙㄚㄦ-ㄊㄧ | theme=adjectives | stage=1 base=salt
  567 | fresh                          | 新鮮                             | 🥬        | chunks=['fr', 'esh'] | py=ㄈㄦㄝㄒ | theme=adjectives | stage=1 [有易混提示]
  568 | famous                         | 有名                             | 🌟        | chunks=['fa', 'mous'] | py=ㄈㄟ-ㄇㄜㄙ | theme=adjectives | stage=2 base=fame
  569 | mad                            | 抓狂、瘋                           | 😡        | chunks=['m', 'ad'] | py=ㄇㄚㄉ | theme=emotions | stage=0 [有易混提示]
  570 | upset                          | 心煩、不開心                         | 😞        | chunks=['up', 'set'] | py=ㄚㄆ-ㄙㄝㄊ | theme=emotions | stage=1 base=upset [有易混提示]
  571 | worried                        | 擔心的                            | 😟        | chunks=['wor', 'ried'] | py=ㄨㄜ-ㄌㄧㄉ | theme=emotions | stage=1 base=worry
  572 | nervous                        | 緊張                             | 😬        | chunks=['ner', 'vous'] | py=ㄋㄦ-ㄈㄜㄙ | theme=emotions | stage=2 base=nerve
  573 | calm                           | 冷靜                             | 😌        | chunks=['c', 'alm'] | py=ㄎㄚㄇ | theme=emotions | stage=1 [有易混提示]
  574 | relaxed                        | 放鬆的                            | 🛀        | chunks=['re', 'laxed'] | py=ㄌㄧ-ㄌㄚㄎㄙㄊ | theme=emotions | stage=2 base=relax
  575 | proud                          | 驕傲                             | 🦚        | chunks=['pr', 'oud'] | py=ㄆㄦㄠㄉ | theme=emotions | stage=1
  576 | jealous                        | 嫉妒的                            | 😒        | chunks=['jeal', 'ous'] | py=ㄐㄝ-ㄌㄜㄙ | theme=emotions | stage=2
  577 | lonely                         | 孤單                             | 🥀        | chunks=['lone', 'ly'] | py=ㄌㄛㄣ-ㄌㄧ | theme=emotions | stage=1 base=lone [有易混提示]
  578 | confused                       | 困惑                             | 😵‍💫      | chunks=['con', 'fused'] | py=ㄎㄢ-ㄈㄧㄨㄗㄉ | theme=emotions | stage=2 base=confuse
  579 | surprised                      | 驚訝                             | 😲        | chunks=['sur', 'prised'] | py=ㄙㄦ-ㄆㄦㄞㄗㄉ | theme=emotions | stage=1 base=surprise [有易混提示]
  580 | shocked                        | 震驚                             | 😱        | chunks=['sh', 'ocked'] | py=ㄒㄚㄎㄊ | theme=emotions | stage=2 base=shock
  581 | embarrassed                    | 尷尬                             | 😳        | chunks=['em', 'bar', 'rassed'] | py=ㄧㄇ-ㄅㄚ-ㄌㄚㄙㄊ | theme=emotions | stage=2 base=embarrass
  582 | brave                          | 勇敢                             | 🦁        | chunks=['br', 'ave'] | py=ㄅㄦㄟㄈ | theme=emotions | stage=1
  583 | afraid                         | 害怕的、擔心的                        | 😨        | chunks=['a', 'fraid'] | py=ㄚ-ㄈㄦㄟㄉ | theme=emotions | stage=1
  584 | annoyed                        | 煩躁                             | 😤        | chunks=['an', 'noyed'] | py=ㄚ-ㄋㄛㄧㄉ | theme=emotions | stage=2 base=annoy
  585 | grateful                       | 感激的、感謝的                        | 🙏        | chunks=['grate', 'ful'] | py=ㄍㄦㄟㄊ-ㄈㄨㄦ | theme=emotions | stage=2
  586 | hopeful                        | 充滿希望                           | 🌟        | chunks=['hope', 'ful'] | py=ㄏㄛㄆ-ㄈㄜㄦ | theme=emotions | stage=2 base=hope
  587 | cheerful                       | 開朗                             | 😄        | chunks=['cheer', 'ful'] | py=ㄔㄧㄦ-ㄈㄨㄦ | theme=emotions | stage=2 base=cheer
  588 | fine                           | 還好                             | 👌        | chunks=['f', 'ine'] | py=ㄈㄞㄣ | theme=emotions | stage=0 [有易混提示]
  589 | okay                           | 還行                             | 👍        | chunks=['o', 'kay'] | py=ㄛ-ㄎㄟ | theme=emotions | stage=0
  590 | great                          | 很棒                             | 🎉        | chunks=['gr', 'eat'] | py=ㄍㄦㄟㄊ | theme=emotions | stage=0
  591 | terrible                       | 糟糕                             | 😖        | chunks=['ter', 'ri', 'ble'] | py=ㄊㄝ-ㄌㄧ-ㄅㄜ | theme=emotions | stage=2
  592 | amazing                        | 驚人                             | 🤩        | chunks=['a', 'ma', 'zing'] | py=ㄚ-ㄇㄟ-ㄗㄧㄥ | theme=emotions | stage=1 base=amaze
  593 | hurt                           | 受傷                             | 🤕        | chunks=['h', 'urt'] | py=ㄏㄦㄊ | theme=emotions | stage=1 base=hurt [有易混提示]
  594 | joy                            | 喜悅                             | 😊        | chunks=['joy'] | py=ㄐㄛㄧ | theme=emotions | stage=1
  595 | fear                           | 恐懼                             | 😨        | chunks=['f', 'ear'] | py=ㄈㄧㄦ | theme=emotions | stage=1
  596 | care                           | 關心                             | 💗        | chunks=['c', 'are'] | py=ㄎㄝㄦ | theme=emotions | stage=0 [有易混提示]
  597 | miss                           | 想念                             | 😢        | chunks=['m', 'iss'] | py=ㄇㄧㄙ | theme=emotions | stage=0 [有易混提示]
  598 | trust                          | 信任                             | 🤝        | chunks=['tr', 'ust'] | py=ㄊㄦㄚㄙㄊ | theme=emotions | stage=1
  599 | doubt                          | 懷疑                             | 🤨        | chunks=['d', 'oubt'] | py=ㄉㄠㄊ | theme=emotions | stage=2
  600 | enjoy                          | 享受                             | 🥳        | chunks=['en', 'joy'] | py=ㄧㄣ-ㄐㄛㄧ | theme=emotions | stage=1
  601 | cheer                          | 歡呼                             | 📣        | chunks=['ch', 'eer'] | py=ㄔㄧㄦ | theme=emotions | stage=1
  602 | weep                           | 哭泣                             | 😭        | chunks=['w', 'eep'] | py=ㄨㄧㄆ | theme=emotions | stage=2
  603 | frown                          | 皺眉                             | 🙁        | chunks=['fr', 'own'] | py=ㄈㄦㄠㄣ | theme=emotions | stage=2
  604 | blush                          | 臉紅                             | 😊        | chunks=['bl', 'ush'] | py=ㄅㄌㄚㄒ | theme=emotions | stage=2
  605 | sigh                           | 嘆氣                             | 😮‍💨      | chunks=['sigh'] | py=ㄙㄞ | theme=emotions | stage=2
  606 | yell                           | 大叫                             | 😤        | chunks=['y', 'ell'] | py=ㄧㄝㄦ | theme=emotions | stage=1
  607 | scream                         | 尖叫                             | 😱        | chunks=['scr', 'eam'] | py=ㄙㄎㄦㄧㄇ | theme=emotions | stage=1
  608 | silly                          | 傻氣                             | 🤪        | chunks=['sil', 'ly'] | py=ㄒㄧ-ㄌㄧ | theme=emotions | stage=1
  609 | serious                        | 嚴肅                             | 🧐        | chunks=['ser', 'ious'] | py=ㄒㄧ-ㄖㄧㄜㄙ | theme=emotions | stage=2
  610 | gentle                         | 溫柔                             | 🤗        | chunks=['gen', 'tle'] | py=ㄐㄣ-ㄉㄜ | theme=emotions | stage=2
  611 | honest                         | 誠實                             | 🕊️       | chunks=['hon', 'est'] | py=ㄚ-ㄋㄜㄙㄊ | theme=emotions | stage=2
  612 | polite                         | 有禮貌                            | 🙇        | chunks=['po', 'lite'] | py=ㄆㄛ-ㄌㄞㄊ | theme=emotions | stage=2
  613 | rude                           | 無禮                             | 😒        | chunks=['r', 'ude'] | py=ㄌㄨㄉ | theme=emotions | stage=2
  614 | friendly                       | 友善                             | 🤗        | chunks=['friend', 'ly'] | py=ㄈㄦㄝㄣ-ㄌㄧ | theme=emotions | stage=1 base=friend
  615 | silent                         | 沉默                             | 🤐        | chunks=['si', 'lent'] | py=ㄙㄞ-ㄌㄣㄊ | theme=emotions | stage=2
  616 | fond                           | 喜愛的                            | 💕        | chunks=['f', 'ond'] | py=ㄈㄚㄣㄉ | theme=emotions | stage=2
  617 | a                              | 一                              | 1️⃣      | chunks=['a'] | py=ㄜ / ㄝ | theme=sight-words | stage=0
  618 | to                             | 到                              | ➡️       | chunks=['to'] | py=ㄊㄨ / ㄊㄜ | theme=sight-words | stage=0 [有易混提示]
  619 | of                             | 的                              | 🔗        | chunks=['of'] | py=ㄚㄈ / ㄜㄈ | theme=sight-words | stage=0 [有易混提示]
  620 | at                             | 在                              | 🎯        | chunks=['at'] | py=ㄚㄊ | theme=sight-words | stage=0 [有易混提示]
  621 | for                            | 為了                             | 🎁        | chunks=['f', 'or'] | py=ㄈㄛㄦ | theme=sight-words | stage=0 [有易混提示]
  622 | with                           | 跟                              | 👫        | chunks=['w', 'ith'] | py=ㄨㄧㄒ | theme=sight-words | stage=0 [有易混提示]
  623 | by                             | 旁邊                             | ↔️       | chunks=['by'] | py=ㄅㄞ | theme=sight-words | stage=0 [有易混提示]
  624 | from                           | 從                              | ⬅️       | chunks=['fr', 'om'] | py=ㄈㄦㄚㄇ | theme=sight-words | stage=0
  625 | as                             | 像                              | 🔁        | chunks=['as'] | py=ㄝㄗ | theme=sight-words | stage=0 [有易混提示]
  626 | but                            | 但是                             | ➖        | chunks=['b', 'ut'] | py=ㄅㄚㄊ | theme=sight-words | stage=0 [有易混提示]
  627 | or                             | 或                              | ↔️       | chunks=['or'] | py=ㄛㄦ | theme=sight-words | stage=0 [有易混提示]
  628 | so                             | 所以                             | ➡️       | chunks=['so'] | py=ㄙㄛ | theme=sight-words | stage=0 [有易混提示]
  629 | if                             | 如果                             | 🤔        | chunks=['if'] | py=ㄧㄈ | theme=sight-words | stage=0
  630 | then                           | 然後                             | 👉        | chunks=['th', 'en'] | py=ㄉㄧㄣ | theme=sight-words | stage=0 [有易混提示]
  631 | than                           | 比                              | ⚖️       | chunks=['th', 'an'] | py=ㄉㄢ | theme=sight-words | stage=1 [有易混提示]
  632 | when                           | 何時                             | ❓        | chunks=['wh', 'en'] | py=ㄨㄝㄣ | theme=sight-words | stage=0 [有易混提示]
  633 | where                          | 哪裡                             | 📍        | chunks=['wh', 'ere'] | py=ㄨㄝㄜ | theme=sight-words | stage=0 [有易混提示]
  634 | why                            | 為什麼                            | ❓        | chunks=['why'] | py=ㄨㄞ | theme=sight-words | stage=0
  635 | how                            | 如何                             | ❓        | chunks=['how'] | py=ㄏㄠ | theme=sight-words | stage=0
  636 | what                           | 什麼                             | ❓        | chunks=['wh', 'at'] | py=ㄨㄚㄊ | theme=sight-words | stage=0 [有易混提示]
  637 | who                            | 誰                              | ❓        | chunks=['who'] | py=ㄏㄨ | theme=sight-words | stage=0 [有易混提示]
  638 | this                           | 這                              | 👇        | chunks=['th', 'is'] | py=ㄉㄧㄙ | theme=sight-words | stage=0 [有易混提示]
  639 | that                           | 那                              | 👉        | chunks=['th', 'at'] | py=ㄉㄚㄊ | theme=sight-words | stage=0 [有易混提示]
  640 | these                          | 這些                             | 👇        | chunks=['th', 'ese'] | py=ㄉㄧㄗ | theme=sight-words | stage=1
  641 | those                          | 那些                             | 👉        | chunks=['th', 'ose'] | py=ㄉㄛㄗ | theme=sight-words | stage=1
  642 | there                          | 那裡                             | 📍        | chunks=['th', 'ere'] | py=ㄉㄝㄜ | theme=sight-words | stage=0 [有易混提示]
  643 | here                           | 這裡                             | 📍        | chunks=['h', 'ere'] | py=ㄏㄧㄦ | theme=sight-words | stage=0 [有易混提示]
  644 | some                           | 一些                             | 🤏        | chunks=['s', 'ome'] | py=ㄙㄚㄇ | theme=sight-words | stage=0 [有易混提示]
  645 | any                            | 任何                             | ❓        | chunks=['a', 'ny'] | py=ㄝ-ㄋㄧ | theme=sight-words | stage=1 [有易混提示]
  646 | all                            | 全部                             | 💯        | chunks=['all'] | py=ㄛㄦ | theme=sight-words | stage=0 [有易混提示]
  647 | each                           | 每                              | 1️⃣      | chunks=['each'] | py=ㄧㄔ | theme=sight-words | stage=1
  648 | every                          | 每個                             | 🔁        | chunks=['eve', 'ry'] | py=ㄝ-ㄈㄦㄧ | theme=sight-words | stage=1
  649 | many                           | 許多                             | 👨‍👩‍👧‍👦  | chunks=['ma', 'ny'] | py=ㄇㄝ-ㄋㄧ | theme=sight-words | stage=1 [有易混提示]
  650 | much                           | 很多                             | 📊        | chunks=['m', 'uch'] | py=ㄇㄚㄔ | theme=sight-words | stage=1 [有易混提示]
  651 | most                           | 大多數                            | 🏆        | chunks=['m', 'ost'] | py=ㄇㄛㄙㄊ | theme=sight-words | stage=1 base=many [有易混提示]
  652 | few                            | 少                              | 🤏        | chunks=['few'] | py=ㄈㄧㄨ | theme=sight-words | stage=1 [有易混提示]
  653 | other                          | 其他                             | 🔄        | chunks=['oth', 'er'] | py=ㄚ-ㄉㄜ | theme=sight-words | stage=1 [有易混提示]
  654 | another                        | 另一                             | ➕        | chunks=['a', 'noth', 'er'] | py=ㄜ-ㄋㄚ-ㄉㄜ | theme=sight-words | stage=1 [有易混提示]
  655 | only                           | 只                              | 1️⃣      | chunks=['on', 'ly'] | py=ㄛㄣ-ㄌㄧ | theme=sight-words | stage=1 [有易混提示]
  656 | just                           | 剛剛、只                           | 👉        | chunks=['j', 'ust'] | py=ㄐㄚㄙㄊ | theme=sight-words | stage=1 [有易混提示]
  657 | also                           | 也                              | ➕        | chunks=['al', 'so'] | py=ㄛㄦ-ㄙㄛ | theme=sight-words | stage=1
  658 | too                            | 太、也                            | ➕        | chunks=['too'] | py=ㄊㄨ | theme=sight-words | stage=0 [有易混提示]
  659 | very                           | 非常                             | ‼️       | chunks=['ve', 'ry'] | py=ㄈㄝ-ㄌㄧ | theme=sight-words | stage=0
  660 | really                         | 真的                             | 💯        | chunks=['real', 'ly'] | py=ㄖㄧ-ㄌㄧ | theme=sight-words | stage=1 base=real
  661 | always                         | 總是                             | 🔁        | chunks=['al', 'ways'] | py=ㄛㄦ-ㄨㄝㄗ | theme=sight-words | stage=1
  662 | never                          | 從不                             | 🚫        | chunks=['nev', 'er'] | py=ㄋㄝ-ㄈㄜ | theme=sight-words | stage=1
  663 | often                          | 常常                             | 🔁        | chunks=['of', 'ten'] | py=ㄛ-ㄈㄜㄣ | theme=sight-words | stage=1
  664 | sometimes                      | 有時候                            | ⏰        | chunks=['some', 'times'] | py=ㄙㄚㄇ-ㄊㄞㄇㄗ | theme=sight-words | stage=1
  665 | now                            | 現在                             | ⏰        | chunks=['now'] | py=ㄋㄠ | theme=sight-words | stage=0 [有易混提示]
  666 | yesterday                      | 昨天                             | ◀️       | chunks=['yes', 'ter', 'day'] | py=ㄧㄝㄙ-ㄊㄜ-ㄉㄟ | theme=sight-words | stage=1
  667 | soon                           | 很快                             | ⏩        | chunks=['s', 'oon'] | py=ㄙㄨㄣ | theme=sight-words | stage=1 [有易混提示]
  668 | before                         | 之前                             | ⏪        | chunks=['be', 'fore'] | py=ㄅㄧ-ㄈㄛㄦ | theme=sight-words | stage=1 [有易混提示]
  669 | after                          | 之後                             | ⏩        | chunks=['af', 'ter'] | py=ㄚㄈ-ㄊㄜ | theme=sight-words | stage=1 [有易混提示]
  670 | again                          | 再                              | 🔁        | chunks=['a', 'gain'] | py=ㄜ-ㄍㄜㄣ | theme=sight-words | stage=1
  671 | once                           | 一次                             | 1️⃣      | chunks=['on', 'ce'] | py=ㄨㄢㄙ | theme=sight-words | stage=1 [有易混提示]
  672 | twice                          | 兩次                             | 2️⃣      | chunks=['tw', 'ice'] | py=ㄊㄨㄞㄙ | theme=sight-words | stage=1
  673 | been                           | 曾經(be 的完成形)                    | ✅        | chunks=['b', 'een'] | py=ㄅㄧㄣ | theme=sight-words | stage=1 base=be
  674 | were                           | 是(過去,複數/you)                   | 📜        | chunks=['w', 'ere'] | py=ㄨㄜ | theme=sight-words | stage=1 base=are
  675 | are                            | 是                              | ➡️       | chunks=['are'] | py=ㄚㄦ | theme=sight-words | stage=0
  676 | am                             | 是                              | 1️⃣      | chunks=['am'] | py=ㄚㄇ | theme=sight-words | stage=0
  677 | be                             | 是                              | 🔵        | chunks=['be'] | py=ㄅㄧ | theme=sight-words | stage=0 [有易混提示]
  678 | has                            | 有                              | 🤲        | chunks=['h', 'as'] | py=ㄏㄚㄗ | theme=sight-words | stage=0 base=have
  679 | had                            | 有過                             | 📜        | chunks=['h', 'ad'] | py=ㄏㄚㄉ | theme=sight-words | stage=1 base=have
  680 | will                           | 將                              | ▶️       | chunks=['w', 'ill'] | py=ㄨㄧㄦ | theme=sight-words | stage=1 [有易混提示]
  681 | would                          | 將會                             | 🤝        | chunks=['w', 'ould'] | py=ㄨㄨㄉ | theme=sight-words | stage=1 [有易混提示]
  682 | could                          | 能                              | 🤝        | chunks=['c', 'ould'] | py=ㄎㄨㄉ | theme=sight-words | stage=1
  683 | should                         | 應該                             | 🤝        | chunks=['sh', 'ould'] | py=ㄒㄨㄉ | theme=sight-words | stage=1
  684 | can                            | 可以                             | 👍        | chunks=['c', 'an'] | py=ㄎㄢ | theme=sight-words | stage=0 [有易混提示]
  685 | may                            | 可以、可能、五月                       | 🤔        | chunks=['may'] | py=ㄇㄟ | theme=sight-words | stage=1 [有易混提示]
  686 | might                          | 可能(較弱)                         | 🤔        | chunks=['m', 'ight'] | py=ㄇㄞㄊ | theme=sight-words | stage=1 [有易混提示]
  687 | must                           | 必須                             | ❗        | chunks=['m', 'ust'] | py=ㄇㄚㄙㄊ | theme=sight-words | stage=1
  688 | did                            | 做了                             | ✅        | chunks=['d', 'id'] | py=ㄉㄧㄉ | theme=sight-words | stage=1 base=do [有易混提示]
  689 | does                           | 做                              | ✅        | chunks=['d', 'oes'] | py=ㄉㄚㄗ | theme=sight-words | stage=1 base=do
  690 | done                           | 做完了(完成)                        | ✅        | chunks=['d', 'one'] | py=ㄉㄚㄣ | theme=sight-words | stage=1 base=do
  691 | went                           | 去過                             | 🚶        | chunks=['w', 'ent'] | py=ㄨㄝㄣㄊ | theme=sight-words | stage=1 base=go
  692 | gone                           | 去了(完成)                         | 🚪        | chunks=['g', 'one'] | py=ㄍㄚㄣ | theme=sight-words | stage=1 base=go
  693 | got                            | 得到了                            | 🎁        | chunks=['g', 'ot'] | py=ㄍㄚㄊ | theme=sight-words | stage=1 base=get [有易混提示]
  694 | made                           | 做了(過去)                         | 🔨        | chunks=['m', 'ade'] | py=ㄇㄟㄉ | theme=sight-words | stage=1 base=make [有易混提示]
  695 | saw                            | 看見了(過去)                        | 👀        | chunks=['saw'] | py=ㄙㄛ | theme=sight-words | stage=1 base=see [有易混提示]
  696 | said                           | 說了                             | 💬        | chunks=['s', 'aid'] | py=ㄙㄝㄉ | theme=sight-words | stage=1 base=say [有易混提示]
  697 | told                           | 告訴了                            | 📢        | chunks=['t', 'old'] | py=ㄊㄛㄉ | theme=sight-words | stage=1 base=tell
  698 | came                           | 來了                             | 👉        | chunks=['c', 'ame'] | py=ㄎㄟㄇ | theme=sight-words | stage=1 base=come
