# 字 8500-8999
 8500 | designate                      | 指定                             | 🏃        | chunks=['de', 'sig', 'na', 'te'] | py=ㄉㄧ-ㄒㄧㄍ-ㄋㄚ-ㄊㄧ | theme=actions | stage=4
 8511 | dilemma                        | 進退兩難                           | 🏃        | chunks=['di', 'lem', 'ma'] | py=ㄉㄧ-ㄅㄌㄣ-ㄇㄚ | theme=actions | stage=4
 8512 | directory                      | 電話號碼簿                          | 🎨        | chunks=['di', 'rec', 'to', 'ry'] | py=ㄉㄧ-ㄌㄝ-ㄊㄛ-ㄌㄧ | theme=adjectives | stage=4
 8513 | disability                     | 無能                             | 🎓        | chunks=['di', 'sa', 'bi', 'li', 'ty'] | py=ㄉㄧ-ㄙㄚ-ㄅㄞ-ㄌㄧ-ㄊㄧ | theme=academic-words | stage=4
 8514 | disable                        | 使失去能力                          | 🎨        | chunks=['di', 'sab', 'le'] | py=ㄉㄧ-ㄙㄚㄅ-ㄌㄧ | theme=adjectives | stage=4 base=able
 8515 | disapprove                     | 不贊同                            | 🏃        | chunks=['di', 'sap', 'pro', 've'] | py=ㄉㄧ-ㄙㄚ-ㄆㄜ-ㄈㄜ | theme=actions | stage=4 base=approve
 8516 | disastrous                     | 災難的                            | 🎨        | chunks=['di', 'sas', 'trous'] | py=ㄉㄧ-ㄙㄚ-ㄊㄖㄜㄙ | theme=adjectives | stage=4 base=disaster
 8517 | discharge                      | 排出                             | 🏃        | chunks=['dis', 'char', 'ge'] | py=ㄉㄧㄙ-ㄔㄚㄜㄐ | theme=actions | stage=4
 8518 | disciplinary                   | 紀律的                            | 🎨        | chunks=['dis', 'cip', 'li', 'na', 'ry'] | py=ㄉㄧㄙ-ㄎㄧㄆ-ㄌㄧ-ㄋㄚ-ㄌㄧ | theme=adjectives | stage=4
 8519 | disclose                       | 揭發                             | 🏃        | chunks=['dis', 'clo', 'se'] | py=ㄉㄧㄙ-ㄎㄌㄛ-ㄙㄜ | theme=actions | stage=4
 8520 | disclosure                     | 揭發                             | 🎓        | chunks=['dis', 'clo', 'su', 're'] | py=ㄉㄧㄙ-ㄎㄌㄛ-ㄙㄨ-ㄌㄧ | theme=academic-words | stage=4 base=disclose
 8521 | discomfort                     | 不舒適                            | 🏃        | chunks=['dis', 'com', 'fort'] | py=ㄉㄧㄙ-ㄎㄚㄇ-ㄈㄜㄊ | theme=actions | stage=4 base=comfort
 8522 | discreet                       | 謹慎的                            | 🤔        | chunks=['dis', 'creet'] | py=ㄉㄧㄙ-ㄎㄖㄧㄊ | theme=personality | stage=4 [有易混提示]
 8523 | discrimination                 | 辨別                             | 🎓        | chunks=['dis', 'cri', 'mi', 'na', 'tion'] | py=ㄉㄧㄙ-ㄎㄌㄞ-ㄇㄞ-ㄋㄚ-ㄒㄣ | theme=academic-words | stage=4 base=discriminate
 8524 | disgrace                       | 丟臉                             | 😞        | chunks=['dis', 'gra', 'ce'] | py=ㄉㄧㄙ-ㄍㄌㄝ-ㄙㄜ | theme=body | stage=4
 8525 | disgraceful                    | 不名譽的                           | 🎨        | chunks=['dis', 'gra', 'ce', 'ful'] | py=ㄉㄧㄙ-ㄍㄌㄝ-ㄙㄜ-ㄈㄜ | theme=adjectives | stage=4 base=disgrace
 8526 | dismantle                      | 拆卸                             | 🏃        | chunks=['dis', 'man', 'tle'] | py=ㄉㄧㄙ-ㄇㄢ-ㄉㄜ | theme=actions | stage=4
 8527 | dismay                         | 驚慌                             | 🏃        | chunks=['dis', 'may'] | py=ㄉㄧㄙ-ㄇㄟ | theme=actions | stage=4
 8528 | dispatch                       | 派遣                             | 📨        | chunks=['dis', 'patch'] | py=ㄉㄧㄙ-ㄆㄚㄊㄔ | theme=desserts | stage=4
 8529 | dispensable                    | 非必要的                           | 🎨        | chunks=['dis', 'pen', 'sab', 'le'] | py=ㄉㄧㄙ-ㄆㄣ-ㄙㄚㄅ-ㄌㄧ | theme=adjectives | stage=4 base=dispense
 8530 | displease                      | 使人不高興                          | 💁        | chunks=['dis', 'plea', 'se'] | py=ㄉㄧㄙ-ㄆㄌㄧ-ㄙㄜ | theme=appearance | stage=4
 8531 | disposable                     | 可任意處理的                         | 🎨        | chunks=['dis', 'po', 'sab', 'le'] | py=ㄉㄧㄙ-ㄆㄛ-ㄙㄚㄅ-ㄌㄧ | theme=adjectives | stage=4 base=dispose
 8532 | disposal                       | 處理                             | 🏃        | chunks=['dis', 'po', 'sal'] | py=ㄉㄧㄙ-ㄆㄛ-ㄙㄚㄦ | theme=actions | stage=4 base=dispose
 8533 | disregard                      | 不顧                             | 🏃        | chunks=['dis', 're', 'gard'] | py=ㄉㄧㄙ-ㄌㄧ-ㄍㄚㄦㄉ | theme=actions | stage=4
 8534 | dissident                      | 意見不同的                          | 🎨        | chunks=['dis', 'si', 'dent'] | py=ㄉㄧㄙ-ㄗㄜ-ㄉㄣㄊ | theme=adjectives | stage=4
 8535 | dissolve                       | 分解                             | 🏃        | chunks=['dis', 'sol', 've'] | py=ㄉㄧㄙ-ㄙㄚ-ㄈㄜ | theme=actions | stage=4
 8536 | dissuade                       | 勸阻                             | 🏃        | chunks=['dis', 'sua', 'de'] | py=ㄉㄧㄙ-ㄙㄨㄟ-ㄉㄧ | theme=actions | stage=4
 8537 | distract                       | 使分心                            | 🏃        | chunks=['dis', 'tract'] | py=ㄉㄧㄙ-ㄊㄌㄚㄎㄊ | theme=actions | stage=4
 8538 | distraction                    | 分心                             | 🎓        | chunks=['dis', 'trac', 'tion'] | py=ㄉㄧㄙ-ㄊㄌㄚㄎ-ㄒㄣ | theme=academic-words | stage=4 base=distract
 8539 | distrust                       | 不信任                            | 🤨        | chunks=['dis', 'trust'] | py=ㄉㄧㄙ-ㄊㄌㄚㄙㄊ | theme=emotions | stage=4 base=trust
 8540 | disturbance                    | 擾亂                             | 🎓        | chunks=['dis', 'tur', 'ban', 'ce'] | py=ㄉㄧㄙ-ㄊㄜ-ㄅㄢ-ㄙㄜ | theme=academic-words | stage=4 base=disturb
 8541 | diversify                      | 使多樣化                           | 🏃        | chunks=['di', 'ver', 'si', 'fy'] | py=ㄉㄧ-ㄈㄜ-ㄗㄜ-ㄈㄞ | theme=actions | stage=4 base=diverse
 8542 | diversion                      | 轉移                             | 🎓        | chunks=['di', 'ver', 'sion'] | py=ㄉㄧ-ㄈㄜ-ㄒㄣ | theme=academic-words | stage=4 base=divert
 8543 | diversity                      | 差異                             | 🎓        | chunks=['di', 'ver', 'si', 'ty'] | py=ㄉㄧ-ㄈㄜ-ㄗㄜ-ㄊㄧ | theme=academic-words | stage=4
 8544 | divert                         | 轉移                             | 🏃        | chunks=['di', 'vert'] | py=ㄉㄧ-ㄈㄜㄊ | theme=actions | stage=4
 8545 | dome                           | 圓屋頂                            | 🏃        | chunks=['do', 'me'] | py=ㄉㄛ-ㄇㄝ | theme=actions | stage=3
 8546 | donate                         | 捐贈                             | 🏃        | chunks=['do', 'na', 'te'] | py=ㄉㄛ-ㄋㄚ-ㄊㄧ | theme=actions | stage=3
 8547 | donation                       | 捐贈                             | 🎓        | chunks=['do', 'na', 'tion'] | py=ㄉㄛ-ㄋㄚ-ㄒㄣ | theme=academic-words | stage=3 base=donate
 8548 | donor                          | 捐贈者                            | 👨‍⚕️     | chunks=['do', 'nor'] | py=ㄉㄛ-ㄋㄜ | theme=jobs | stage=4 base=donate
 8549 | doom                           | 厄運                             | 🏃        | chunks=['doom'] | py=ㄉㄨㄇ | theme=actions | stage=4
 8550 | drastic                        | 猛烈的                            | 🎨        | chunks=['dras', 'tic'] | py=ㄉㄖㄚㄙ-ㄊㄧㄎ | theme=adjectives | stage=4
 8551 | drawback                       | 缺點                             | 🏃        | chunks=['draw', 'back'] | py=ㄉㄌㄛ-ㄅㄚㄎ | theme=actions | stage=4
 8552 | dual                           | 雙重的、二元的                        | 🎨        | chunks=['dual'] | py=ㄉㄨㄜㄦ | theme=adjectives | stage=4 [有易混提示]
 8553 | dubious                        | 半信半疑的                          | 🎨        | chunks=['du', 'bious'] | py=ㄉㄨ-ㄅㄧㄜㄙ | theme=adjectives | stage=4
 8554 | ebb                            | 退潮                             | 🏃        | chunks=['ebb'] | py=ㄝㄅ-ㄅㄧ | theme=actions | stage=4
 8555 | eccentric                      | 古怪的                            | 🎨        | chunks=['ec', 'cen', 'tric'] | py=ㄝㄎ-ㄙㄝㄣ-ㄊㄖㄧㄎ | theme=adjectives | stage=4
 8556 | ecstasy                        | 狂喜                             | 🏃        | chunks=['ec', 'sta', 'sy'] | py=ㄝㄎ-ㄙㄉㄝ-ㄗㄧ | theme=actions | stage=4
 8557 | edible                         | 可食的                            | 🎨        | chunks=['e', 'dib', 'le'] | py=ㄧ-ㄉㄧㄅ-ㄌㄧ | theme=adjectives | stage=4
 8558 | eligible                       | 有資格當選的                         | 🎨        | chunks=['e', 'li', 'gib', 'le'] | py=ㄧ-ㄌㄧ-ㄍㄧㄅ-ㄌㄧ | theme=adjectives | stage=4
 8559 | elite                          | 精英                             | 🏃        | chunks=['e', 'li', 'te'] | py=ㄧ-ㄌㄧ-ㄊㄧ | theme=actions | stage=4
 8560 | eloquence                      | 雄辯                             | 🎓        | chunks=['e', 'lo', 'quen', 'ce'] | py=ㄧ-ㄌㄛ-ㄎㄨㄝㄋ-ㄙㄜ | theme=academic-words | stage=4
 8561 | embark                         | 上船                             | 🚗        | chunks=['em', 'bark'] | py=ㄝㄇ-ㄅㄚㄜㄎ | theme=transportation | stage=4
 8562 | emigrant                       | 移民                             | 🎨        | chunks=['e', 'mig', 'rant'] | py=ㄝ-ㄇㄜ-ㄍㄖㄣㄊ | theme=adjectives | stage=4 base=emigrate
 8563 | emigrate                       | 移居外國                           | 🌍        | chunks=['e', 'mig', 'ra', 'te'] | py=ㄝ-ㄇㄜ-ㄍㄖㄝㄊ | theme=countries | stage=4 [有易混提示]
 8564 | emigration                     | 移居                             | 🎓        | chunks=['e', 'mig', 'ra', 'tion'] | py=ㄝ-ㄇㄜ-ㄍㄖㄝ-ㄒㄣ | theme=academic-words | stage=4 base=emigrate
 8565 | emphatic                       | 強調的                            | 🎨        | chunks=['em', 'pha', 'tic'] | py=ㄝㄇ-ㄈㄚ-ㄊㄧㄎ | theme=adjectives | stage=4
 8566 | enact                          | 制定                             | 🏃        | chunks=['e', 'nact'] | py=ㄧ-ㄋㄚㄎㄊ | theme=actions | stage=4
 8567 | enactment                      | 制定                             | 🎨        | chunks=['en', 'act', 'ment'] | py=ㄧ-ㄋㄚㄎ-ㄊㄇㄣㄊ | theme=adjectives | stage=4 base=enact
 8568 | enclosure                      | 圍住                             | 🎓        | chunks=['en', 'clo', 'su', 're'] | py=ㄣ-ㄎㄌㄛ-ㄙㄨ-ㄌㄧ | theme=academic-words | stage=4 base=enclose
 8569 | encyclopedia                   | 百科全書                           | 🔢        | chunks=['en', 'cyc', 'lo', 'pe', 'dia'] | py=ㄣ-ㄎㄧㄎ-ㄌㄛ-ㄆㄜ-ㄉㄞ | theme=numbers | stage=4
 8570 | enhancement                    | 增加                             | 🎨        | chunks=['en', 'han', 'ce', 'ment'] | py=ㄣ-ㄏㄢ-ㄙㄜ-ㄇㄣㄊ | theme=adjectives | stage=4 base=enhance
 8571 | enlighten                      | 啟發                             | 🏃        | chunks=['en', 'light', 'en'] | py=ㄣ-ㄌㄧ-ㄏㄊㄝㄋ | theme=actions | stage=4
 8572 | enrich                         | 使豐富                            | 🏃        | chunks=['en', 'rich'] | py=ㄣ-ㄖㄧㄔ | theme=actions | stage=4
 8573 | enrichment                     | 豐富                             | 🎨        | chunks=['en', 'rich', 'ment'] | py=ㄣ-ㄌㄧㄎ-ㄏㄇㄣㄊ | theme=adjectives | stage=4 base=enrich
 8574 | epidemic                       | 傳染病                            | 🦠        | chunks=['e', 'pi', 'de', 'mic'] | py=ㄧ-ㄆㄧ-ㄉㄧ-ㄇㄧㄎ | theme=diseases | stage=3
 8575 | eq                             | 情緒商數(EQ)                       | 🏃        | chunks=['e', 'q'] | py=ㄧ-ㄎㄧㄨ | theme=actions | stage=4
 8576 | eternity                       | 永恆                             | 🎓        | chunks=['e', 'ter', 'ni', 'ty'] | py=ㄧ-ㄊㄜ-ㄋㄜ-ㄊㄧ | theme=academic-words | stage=4 base=eternal
 8577 | ethical                        | 倫理的                            | 🎨        | chunks=['et', 'hi', 'cal'] | py=ㄝㄊ-ㄏㄞ-ㄎㄜ | theme=adjectives | stage=4
 8578 | excerpt                        | 摘錄                             | 🏃        | chunks=['ex', 'cerpt'] | py=ㄝㄎㄙ-ㄎㄜㄆㄊ | theme=actions | stage=4
 8579 | excessive                      | 過度的                            | 🎨        | chunks=['ex', 'ces', 'si', 've'] | py=ㄝㄎㄙ-ㄙㄝ-ㄗㄜ-ㄈㄜ | theme=adjectives | stage=4 base=excess
 8580 | execution                      | 執行                             | 🎓        | chunks=['ex', 'e', 'cu', 'tion'] | py=ㄧ-ㄎㄙㄝ-ㄎㄧㄨ-ㄒㄣ | theme=academic-words | stage=4 base=execute
 8581 | exert                          | 盡                              | 🏃        | chunks=['ex', 'ert'] | py=ㄧ-ㄎㄙㄜㄊ | theme=actions | stage=4
 8582 | exotic                         | 異國情調的                          | 🌍        | chunks=['ex', 'o', 'tic'] | py=ㄧ-ㄎㄙㄛ-ㄊㄧㄎ | theme=countries | stage=4
 8583 | expel                          | 驅逐                             | 🏃        | chunks=['ex', 'pel'] | py=ㄝㄎㄙ-ㄆㄦ | theme=actions | stage=4
 8584 | expertise                      | 專門技術                           | 🛠️       | chunks=['ex', 'per', 'ti', 'se'] | py=ㄝㄎㄙ-ㄆㄜ-ㄊㄜ-ㄙㄜ | theme=home-items | stage=4 base=expert
 8585 | expiration                     | 終結                             | 🎓        | chunks=['ex', 'pi', 'ra', 'tion'] | py=ㄝㄎㄙ-ㄆㄧ-ㄌㄚ-ㄒㄣ | theme=academic-words | stage=4 base=expire
 8586 | expire                         | 滿期                             | 🏃        | chunks=['ex', 'pi', 're'] | py=ㄝㄎㄙ-ㄆㄧ-ㄌㄧ | theme=actions | stage=4
 8587 | extracurricular                | 課外的                            | 🎨        | chunks=['ex', 'tra', 'cur', 'ri', 'cu', 'lar'] | py=ㄝㄎㄙ-ㄊㄌㄚ-ㄎㄜ-ㄌㄧ-ㄎㄧㄨ-ㄌㄜ | theme=adjectives | stage=4
 8588 | eyesight                       | 視力                             | 🏃        | chunks=['eye', 'sight'] | py=ㄞ-ㄙㄞㄊ | theme=actions | stage=4
 8589 | fabulous                       | 驚人的                            | 🎨        | chunks=['fa', 'bu', 'lous'] | py=ㄈㄚ-ㄅㄧㄨ-ㄌㄚㄙ | theme=adjectives | stage=4
 8590 | faculty                        | 全體教職員                          | 🏃        | chunks=['fa', 'cul', 'ty'] | py=ㄈㄚ-ㄎㄦ-ㄊㄧ | theme=actions | stage=4
 8591 | familiarity                    | 熟悉                             | 🎓        | chunks=['fa', 'mi', 'lia', 'ri', 'ty'] | py=ㄈㄚ-ㄇㄞ-ㄌㄧㄚ-ㄌㄧ-ㄊㄧ | theme=academic-words | stage=4
 8592 | fascination                    | 魅力                             | 🎓        | chunks=['fas', 'ci', 'na', 'tion'] | py=ㄈㄚㄙ-ㄙㄜ-ㄋㄚ-ㄒㄣ | theme=academic-words | stage=4 base=fascinate
 8593 | feasible                       | 可實行的                           | 🎨        | chunks=['fea', 'sib', 'le'] | py=ㄈㄧ-ㄒㄧㄅ-ㄌㄧ | theme=adjectives | stage=3
 8594 | federation                     | 聯邦政府                           | 🏛️       | chunks=['fe', 'de', 'ra', 'tion'] | py=ㄈㄧ-ㄉㄧ-ㄌㄚ-ㄒㄣ | theme=politics | stage=4
 8595 | feedback                       | 回饋                             | 🏃        | chunks=['feed', 'back'] | py=ㄈㄧㄉ-ㄅㄚㄎ | theme=actions | stage=3
 8596 | fertility                      | 肥沃                             | 🎓        | chunks=['fer', 'ti', 'li', 'ty'] | py=ㄈㄜ-ㄊㄜ-ㄌㄧ-ㄊㄧ | theme=academic-words | stage=4 base=fertile
 8597 | fidelity                       | 忠貞                             | 🎓        | chunks=['fi', 'de', 'li', 'ty'] | py=ㄈㄜ-ㄉㄧ-ㄌㄧ-ㄊㄧ | theme=academic-words | stage=4
 8598 | fireproof                      | 防火的                            | 🎨        | chunks=['fire', 'proof'] | py=ㄈㄜ-ㄌㄝ-ㄖㄨㄈ | theme=adjectives | stage=4
 8599 | flare                          | 閃耀                             | 🏃        | chunks=['fla', 're'] | py=ㄈㄌㄝㄜ | theme=actions | stage=4 [有易混提示]
 8600 | fleet                          | 艦隊                             | 🏃        | chunks=['fleet'] | py=ㄈㄌㄧㄊ | theme=actions | stage=4
 8601 | flicker                        | 閃爍                             | 🏃        | chunks=['flic', 'ker'] | py=ㄈㄌㄧㄎ-ㄎㄜ | theme=actions | stage=4
 8602 | fluid                          | 流體、液體                          | 🎨        | chunks=['flu', 'id'] | py=ㄈㄌㄨ-ㄜㄉ | theme=adjectives | stage=4
 8603 | flutter                        | 振翼                             | 🏃        | chunks=['flut', 'ter'] | py=ㄈㄌㄚ-ㄊㄜ | theme=actions | stage=4
 8604 | foresee                        | 預見                             | 🏃        | chunks=['fore', 'see'] | py=ㄈㄜ-ㄌㄧ-ㄒㄧ | theme=actions | stage=4 base=see
 8605 | formidable                     | 可怕的                            | 🎨        | chunks=['for', 'mi', 'dab', 'le'] | py=ㄈㄛ-ㄇㄞ-ㄉㄚㄅ-ㄌㄧ | theme=adjectives | stage=4
 8606 | formulate                      | 使公式化                           | 🏃        | chunks=['for', 'mu', 'la', 'te'] | py=ㄈㄛ-ㄇㄧㄨ-ㄌㄚ-ㄊㄧ | theme=actions | stage=4
 8607 | forsake                        | 遺棄                             | 🏃        | chunks=['for', 'sake'] | py=ㄈㄛ-ㄙㄚ-ㄎㄟ | theme=actions | stage=4
 8608 | fortify                        | 加強                             | 🏃        | chunks=['for', 'ti', 'fy'] | py=ㄈㄛ-ㄊㄜ-ㄈㄞ | theme=numbers | stage=4
 8609 | foster                         | 養育                             | 🏃        | chunks=['fos', 'ter'] | py=ㄈㄚ-ㄙㄊㄜ | theme=actions | stage=4
 8610 | fragment                       | 碎片                             | 🎨        | chunks=['frag', 'ment'] | py=ㄈㄖㄚ-ㄇㄣㄊ | theme=adjectives | stage=4
 8611 | freak                          | 怪誕的行動                          | 🏃        | chunks=['freak'] | py=ㄈㄖㄧㄎ | theme=actions | stage=4
 8612 | fret                           | 使苦惱                            | 🏃        | chunks=['fret'] | py=ㄈㄖㄝㄊ | theme=actions | stage=4
 8613 | friction                       | 摩擦                             | 🎓        | chunks=['fric', 'tion'] | py=ㄈㄖㄧㄎ-ㄒㄣ | theme=academic-words | stage=4
 8614 | generalize                     | 泛論                             | 🏃        | chunks=['ge', 'ne', 'ra', 'li', 'ze'] | py=ㄐㄧ-ㄋㄧ-ㄌㄚ-ㄌㄧ-ㄗㄧ | theme=actions | stage=4 base=general
 8615 | generator                      | 發電機                            | 🔨        | chunks=['ge', 'ne', 'ra', 'tor'] | py=ㄐㄧ-ㄋㄧ-ㄌㄚ-ㄊㄜ | theme=tools | stage=4 base=generate
 8616 | genetic                        | 遺傳的、基因的                        | 🎨        | chunks=['ge', 'ne', 'tic'] | py=ㄐㄧ-ㄋㄧ-ㄊㄧㄎ | theme=adjectives | stage=4
 8617 | glamour                        | 魅力                             | 🏃        | chunks=['gla', 'mour'] | py=ㄍㄌㄚ-ㄇㄜ | theme=actions | stage=4
 8618 | glassware                      | 玻璃器皿                           | 🪨        | chunks=['glass', 'ware'] | py=ㄍㄌㄚ-ㄙㄨㄚ-ㄌㄧ | theme=materials | stage=4
 8619 | glisten                        | 閃耀                             | 🏃        | chunks=['glis', 'ten'] | py=ㄍㄌㄧㄙ-ㄊㄣ | theme=actions | stage=4
 8620 | genetically modified organism  | 基因改造生                          | 🔬        | chunks=['ge', 'ne', 'ti', 'cal', 'ly', 'mo', 'di', 'fied', 'or', 'ga', 'nism'] | py=ㄍㄝㄋㄝㄊㄧㄎㄚㄌㄌㄧ-ㄇㄛㄉㄧㄈㄞㄉ-ㄛㄜㄍㄚㄋㄧㄙㄇ | theme=science | stage=4
 8621 | graphic                        | 寫實的                            | 🎨        | chunks=['graph', 'ic'] | py=ㄍㄖㄚㄆ-ㄏㄧㄎ | theme=adjectives | stage=4
 8622 | grill                          | 烤架烤                            | 🍳        | chunks=['grill'] | py=ㄍㄖ-ㄧㄦ | theme=food | stage=4
 8623 | grocer                         | 食品雜貨商                          | 🏃        | chunks=['gro', 'cer'] | py=ㄍㄌㄛ-ㄙㄜ | theme=actions | stage=4
 8624 | grope                          | 摸索                             | 🏃        | chunks=['gro', 'pe'] | py=ㄍㄌㄛ-ㄆㄜ | theme=actions | stage=4
 8625 | guerrilla                      | 游擊戰                            | 🏃        | chunks=['guer', 'ril', 'la'] | py=ㄍㄩㄖ-ㄦ-ㄌㄚ | theme=actions | stage=4
 8626 | harass                         | 使…煩惱                           | 🏃        | chunks=['ha', 'rass'] | py=ㄏㄜ-ㄌㄚㄙ | theme=actions | stage=4
 8627 | hazard                         | 危害                             | 🏃        | chunks=['ha', 'zard'] | py=ㄏㄜ-ㄗㄜㄉ | theme=actions | stage=4
 8628 | heroin                         | 海洛因                            | 💉        | chunks=['he', 'roin'] | py=ㄏㄝ-ㄖㄛㄧㄋ | theme=nature | stage=4
 8629 | honorary                       | 名譽上的                           | 🎨        | chunks=['ho', 'no', 'ra', 'ry'] | py=ㄏㄚ-ㄋㄛ-ㄌㄚ-ㄌㄧ | theme=adjectives | stage=4
 8630 | hospitable                     | 好客的                            | 🎨        | chunks=['hos', 'pi', 'tab', 'le'] | py=ㄏㄚㄙ-ㄆㄧ-ㄊㄚ-ㄌㄧ | theme=adjectives | stage=4
 8631 | hospitality                    | 好客                             | 🎓        | chunks=['hos', 'pi', 'ta', 'li', 'ty'] | py=ㄏㄚㄙ-ㄆㄧ-ㄊㄝ-ㄌㄧ-ㄊㄧ | theme=academic-words | stage=4
 8632 | hospitalize                    | 使…住院治療                         | 🏃        | chunks=['hos', 'pi', 'ta', 'li', 'ze'] | py=ㄏㄚㄙ-ㄆㄧ-ㄊㄝ-ㄌㄧ-ㄗㄧ | theme=actions | stage=4 base=hospital
 8633 | hostility                      | 敵意                             | 🎓        | chunks=['hos', 'ti', 'li', 'ty'] | py=ㄏㄚㄙ-ㄊㄜ-ㄌㄧ-ㄊㄧ | theme=academic-words | stage=4 base=hostile
 8634 | humanitarian                   | 人道主義的                          | 🎨        | chunks=['hu', 'ma', 'ni', 'ta', 'rian'] | py=ㄏㄧㄨ-ㄇㄚ-ㄋㄜ-ㄊㄝ-ㄖㄧㄚㄋ | theme=adjectives | stage=4
 8635 | humiliate                      | 羞辱                             | 🏃        | chunks=['hu', 'mi', 'lia', 'te'] | py=ㄏㄧㄨ-ㄇㄞ-ㄌㄧㄚ-ㄊㄧ | theme=actions | stage=4
 8636 | hunch                          | 預感                             | 🏃        | chunks=['hunch'] | py=ㄏㄚㄋㄔ | theme=actions | stage=4
 8637 | hurdle                         | 跳欄                             | 🏃        | chunks=['hur', 'dle'] | py=ㄏㄜ-ㄉㄜ | theme=actions | stage=4
 8638 | hygiene                        | 衛生                             | 🏃        | chunks=['hy', 'gie', 'ne'] | py=ㄏㄞ-ㄍㄞ-ㄋㄧ | theme=actions | stage=4
 8639 | hypocrisy                      | 偽善                             | 🏃        | chunks=['hy', 'poc', 'ri', 'sy'] | py=ㄏㄞ-ㄆㄚ-ㄌㄧ-ㄗㄧ | theme=actions | stage=4
 8640 | hypocrite                      | 偽君子                            | 🏃        | chunks=['hy', 'poc', 'ri', 'te'] | py=ㄏㄞ-ㄆㄚ-ㄌㄧ-ㄊㄧ | theme=actions | stage=4
 8641 | hysterical                     | 歇斯底里的                          | 🎨        | chunks=['hys', 'te', 'ri', 'cal'] | py=ㄏㄧㄙ-ㄊㄧ-ㄌㄧ-ㄎㄜ | theme=adjectives | stage=4
 8642 | illuminate                     | 照亮                             | 🏃        | chunks=['il', 'lu', 'mi', 'na', 'te'] | py=ㄧ-ㄌㄨ-ㄇㄞ-ㄋㄚ-ㄊㄧ | theme=actions | stage=4
 8643 | illusion                       | 幻覺                             | 🎓        | chunks=['il', 'lu', 'sion'] | py=ㄧ-ㄌㄨ-ㄒㄣ | theme=academic-words | stage=4
 8644 | imperative                     | 必要的                            | 🎨        | chunks=['im', 'pe', 'ra', 'ti', 've'] | py=ㄧㄇ-ㄆㄜ-ㄌㄚ-ㄊㄜ-ㄈㄜ | theme=adjectives | stage=4
 8645 | implication                    | 暗示                             | 🎓        | chunks=['im', 'pli', 'ca', 'tion'] | py=ㄧㄇ-ㄆㄌㄜ-ㄎㄚ-ㄒㄣ | theme=academic-words | stage=4
 8646 | imposing                       | 壯觀的                            | 🎨        | chunks=['im', 'po', 'sing'] | py=ㄧㄇ-ㄆㄛ-ㄒㄧㄥ | theme=adjectives | stage=4
 8647 | imprison                       | 監禁                             | 🏃        | chunks=['im', 'pri', 'son'] | py=ㄧㄇ-ㄆㄌㄞ-ㄗㄣ | theme=actions | stage=4
 8648 | imprisonment                   | 監禁                             | 🎨        | chunks=['im', 'pri', 'son', 'ment'] | py=ㄧㄇ-ㄆㄌㄞ-ㄗㄣ-ㄇㄣㄊ | theme=adjectives | stage=4 base=imprison
 8649 | incidental                     | 附帶的                            | 🎨        | chunks=['in', 'ci', 'den', 'tal'] | py=ㄧㄣ-ㄙㄜ-ㄉㄣ-ㄉㄜ | theme=adjectives | stage=4
 8650 | inclusive                      | 包含的                            | 🎨        | chunks=['in', 'clu', 'si', 've'] | py=ㄧㄣ-ㄎㄌㄨ-ㄗㄜ-ㄈㄜ | theme=adjectives | stage=4
