# 字 3500-3999
 3500 | plot                           | 劇情                             | 📜        | chunks=['pl', 'ot'] | py=ㄆㄌㄚㄊ | theme=movies-tv | stage=1 [有易混提示]
 3529 | iv                             | 點滴                             | 💧        | chunks=['i', 'v'] | py=ㄞ-ㄈㄧ | theme=medical | stage=3
 3530 | antibody                       | 抗體                             | 🦠        | chunks=['an', 'ti', 'bo', 'dy'] | py=ㄢ-ㄊㄧ-ㄅㄚ-ㄉㄧ | theme=medical | stage=2
 3531 | immune                         | 免疫                             | 🛡️       | chunks=['im', 'mune'] | py=ㄧ-ㄇㄧㄨㄣ | theme=medical | stage=2
 3532 | immunization                   | 免疫接種                           | 💉        | chunks=['im', 'mu', 'ni', 'za', 'tion'] | py=ㄧ-ㄇㄧㄨ-ㄋㄜ-ㄗㄝ-ㄒㄜㄣ | theme=medical | stage=3
 3533 | vaccination                    | 疫苗接種                           | 💉        | chunks=['vac', 'ci', 'na', 'tion'] | py=ㄈㄚㄎ-ㄒㄜ-ㄋㄝ-ㄒㄜㄣ | theme=medical | stage=2 base=vaccine
 3534 | booster                        | 加強劑                            | 💉        | chunks=['boo', 'ster'] | py=ㄅㄨ-ㄙㄉㄜㄦ | theme=medical | stage=2 base=boost
 3535 | quarantine                     | 隔離                             | 🚷        | chunks=['quar', 'an', 'tine'] | py=ㄎㄨㄛ-ㄦ-ㄊㄧㄣ | theme=medical | stage=2
 3536 | isolation                      | 隔離                             | 🚷        | chunks=['i', 'so', 'la', 'tion'] | py=ㄞ-ㄙㄜ-ㄌㄝ-ㄒㄜㄣ | theme=medical | stage=2
 3537 | sterile                        | 無菌                             | 🧼        | chunks=['ster', 'ile'] | py=ㄙㄉㄝ-ㄌㄦ | theme=medical | stage=3 [有易混提示]
 3538 | medication                     | 藥物                             | 💊        | chunks=['med', 'i', 'ca', 'tion'] | py=ㄇㄝ-ㄉㄜ-ㄎㄝ-ㄒㄜㄣ | theme=medical | stage=2
 3539 | drug                           | 藥                              | 💊        | chunks=['dr', 'ug'] | py=ㄉㄌㄚㄍ | theme=medical | stage=1 [有易混提示]
 3540 | pharmaceutical                 | 製藥                             | 💊        | chunks=['phar', 'ma', 'ceu', 'ti', 'cal'] | py=ㄈㄚㄦ-ㄇㄜ-ㄙㄧㄨ-ㄊㄜ-ㄎㄜ | theme=medical | stage=3
 3541 | generic                        | 學名藥                            | 💊        | chunks=['gen', 'er', 'ic'] | py=ㄐㄜ-ㄋㄝ-ㄌㄧㄎ | theme=medical | stage=2 [有易混提示]
 3542 | overdose                       | 用藥過量                           | 💊        | chunks=['o', 'ver', 'dose'] | py=ㄛ-ㄈㄜ-ㄉㄛㄙ | theme=medical | stage=2
 3543 | withdrawal                     | 戒斷                             | 😖        | chunks=['with', 'draw', 'al'] | py=ㄨㄧㄒ-ㄉㄌㄛ-ㄦ | theme=medical | stage=3 base=withdraw
 3544 | addiction                      | 成癮                             | ⚠️       | chunks=['ad', 'dic', 'tion'] | py=ㄚ-ㄉㄧㄎ-ㄒㄜㄣ | theme=medical | stage=2 base=addict
 3545 | addict                         | 成癮者                            | 😞        | chunks=['ad', 'dict'] | py=ㄚ-ㄉㄧㄎㄊ | theme=medical | stage=2
 3546 | rehab                          | 復健                             | 🩺        | chunks=['re', 'hab'] | py=ㄌㄧ-ㄏㄚㄅ | theme=medical | stage=2
 3547 | detox                          | 排毒                             | 🧼        | chunks=['de', 'tox'] | py=ㄉㄧ-ㄊㄚㄎㄙ | theme=medical | stage=2
 3548 | trauma                         | 創傷                             | 😢        | chunks=['trau', 'ma'] | py=ㄊㄌㄛ-ㄇㄜ | theme=medical | stage=2 [有易混提示]
 3549 | chronic                        | 慢性                             | ⏳        | chunks=['chron', 'ic'] | py=ㄎㄌㄚ-ㄋㄧㄎ | theme=medical | stage=2 [有易混提示]
 3550 | acute                          | 急性                             | ⚠️       | chunks=['a', 'cute'] | py=ㄜ-ㄎㄧㄨㄊ | theme=medical | stage=2 [有易混提示]
 3551 | benign                         | 良性                             | 💚        | chunks=['be', 'nign'] | py=ㄅㄧ-ㄋㄞㄣ | theme=medical | stage=3
 3552 | malignant                      | 惡性                             | 🔴        | chunks=['ma', 'lig', 'nant'] | py=ㄇㄜ-ㄌㄧㄍ-ㄋㄜㄣㄊ | theme=medical | stage=3
 3553 | tumor                          | 腫瘤                             | 🔴        | chunks=['tu', 'mor'] | py=ㄊㄨ-ㄇㄜㄦ | theme=medical | stage=2
 3554 | swelling                       | 腫脹                             | 🔴        | chunks=['swell', 'ing'] | py=ㄙㄨㄝㄦ-ㄧㄥ | theme=medical | stage=2 base=swell
 3555 | inflammation                   | 發炎                             | 🔴        | chunks=['in', 'flam', 'ma', 'tion'] | py=ㄧㄣ-ㄈㄌㄜ-ㄇㄝ-ㄒㄜㄣ | theme=medical | stage=3
 3556 | rash                           | 疹子                             | 🔴        | chunks=['r', 'ash'] | py=ㄌㄚㄒ | theme=medical | stage=2
 3557 | abscess                        | 膿包                             | 🔴        | chunks=['ab', 'scess'] | py=ㄚㄅ-ㄙㄝㄙ | theme=medical | stage=3
 3558 | hemorrhage                     | 出血                             | 🩸        | chunks=['hem', 'or', 'rhage'] | py=ㄏㄝ-ㄇㄜ-ㄌㄜㄐ | theme=medical | stage=4
 3559 | clot                           | 血塊                             | 🩸        | chunks=['cl', 'ot'] | py=ㄎㄌㄚㄊ | theme=medical | stage=3 [有易混提示]
 3560 | seizure                        | 癲癇發作                           | ⚡        | chunks=['sei', 'zure'] | py=ㄒㄧ-ㄓㄜ | theme=medical | stage=3
 3561 | spasm                          | 痙攣                             | ⚡        | chunks=['spas', 'm'] | py=ㄙㄆㄚ-ㄗㄜㄇ | theme=medical | stage=3
 3562 | cramp                          | 抽筋                             | 😣        | chunks=['cr', 'amp'] | py=ㄎㄌㄚㄇㄆ | theme=medical | stage=2 [有易混提示]
 3563 | twitch                         | 抽動                             | ⚡        | chunks=['tw', 'itch'] | py=ㄊㄨㄧㄑ | theme=medical | stage=2
 3564 | paralysis                      | 癱瘓                             | 🧎        | chunks=['pa', 'ral', 'y', 'sis'] | py=ㄆㄜ-ㄌㄚ-ㄌㄜ-ㄒㄜㄙ | theme=medical | stage=3
 3565 | amnesia                        | 失憶                             | 🧠        | chunks=['am', 'ne', 'sia'] | py=ㄚㄇ-ㄋㄧ-ㄓㄜ | theme=medical | stage=3
 3566 | dementia                       | 失智                             | 🧠        | chunks=['de', 'men', 'tia'] | py=ㄉㄧ-ㄇㄝㄣ-ㄒㄜ | theme=medical | stage=3
 3567 | nausea                         | 噁心                             | 🤢        | chunks=['nau', 'se', 'a'] | py=ㄋㄛ-ㄗㄧ-ㄜ | theme=medical | stage=2
 3568 | vomit                          | 嘔吐                             | 🤮        | chunks=['vom', 'it'] | py=ㄈㄚ-ㄇㄜㄊ | theme=medical | stage=1
 3569 | diarrhea                       | 腹瀉                             | 🤢        | chunks=['di', 'ar', 'rhe', 'a'] | py=ㄉㄞ-ㄜ-ㄌㄧ-ㄜ | theme=medical | stage=2
 3570 | constipation                   | 便秘                             | 😖        | chunks=['con', 'sti', 'pa', 'tion'] | py=ㄎㄚㄣ-ㄙㄉㄜ-ㄆㄝ-ㄒㄜㄣ | theme=medical | stage=2
 3571 | indigestion                    | 消化不良                           | 😖        | chunks=['in', 'di', 'ges', 'tion'] | py=ㄧㄣ-ㄉㄞ-ㄐㄝㄙ-ㄒㄜㄣ | theme=medical | stage=2
 3572 | heartburn                      | 胃灼熱                            | 🔥        | chunks=['heart', 'burn'] | py=ㄏㄚㄦㄊ-ㄅㄜㄣ | theme=medical | stage=2
 3573 | choke                          | 噎到                             | 😵        | chunks=['ch', 'oke'] | py=ㄑㄛㄎ | theme=medical | stage=2
 3574 | dehydration                    | 脫水                             | 💧        | chunks=['de', 'hy', 'dra', 'tion'] | py=ㄉㄧ-ㄏㄞ-ㄉㄌㄝ-ㄒㄜㄣ | theme=medical | stage=2
 3575 | hypothermia                    | 體溫過低                           | 🥶        | chunks=['hy', 'po', 'ther', 'mia'] | py=ㄏㄞ-ㄆㄜ-ㄙㄜ-ㄇㄧㄜ | theme=medical | stage=3
 3576 | frostbite                      | 凍傷                             | 🥶        | chunks=['frost', 'bite'] | py=ㄈㄌㄚㄙㄊ-ㄅㄞㄊ | theme=medical | stage=2
 3577 | transplant                     | 移植                             | 🩺        | chunks=['trans', 'plant'] | py=ㄊㄌㄚㄣㄙ-ㄆㄌㄚㄣㄊ | theme=medical | stage=2
 3578 | dialysis                       | 洗腎                             | 🩺        | chunks=['di', 'al', 'y', 'sis'] | py=ㄉㄞ-ㄚ-ㄜ-ㄒㄧㄙ | theme=medical | stage=3
 3579 | chemo                          | 化療                             | 💉        | chunks=['chem', 'o'] | py=ㄎㄧ-ㄇㄛ | theme=medical | stage=2
 3580 | radiotherapy                   | 放射治療                           | 📡        | chunks=['ra', 'di', 'o', 'ther', 'a', 'py'] | py=ㄌㄝ-ㄉㄧ-ㄛ-ㄙㄝ-ㄌㄜ-ㄆㄧ | theme=medical | stage=3
 3581 | placebo                        | 安慰劑                            | 💊        | chunks=['pla', 'ce', 'bo'] | py=ㄆㄌㄜ-ㄒㄧ-ㄅㄛ | theme=medical | stage=3
 3582 | fda                            | 美國食藥署                          | 🏛️       | chunks=['f', 'd', 'a'] | py=ㄝㄈ-ㄉㄧ-ㄝ | theme=medical | stage=3
 3583 | anesthetic                     | 麻醉劑                            | 😴        | chunks=['an', 'es', 'thet', 'ic'] | py=ㄚ-ㄋㄝㄙ-ㄒㄝ-ㄊㄧㄎ | theme=medical | stage=2
 3584 | biopsy                         | 切片                             | 🩺        | chunks=['bi', 'op', 'sy'] | py=ㄅㄞ-ㄚㄆ-ㄒㄧ | theme=medical | stage=3
 3585 | suture                         | 縫線                             | 🪡        | chunks=['su', 'ture'] | py=ㄙㄨ-ㄑㄜㄦ | theme=medical | stage=3
 3586 | tourniquet                     | 止血帶                            | 🩹        | chunks=['tour', 'ni', 'quet'] | py=ㄊㄨㄦ-ㄋㄜ-ㄎㄜㄊ | theme=medical | stage=3
 3587 | splint                         | 夾板                             | 🦴        | chunks=['spl', 'int'] | py=ㄙㄆㄌㄧㄣㄊ | theme=medical | stage=3
 3588 | crutches                       | 拐杖                             | 🦯        | chunks=['crutch', 'es'] | py=ㄎㄌㄚㄑ-ㄝㄗ | theme=medical | stage=2 base=crutch
 3589 | cane                           | 拐杖、甘蔗                          | 🦯        | chunks=['c', 'ane'] | py=ㄎㄝㄣ | theme=medical | stage=2 [有易混提示]
 3590 | prosthetic                     | 義肢                             | 🦿        | chunks=['pros', 'thet', 'ic'] | py=ㄆㄌㄚㄙ-ㄙㄝ-ㄊㄧㄎ | theme=medical | stage=3
 3591 | implant                        | 植入物                            | 🩺        | chunks=['im', 'plant'] | py=ㄧㄇ-ㄆㄌㄚㄣㄊ | theme=medical | stage=3
 3592 | pacemaker                      | 心律調節器                          | ❤️       | chunks=['pace', 'ma', 'ker'] | py=ㄆㄝㄙ-ㄇㄝ-ㄎㄜㄦ | theme=medical | stage=3
 3593 | ventilator                     | 呼吸器                            | 🫁        | chunks=['ven', 'ti', 'la', 'tor'] | py=ㄈㄝㄣ-ㄊㄜ-ㄌㄝ-ㄊㄜㄦ | theme=medical | stage=3
 3594 | defibrillator                  | 電擊器                            | ⚡        | chunks=['de', 'fi', 'bril', 'la', 'tor'] | py=ㄉㄧ-ㄈㄜ-ㄅㄌㄜ-ㄌㄝ-ㄊㄜㄦ | theme=medical | stage=3
 3595 | gurney                         | 輪床                             | 🛏️       | chunks=['gur', 'ney'] | py=ㄍㄜ-ㄋㄧ | theme=medical | stage=3
 3596 | comatose                       | 昏迷                             | 😴        | chunks=['co', 'ma', 'tose'] | py=ㄎㄛ-ㄇㄜ-ㄊㄛㄙ | theme=medical | stage=3
 3597 | cardio                         | 有氧                             | 🏃        | chunks=['car', 'di', 'o'] | py=ㄎㄚㄦ-ㄉㄧ-ㄛ | theme=fitness | stage=1
 3598 | aerobic                        | 有氧                             | 🏃        | chunks=['a', 'er', 'o', 'bic'] | py=ㄝ-ㄌㄛ-ㄛ-ㄅㄧㄎ | theme=fitness | stage=2
 3599 | anaerobic                      | 無氧                             | 💪        | chunks=['an', 'a', 'er', 'o', 'bic'] | py=ㄚ-ㄋㄚ-ㄌㄛ-ㄛ-ㄅㄧㄎ | theme=fitness | stage=3
 3600 | hiit                           | 高強度間歇                          | 💪        | chunks=['h', 'i', 'i', 't'] | py=ㄏㄧㄊ | theme=fitness | stage=3
 3601 | crossfit                       | 混合健身                           | 💪        | chunks=['cross', 'fit'] | py=ㄎㄌㄚㄙ-ㄈㄧㄊ | theme=fitness | stage=2
 3602 | calisthenics                   | 徒手健身                           | 🤸        | chunks=['cal', 'is', 'then', 'ics'] | py=ㄎㄚ-ㄌㄜㄙ-ㄒㄝ-ㄋㄧㄎㄙ | theme=fitness | stage=3
 3603 | plyometric                     | 增強式                            | 🤸        | chunks=['ply', 'o', 'met', 'ric'] | py=ㄆㄌㄞ-ㄛ-ㄇㄝㄊ-ㄌㄧㄎ | theme=fitness | stage=3
 3604 | strength                       | 力量                             | 💪        | chunks=['str', 'ength'] | py=ㄙㄉㄌㄝㄥㄎㄙ | theme=fitness | stage=1
 3605 | endurance                      | 耐力                             | 🏃        | chunks=['en', 'dur', 'ance'] | py=ㄧㄣ-ㄉㄨㄦ-ㄜㄣㄙ | theme=fitness | stage=2
 3606 | agility                        | 敏捷                             | 🤸        | chunks=['a', 'gil', 'i', 'ty'] | py=ㄚ-ㄐㄜ-ㄌㄜ-ㄊㄧ | theme=fitness | stage=2
 3607 | flexibility                    | 柔軟度                            | 🤸        | chunks=['flex', 'i', 'bil', 'i', 'ty'] | py=ㄈㄌㄝㄎㄙ-ㄜ-ㄅㄧ-ㄌㄜ-ㄊㄧ | theme=fitness | stage=2
 3608 | mobility                       | 活動力                            | 🤸        | chunks=['mo', 'bil', 'i', 'ty'] | py=ㄇㄛ-ㄅㄧ-ㄌㄜ-ㄊㄧ | theme=fitness | stage=2
 3609 | posture                        | 姿勢                             | 🧍        | chunks=['pos', 'ture'] | py=ㄆㄚㄙ-ㄑㄜㄦ | theme=fitness | stage=2
 3610 | stamina                        | 耐力                             | 🏃        | chunks=['stam', 'i', 'na'] | py=ㄙㄉㄚ-ㄇㄜ-ㄋㄚ | theme=fitness | stage=3
 3611 | warmup                         | 暖身                             | 🤸        | chunks=['warm', 'up'] | py=ㄨㄛㄦㄇ-ㄚㄆ | theme=fitness | stage=1
 3612 | cooldown                       | 收操                             | 🧘        | chunks=['cool', 'down'] | py=ㄎㄨㄦ-ㄉㄠㄣ | theme=fitness | stage=2
 3613 | squat                          | 深蹲                             | 🏋️       | chunks=['sq', 'uat'] | py=ㄙㄎㄨㄚㄊ | theme=fitness | stage=1
 3614 | lunge                          | 弓步                             | 🏃        | chunks=['l', 'unge'] | py=ㄌㄚㄣㄐ | theme=fitness | stage=2
 3615 | plank                          | 平板                             | 💪        | chunks=['pl', 'ank'] | py=ㄆㄌㄚㄣㄎ | theme=fitness | stage=1
 3616 | crunch                         | 仰臥起坐                           | 💪        | chunks=['cr', 'unch'] | py=ㄎㄌㄚㄣㄑ | theme=fitness | stage=1
 3617 | situp                          | 仰臥起坐                           | 💪        | chunks=['sit', 'up'] | py=ㄒㄜㄊ-ㄚㄆ | theme=fitness | stage=1
 3618 | pushup                         | 伏地挺身                           | 💪        | chunks=['push', 'up'] | py=ㄆㄨㄒ-ㄚㄆ | theme=fitness | stage=1
 3619 | pullup                         | 引體向上                           | 💪        | chunks=['pull', 'up'] | py=ㄆㄨㄦ-ㄚㄆ | theme=fitness | stage=2
 3620 | deadlift                       | 硬舉                             | 🏋️       | chunks=['dead', 'lift'] | py=ㄉㄝㄉ-ㄌㄧㄈㄊ | theme=fitness | stage=2
 3621 | press                          | 推舉(健身)、新聞媒體                    | 💪        | chunks=['pr', 'ess'] | py=ㄆㄌㄝㄙ | theme=fitness | stage=1 [有易混提示]
 3622 | curl                           | 彎舉(健身)、捲髮                      | 💪        | chunks=['c', 'url'] | py=ㄎㄜㄦ | theme=fitness | stage=1 [有易混提示]
 3623 | dumbbell                       | 啞鈴                             | 🏋️       | chunks=['dumb', 'bell'] | py=ㄉㄚㄇ-ㄅㄝㄦ | theme=fitness | stage=1
 3624 | barbell                        | 槓鈴                             | 🏋️       | chunks=['bar', 'bell'] | py=ㄅㄚㄦ-ㄅㄝㄦ | theme=fitness | stage=2
 3625 | kettlebell                     | 壺鈴                             | 🏋️       | chunks=['ket', 'tle', 'bell'] | py=ㄎㄝ-ㄉㄜ-ㄅㄝㄦ | theme=fitness | stage=2
 3626 | weights                        | 重量訓練                           | 🏋️       | chunks=['w', 'eights'] | py=ㄨㄝㄊㄗ | theme=fitness | stage=1 [有易混提示]
 3627 | plates                         | 槓片、盤子                          | ⚙️       | chunks=['pl', 'ates'] | py=ㄆㄌㄝㄊㄗ | theme=fitness | stage=2 [有易混提示]
 3628 | rack                           | 深蹲架、架子                         | ⚙️       | chunks=['r', 'ack'] | py=ㄌㄚㄎ | theme=fitness | stage=2 [有易混提示]
 3629 | treadmill                      | 跑步機                            | 🏃        | chunks=['tread', 'mill'] | py=ㄊㄌㄝㄉ-ㄇㄧㄦ | theme=fitness | stage=2
 3630 | elliptical                     | 橢圓機                            | 🏃        | chunks=['el', 'lip', 'ti', 'cal'] | py=ㄧ-ㄌㄧㄆ-ㄊㄜ-ㄎㄜ | theme=fitness | stage=3
 3631 | stationarybike                 | 飛輪                             | 🚴        | chunks=['sta', 'tion', 'ar', 'y', 'bike'] | py=ㄙㄉㄝ-ㄒㄣ-ㄝ-ㄦ-ㄅㄞㄎ | theme=fitness | stage=3 [有易混提示]
 3632 | zumba                          | 尊巴                             | 💃        | chunks=['zum', 'ba'] | py=ㄗㄚㄇ-ㄅㄜ | theme=fitness | stage=2
 3633 | spinning                       | 飛輪課、旋轉                         | 🚴        | chunks=['spin', 'ning'] | py=ㄙㄆㄧㄣ-ㄋㄧㄥ | theme=fitness | stage=2 base=spin [有易混提示]
 3634 | bootcamp                       | 訓練營                            | 💪        | chunks=['boot', 'camp'] | py=ㄅㄨㄊ-ㄎㄚㄇㄆ | theme=fitness | stage=2
 3635 | membership                     | 會員資格                           | 🆔        | chunks=['mem', 'ber', 'ship'] | py=ㄇㄝㄇ-ㄅㄜㄦ-ㄒㄧㄆ | theme=fitness | stage=2
 3636 | subscription                   | 訂閱                             | 📋        | chunks=['sub', 'scrip', 'tion'] | py=ㄙㄚㄅ-ㄙㄎㄌㄧㄆ-ㄒㄣ | theme=fitness | stage=2 base=subscribe
 3637 | flex                           | 彎曲、炫耀                          | 💪        | chunks=['fl', 'ex'] | py=ㄈㄌㄝㄎㄙ | theme=fitness | stage=1 [有易混提示]
 3638 | sculpt                         | 雕塑                             | 💪        | chunks=['sc', 'ulpt'] | py=ㄙㄎㄚㄦㄆㄊ | theme=fitness | stage=3
 3639 | bulk                           | 增肌                             | 💪        | chunks=['b', 'ulk'] | py=ㄅㄚㄦㄎ | theme=fitness | stage=2 [有易混提示]
 3640 | shredding                      | 減脂                             | 💪        | chunks=['shred', 'ding'] | py=ㄒㄌㄝㄉ-ㄉㄧㄥ | theme=fitness | stage=3 base=shred
 3641 | bodyfat                        | 體脂                             | 📊        | chunks=['bod', 'y', 'fat'] | py=ㄅㄚ-ㄉㄧ-ㄈㄚㄊ | theme=fitness | stage=2
 3642 | leanmass                       | 瘦體重                            | 💪        | chunks=['lean', 'mass'] | py=ㄌㄧㄣ-ㄇㄚㄙ | theme=fitness | stage=3
 3643 | creatine                       | 肌酸                             | 💊        | chunks=['cre', 'a', 'tine'] | py=ㄎㄌㄧ-ㄚ-ㄊㄧㄣ | theme=fitness | stage=3
 3644 | bcaa                           | 支鏈胺基酸                          | 💊        | chunks=['b', 'c', 'a', 'a'] | py=ㄅㄧ-ㄒㄧ-ㄝ-ㄝ | theme=fitness | stage=3
 3645 | preworkout                     | 運動前補給品                         | 💊        | chunks=['pre', 'work', 'out'] | py=ㄆㄌㄧ-ㄨㄜㄎ-ㄠㄊ | theme=fitness | stage=3
 3646 | postworkout                    | 運動後補給品                         | 💊        | chunks=['post', 'work', 'out'] | py=ㄆㄛㄙㄊ-ㄨㄜㄎ-ㄠㄊ | theme=fitness | stage=3
 3647 | hydrate                        | 補水                             | 💧        | chunks=['hy', 'drate'] | py=ㄏㄞ-ㄉㄌㄝㄊ | theme=fitness | stage=2
 3648 | exhausted                      | 精疲力盡                           | 😩        | chunks=['ex', 'haust', 'ed'] | py=ㄧㄍ-ㄗㄛㄙ-ㄊㄜㄉ | theme=fitness | stage=2
 3649 | rep                            | 一下(健身次數)                       | 🔁        | chunks=['r', 'ep'] | py=ㄌㄝㄆ | theme=fitness | stage=2
 3650 | repetition                     | 反覆                             | 🔁        | chunks=['rep', 'e', 'ti', 'tion'] | py=ㄌㄝ-ㄆㄜ-ㄊㄧ-ㄒㄣ | theme=fitness | stage=2
 3651 | circuit                        | 循環訓練                           | 🔁        | chunks=['cir', 'cuit'] | py=ㄙㄜ-ㄎㄜㄊ | theme=fitness | stage=2
 3652 | interval                       | 間歇                             | ⏱️       | chunks=['in', 'ter', 'val'] | py=ㄧㄣ-ㄊㄜ-ㄈㄜ | theme=fitness | stage=2
 3653 | restday                        | 休息日                            | 🛌        | chunks=['rest', 'day'] | py=ㄌㄝㄙㄊ-ㄉㄟ | theme=fitness | stage=1
 3654 | spotter                        | 輔助員                            | 💪        | chunks=['spot', 'ter'] | py=ㄙㄆㄚ-ㄊㄜ | theme=fitness | stage=3 base=spot
 3655 | sixpack                        | 六塊肌                            | 💪        | chunks=['six', 'pack'] | py=ㄒㄧㄎㄙ-ㄆㄚㄎ | theme=fitness | stage=2
 3656 | abs                            | 腹肌                             | 💪        | chunks=['a', 'bs'] | py=ㄚㄅㄗ | theme=fitness | stage=1
 3657 | glutes                         | 臀肌                             | 🍑        | chunks=['gl', 'utes'] | py=ㄍㄌㄨㄊㄗ | theme=fitness | stage=3
 3658 | quads                          | 股四頭肌                           | 🦵        | chunks=['qu', 'ads'] | py=ㄎㄨㄚㄉㄗ | theme=fitness | stage=3
 3659 | hamstrings                     | 大腿後側                           | 🦵        | chunks=['ham', 'strings'] | py=ㄏㄚㄇ-ㄙㄉㄌㄧㄥㄗ | theme=fitness | stage=3
 3660 | lats                           | 背闊肌                            | 💪        | chunks=['l', 'ats'] | py=ㄌㄚㄊㄗ | theme=fitness | stage=3
 3661 | delts                          | 三角肌                            | 💪        | chunks=['d', 'elts'] | py=ㄉㄝㄦㄊㄗ | theme=fitness | stage=3
 3662 | traps                          | 斜方肌                            | 💪        | chunks=['tr', 'aps'] | py=ㄊㄌㄚㄆㄗ | theme=fitness | stage=3
 3663 | form                           | 動作姿勢、形式                        | 🧍        | chunks=['f', 'orm'] | py=ㄈㄛㄦㄇ | theme=fitness | stage=2 [有易混提示]
