# 字 1500-1999
 1500 | both                           | 兩者都                            | ✌️       | chunks=['b', 'oth'] | py=ㄅㄛㄙ | theme=sight-words | stage=1 [有易混提示]
 1515 | into                           | 進入                             | 📥        | chunks=['in', 'to'] | py=ㄧㄣ-ㄊㄨ | theme=sight-words | stage=0
 1516 | onto                           | 到…上                            | ⬆️       | chunks=['on', 'to'] | py=ㄚㄣ-ㄊㄨ | theme=sight-words | stage=1
 1517 | against                        | 反對、靠著                          | ⚔️       | chunks=['a', 'gainst'] | py=ㄚ-ㄍㄣㄙㄊ | theme=sight-words | stage=1
 1518 | around                         | 周圍                             | 🔄        | chunks=['a', 'round'] | py=ㄚ-ㄌㄠㄣㄉ | theme=sight-words | stage=1 [有易混提示]
 1519 | through                        | 穿過                             | ⤵️       | chunks=['thr', 'ough'] | py=ㄙㄌㄨ | theme=sight-words | stage=1 [有易混提示]
 1520 | across                         | 橫越                             | ↔️       | chunks=['a', 'cross'] | py=ㄚ-ㄎㄌㄚㄙ | theme=sight-words | stage=1
 1521 | along                          | 沿著                             | ➡️       | chunks=['a', 'long'] | py=ㄚ-ㄌㄚㄥ | theme=sight-words | stage=1
 1522 | beyond                         | 超越                             | ➡️       | chunks=['be', 'yond'] | py=ㄅㄧ-ㄧㄚㄣㄉ | theme=sight-words | stage=2
 1523 | off                            | 離開                             | ⛔        | chunks=['o', 'ff'] | py=ㄚㄈ | theme=sight-words | stage=0 [有易混提示]
 1524 | away                           | 遠離                             | ⬅️       | chunks=['a', 'way'] | py=ㄚ-ㄨㄝ | theme=sight-words | stage=0 [有易混提示]
 1525 | toward                         | 朝向                             | ➡️       | chunks=['to', 'ward'] | py=ㄊㄨ-ㄨㄜㄉ | theme=sight-words | stage=2
 1526 | throughout                     | 整個                             | 🔄        | chunks=['through', 'out'] | py=ㄙㄌㄨ-ㄠㄊ | theme=sight-words | stage=2
 1527 | within                         | 在…之內                           | 📥        | chunks=['with', 'in'] | py=ㄨㄧㄒ-ㄧㄣ | theme=sight-words | stage=2
 1528 | without                        | 沒有                             | ⛔        | chunks=['with', 'out'] | py=ㄨㄧㄒ-ㄠㄊ | theme=sight-words | stage=1
 1529 | forward                        | 向前                             | ⏩        | chunks=['for', 'ward'] | py=ㄈㄛㄦ-ㄨㄜㄉ | theme=sight-words | stage=1
 1530 | backward                       | 向後                             | ⏪        | chunks=['back', 'ward'] | py=ㄅㄚㄎ-ㄨㄜㄉ | theme=sight-words | stage=2
 1531 | mother                         | 母親                             | 👩        | chunks=['mo', 'ther'] | py=ㄇㄚ-ㄉㄜ | theme=sight-words | stage=0
 1532 | father                         | 父親                             | 👨        | chunks=['fa', 'ther'] | py=ㄈㄚ-ㄉㄜ | theme=sight-words | stage=0
 1533 | son                            | 兒子                             | 👦        | chunks=['s', 'on'] | py=ㄙㄚㄣ | theme=sight-words | stage=0 [有易混提示]
 1534 | daughter                       | 女兒                             | 👧        | chunks=['daugh', 'ter'] | py=ㄉㄛ-ㄊㄜ | theme=sight-words | stage=1
 1535 | neighbor                       | 鄰居                             | 🏠        | chunks=['neigh', 'bor'] | py=ㄋㄟ-ㄅㄜ | theme=sight-words | stage=1
 1536 | human                          | 人類                             | 🧑        | chunks=['hu', 'man'] | py=ㄏㄧㄨ-ㄇㄣ | theme=sight-words | stage=1
 1537 | adult                          | 成人                             | 🧑        | chunks=['a', 'dult'] | py=ㄚ-ㄉㄚㄦㄊ | theme=sight-words | stage=1
 1538 | teen                           | 青少年                            | 🧑        | chunks=['t', 'een'] | py=ㄊㄧㄣ | theme=sight-words | stage=1 [有易混提示]
 1539 | citizen                        | 公民                             | 🧑        | chunks=['cit', 'i', 'zen'] | py=ㄒㄧ-ㄊㄜ-ㄗㄣ | theme=sight-words | stage=2
 1540 | individual                     | 個人                             | 🧑        | chunks=['in', 'di', 'vid', 'u', 'al'] | py=ㄧㄣ-ㄉㄜ-ㄈㄧ-ㄐㄜ-ㄦ | theme=sight-words | stage=2 [有易混提示]
 1541 | member                         | 成員                             | 👥        | chunks=['mem', 'ber'] | py=ㄇㄝㄇ-ㄅㄜ | theme=sight-words | stage=1
 1542 | people                         | 人們                             | 👥        | chunks=['peo', 'ple'] | py=ㄆㄧ-ㄆㄜ | theme=sight-words | stage=0 base=person
 1543 | person                         | 人                              | 🧑        | chunks=['per', 'son'] | py=ㄆㄜ-ㄗㄣ | theme=sight-words | stage=0
 1544 | anyone                         | 任何人                            | 👤        | chunks=['any', 'one'] | py=ㄝ-ㄋㄧ-ㄨㄢ | theme=sight-words | stage=1
 1545 | everybody                      | 每個人                            | 👥        | chunks=['every', 'bo', 'dy'] | py=ㄝㄈ-ㄌㄧ-ㄅㄚ-ㄉㄧ | theme=sight-words | stage=1
 1546 | anybody                        | 任何人                            | 👤        | chunks=['any', 'bo', 'dy'] | py=ㄝ-ㄋㄧ-ㄅㄚ-ㄉㄧ | theme=sight-words | stage=1
 1547 | nobody                         | 沒人                             | 🚫        | chunks=['no', 'bo', 'dy'] | py=ㄋㄛ-ㄅㄚ-ㄉㄧ | theme=sight-words | stage=1
 1548 | somebody                       | 某人                             | 👤        | chunks=['some', 'bo', 'dy'] | py=ㄙㄚㄇ-ㄅㄚ-ㄉㄧ | theme=sight-words | stage=1
 1549 | thing                          | 東西                             | 🔵        | chunks=['th', 'ing'] | py=ㄒㄧㄥ | theme=sight-words | stage=0 [有易混提示]
 1550 | way                            | 方法、路                           | 🛤️       | chunks=['w', 'ay'] | py=ㄨㄝ | theme=sight-words | stage=0 [有易混提示]
 1551 | place                          | 地方                             | 📍        | chunks=['pl', 'ace'] | py=ㄆㄌㄝㄙ | theme=sight-words | stage=0 [有易混提示]
 1552 | man                            | 男人                             | 👨        | chunks=['m', 'an'] | py=ㄇㄚㄣ | theme=sight-words | stage=0 [有易混提示]
 1553 | woman                          | 女人                             | 👩        | chunks=['wo', 'man'] | py=ㄨㄨ-ㄇㄣ | theme=sight-words | stage=0
 1554 | child                          | 小孩                             | 🧒        | chunks=['ch', 'ild'] | py=ㄑㄞㄦㄉ | theme=sight-words | stage=0
 1555 | children                       | 小孩們                            | 👶        | chunks=['chil', 'dren'] | py=ㄑㄧㄦ-ㄉㄣ | theme=sight-words | stage=1 base=child
 1556 | life                           | 生命                             | ❤️       | chunks=['l', 'ife'] | py=ㄌㄞㄈ | theme=sight-words | stage=1 [有易混提示]
 1557 | world                          | 世界                             | 🌍        | chunks=['w', 'orld'] | py=ㄨㄜㄦㄉ | theme=sight-words | stage=0
 1558 | state                          | 州、狀態                           | 🇺🇸       | chunks=['st', 'ate'] | py=ㄙㄉㄟㄊ | theme=sight-words | stage=1 [有易混提示]
 1559 | city                           | 城市                             | 🏙️       | chunks=['ci', 'ty'] | py=ㄒㄧ-ㄊㄧ | theme=sight-words | stage=0
 1560 | town                           | 小鎮                             | 🏘️       | chunks=['t', 'own'] | py=ㄊㄠㄣ | theme=sight-words | stage=0
 1561 | name                           | 名字                             | 🏷️       | chunks=['n', 'ame'] | py=ㄋㄟㄇ | theme=sight-words | stage=0
 1562 | word                           | 單字                             | 🔤        | chunks=['w', 'ord'] | py=ㄨㄜㄉ | theme=sight-words | stage=0 [有易混提示]
 1563 | side                           | 邊                              | ➡️       | chunks=['s', 'ide'] | py=ㄙㄞㄉ | theme=sight-words | stage=1 [有易混提示]
 1564 | area                           | 區域                             | 🗺️       | chunks=['a', 're', 'a'] | py=ㄝ-ㄌㄧ-ㄚ | theme=sight-words | stage=1
 1565 | story                          | 故事                             | 📖        | chunks=['sto', 'ry'] | py=ㄙㄉㄛ-ㄌㄧ | theme=sight-words | stage=0
 1566 | fact                           | 事實                             | 💯        | chunks=['f', 'act'] | py=ㄈㄚㄎㄊ | theme=sight-words | stage=1
 1567 | idea                           | 想法                             | 💡        | chunks=['i', 'de', 'a'] | py=ㄞ-ㄉㄧ-ㄚ | theme=sight-words | stage=1
 1568 | problem                        | 問題                             | ❗        | chunks=['prob', 'lem'] | py=ㄆㄌㄚ-ㄅㄌㄣ | theme=sight-words | stage=1
 1569 | example                        | 例子                             | 💡        | chunks=['ex', 'am', 'ple'] | py=ㄧㄍ-ㄗㄚㄇ-ㄆㄜ | theme=sight-words | stage=1
 1570 | reason                         | 理由                             | 💭        | chunks=['rea', 'son'] | py=ㄌㄧ-ㄗㄣ | theme=sight-words | stage=1
 1571 | result                         | 結果                             | 📊        | chunks=['re', 'sult'] | py=ㄌㄧ-ㄗㄚㄦㄊ | theme=sight-words | stage=1
 1572 | matter                         | 事情                             | ❓        | chunks=['mat', 'ter'] | py=ㄇㄚ-ㄊㄜ | theme=sight-words | stage=1 [有易混提示]
 1573 | step                           | 步驟                             | 👣        | chunks=['st', 'ep'] | py=ㄙㄉㄝㄆ | theme=sight-words | stage=0 [有易混提示]
 1574 | rule                           | 規則                             | 📏        | chunks=['r', 'ule'] | py=ㄌㄨㄦ | theme=sight-words | stage=1
 1575 | plan                           | 計畫                             | 📋        | chunks=['pl', 'an'] | py=ㄆㄌㄚㄣ | theme=sight-words | stage=1 [有易混提示]
 1576 | system                         | 系統                             | ⚙️       | chunks=['sys', 'tem'] | py=ㄒㄧㄙ-ㄊㄣ | theme=sight-words | stage=1
 1577 | lot                            | 很多                             | 📊        | chunks=['l', 'ot'] | py=ㄌㄚㄊ | theme=sight-words | stage=0 [有易混提示]
 1578 | type                           | 類型                             | 📂        | chunks=['t', 'ype'] | py=ㄊㄞㄆ | theme=sight-words | stage=1 [有易混提示]
 1579 | sort                           | 種類                             | 📂        | chunks=['s', 'ort'] | py=ㄙㄛㄦㄊ | theme=sight-words | stage=1 [有易混提示]
 1580 | item                           | 項目                             | 📋        | chunks=['i', 'tem'] | py=ㄞ-ㄊㄣ | theme=sight-words | stage=1
 1581 | situation                      | 情況                             | 📊        | chunks=['sit', 'u', 'a', 'tion'] | py=ㄒㄧㄑ-ㄐㄧㄨ-ㄝ-ㄒㄣ | theme=sight-words | stage=2
 1582 | condition                      | 條件                             | 📋        | chunks=['con', 'di', 'tion'] | py=ㄎㄢ-ㄉㄧ-ㄒㄣ | theme=sight-words | stage=2 [有易混提示]
 1583 | stuff                          | 東西                             | 🧳        | chunks=['st', 'uff'] | py=ㄙㄉㄚㄈ | theme=sight-words | stage=1 [有易混提示]
 1584 | object                         | 物體                             | 🔷        | chunks=['ob', 'ject'] | py=ㄚㄅ-ㄐㄝㄎㄊ | theme=sight-words | stage=1 [有易混提示]
 1585 | material                       | 材料                             | 🧱        | chunks=['ma', 'te', 'ri', 'al'] | py=ㄇㄚ-ㄊㄧ-ㄌㄧ-ㄦ | theme=sight-words | stage=2 [有易混提示]
 1586 | truth                          | 真相                             | 💯        | chunks=['tr', 'uth'] | py=ㄊㄌㄨㄙ | theme=sight-words | stage=1
 1587 | lie                            | 謊言                             | 🤥        | chunks=['l', 'ie'] | py=ㄌㄞ | theme=sight-words | stage=1 [有易混提示]
 1588 | secret                         | 秘密                             | 🤐        | chunks=['se', 'cret'] | py=ㄒㄧ-ㄎㄌㄝㄊ | theme=sight-words | stage=1 [有易混提示]
 1589 | concept                        | 概念                             | 💡        | chunks=['con', 'cept'] | py=ㄎㄚㄣ-ㄙㄝㄆㄊ | theme=sight-words | stage=2
 1590 | house                          | 房子                             | 🏠        | chunks=['h', 'ouse'] | py=ㄏㄠㄙ | theme=sight-words | stage=0 [有易混提示]
 1591 | building                       | 建築                             | 🏢        | chunks=['buil', 'ding'] | py=ㄅㄧㄦ-ㄉㄧㄥ | theme=sight-words | stage=1 base=build
 1592 | bridge                         | 橋                              | 🌉        | chunks=['br', 'idge'] | py=ㄅㄌㄧㄐ | theme=sight-words | stage=1
 1593 | street                         | 街                              | 🛣️       | chunks=['str', 'eet'] | py=ㄙㄉㄌㄧㄊ | theme=sight-words | stage=0
 1594 | path                           | 小徑                             | 🛤️       | chunks=['p', 'ath'] | py=ㄆㄚㄙ | theme=sight-words | stage=1
 1595 | top                            | 頂部                             | ⬆️       | chunks=['t', 'op'] | py=ㄊㄚㄆ | theme=sight-words | stage=0 [有易混提示]
 1596 | bottom                         | 底部                             | ⬇️       | chunks=['bot', 'tom'] | py=ㄅㄚ-ㄉㄣ | theme=sight-words | stage=1 [有易混提示]
 1597 | middle                         | 中間                             | 🎯        | chunks=['mid', 'dle'] | py=ㄇㄧ-ㄉㄜ | theme=sight-words | stage=1
 1598 | center                         | 中心                             | 🎯        | chunks=['cen', 'ter'] | py=ㄙㄝㄣ-ㄊㄜ | theme=sight-words | stage=1 [有易混提示]
 1599 | edge                           | 邊緣                             | 📐        | chunks=['e', 'dge'] | py=ㄝㄐ | theme=sight-words | stage=1
 1600 | corner                         | 角落                             | 📐        | chunks=['cor', 'ner'] | py=ㄎㄛㄦ-ㄋㄜ | theme=sight-words | stage=1 [有易混提示]
 1601 | case                           | 案例                             | 📋        | chunks=['c', 'ase'] | py=ㄎㄝㄙ | theme=sight-words | stage=1 [有易混提示]
 1602 | event                          | 事件                             | 🎪        | chunks=['e', 'vent'] | py=ㄧ-ㄈㄣㄊ | theme=sight-words | stage=1
 1603 | chance                         | 機會                             | 🎲        | chunks=['ch', 'ance'] | py=ㄑㄚㄣㄙ | theme=sight-words | stage=1 [有易混提示]
 1604 | opportunity                    | 機會                             | 🚪        | chunks=['op', 'por', 'tu', 'ni', 'ty'] | py=ㄚ-ㄆㄜ-ㄊㄧㄨ-ㄋㄜ-ㄊㄧ | theme=sight-words | stage=2
 1605 | power                          | 力量                             | 💪        | chunks=['po', 'wer'] | py=ㄆㄠ-ㄜ | theme=sight-words | stage=1 [有易混提示]
 1606 | energy                         | 能量                             | ⚡        | chunks=['en', 'er', 'gy'] | py=ㄝ-ㄋㄜ-ㄐㄧ | theme=sight-words | stage=1 [有易混提示]
 1607 | force                          | 力量                             | 💪        | chunks=['f', 'orce'] | py=ㄈㄛㄦㄙ | theme=sight-words | stage=1 [有易混提示]
 1608 | tiny                           | 極小                             | 🐜        | chunks=['ti', 'ny'] | py=ㄊㄞ-ㄋㄧ | theme=sight-words | stage=1
 1609 | huge                           | 巨大                             | 🐘        | chunks=['h', 'uge'] | py=ㄏㄧㄨㄐ | theme=sight-words | stage=1
 1610 | giant                          | 巨大                             | 🦣        | chunks=['gi', 'ant'] | py=ㄐㄞ-ㄣㄊ | theme=sight-words | stage=1 [有易混提示]
 1611 | fellow                         | 同伴                             | 👬        | chunks=['fel', 'low'] | py=ㄈㄝ-ㄌㄛ | theme=sight-words | stage=2
 1612 | gentleman                      | 紳士                             | 🤵        | chunks=['gen', 'tle', 'man'] | py=ㄐㄣ-ㄉㄜ-ㄇㄣ | theme=sight-words | stage=2
 1613 | lady                           | 女士                             | 👩        | chunks=['la', 'dy'] | py=ㄌㄟ-ㄉㄧ | theme=sight-words | stage=1 [有易混提示]
 1614 | guy                            | 傢伙                             | 👨        | chunks=['g', 'uy'] | py=ㄍㄞ | theme=sight-words | stage=1
 1615 | village                        | 村莊                             | 🏘️       | chunks=['vil', 'lage'] | py=ㄈㄧ-ㄌㄧㄐ | theme=sight-words | stage=1
 1616 | nation                         | 國家                             | 🏛️       | chunks=['na', 'tion'] | py=ㄋㄟ-ㄒㄣ | theme=sight-words | stage=2
 1617 | region                         | 地區                             | 🗺️       | chunks=['re', 'gion'] | py=ㄌㄧ-ㄐㄣ | theme=sight-words | stage=2 [有易混提示]
 1618 | instance                       | 實例                             | 📋        | chunks=['in', 'stance'] | py=ㄧㄣ-ㄙㄉㄢㄙ | theme=sight-words | stage=2
 1619 | occasion                       | 場合                             | 🎉        | chunks=['oc', 'ca', 'sion'] | py=ㄚ-ㄎㄟ-ㄓㄣ | theme=sight-words | stage=2
 1620 | detail                         | 細節                             | 🔍        | chunks=['de', 'tail'] | py=ㄉㄧ-ㄊㄟㄦ | theme=sight-words | stage=1 [有易混提示]
 1621 | parent                         | 家長                             | 👨‍👩‍👧    | chunks=['pa', 'rent'] | py=ㄆㄝㄜ-ㄣㄊ | theme=family | stage=0 [有易混提示]
 1622 | parents                        | 父母                             | 👨‍👩‍👧    | chunks=['pa', 'rents'] | py=ㄆㄝㄜ-ㄣㄗ | theme=family | stage=0 base=parent
 1623 | grandma                        | 奶奶                             | 👵        | chunks=['grand', 'ma'] | py=ㄍㄌㄚㄣ-ㄇㄚ | theme=family | stage=0
 1624 | grandpa                        | 爺爺                             | 👴        | chunks=['grand', 'pa'] | py=ㄍㄌㄚㄣ-ㄆㄚ | theme=family | stage=0
 1625 | grandmother                    | 祖母                             | 👵        | chunks=['grand', 'mo', 'ther'] | py=ㄍㄌㄚㄣ-ㄇㄚ-ㄉㄜ | theme=family | stage=1
 1626 | grandfather                    | 祖父                             | 👴        | chunks=['grand', 'fa', 'ther'] | py=ㄍㄌㄚㄣ-ㄈㄚ-ㄉㄜ | theme=family | stage=1
 1627 | grandparent                    | 祖父母                            | 👴        | chunks=['grand', 'pa', 'rent'] | py=ㄍㄌㄚㄣ-ㄆㄝㄜ-ㄣㄊ | theme=family | stage=1
 1628 | uncle                          | 叔叔                             | 👨        | chunks=['un', 'cle'] | py=ㄚㄣ-ㄎㄜ | theme=family | stage=0
 1629 | aunt                           | 阿姨                             | 👩        | chunks=['a', 'unt'] | py=ㄚㄣㄊ | theme=family | stage=0
 1630 | cousin                         | 表親                             | 👬        | chunks=['cou', 'sin'] | py=ㄎㄚ-ㄗㄣ | theme=family | stage=1
 1631 | nephew                         | 姪子                             | 👦        | chunks=['ne', 'phew'] | py=ㄋㄝ-ㄈㄧㄨ | theme=family | stage=2
 1632 | niece                          | 姪女                             | 👧        | chunks=['n', 'iece'] | py=ㄋㄧㄙ | theme=family | stage=2
 1633 | twin                           | 雙胞胎                            | 👯        | chunks=['tw', 'in'] | py=ㄊㄨㄧㄣ | theme=family | stage=1 [有易混提示]
 1634 | husband                        | 丈夫                             | 🤵        | chunks=['hus', 'band'] | py=ㄏㄚㄗ-ㄅㄣㄉ | theme=family | stage=0
 1635 | wife                           | 妻子                             | 👰        | chunks=['w', 'ife'] | py=ㄨㄞㄈ | theme=family | stage=0
 1636 | groom                          | 新郎                             | 🤵        | chunks=['gr', 'oom'] | py=ㄍㄌㄨㄣ | theme=family | stage=2
 1637 | bride                          | 新娘                             | 👰        | chunks=['br', 'ide'] | py=ㄅㄌㄞㄉ | theme=family | stage=2
 1638 | fiance                         | 未婚夫                            | 💍        | chunks=['fi', 'an', 'ce'] | py=ㄈㄧ-ㄢ-ㄙㄟ | theme=family | stage=3
 1639 | fiancee                        | 未婚妻                            | 💍        | chunks=['fi', 'an', 'cee'] | py=ㄈㄧ-ㄢ-ㄙㄟ | theme=family | stage=3
 1640 | partner                        | 伴侶                             | 👫        | chunks=['part', 'ner'] | py=ㄆㄚㄦ-ㄋㄜ | theme=family | stage=1 [有易混提示]
 1641 | boyfriend                      | 男友                             | 👦        | chunks=['boy', 'friend'] | py=ㄅㄛㄧ-ㄈㄌㄝㄣㄉ | theme=family | stage=1
 1642 | girlfriend                     | 女友                             | 👧        | chunks=['girl', 'friend'] | py=ㄍㄜㄦ-ㄈㄌㄝㄣㄉ | theme=family | stage=1
 1643 | relative                       | 親戚                             | 👨‍👩‍👧    | chunks=['rel', 'a', 'tive'] | py=ㄌㄝ-ㄌㄜ-ㄊㄧㄈ | theme=family | stage=2 base=relate
 1644 | ancestor                       | 祖先                             | 👴        | chunks=['an', 'ces', 'tor'] | py=ㄢ-ㄙㄝㄙ-ㄊㄜ | theme=family | stage=2
 1645 | descendant                     | 後代                             | 👶        | chunks=['des', 'cen', 'dant'] | py=ㄉㄧ-ㄙㄣ-ㄉㄣㄊ | theme=family | stage=3
 1646 | pet                            | 寵物                             | 🐕        | chunks=['p', 'et'] | py=ㄆㄝㄊ | theme=family | stage=0
 1647 | roommate                       | 室友                             | 🛏️       | chunks=['room', 'mate'] | py=ㄌㄨㄣ-ㄇㄝㄊ | theme=family | stage=1
 1648 | workmate                       | 同事                             | 💼        | chunks=['work', 'mate'] | py=ㄨㄜㄎ-ㄇㄝㄊ | theme=family | stage=2
 1649 | teammate                       | 隊友                             | 👥        | chunks=['team', 'mate'] | py=ㄊㄧㄇ-ㄇㄝㄊ | theme=family | stage=1
 1650 | acquaintance                   | 熟人                             | 🤝        | chunks=['ac', 'quain', 'tance'] | py=ㄚ-ㄎㄨㄝㄣ-ㄊㄢㄙ | theme=family | stage=2
 1651 | stranger                       | 陌生人                            | ❓        | chunks=['stran', 'ger'] | py=ㄙㄉㄌㄟㄣ-ㄐㄜ | theme=family | stage=1 base=strange
 1652 | enemy                          | 敵人                             | ⚔️       | chunks=['en', 'e', 'my'] | py=ㄝ-ㄋㄜ-ㄇㄧ | theme=family | stage=1
 1653 | rival                          | 對手                             | ⚔️       | chunks=['ri', 'val'] | py=ㄌㄞ-ㄈㄜ | theme=family | stage=2
 1654 | companion                      | 夥伴                             | 👫        | chunks=['com', 'pan', 'ion'] | py=ㄎㄚㄇ-ㄆㄢ-ㄧㄢ | theme=family | stage=2
 1655 | mate                           | 伙伴                             | 👬        | chunks=['m', 'ate'] | py=ㄇㄝㄊ | theme=family | stage=1 [有易混提示]
 1656 | buddy                          | 哥們                             | 👬        | chunks=['bud', 'dy'] | py=ㄅㄚ-ㄉㄧ | theme=family | stage=1
 1657 | pal                            | 夥伴                             | 👬        | chunks=['p', 'al'] | py=ㄆㄚㄦ | theme=family | stage=1
 1658 | crush                          | 心儀對象                           | 💘        | chunks=['cr', 'ush'] | py=ㄎㄌㄚㄒ | theme=family | stage=2 [有易混提示]
 1659 | lover                          | 愛人                             | 💕        | chunks=['lo', 'ver'] | py=ㄌㄚ-ㄈㄜ | theme=family | stage=1 base=love
 1660 | ex                             | 前任                             | 💔        | chunks=['e', 'x'] | py=ㄝㄎㄙ | theme=family | stage=2 [有易混提示]
 1661 | widow                          | 寡婦                             | 👩        | chunks=['wi', 'dow'] | py=ㄨㄧ-ㄉㄛ | theme=family | stage=2
 1662 | widower                        | 鰥夫                             | 👨        | chunks=['wi', 'dow', 'er'] | py=ㄨㄧ-ㄉㄛ-ㄜ | theme=family | stage=3 base=widow
 1663 | orphan                         | 孤兒                             | 👶        | chunks=['or', 'phan'] | py=ㄛㄦ-ㄈㄣ | theme=family | stage=2
 1664 | infant                         | 嬰兒                             | 👶        | chunks=['in', 'fant'] | py=ㄧㄣ-ㄈㄣㄊ | theme=family | stage=2
 1665 | toddler                        | 幼兒                             | 👶        | chunks=['tod', 'dler'] | py=ㄊㄚ-ㄉㄌㄜ | theme=family | stage=2
 1666 | youth                          | 青年                             | 🧑        | chunks=['y', 'outh'] | py=ㄧㄨㄙ | theme=family | stage=1
 1667 | elder                          | 長輩                             | 👴        | chunks=['el', 'der'] | py=ㄝㄦ-ㄉㄜ | theme=family | stage=1
 1668 | senior                         | 年長者                            | 👴        | chunks=['se', 'nior'] | py=ㄒㄧ-ㄋㄧㄜ | theme=family | stage=1 [有易混提示]
 1669 | junior                         | 晚輩                             | 👶        | chunks=['ju', 'nior'] | py=ㄐㄨ-ㄋㄧㄜ | theme=family | stage=1 [有易混提示]
 1670 | stepmother                     | 繼母                             | 👩        | chunks=['step', 'mo', 'ther'] | py=ㄙㄉㄝㄆ-ㄇㄚ-ㄉㄜ | theme=family | stage=2
 1671 | stepfather                     | 繼父                             | 👨        | chunks=['step', 'fa', 'ther'] | py=ㄙㄉㄝㄆ-ㄈㄚ-ㄉㄜ | theme=family | stage=2
 1672 | stepson                        | 繼子                             | 👦        | chunks=['step', 'son'] | py=ㄙㄉㄝㄆ-ㄙㄚㄣ | theme=family | stage=2
 1673 | stepdaughter                   | 繼女                             | 👧        | chunks=['step', 'daugh', 'ter'] | py=ㄙㄉㄝㄆ-ㄉㄛ-ㄊㄜ | theme=family | stage=2
 1674 | stepbrother                    | 繼兄弟                            | 👦        | chunks=['step', 'bro', 'ther'] | py=ㄙㄉㄝㄆ-ㄅㄌㄚ-ㄉㄜ | theme=family | stage=2
 1675 | stepsister                     | 繼姊妹                            | 👧        | chunks=['step', 'sis', 'ter'] | py=ㄙㄉㄝㄆ-ㄒㄧㄙ-ㄊㄜ | theme=family | stage=2
 1676 | sibling                        | 手足                             | 👬        | chunks=['sib', 'ling'] | py=ㄒㄧㄅ-ㄌㄧㄥ | theme=family | stage=2
 1677 | bachelor                       | 單身漢                            | 👨        | chunks=['bach', 'e', 'lor'] | py=ㄅㄚ-ㄑㄜ-ㄌㄜ | theme=family | stage=3
 1678 | marriage                       | 婚姻                             | 💍        | chunks=['mar', 'riage'] | py=ㄇㄝ-ㄌㄧㄐ | theme=family | stage=1
 1679 | divorce                        | 離婚                             | 💔        | chunks=['di', 'vorce'] | py=ㄉㄧ-ㄈㄛㄦㄙ | theme=family | stage=2
 1680 | wedding                        | 婚禮                             | 💒        | chunks=['wed', 'ding'] | py=ㄨㄝ-ㄉㄧㄥ | theme=family | stage=1 base=wed
 1681 | honeymoon                      | 蜜月                             | 🌙        | chunks=['ho', 'ney', 'moon'] | py=ㄏㄚ-ㄋㄧ-ㄇㄨㄣ | theme=family | stage=2
 1682 | birth                          | 出生                             | 👶        | chunks=['b', 'irth'] | py=ㄅㄜㄙ | theme=family | stage=1 [有易混提示]
