# 字 7000-7499
 7000 | sexual                         | 性的                             | 🎨        | chunks=['se', 'xual'] | py=ㄙㄜ-ㄎㄙㄚㄚㄌ | theme=adjectives | stage=2 base=sex
 7016 | sore                           | 痛的                             | 🎨        | chunks=['so', 're'] | py=ㄙㄛ-ㄌㄧ | theme=adjectives | stage=2 [有易混提示]
 7017 | sorrow                         | 悲痛，悲哀                          | 😢        | chunks=['sor', 'row'] | py=ㄗㄜ-ㄌㄛ | theme=emotions | stage=2
 7018 | spaghetti                      | 義大利麵條                          | 🍝        | chunks=['spag', 'het', 'ti'] | py=ㄙㄆㄚㄍ-ㄏㄝㄊ-ㄊㄜ | theme=food | stage=2
 7019 | spill                          | 溢出                             | 🏃        | chunks=['sp', 'ill'] | py=ㄙㄆ-ㄧㄦ | theme=actions | stage=2 [有易混提示]
 7020 | spin                           | 紡                              | 🏃        | chunks=['sp', 'in'] | py=ㄙㄆ-ㄧㄣ | theme=actions | stage=2
 7021 | spit                           | 吐口水                            | 💧        | chunks=['sp', 'it'] | py=ㄙㄆ-ㄧㄊ | theme=actions | stage=2 [有易混提示]
 7022 | spite                          | 惡意                             | 🏃        | chunks=['spi', 'te'] | py=ㄙㄆㄞ-ㄊㄧ | theme=actions | stage=2 [有易混提示]
 7023 | splash                         | 濺，潑                            | 🏃        | chunks=['spl', 'ash'] | py=ㄙㄆㄌ-ㄚㄒ | theme=actions | stage=2
 7024 | spoil                          | 損壞                             | 🏃        | chunks=['sp', 'oil'] | py=ㄙㄆ-ㄛㄧㄦ | theme=actions | stage=2 [有易混提示]
 7025 | spray                          | 噴霧、噴灑                          | 💦        | chunks=['spr', 'ay'] | py=ㄙㄆㄖ-ㄟ | theme=actions | stage=2
 7026 | squeeze                        | 榨，擠，壓                          | 🏃        | chunks=['squee', 'ze'] | py=ㄙㄎㄨㄧ-ㄗㄧ | theme=actions | stage=2
 7027 | stab                           | 刺，戳                            | 🏃        | chunks=['st', 'ab'] | py=ㄙㄊ-ㄚㄅ | theme=actions | stage=2 [有易混提示]
 7028 | stare                          | 盯，凝視                           | 🏃        | chunks=['sta', 're'] | py=ㄙㄉㄝ-ㄌㄧ | theme=actions | stage=2 [有易混提示]
 7029 | starve                         | 餓死                             | 🏃        | chunks=['star', 've'] | py=ㄙㄉㄚㄦ-ㄈㄜ | theme=actions | stage=2
 7030 | steady                         | 穩固的，平穩的                        | 🎨        | chunks=['stea', 'dy'] | py=ㄙㄊㄧ-ㄉㄧ | theme=adjectives | stage=2 [有易混提示]
 7031 | stepchild                      | 前配偶所生的孩子                       | 👶        | chunks=['step', 'child'] | py=ㄙㄉㄝㄆ-ㄑㄞㄦㄉ | theme=directions | stage=2
 7032 | stereo                         | 立體音響裝置立體聲的                     | 🎨        | chunks=['ste', 'reo'] | py=ㄙㄊㄝ-ㄖㄝㄛ | theme=adjectives | stage=2
 7033 | sticky                         | 黏的                             | 🎨        | chunks=['stic', 'ky'] | py=ㄙㄊㄧㄎ-ㄎㄧ | theme=adjectives | stage=2 base=stick
 7034 | stiff                          | 僵直的，僵硬的                        | 🎨        | chunks=['st', 'iff'] | py=ㄙㄊ-ㄌㄜㄈ | theme=adjectives | stage=2
 7035 | sting                          | 刺，螫，叮                          | 🏃        | chunks=['st', 'ing'] | py=ㄙㄊ-ㄧㄥ | theme=actions | stage=2
 7036 | stir                           | 攪拌，攪動                          | 🏃        | chunks=['st', 'ir'] | py=ㄙㄊ-ㄧ | theme=actions | stage=2 [有易混提示]
 7037 | stitch                         | 一針                             | 🪡        | chunks=['st', 'itch'] | py=ㄙㄊ-ㄧㄊㄔ | theme=numbers | stage=2
 7038 | stool                          | 凳子                             | 🏃        | chunks=['st', 'ool'] | py=ㄙㄊ-ㄨㄌ | theme=actions | stage=2
 7039 | stormy                         | 暴風雨的                           | 🎨        | chunks=['stor', 'my'] | py=ㄙㄉㄛㄦ-ㄇㄧ | theme=adjectives | stage=2 base=storm
 7040 | stubborn                       | 固執的，頑固的                        | 🎨        | chunks=['stub', 'born'] | py=ㄙㄊㄚㄅ-ㄅㄛㄜㄋ | theme=adjectives | stage=2
 7041 | style                          | 風格，作風                          | ✨        | chunks=['sty', 'le'] | py=ㄙㄊㄧ-ㄌㄧ | theme=weather | stage=2
 7042 | substance                      | 物質                             | 🎓        | chunks=['sub', 'stan', 'ce'] | py=ㄙㄚㄅ-ㄙㄊㄢ-ㄙㄜ | theme=academic-words | stage=2
 7043 | suck                           | 吸，吮吸，吮                         | 🏃        | chunks=['s', 'uck'] | py=ㄝㄙ-ㄚㄎ | theme=actions | stage=2
 7044 | suffer                         | 遭受受苦                           | 🏃        | chunks=['suf', 'fer'] | py=ㄙㄚ-ㄈㄜ | theme=actions | stage=2
 7045 | suicide                        | 自殺                             | 🏃        | chunks=['sui', 'ci', 'de'] | py=ㄙㄨ-ㄙㄜ-ㄉㄧ | theme=actions | stage=2
 7046 | suitable                       | 適當的                            | 🎨        | chunks=['sui', 'tab', 'le'] | py=ㄙㄨ-ㄊㄚ-ㄌㄧ | theme=adjectives | stage=2 base=suit
 7047 | superior                       | 較高的，上級的                        | ⬆️       | chunks=['su', 'pe', 'rior'] | py=ㄙㄨ-ㄆㄜ-ㄖㄧㄛㄜ | theme=appearance | stage=2
 7048 | suppose                        | 猜想，以為                          | 🏃        | chunks=['sup', 'po', 'se'] | py=ㄙㄜ-ㄆㄛㄗ | theme=actions | stage=2
 7049 | surround                       | 圍繞                             | 🏃        | chunks=['sur', 'round'] | py=ㄙㄜ-ㄖㄠㄣㄉ | theme=actions | stage=2
 7050 | survival                       | 倖存                             | 🏃        | chunks=['sur', 'vi', 'val'] | py=ㄙㄜ-ㄈㄞ-ㄈㄜ | theme=actions | stage=2 base=survive
 7051 | suspicion                      | 懷疑，疑心                          | 🤨        | chunks=['sus', 'pi', 'cion'] | py=ㄙㄜ-ㄆㄧ-ㄎㄧㄛㄋ | theme=emotions | stage=2
 7052 | swear                          | 發誓                             | 🏃        | chunks=['sw', 'ear'] | py=ㄙㄨ-ㄦ | theme=actions | stage=2 [有易混提示]
 7053 | sweat                          | 汗水、出汗                          | 💦        | chunks=['sw', 'eat'] | py=ㄙㄨ-ㄧㄊ | theme=body | stage=2 [有易混提示]
 7054 | swift                          | 快速的，快捷的                        | 🎨        | chunks=['sw', 'ift'] | py=ㄙㄨ-ㄧㄈㄊ | theme=adjectives | stage=2
 7055 | tack                           | 大頭釘                            | 📌        | chunks=['t', 'ack'] | py=ㄊㄧ-ㄚ | theme=body | stage=2 [有易混提示]
 7056 | tame                           | 馴服的                            | 🎨        | chunks=['ta', 'me'] | py=ㄊㄝ-ㄇㄝ | theme=adjectives | stage=2 [有易混提示]
 7057 | tease                          | 戲弄，逗弄                          | 🏃        | chunks=['tea', 'se'] | py=ㄊㄧ-ㄙㄜ | theme=actions | stage=2 [有易混提示]
 7058 | temper                         | 性情，脾氣                          | 🏃        | chunks=['tem', 'per'] | py=ㄊㄣ-ㄆㄜ | theme=actions | stage=2 [有易混提示]
 7059 | temporary                      | 臨時的                            | 🎨        | chunks=['tem', 'po', 'ra', 'ry'] | py=ㄊㄣ-ㄆㄛ-ㄌㄚ-ㄌㄧ | theme=adjectives | stage=2
 7060 | tender                         | 嫩的                             | 🎨        | chunks=['ten', 'der'] | py=ㄊㄣ-ㄉㄜ | theme=adjectives | stage=2 [有易混提示]
 7061 | thankful                       | 感謝的，感激的                        | 😊        | chunks=['than', 'kful'] | py=ㄉㄢ-ㄎㄈㄚㄛ | theme=emotions | stage=2 base=thank
 7062 | thirst                         | 渴，口渴                           | 🏃        | chunks=['th', 'irst'] | py=ㄒ-ㄜㄙㄊ | theme=actions | stage=2 [有易混提示]
 7063 | threat                         | 威脅，恐嚇                          | 🏃        | chunks=['thr', 'eat'] | py=ㄒㄖ-ㄧㄊ | theme=actions | stage=2 [有易混提示]
 7064 | threaten                       | 威脅，恐嚇                          | 🏃        | chunks=['threa', 'ten'] | py=ㄒㄖㄧ-ㄊㄣ | theme=actions | stage=2 base=threat
 7065 | tickle                         | 呵…癢                            | 🏃        | chunks=['tic', 'kle'] | py=ㄊㄧㄎ-ㄎㄜ | theme=actions | stage=2
 7066 | tight                          | 緊的，緊身的                         | 🎨        | chunks=['t', 'ight'] | py=ㄊㄧ-ㄧㄊ | theme=adjectives | stage=2 [有易混提示]
 7067 | tighten                        | 變緊，繃緊                          | 🏃        | chunks=['tig', 'hten'] | py=ㄊㄧㄍ-ㄏㄊㄝㄋ | theme=actions | stage=2 base=tight
 7068 | timber                         | 木材，木料                          | 🪨        | chunks=['tim', 'ber'] | py=ㄊㄧ-ㄅㄜ | theme=materials | stage=2
 7069 | tobacco                        | 菸草                             | 🏃        | chunks=['to', 'bac', 'co'] | py=ㄊㄛ-ㄅㄚㄎ-ㄎㄛ | theme=actions | stage=2
 7070 | ton                            | 噸                              | 🏃        | chunks=['t', 'on'] | py=ㄊㄧ-ㄛㄣ | theme=actions | stage=2 [有易混提示]
 7071 | tortoise                       | 陸龜                             | 🐾        | chunks=['tor', 'toi', 'se'] | py=ㄊㄜ-ㄊㄛㄧ-ㄙㄜ | theme=animals | stage=3
 7072 | toss                           | 拋，扔，投                          | 🏃        | chunks=['t', 'oss'] | py=ㄊㄧ-ㄛㄙㄙ | theme=actions | stage=2 [有易混提示]
 7073 | tourism                        | 旅遊，觀光                          | ✈️       | chunks=['tou', 'rism'] | py=ㄊㄠ-ㄖㄧㄙㄇ | theme=travel | stage=2 base=tour
 7074 | tow                            | 拖，拉                            | 🏃        | chunks=['t', 'ow'] | py=ㄊㄧ-ㄛ | theme=actions | stage=2 [有易混提示]
 7075 | trader                         | 商人                             | 💼        | chunks=['tra', 'der'] | py=ㄊㄌㄚ-ㄉㄜ | theme=business | stage=2 base=trade
 7076 | trail                          | 痕跡                             | 🏃        | chunks=['tr', 'ail'] | py=ㄊㄖ-ㄝㄦ | theme=actions | stage=2 [有易混提示]
 7077 | trash                          | 廢物，垃圾                          | 🌍        | chunks=['tr', 'ash'] | py=ㄊㄖ-ㄚㄒ | theme=environment | stage=2
 7078 | tremble                        | 發抖                             | 🏃        | chunks=['trem', 'ble'] | py=ㄊㄌㄧㄇ-ㄅㄜ | theme=actions | stage=2
 7079 | tribe                          | 部落                             | 🏃        | chunks=['tri', 'be'] | py=ㄊㄌㄧ-ㄅㄧ | theme=actions | stage=2
 7080 | tricky                         | 狡猾的                            | 🎨        | chunks=['tric', 'ky'] | py=ㄊㄖㄧㄎ-ㄎㄧ | theme=adjectives | stage=2
 7081 | troop                          | 軍隊，部隊                          | 🏃        | chunks=['tr', 'oop'] | py=ㄊㄖ-ㄨㄆ | theme=actions | stage=2
 7082 | tropical                       | 熱帶的                            | 🎨        | chunks=['tro', 'pi', 'cal'] | py=ㄊㄌㄛ-ㄆㄧ-ㄎㄜ | theme=adjectives | stage=2 base=tropic
 7083 | truthful                       | 誠實的                            | 🤔        | chunks=['trut', 'hful'] | py=ㄊㄖㄚㄊ-ㄏㄈㄚㄛ | theme=personality | stage=2 base=truth
 7084 | tulip                          | 鬱金香                            | 🌷        | chunks=['tu', 'lip'] | py=ㄑㄨ-ㄌㄧㄆ | theme=actions | stage=2
 7085 | tumble                         | 跌倒                             | 🏃        | chunks=['tum', 'ble'] | py=ㄊㄣ-ㄅㄜ | theme=actions | stage=2
 7086 | tutor                          | 家庭教師當…的家教                      | 👨‍👩‍👧    | chunks=['tu', 'tor'] | py=ㄑㄨ-ㄊㄜ | theme=family | stage=2 [有易混提示]
 7087 | twig                           | 細枝，嫩枝                          | 🏃        | chunks=['tw', 'ig'] | py=ㄊㄨ-ㄧㄍ | theme=actions | stage=2
 7088 | typewriter                     | 打字機                            | 🔨        | chunks=['ty', 'pew', 'ri', 'ter'] | py=ㄊㄧ-ㄆㄩ-ㄌㄧ-ㄊㄜ | theme=tools | stage=3
 7089 | typical                        | 典型的，有代表性的                      | 🎨        | chunks=['ty', 'pi', 'cal'] | py=ㄊㄧ-ㄆㄧ-ㄎㄜ | theme=adjectives | stage=2 base=type
 7090 | union                          | 結合                             | 🏃        | chunks=['u', 'nion'] | py=ㄧㄨ-ㄋㄧㄛㄋ | theme=actions | stage=2
 7091 | unite                          | 聯合                             | 🏃        | chunks=['u', 'ni', 'te'] | py=ㄧㄨ-ㄋㄜ-ㄊㄧ | theme=actions | stage=2 [有易混提示]
 7092 | unity                          | 統一、團結                          | 🤝        | chunks=['u', 'ni', 'ty'] | py=ㄧㄨ-ㄋㄜ-ㄊㄧ | theme=numbers | stage=2
 7093 | vacant                         | 空的                             | 🎨        | chunks=['va', 'cant'] | py=ㄈㄟ-ㄎㄜㄣㄊ | theme=adjectives | stage=2 [有易混提示]
 7094 | valuable                       | 值錢的，貴重的貴重物                     | 💰        | chunks=['va', 'luab', 'le'] | py=ㄈㄚ-ㄌㄧㄨ-ㄜ-ㄅㄜ | theme=money | stage=2 base=value
 7095 | vanish                         | 消失                             | 🎨        | chunks=['va', 'nish'] | py=ㄈㄚ-ㄋㄧㄒ | theme=adjectives | stage=2 [有易混提示]
 7096 | variety                        | 多樣化，變化                         | 🏃        | chunks=['va', 'rie', 'ty'] | py=ㄈㄚ-ㄌㄧ-ㄊㄧ | theme=actions | stage=2
 7097 | vice-president                 | 副總統                            | 🏛️       | chunks=['vice', 'president'] | py=ㄈㄞㄙ-ㄆㄖㄝㄙㄧㄉㄝㄋㄊ | theme=politics | stage=3
 7098 | violent                        | 激烈的                            | 🎨        | chunks=['vio', 'lent'] | py=ㄨㄞ-ㄜ-ㄌㄜㄣㄊ | theme=adjectives | stage=2
 7099 | wag                            | 搖，搖擺，搖動                        | 🏃        | chunks=['w', 'ag'] | py=ㄨ-ㄚㄍ | theme=actions | stage=2 [有易混提示]
 7100 | waken                          | 醒來                             | 🏃        | chunks=['wa', 'ken'] | py=ㄨㄛ-ㄎㄣ | theme=actions | stage=2
 7101 | warmth                         | 溫暖                             | 🏃        | chunks=['w', 'armth'] | py=ㄨ-ㄚㄜㄇㄒ | theme=actions | stage=2
 7102 | warn                           | 警告                             | 🏃        | chunks=['w', 'arn'] | py=ㄨ-ㄚㄜㄋ | theme=emergencies | stage=2
 7103 | wax                            | 蠟                              | 🏃        | chunks=['w', 'ax'] | py=ㄨ-ㄚㄎ | theme=actions | stage=2 [有易混提示]
 7104 | weaken                         | 削弱，減弱                          | 📉        | chunks=['wea', 'ken'] | py=ㄨㄧ-ㄎㄜㄣ | theme=numbers | stage=2 base=weak
 7105 | wealthy                        | 富有的，有錢的                        | 💰        | chunks=['weal', 'thy'] | py=ㄨㄝㄦ-ㄒㄧ | theme=money | stage=2 base=wealth
 7106 | weave                          | 織                              | 🏃        | chunks=['wea', 've'] | py=ㄨㄧㄈ | theme=actions | stage=2 [有易混提示]
 7107 | web                            | 蜘蛛網                            | 🐾        | chunks=['w', 'eb'] | py=ㄨ-ㄝㄅ | theme=animals | stage=2 [有易混提示]
 7108 | weed                           | 雜草                             | 🏃        | chunks=['w', 'eed'] | py=ㄨ-ㄧㄉ | theme=actions | stage=2 [有易混提示]
 7109 | whip                           | 鞭笞，抽打                          | 🏃        | chunks=['wh', 'ip'] | py=ㄨ-ㄌㄧㄆ | theme=actions | stage=2 [有易混提示]
 7110 | wicked                         | 壞的                             | 🎨        | chunks=['wic', 'ked'] | py=ㄨㄧㄎ-ㄎㄝㄉ | theme=adjectives | stage=2
 7111 | willow                         | 柳，柳樹                           | 🏃        | chunks=['wil', 'low'] | py=ㄨㄧㄌ-ㄌㄛ | theme=actions | stage=2
 7112 | wink                           | 眨眼                             | 🏃        | chunks=['w', 'ink'] | py=ㄨ-ㄧㄋㄎ | theme=actions | stage=2 [有易混提示]
 7113 | wipe                           | 擦                              | 🏃        | chunks=['wi', 'pe'] | py=ㄨㄧ-ㄆㄜ | theme=actions | stage=2 [有易混提示]
 7114 | x-ray                          | X 光、X 射線                       | 🏃        | chunks=['x', 'ray'] | py=ㄝㄎㄙ-ㄌㄟ | theme=actions | stage=2
 7115 | yawn                           | 呵欠                             | 🏃        | chunks=['y', 'awn'] | py=ㄌㄧ-ㄛㄋ | theme=actions | stage=2 [有易混提示]
 7116 | yolk                           | 蛋黃                             | 🍎        | chunks=['y', 'olk'] | py=ㄌㄧ-ㄛㄌㄎ | theme=food | stage=2 [有易混提示]
 7117 | youngster                      | 小孩                             | 🏃        | chunks=['young', 'ster'] | py=ㄧㄠㄥ-ㄙㄉㄜ | theme=actions | stage=2
 7118 | zone                           | 地帶                             | 🏃        | chunks=['zo', 'ne'] | py=ㄗㄛ-ㄋㄧ | theme=actions | stage=2
 7119 | absolute                       | 絕對的                            | 🎨        | chunks=['ab', 'so', 'lu', 'te'] | py=ㄚㄅ-ㄙㄛ-ㄌㄨ-ㄊㄧ | theme=adjectives | stage=3
 7120 | absorb                         | 吸收                             | 🏃        | chunks=['ab', 'sorb'] | py=ㄚㄅ-ㄙㄛㄜㄅ | theme=actions | stage=3 [有易混提示]
 7121 | academic                       | 學術的                            | 🎨        | chunks=['a', 'ca', 'de', 'mic'] | py=ㄚ-ㄎㄜ-ㄉㄝ-ㄇㄧㄎ | theme=adjectives | stage=3
 7122 | acceptance                     | 接受                             | 🎓        | chunks=['ac', 'cep', 'tan', 'ce'] | py=ㄚㄎ-ㄙㄝㄆ-ㄊㄜㄣㄙ | theme=academic-words | stage=3
 7123 | accidental                     | 偶然的                            | 🎨        | chunks=['ac', 'ci', 'den', 'tal'] | py=ㄚㄎ-ㄙㄜ-ㄉㄣ-ㄉㄜ | theme=adjectives | stage=3 base=accident
 7124 | accomplish                     | 完成，實現，達到                       | 🎨        | chunks=['ac', 'com', 'plish'] | py=ㄜ-ㄎㄚㄇ-ㄆㄌㄜㄒ | theme=adjectives | stage=3
 7125 | accomplishment                 | 成就                             | 🎨        | chunks=['ac', 'com', 'plis', 'hment'] | py=ㄚㄎ-ㄎㄚㄇ-ㄆㄌㄧㄙ-ㄏㄇㄣㄊ | theme=adjectives | stage=3 base=accomplish
 7126 | accuracy                       | 正確                             | 🏃        | chunks=['ac', 'cu', 'ra', 'cy'] | py=ㄚㄎ-ㄎㄧㄨ-ㄌㄚ-ㄒㄧ | theme=actions | stage=3
 7127 | acquaint                       | 使認識                            | 🏃        | chunks=['ac', 'quaint'] | py=ㄚㄎ-ㄎㄨㄟㄋㄊ | theme=actions | stage=3
 7128 | acre                           | 英畝                             | 🏃        | chunks=['ac', 're'] | py=ㄚㄎ-ㄌㄧ | theme=actions | stage=3 [有易混提示]
 7129 | adjective                      | 形容詞形容詞的                        | 🎨        | chunks=['ad', 'jec', 'ti', 've'] | py=ㄚㄉ-ㄐㄝㄎ-ㄊㄜ-ㄈㄜ | theme=adjectives | stage=3
 7130 | adjustment                     | 調節                             | 🎨        | chunks=['ad', 'jus', 'tment'] | py=ㄚㄉ-ㄐㄚㄙ-ㄊㄇㄣㄊ | theme=adjectives | stage=3 base=adjust
 7131 | admirable                      | 值得讚揚的                          | 🎨        | chunks=['ad', 'mi', 'rab', 'le'] | py=ㄚㄉ-ㄇㄞ-ㄖㄝ-ㄌㄧ | theme=adjectives | stage=3 base=admire
 7132 | admiration                     | 欽佩，讚美，羨慕                       | 💁        | chunks=['ad', 'mi', 'ra', 'tion'] | py=ㄚㄉ-ㄇㄞ-ㄌㄚ-ㄒㄣ | theme=appearance | stage=3 base=admire
 7133 | admission                      | 入場、准許進入                        | 📚        | chunks=['ad', 'mis', 'sion'] | py=ㄚㄉ-ㄇㄧㄙ-ㄒㄣ | theme=school | stage=3
 7134 | adverb                         | 副詞副詞的                          | 🎨        | chunks=['ad', 'verb'] | py=ㄚㄉ-ㄨㄜㄅ | theme=adjectives | stage=3
 7135 | agency                         | 代辦處，經銷處                        | 🏃        | chunks=['a', 'gen', 'cy'] | py=ㄜ-ㄐㄣ-ㄒㄧ | theme=actions | stage=3 base=agent
 7136 | aggressive                     | 侵略的，有進取精神的                     | 🎨        | chunks=['ag', 'gres', 'si', 've'] | py=ㄚㄍ-ㄍㄖㄝㄙ-ㄗㄜ-ㄈㄜ | theme=adjectives | stage=3
 7137 | agreeable                      | 令人愉快的，宜人的                      | 🎨        | chunks=['ag', 'reeab', 'le'] | py=ㄚㄍ-ㄖㄧㄚㄅ-ㄌㄧ | theme=adjectives | stage=3 base=agree
 7138 | amuse                          | 使歡樂，逗…高興                       | 💁        | chunks=['a', 'mu', 'se'] | py=ㄜ-ㄇㄧㄨ-ㄙㄜ | theme=appearance | stage=3
 7139 | amusement                      | 樂趣                             | 🎨        | chunks=['a', 'mu', 'se', 'ment'] | py=ㄜ-ㄇㄧㄨ-ㄙㄜ-ㄇㄣㄊ | theme=adjectives | stage=3 base=amuse
 7140 | analysis                       | 分析                             | 🏃        | chunks=['a', 'na', 'ly', 'sis'] | py=ㄜ-ㄋㄚ-ㄌㄧ-ㄒㄜㄙ | theme=actions | stage=3
 7141 | annoy                          | 惹惱，使生氣                         | 😊        | chunks=['an', 'noy'] | py=ㄢ-ㄋㄛㄧ | theme=emotions | stage=3
 7142 | appliance                      | 器具，用具                          | 🎓        | chunks=['ap', 'plian', 'ce'] | py=ㄜ-ㄆㄌㄞ-ㄜㄣㄙ | theme=academic-words | stage=3
 7143 | applicant                      | 申請人                            | 🎨        | chunks=['ap', 'pli', 'cant'] | py=ㄚ-ㄆㄌㄜ-ㄎㄣㄊ | theme=adjectives | stage=3
 7144 | application                    | 應用，適用                          | 🎓        | chunks=['ap', 'pli', 'ca', 'tion'] | py=ㄚ-ㄆㄌㄜ-ㄎㄟ-ㄒㄣ | theme=academic-words | stage=3
 7145 | appoint                        | 任命，指派                          | 📋        | chunks=['ap', 'point'] | py=ㄜ-ㄆㄛㄧㄣㄊ | theme=desserts | stage=3 [有易混提示]
 7146 | appreciation                   | 欣賞                             | 🎓        | chunks=['ap', 'pre', 'cia', 'tion'] | py=ㄜ-ㄆㄌㄧ-ㄒㄧ-ㄟ-ㄒㄣ | theme=academic-words | stage=3
 7147 | approval                       | 批准                             | 🏃        | chunks=['ap', 'pro', 'val'] | py=ㄚ-ㄆㄜ-ㄈㄜ | theme=actions | stage=3 base=approve
 7148 | arch                           | 拱，拱門，牌樓                        | 🛋️       | chunks=['ar', 'ch'] | py=ㄚㄦ-ㄔ | theme=home-items | stage=3
 7149 | arise                          | 上升                             | 🏃        | chunks=['a', 'ri', 'se'] | py=ㄜ-ㄌㄞㄗ | theme=directions | stage=3 base=ar [有易混提示]
 7150 | arms                           | 武器                             | 🏃        | chunks=['ar', 'ms'] | py=ㄚㄦ-ㄇㄙ | theme=actions | stage=3 [有易混提示]
 7151 | arouse                         | 喚起                             | 🏃        | chunks=['a', 'rou', 'se'] | py=ㄜ-ㄌㄠㄗ | theme=actions | stage=3 [有易混提示]
 7152 | artificial                     | 人工的，人造的                        | 🎨        | chunks=['ar', 'ti', 'fi', 'cial'] | py=ㄚㄦ-ㄊㄜ-ㄈㄜ-ㄒㄦ | theme=adjectives | stage=3
 7153 | aspirin                        | 阿斯匹靈                           | 🏃        | chunks=['as', 'pi', 'rin'] | py=ㄚ-ㄆㄧ-ㄌㄧㄣ | theme=actions | stage=2
 7154 | assistance                     | 援助、幫助                          | 🎓        | chunks=['as', 'sis', 'tan', 'ce'] | py=ㄚ-ㄒㄜㄙ-ㄊㄢ-ㄙㄜ | theme=academic-words | stage=3
 7155 | associate                      | 夥伴                             | 🏃        | chunks=['as', 'so', 'cia', 'te'] | py=ㄜ-ㄙㄛ-ㄒㄧ-ㄟㄊ | theme=actions | stage=3 [有易混提示]
 7156 | association                    | 協會                             | 🎓        | chunks=['as', 'so', 'cia', 'tion'] | py=ㄜ-ㄙㄛ-ㄒㄧ-ㄟ-ㄒㄣ | theme=academic-words | stage=3
 7157 | assurance                      | 保證                             | 🎓        | chunks=['as', 'su', 'ran', 'ce'] | py=ㄚ-ㄙㄨ-ㄌㄚㄣ-ㄙㄜ | theme=academic-words | stage=3
 7158 | atomic                         | 原子的                            | 🔬        | chunks=['a', 'to', 'mic'] | py=ㄜ-ㄊㄛ-ㄇㄧㄎ | theme=science | stage=3
 7159 | audio                          | 聽覺的、音響的                        | 🏃        | chunks=['au', 'dio'] | py=ㄛ-ㄉㄧㄛ | theme=actions | stage=3
 7160 | await                          | 等候，期待                          | 🏃        | chunks=['a', 'wait'] | py=ㄜ-ㄨㄟㄊ | theme=actions | stage=3
 7161 | awkward                        | 笨拙的                            | 🎨        | chunks=['aw', 'kward'] | py=ㄛ-ㄎㄨㄚㄜㄉ | theme=adjectives | stage=3
 7162 | ballet                         | 芭蕾舞                            | 🏃        | chunks=['bal', 'let'] | py=ㄅㄚ-ㄌㄝㄊ | theme=actions | stage=3
 7163 | bankrupt                       | 破產的、使破產、破產者                    | 🏃        | chunks=['ban', 'krupt'] | py=ㄅㄢ-ㄎㄖㄚㄆㄊ | theme=actions | stage=3 [有易混提示]
 7164 | barrier                        | 障礙物                            | 🏃        | chunks=['bar', 'rier'] | py=ㄅㄚㄦ-ㄖㄞㄖ | theme=actions | stage=3
