# 字 8000-8499
 8000 | mansion                        | 大廈                             | 🏛️       | chunks=['man', 'sion'] | py=ㄇㄢ-ㄒㄣ | theme=academic-words | stage=3
 8021 | mistress                       | 女主人                            | 🏃        | chunks=['mis', 'tress'] | py=ㄇㄧㄙ-ㄊㄌㄝㄙ | theme=actions | stage=3
 8022 | moan                           | 呻吟                             | 🏃        | chunks=['m', 'oan'] | py=ㄝㄇ-ㄛㄋ | theme=actions | stage=3
 8023 | mode                           | 模式                             | 🏃        | chunks=['mo', 'de'] | py=ㄇㄛ-ㄉㄧ | theme=actions | stage=2 [有易混提示]
 8024 | modernize                      | 現代化                            | 📜        | chunks=['mo', 'der', 'ni', 'ze'] | py=ㄇㄛ-ㄉㄜ-ㄋㄜ-ㄗㄧ | theme=history | stage=3 base=modern
 8025 | monarch                        | 君王                             | 🏃        | chunks=['mo', 'narch'] | py=ㄇㄛ-ㄋㄚㄜㄔ | theme=actions | stage=3
 8026 | monstrous                      | 似怪物的                           | 🎨        | chunks=['mons', 'trous'] | py=ㄇㄣㄗ-ㄊㄖㄜㄙ | theme=adjectives | stage=3
 8027 | mortal                         | 會死的                            | 🎨        | chunks=['mor', 'tal'] | py=ㄇㄜ-ㄉㄜ | theme=adjectives | stage=3
 8028 | motherhood                     | 母親身分                           | 👨‍👩‍👧    | chunks=['mot', 'her', 'hood'] | py=ㄇㄛㄊ-ㄏㄜ-ㄏㄨㄉ | theme=family | stage=3
 8029 | mound                          | 丘                              | 🏃        | chunks=['m', 'ound'] | py=ㄝㄇ-ㄠㄋㄉ | theme=actions | stage=3 [有易混提示]
 8030 | mount                          | 登上底座                           | 🏃        | chunks=['m', 'ount'] | py=ㄝㄇ-ㄠㄋㄊ | theme=directions | stage=3 [有易混提示]
 8031 | mower                          | 刈草機                            | 🔨        | chunks=['mo', 'wer'] | py=ㄇㄛ-ㄜ | theme=tools | stage=3
 8032 | mumble                         | 咕噥                             | 🏃        | chunks=['mum', 'ble'] | py=ㄇㄚㄇ-ㄅㄜ | theme=actions | stage=3
 8033 | muse                           | 沉思                             | 🏃        | chunks=['mu', 'se'] | py=ㄇㄧㄨ-ㄙㄜ | theme=actions | stage=3
 8034 | mustard                        | 芥末                             | 🏃        | chunks=['mus', 'tard'] | py=ㄇㄚㄙ-ㄊㄜㄉ | theme=actions | stage=3
 8035 | mutter                         | 咕噥                             | 🏃        | chunks=['mut', 'ter'] | py=ㄇㄚㄊ-ㄊㄜ | theme=actions | stage=3
 8036 | mutton                         | 羊肉                             | 🍖        | chunks=['mut', 'ton'] | py=ㄇㄚㄊ-ㄉㄣ | theme=animals | stage=3
 8037 | nag                            | 使煩惱                            | 🏃        | chunks=['n', 'ag'] | py=ㄝㄣ-ㄚㄍ | theme=actions | stage=3
 8038 | nasty                          | 猥褻的                            | 🎨        | chunks=['nas', 'ty'] | py=ㄋㄚㄙ-ㄊㄧ | theme=adjectives | stage=3
 8039 | navigate                       | 導航                             | 🏃        | chunks=['na', 'vi', 'ga', 'te'] | py=ㄋㄚ-ㄈㄞ-ㄍㄚ-ㄊㄧ | theme=actions | stage=3
 8040 | newscast                       | 新聞廣播                           | 📰        | chunks=['new', 'scast'] | py=ㄋㄧㄨ-ㄙㄎㄚㄙㄊ | theme=media | stage=3
 8041 | nibble                         | 一點一點的嚙咬                        | 🔢        | chunks=['nib', 'ble'] | py=ㄋㄧㄅ-ㄅㄜ | theme=numbers | stage=3
 8042 | nickel                         | 鎳                              | 🏃        | chunks=['nic', 'kel'] | py=ㄋㄧㄎ-ㄎㄝㄌ | theme=actions | stage=3
 8043 | nightingale                    | 夜鶯                             | 🏃        | chunks=['nig', 'htin', 'ga', 'le'] | py=ㄋㄧㄍ-ㄏㄊㄧㄋ-ㄍㄚ-ㄌㄧ | theme=actions | stage=3
 8044 | nominate                       | 提名                             | 🏃        | chunks=['no', 'mi', 'na', 'te'] | py=ㄋㄛ-ㄇㄞ-ㄋㄚ-ㄊㄧ | theme=actions | stage=3
 8045 | nonviolent                     | 非暴力的                           | 🎨        | chunks=['non', 'vio', 'lent'] | py=ㄋㄚㄣ-ㄨㄧㄛ-ㄌㄣㄊ | theme=adjectives | stage=3
 8046 | notable                        | 著名的                            | 🎨        | chunks=['no', 'tab', 'le'] | py=ㄋㄛ-ㄊㄚ-ㄌㄧ | theme=adjectives | stage=3
 8047 | noticeable                     | 顯著的                            | 🎨        | chunks=['no', 'ti', 'ceab', 'le'] | py=ㄋㄛ-ㄊㄜ-ㄎㄧㄅ-ㄌㄧ | theme=adjectives | stage=3 base=notice
 8048 | notify                         | 通知                             | 🏃        | chunks=['no', 'ti', 'fy'] | py=ㄋㄛ-ㄊㄜ-ㄈㄞ | theme=actions | stage=3 base=notice
 8049 | nucleus                        | 核                              | 🏃        | chunks=['nuc', 'leus'] | py=ㄋㄚㄎ-ㄌㄝㄚㄙ | theme=actions | stage=3
 8050 | nude                           | 裸的                             | 🎨        | chunks=['nu', 'de'] | py=ㄋㄨ-ㄉㄧ | theme=adjectives | stage=3
 8051 | oar                            | 槳                              | 🏃        | chunks=['o', 'ar'] | py=ㄛ-ㄚㄦ | theme=actions | stage=3 [有易混提示]
 8052 | oblong                         | 矩形                             | 🏃        | chunks=['ob', 'long'] | py=ㄚㄅ-ㄌㄛㄥ | theme=actions | stage=3
 8053 | observer                       | 觀測員                            | 👨‍⚕️     | chunks=['ob', 'ser', 'ver'] | py=ㄚㄅ-ㄗㄜ-ㄈㄜ | theme=jobs | stage=3 base=observe
 8054 | obstinate                      | 頑固的                            | 🎨        | chunks=['ob', 'sti', 'na', 'te'] | py=ㄚㄅ-ㄙㄊㄜ-ㄋㄚ-ㄊㄧ | theme=adjectives | stage=3
 8055 | occurrence                     | 事件                             | 🎓        | chunks=['oc', 'cur', 'ren', 'ce'] | py=ㄚㄎ-ㄎㄜ-ㄌㄣ-ㄙㄜ | theme=academic-words | stage=3
 8056 | odds                           | 機會                             | 🏃        | chunks=['od', 'ds'] | py=ㄚㄉ-ㄉㄙ | theme=actions | stage=3
 8057 | odor                           | 氣味(常為臭味)                       | 🏃        | chunks=['o', 'dor'] | py=ㄛ-ㄉㄜ | theme=actions | stage=3
 8058 | optimism                       | 樂觀主義                           | 🎓        | chunks=['op', 'ti', 'mism'] | py=ㄚㄆ-ㄊㄜ-ㄇㄧㄙㄇ | theme=academic-words | stage=3
 8059 | orchard                        | 果園                             | 🏃        | chunks=['or', 'chard'] | py=ㄛㄦ-ㄔㄚㄜㄉ | theme=actions | stage=3
 8060 | organizer                      | 組織者                            | 👨‍⚕️     | chunks=['or', 'ga', 'ni', 'zer'] | py=ㄛㄦ-ㄍㄚ-ㄋㄜ-ㄗㄜ | theme=jobs | stage=3 base=organize
 8061 | oriental                       | 東方的                            | 🧭        | chunks=['o', 'rien', 'tal'] | py=ㄛ-ㄖㄞㄋ-ㄉㄜ | theme=directions | stage=3
 8062 | ornament                       | 裝飾品                            | 🎨        | chunks=['or', 'na', 'ment'] | py=ㄛㄦ-ㄋㄚ-ㄇㄣㄊ | theme=adjectives | stage=3
 8063 | orphanage                      | 孤兒院                            | 🏃        | chunks=['or', 'pha', 'na', 'ge'] | py=ㄛㄦ-ㄈㄚ-ㄋㄚ-ㄐㄧ | theme=actions | stage=3
 8064 | ounce                          | 盎司                             | 🏃        | chunks=['oun', 'ce'] | py=ㄠㄋ-ㄙㄜ | theme=actions | stage=3
 8065 | outdo                          | 勝過                             | 🏃        | chunks=['out', 'do'] | py=ㄠㄊ-ㄉㄛ | theme=actions | stage=3
 8066 | outsider                       | 局外人                            | 👨‍⚕️     | chunks=['out', 'si', 'der'] | py=ㄠㄊ-ㄗㄜ-ㄉㄜ | theme=jobs | stage=3
 8067 | outskirts                      | 郊區                             | 🏃        | chunks=['out', 'skirts'] | py=ㄠㄊ-ㄙㄎㄜㄊㄙ | theme=actions | stage=3
 8068 | overdo                         | 做得過分                           | 🏃        | chunks=['o', 'ver', 'do'] | py=ㄛ-ㄈㄜ-ㄉㄛ | theme=actions | stage=3
 8069 | overeat                        | 過度飲食                           | 🍔        | chunks=['o', 've', 'reat'] | py=ㄛ-ㄈㄜ-ㄖㄧㄊ | theme=food | stage=3
 8070 | overflow                       | 氾濫                             | 🏃        | chunks=['o', 'ver', 'flow'] | py=ㄛ-ㄈㄜ-ㄈㄌㄠ | theme=actions | stage=3
 8071 | overhear                       | 無意中聽到                          | 🏃        | chunks=['o', 'ver', 'hear'] | py=ㄛ-ㄈㄜ-ㄏㄧㄦ | theme=actions | stage=3
 8072 | oversleep                      | 睡過頭                            | 😴        | chunks=['o', 'ver', 'sleep'] | py=ㄛ-ㄈㄜ-ㄙㄌㄧ | theme=body | stage=3
 8073 | overwhelm                      | 戰勝                             | 🏃        | chunks=['o', 'ver', 'whelm'] | py=ㄛ-ㄈㄜ-ㄨㄝㄌㄇ | theme=actions | stage=3
 8074 | overwork                       | 過度工作                           | 🏃        | chunks=['o', 'ver', 'work'] | py=ㄛ-ㄈㄜ-ㄨㄜㄎ | theme=actions | stage=3
 8075 | oyster                         | 牡蠣、蠔                           | 🦪        | chunks=['oys', 'ter'] | py=ㄛㄧㄙ-ㄊㄜ | theme=animals | stage=3
 8076 | pacific                        | 和平的                            | 🎨        | chunks=['pa', 'ci', 'fic'] | py=ㄆㄜ-ㄙㄜ-ㄈㄧㄎ | theme=adjectives | stage=3
 8077 | packet                         | 小包裹                            | 🏃        | chunks=['pac', 'ket'] | py=ㄆㄚ-ㄎㄝㄊ | theme=actions | stage=3
 8078 | paddle                         | 槳                              | 🏃        | chunks=['pad', 'dle'] | py=ㄆㄚㄉ-ㄉㄜ | theme=actions | stage=3
 8079 | pane                           | 窗玻璃                            | 🪨        | chunks=['pa', 'ne'] | py=ㄆㄜ-ㄋㄧ | theme=materials | stage=3 [有易混提示]
 8080 | parlor                         | 起居室                            | 🏃        | chunks=['par', 'lor'] | py=ㄆㄚㄦ-ㄌㄜ | theme=actions | stage=3
 8081 | pastry                         | 酥皮點心                           | 🥐        | chunks=['pas', 'try'] | py=ㄆㄚㄙ-ㄊㄌㄧ | theme=food | stage=3
 8082 | patrol                         | 巡邏                             | 🏃        | chunks=['pat', 'rol'] | py=ㄆㄚ-ㄌㄛ | theme=actions | stage=3
 8083 | patron                         | 贊助者                            | 🏃        | chunks=['pat', 'ron'] | py=ㄆㄚ-ㄌㄚㄣ | theme=actions | stage=3
 8084 | peck                           | 啄                              | 🏃        | chunks=['p', 'eck'] | py=ㄆㄧ-ㄝㄎ | theme=actions | stage=3
 8085 | peddler                        | 小販                             | 🏃        | chunks=['ped', 'dler'] | py=ㄆㄝㄉ-ㄉㄌㄜ | theme=actions | stage=3
 8086 | peek                           | 偷看                             | 👀        | chunks=['p', 'eek'] | py=ㄆㄧ-ㄧㄎ | theme=crime | stage=3 [有易混提示]
 8087 | peg                            | 栓                              | 🏃        | chunks=['p', 'eg'] | py=ㄆㄧ-ㄝㄍ | theme=actions | stage=3
 8088 | penetrate                      | 穿透                             | 🏃        | chunks=['pe', 'net', 'ra', 'te'] | py=ㄆㄜ-ㄋㄝㄊ-ㄌㄚ-ㄊㄧ | theme=actions | stage=3
 8089 | perch                          | 棲木棲息                           | 🏃        | chunks=['p', 'erch'] | py=ㄆㄧ-ㄜㄔ | theme=actions | stage=3
 8090 | performer                      | 表演者                            | 👨‍⚕️     | chunks=['per', 'for', 'mer'] | py=ㄆㄜ-ㄈㄛ-ㄇㄜ | theme=jobs | stage=3 base=perform
 8091 | peril                          | 危險的事物                          | 🏃        | chunks=['pe', 'ril'] | py=ㄆㄜ-ㄦ | theme=emergencies | stage=3
 8092 | permissible                    | 可允許的                           | 🎨        | chunks=['per', 'mis', 'sib', 'le'] | py=ㄆㄜ-ㄇㄧㄙ-ㄒㄧㄅ-ㄌㄧ | theme=adjectives | stage=3
 8093 | personnel                      | 人員                             | 🏃        | chunks=['per', 'son', 'nel'] | py=ㄆㄜ-ㄗㄣ-ㄋㄜ | theme=actions | stage=3 [有易混提示]
 8094 | pessimism                      | 悲觀主義                           | 🎓        | chunks=['pes', 'si', 'mism'] | py=ㄆㄝ-ㄗㄜ-ㄇㄧㄙㄇ | theme=academic-words | stage=3
 8095 | pier                           | 碼頭                             | ⚓        | chunks=['p', 'ier'] | py=ㄆㄧ-ㄒㄧㄦ | theme=body | stage=3 [有易混提示]
 8096 | pillar                         | 柱子                             | 🏃        | chunks=['pil', 'lar'] | py=ㄆㄧ-ㄌㄜ | theme=actions | stage=3
 8097 | pinch                          | 擰                              | 🏃        | chunks=['p', 'inch'] | py=ㄆㄧ-ㄧㄋㄔ | theme=actions | stage=3
 8098 | piss                           | 小便                             | 🏃        | chunks=['p', 'iss'] | py=ㄆㄧ-ㄧㄙㄙ | theme=actions | stage=3
 8099 | pistol                         | 手槍                             | 🏃        | chunks=['pis', 'tol'] | py=ㄆㄧㄙ-ㄊㄚ | theme=actions | stage=3
 8100 | plantation                     | 農園                             | 🎓        | chunks=['plan', 'ta', 'tion'] | py=ㄆㄌㄚ-ㄊㄝ-ㄒㄣ | theme=academic-words | stage=3 base=plant
 8101 | pledge                         | 保證                             | 🏃        | chunks=['pled', 'ge'] | py=ㄆㄜㄉ-ㄐㄧ | theme=actions | stage=3
 8102 | plow                           | 犁                              | 🏃        | chunks=['pl', 'ow'] | py=ㄆㄌ-ㄛ | theme=actions | stage=3
 8103 | pluck                          | 拔                              | 🏃        | chunks=['pl', 'uck'] | py=ㄆㄌ-ㄚㄎ | theme=actions | stage=3
 8104 | pocketbook                     | 袖珍書                            | 🏃        | chunks=['poc', 'ket', 'book'] | py=ㄆㄚ-ㄎㄝㄊ-ㄅㄨㄎ | theme=actions | stage=3
 8105 | poetic                         | 詩的                             | 📜        | chunks=['poe', 'tic'] | py=ㄆㄧ-ㄊㄧㄎ | theme=literature | stage=3
 8106 | poke                           | 戳                              | 🏃        | chunks=['po', 'ke'] | py=ㄆㄛ-ㄎㄟ | theme=actions | stage=3
 8107 | poultry                        | 家禽                             | 🏃        | chunks=['poul', 'try'] | py=ㄆㄠㄌ-ㄊㄌㄧ | theme=animals | stage=3
 8108 | preach                         | 傳道                             | 🏃        | chunks=['pr', 'each'] | py=ㄆㄌㄧ-ㄧㄔ | theme=actions | stage=3
 8109 | precaution                     | 預防                             | 🎓        | chunks=['pre', 'cau', 'tion'] | py=ㄆㄌㄧ-ㄎㄛ-ㄒㄣ | theme=academic-words | stage=3
 8110 | preference                     | 偏好的事物                          | 🎓        | chunks=['pre', 'fe', 'ren', 'ce'] | py=ㄆㄌㄧ-ㄈㄧ-ㄌㄣ-ㄙㄜ | theme=academic-words | stage=3 base=prefer
 8111 | preview                        | 預習                             | 🏃        | chunks=['pre', 'view'] | py=ㄆㄌㄧ-ㄈㄧㄨ | theme=actions | stage=3
 8112 | prey                           | 獵物                             | 🏃        | chunks=['pr', 'ey'] | py=ㄆㄌㄧ-ㄧ | theme=actions | stage=3 [有易混提示]
 8113 | priceless                      | 無價的                            | 🎨        | chunks=['pri', 'ce', 'less'] | py=ㄆㄌㄞ-ㄙㄜ-ㄌㄝㄙ | theme=adjectives | stage=3 base=price
 8114 | prick                          | 刺                              | 🏃        | chunks=['pr', 'ick'] | py=ㄆㄌㄧ-ㄧㄎ | theme=actions | stage=3
 8115 | profile                        | 輪廓                             | 🎨        | chunks=['pro', 'fi', 'le'] | py=ㄆㄜ-ㄈㄜ-ㄌㄧ | theme=adjectives | stage=3
 8116 | prolong                        | 延長                             | 🏃        | chunks=['pro', 'long'] | py=ㄆㄜ-ㄌㄛㄥ | theme=actions | stage=3
 8117 | prop                           | 支柱、支撐、道具                       | 🏃        | chunks=['pr', 'op'] | py=ㄆㄌㄧ-ㄚㄆ | theme=actions | stage=3
 8118 | prune                          | 梅乾、修剪                          | 🏃        | chunks=['pru', 'ne'] | py=ㄆㄖㄚ-ㄋㄧ | theme=actions | stage=3
 8119 | publicize                      | 宣傳                             | 🏃        | chunks=['pub', 'li', 'ci', 'ze'] | py=ㄆㄚ-ㄌㄧ-ㄙㄜ-ㄗㄧ | theme=actions | stage=3 base=public
 8120 | puff                           | 泡芙                             | 🏃        | chunks=['p', 'uff'] | py=ㄆㄧ-ㄚㄈㄈ | theme=actions | stage=3
 8121 | quack                          | 呱呱聲                            | 🏃        | chunks=['q', 'uack'] | py=ㄎㄧㄨ-ㄚㄚㄎ | theme=actions | stage=3
 8122 | qualify                        | 使合格取得資格                        | 🏃        | chunks=['qua', 'li', 'fy'] | py=ㄎㄨㄝ-ㄌㄧ-ㄈㄞ | theme=actions | stage=3 base=quality
 8123 | quart                          | 夸脫                             | 🏃        | chunks=['q', 'uart'] | py=ㄎㄧㄨ-ㄚㄚㄜㄊ | theme=actions | stage=3
 8124 | quiver                         | 發抖                             | 🏃        | chunks=['qui', 'ver'] | py=ㄎㄧ-ㄈㄜ | theme=actions | stage=3
 8125 | ragged                         | 破爛的                            | 🎨        | chunks=['rag', 'ged'] | py=ㄖㄚㄍ-ㄍㄝㄉ | theme=adjectives | stage=3
 8126 | rail                           | 欄杆                             | 🏃        | chunks=['r', 'ail'] | py=ㄚㄦ-ㄝㄦ | theme=actions | stage=3
 8127 | rascal                         | 流氓                             | 🏃        | chunks=['ras', 'cal'] | py=ㄖㄚㄙ-ㄎㄜ | theme=actions | stage=3
 8128 | realm                          | 王國                             | 👑        | chunks=['r', 'ealm'] | py=ㄚㄦ-ㄧㄌㄇ | theme=countries | stage=3
 8129 | reap                           | 收割                             | 🏃        | chunks=['r', 'eap'] | py=ㄚㄦ-ㄧㄆ | theme=actions | stage=3
 8130 | rear                           | 後方撫養高聳                         | 🧭        | chunks=['r', 'ear'] | py=ㄚㄦ-ㄦ | theme=directions | stage=3 [有易混提示]
 8131 | reckon                         | 計算                             | 🏃        | chunks=['rec', 'kon'] | py=ㄌㄝ-ㄎㄢ | theme=actions | stage=3
 8132 | recommend                      | 推薦                             | 🏃        | chunks=['re', 'com', 'mend'] | py=ㄌㄧ-ㄎㄚㄇ-ㄇㄣㄉ | theme=actions | stage=2 [有易混提示]
 8133 | refute                         | 駁斥、反駁                          | 🎨        | chunks=['re', 'fu', 'te'] | py=ㄌㄧ-ㄈㄧㄨ-ㄊㄧ | theme=adjectives | stage=3
 8134 | reign                          | 在位期間                           | 🏃        | chunks=['r', 'eign'] | py=ㄚㄦ-ㄌㄣ | theme=actions | stage=3 [有易混提示]
 8135 | repay                          | 回報                             | 🏃        | chunks=['re', 'pay'] | py=ㄌㄧ-ㄆㄟ | theme=actions | stage=3
 8136 | reproduce                      | 繁殖                             | 🏃        | chunks=['rep', 'ro', 'du', 'ce'] | py=ㄌㄝ-ㄌㄛ-ㄉㄨ-ㄙㄜ | theme=actions | stage=3 base=produce
 8137 | reptile                        | 爬蟲類                            | 🐾        | chunks=['rep', 'ti', 'le'] | py=ㄌㄝ-ㄊㄜ-ㄌㄧ | theme=animals | stage=3
 8138 | resentment                     | 怨恨                             | 🎨        | chunks=['re', 'sen', 'tment'] | py=ㄌㄧ-ㄙㄝㄣ-ㄊㄇㄣㄊ | theme=adjectives | stage=3 base=resent
 8139 | residence                      | 住所                             | 🎓        | chunks=['re', 'si', 'den', 'ce'] | py=ㄌㄧ-ㄗㄜ-ㄉㄣ-ㄙㄜ | theme=academic-words | stage=3
 8140 | resident                       | 居民                             | 🎨        | chunks=['re', 'si', 'dent'] | py=ㄌㄧ-ㄗㄜ-ㄉㄣㄊ | theme=adjectives | stage=3 base=reside
 8141 | resume                         | 重新開始                           | 🏃        | chunks=['re', 'su', 'me'] | py=ㄌㄧ-ㄙㄨ-ㄇㄝ | theme=actions | stage=3
 8142 | retort                         | 反擊                             | 🏃        | chunks=['re', 'tort'] | py=ㄌㄧ-ㄊㄛㄜㄊ | theme=actions | stage=3
 8143 | revive                         | 復甦                             | 🎨        | chunks=['re', 'vi', 've'] | py=ㄌㄧ-ㄈㄞ-ㄈㄜ | theme=adjectives | stage=3
 8144 | revolt                         | 造反使厭惡反叛                        | 🏃        | chunks=['re', 'volt'] | py=ㄌㄧ-ㄨㄛㄌㄊ | theme=actions | stage=3
 8145 | revolve                        | 旋轉                             | 🏃        | chunks=['re', 'vol', 've'] | py=ㄌㄧ-ㄈㄚ-ㄈㄜ | theme=actions | stage=3
 8146 | rhinoceros                     | 犀牛                             | 🐾        | chunks=['rhi', 'no', 'ce', 'ros'] | py=ㄌㄞ-ㄋㄛ-ㄙㄜ-ㄖㄛㄙ | theme=animals | stage=3
 8147 | ridiculous                     | 荒謬的                            | 🎨        | chunks=['ri', 'di', 'cu', 'lous'] | py=ㄌㄧ-ㄉㄧ-ㄎㄧㄨ-ㄌㄚㄙ | theme=adjectives | stage=3 base=ridicule
 8148 | rifle                          | 步槍                             | 🏃        | chunks=['rif', 'le'] | py=ㄖㄧㄈ-ㄌㄧ | theme=actions | stage=3
 8149 | rim                            | 邊緣                             | 🏃        | chunks=['r', 'im'] | py=ㄚㄦ-ㄧㄇ | theme=directions | stage=3
 8150 | rip                            | 撕扯                             | 🏃        | chunks=['r', 'ip'] | py=ㄚㄦ-ㄌㄧㄆ | theme=actions | stage=3
 8151 | ripple                         | 漣漪                             | 🏃        | chunks=['rip', 'ple'] | py=ㄖㄧㄆ-ㄆㄜ | theme=actions | stage=3
 8152 | robin                          | 知更鳥                            | 🐾        | chunks=['ro', 'bin'] | py=ㄌㄛ-ㄅㄧㄥ | theme=animals | stage=3
 8153 | rod                            | 棍子                             | 🏃        | chunks=['r', 'od'] | py=ㄚㄦ-ㄚㄉ | theme=actions | stage=3
 8154 | rubbish                        | 垃圾                             | 🗑️       | chunks=['rub', 'bish'] | py=ㄖㄚ-ㄅㄧ | theme=environment | stage=3
 8155 | rumble                         | 隆隆響                            | 🏃        | chunks=['rum', 'ble'] | py=ㄖㄚㄇ-ㄅㄜ | theme=actions | stage=3
 8156 | rustle                         | 沙沙作響                           | 🏃        | chunks=['rus', 'tle'] | py=ㄌㄜㄙ-ㄉㄜ | theme=actions | stage=3
 8157 | saddle                         | 馬鞍                             | 🐴        | chunks=['sad', 'dle'] | py=ㄙㄚㄉ-ㄉㄜ | theme=animals | stage=3
 8158 | salute                         | 敬禮                             | 🎨        | chunks=['sa', 'lu', 'te'] | py=ㄙㄚ-ㄌㄨ-ㄊㄧ | theme=adjectives | stage=3
 8159 | sandal                         | 涼鞋                             | 👕        | chunks=['san', 'dal'] | py=ㄗㄣ-ㄉㄦ | theme=clothing | stage=3
 8160 | savage                         | 野蠻的野蠻人                         | 🏃        | chunks=['sa', 'va', 'ge'] | py=ㄙㄚ-ㄈㄚ-ㄐㄧ | theme=actions | stage=3
 8161 | scan                           | 掃描                             | 🏃        | chunks=['sc', 'an'] | py=ㄙㄎ-ㄢ | theme=actions | stage=2
 8162 | scent                          | 香氣                             | 🎨        | chunks=['sc', 'ent'] | py=ㄙㄎ-ㄖㄣㄊ | theme=adjectives | stage=3 [有易混提示]
 8163 | scramble                       | 爬行倉促湊成                         | 🏃        | chunks=['scram', 'ble'] | py=ㄙㄎㄖㄚㄇ-ㄅㄜ | theme=actions | stage=3
 8164 | scrap                          | 碎片當廢紙扔掉                        | 🪨        | chunks=['scr', 'ap'] | py=ㄙㄎㄖ-ㄚ | theme=materials | stage=3
 8165 | scrape                         | 刮                              | 🏃        | chunks=['scra', 'pe'] | py=ㄙㄎㄖㄚ-ㄆㄜ | theme=actions | stage=3
 8166 | sensation                      | 感覺                             | 🎓        | chunks=['sen', 'sa', 'tion'] | py=ㄙㄝㄣ-ㄙㄚ-ㄒㄣ | theme=academic-words | stage=3 base=sense
 8167 | sensitivity                    | 敏感                             | 🎓        | chunks=['sen', 'si', 'ti', 'vi', 'ty'] | py=ㄙㄝㄣ-ㄗㄜ-ㄊㄜ-ㄈㄞ-ㄊㄧ | theme=academic-words | stage=3
 8168 | sentiment                      | 情緒                             | 💭        | chunks=['sen', 'ti', 'ment'] | py=ㄙㄝㄣ-ㄊㄜ-ㄇㄣㄊ | theme=emotions | stage=3
 8169 | sharpen                        | 變銳利                            | 🏃        | chunks=['shar', 'pen'] | py=ㄒㄚㄜ-ㄆㄣ | theme=actions | stage=3 base=sharp
 8170 | shatter                        | 粉碎                             | 🏃        | chunks=['shat', 'ter'] | py=ㄒㄚㄊ-ㄊㄜ | theme=actions | stage=3
