# 字 9500-9999
 9500 | dividend                       | 股息                             | 💼        | chunks=['di', 'vi', 'dend'] | py=ㄉㄧ-ㄈㄞ-ㄉㄝㄋㄉ | theme=business | stage=3
 9521 | coronary                       | 冠狀的                            | 🎨        | chunks=['co', 'ro', 'na', 'ry'] | py=ㄎㄛ-ㄌㄛ-ㄋㄚ-ㄌㄧ | theme=adjectives | stage=3
 9522 | cyst                           | 囊腫                             | 🏃        | chunks=['cy', 'st'] | py=ㄒㄧ-ㄙㄊ | theme=actions | stage=3
 9523 | epilepsy                       | 癲癇                             | 🦠        | chunks=['e', 'pi', 'lep', 'sy'] | py=ㄧ-ㄆㄧ-ㄌㄝㄆ-ㄗㄧ | theme=diseases | stage=3
 9524 | insomnia                       | 失眠                             | 🦠        | chunks=['in', 'som', 'nia'] | py=ㄧㄣ-ㄙㄚ-ㄋㄧㄚ | theme=diseases | stage=3
 9525 | insulin                        | 胰島素                            | 🏃        | chunks=['in', 'su', 'lin'] | py=ㄧㄣ-ㄙㄨ-ㄌㄧ | theme=actions | stage=3
 9526 | pandemic                       | 大流行                            | 🦠        | chunks=['pan', 'de', 'mic'] | py=ㄆㄢ-ㄉㄧ-ㄇㄧㄎ | theme=music | stage=3
 9527 | pediatric                      | 兒科的                            | 🎨        | chunks=['pe', 'diat', 'ric'] | py=ㄆㄜ-ㄉㄧㄚㄊ-ㄌㄧㄎ | theme=adjectives | stage=3
 9528 | relapse                        | 復發                             | 🏃        | chunks=['re', 'lap', 'se'] | py=ㄌㄧ-ㄌㄝㄆ-ㄙㄜ | theme=actions | stage=3
 9529 | rheumatism                     | 風濕                             | 🎓        | chunks=['rheu', 'ma', 'tism'] | py=ㄖㄏㄝㄚ-ㄇㄚ-ㄊㄧㄗㄣ | theme=academic-words | stage=4
 9530 | saliva                         | 唾液                             | 🏃        | chunks=['sa', 'li', 'va'] | py=ㄙㄚ-ㄌㄧ-ㄈㄚ | theme=actions | stage=3
 9531 | toothache                      | 牙痛                             | 🏃        | chunks=['toot', 'hac', 'he'] | py=ㄊㄨㄊ-ㄏㄚㄎ-ㄏㄝ | theme=actions | stage=3
 9532 | toxin                          | 毒素                             | 🏃        | chunks=['to', 'xin'] | py=ㄊㄛ-ㄎㄙㄧㄋ | theme=actions | stage=3
 9533 | wheeze                         | 喘鳴                             | 🏃        | chunks=['whee', 'ze'] | py=ㄨㄧ-ㄗㄧ | theme=actions | stage=3
 9534 | alkaline                       | 鹼性的                            | 🎨        | chunks=['al', 'ka', 'li', 'ne'] | py=ㄚㄦ-ㄎㄜ-ㄌㄞㄋ | theme=adjectives | stage=3
 9535 | amino                          | 胺基(的)                          | 🏃        | chunks=['a', 'mi', 'no'] | py=ㄜ-ㄇㄞ-ㄋㄛ | theme=actions | stage=3
 9536 | bacterium                      | 細菌                             | 🏃        | chunks=['bac', 'te', 'rium'] | py=ㄅㄚㄎ-ㄊㄧ-ㄖㄧㄚㄇ | theme=actions | stage=3
 9537 | photon                         | 光子                             | 🏃        | chunks=['pho', 'ton'] | py=ㄈㄛ-ㄉㄣ | theme=actions | stage=3
 9538 | predator                       | 掠食者                            | 🦁        | chunks=['pre', 'da', 'tor'] | py=ㄆㄌㄧ-ㄉㄚ-ㄊㄜ | theme=jobs | stage=3 base=prey
 9539 | solvent                        | 溶劑                             | 🎨        | chunks=['sol', 'vent'] | py=ㄙㄚ-ㄈㄣㄊ | theme=adjectives | stage=3
 9540 | absorbing                      | 吸引人的                           | 🎨        | chunks=['ab', 'sor', 'bing'] | py=ㄚㄅ-ㄗㄜ-ㄅㄧㄥ | theme=adjectives | stage=3
 9541 | abusive                        | 虐待的                            | 🎨        | chunks=['a', 'bu', 'si', 've'] | py=ㄜ-ㄅㄧㄨ-ㄗㄜ-ㄈㄜ | theme=adjectives | stage=3 base=abuse
 9542 | addictive                      | 上癮的                            | 🎨        | chunks=['ad', 'dic', 'ti', 've'] | py=ㄚㄉ-ㄉㄧㄎ-ㄊㄜ-ㄈㄜ | theme=adjectives | stage=3 base=addict
 9543 | adept                          | 熟練的                            | 🎨        | chunks=['a', 'dept'] | py=ㄜ-ㄉㄝㄆㄊ | theme=adjectives | stage=3
 9544 | admiring                       | 欽佩的                            | 🎨        | chunks=['ad', 'mi', 'ring'] | py=ㄚㄉ-ㄇㄞ-ㄌㄧㄥ | theme=adjectives | stage=3
 9545 | adorable                       | 可愛的                            | 💁        | chunks=['a', 'do', 'rab', 'le'] | py=ㄜ-ㄉㄛ-ㄖㄜ-ㄅㄜ | theme=appearance | stage=3 base=adore
 9546 | affordable                     | 負擔得起的                          | 🎨        | chunks=['af', 'for', 'dab', 'le'] | py=ㄚㄈ-ㄈㄛ-ㄉㄚㄅ-ㄌㄧ | theme=adjectives | stage=3 base=afford
 9547 | alleged                        | 涉嫌的                            | 🎨        | chunks=['al', 'le', 'ged'] | py=ㄜ-ㄌㄝㄐㄉ | theme=adjectives | stage=3
 9548 | alphabetical                   | 按字母順序的                         | 🎨        | chunks=['al', 'pha', 'be', 'ti', 'cal'] | py=ㄦ-ㄈㄚ-ㄅㄧ-ㄊㄜ-ㄎㄜ | theme=adjectives | stage=3
 9549 | ambient                        | 環境的                            | 🌍        | chunks=['am', 'bient'] | py=ㄚㄇ-ㄅㄧㄜㄋㄊ | theme=environment | stage=3
 9550 | amphibious                     | 兩棲的                            | 🐾        | chunks=['am', 'phi', 'bious'] | py=ㄚㄇ-ㄈㄧ-ㄅㄧㄜㄙ | theme=animals | stage=3
 9551 | answerable                     | 有責任的                           | 🎨        | chunks=['an', 'swe', 'rab', 'le'] | py=ㄚㄣ-ㄙㄜ-ㄖㄜ-ㄅㄜ | theme=adjectives | stage=3 base=answer
 9552 | appealing                      | 吸引人的                           | 🎨        | chunks=['ap', 'pea', 'ling'] | py=ㄚ-ㄆㄧ-ㄌㄧㄥ | theme=adjectives | stage=3
 9553 | archaic                        | 古老的                            | 🎨        | chunks=['ar', 'chaic'] | py=ㄚㄦ-ㄔㄟㄎ | theme=adjectives | stage=3
 9554 | arid                           | 乾旱的                            | 🎨        | chunks=['a', 'rid'] | py=ㄜ-ㄌㄧ | theme=adjectives | stage=3
 9555 | aromatic                       | 芳香的                            | 🎨        | chunks=['a', 'ro', 'ma', 'tic'] | py=ㄜ-ㄌㄛ-ㄇㄚ-ㄊㄧㄎ | theme=adjectives | stage=3
 9556 | assertive                      | 果斷的                            | 🎨        | chunks=['as', 'ser', 'ti', 've'] | py=ㄚ-ㄗㄜ-ㄊㄜ-ㄈㄜ | theme=adjectives | stage=3 base=assert
 9557 | astonishing                    | 驚人的                            | 🎨        | chunks=['as', 'to', 'nis', 'hing'] | py=ㄚ-ㄊㄛ-ㄋㄧㄙ-ㄏㄧㄥ | theme=adjectives | stage=3
 9558 | astronomical                   | 天文的                            | 🎨        | chunks=['as', 'tro', 'no', 'mi', 'cal'] | py=ㄚ-ㄊㄜ-ㄋㄛ-ㄇㄧ-ㄎㄜ | theme=adjectives | stage=3
 9559 | audible                        | 可聽見的                           | 🎨        | chunks=['au', 'dib', 'le'] | py=ㄛ-ㄉㄧㄅ-ㄌㄧ | theme=adjectives | stage=3
 9560 | autonomous                     | 自治的                            | 🎨        | chunks=['au', 'to', 'no', 'mous'] | py=ㄛ-ㄊㄚ-ㄋㄜ-ㄇㄜㄙ | theme=adjectives | stage=3
 9561 | mindful                        | 留心的                            | 🎨        | chunks=['min', 'dful'] | py=ㄇㄞㄋㄉ-ㄈㄜ | theme=adjectives | stage=3 base=mind
 9562 | purposeful                     | 有目的的                           | 🎨        | chunks=['pur', 'po', 'se', 'ful'] | py=ㄆㄜ-ㄆㄛ-ㄙㄜ-ㄈㄜ | theme=adjectives | stage=3 base=purpose
 9563 | regretful                      | 後悔的                            | 😞        | chunks=['reg', 'ret', 'ful'] | py=ㄌㄝ-ㄌㄝㄊ-ㄈㄜ | theme=directions | stage=3 base=regret
 9564 | resourceful                    | 足智多謀的                          | 🎨        | chunks=['re', 'sour', 'ce', 'ful'] | py=ㄌㄧ-ㄙㄠㄜ-ㄙㄜ-ㄈㄜ | theme=adjectives | stage=3 base=resource
 9565 | tearful                        | 含淚的                            | 🎨        | chunks=['tear', 'ful'] | py=ㄊㄧㄜ-ㄈㄜ | theme=adjectives | stage=3
 9566 | vengeful                       | 報復的                            | 🎨        | chunks=['ven', 'ge', 'ful'] | py=ㄈㄣ-ㄐㄧ-ㄈㄜ | theme=adjectives | stage=3
 9567 | wakeful                        | 警覺的                            | 🎨        | chunks=['wa', 'ke', 'ful'] | py=ㄨㄛ-ㄎㄟ-ㄈㄜ | theme=adjectives | stage=3 base=wake
 9568 | watchful                       | 警戒的                            | 🎨        | chunks=['watc', 'hful'] | py=ㄨㄚㄔ-ㄈㄜ | theme=adjectives | stage=3 base=watch
 9569 | wishful                        | 渴望的                            | 🎨        | chunks=['wis', 'hful'] | py=ㄨㄧㄒ-ㄈㄜ | theme=adjectives | stage=3 base=wish
 9570 | wrongful                       | 不正當的                           | 🎨        | chunks=['wron', 'gful'] | py=ㄖㄛㄥ-ㄈㄜ | theme=adjectives | stage=3 base=wrong
 9571 | aimless                        | 無目的的                           | 🎨        | chunks=['aim', 'less'] | py=ㄟㄇ-ㄌㄝㄙ | theme=adjectives | stage=3 base=aim
 9572 | blameless                      | 無可指責的                          | 🎨        | chunks=['bla', 'me', 'less'] | py=ㄅㄌㄟ-ㄇㄝ-ㄌㄝㄙ | theme=adjectives | stage=3 base=blame
 9573 | boundless                      | 無邊的                            | 🎨        | chunks=['boun', 'dless'] | py=ㄅㄠㄋ-ㄉㄌㄝㄙ | theme=adjectives | stage=3 base=bound
 9574 | breathless                     | 喘不過氣的                          | 🎨        | chunks=['breat', 'hless'] | py=ㄅㄖㄧㄊ-ㄏㄌㄝㄙ | theme=adjectives | stage=3 base=breath
 9575 | careless                       | 粗心的                            | 🎨        | chunks=['ca', 're', 'less'] | py=ㄎㄚ-ㄌㄧ-ㄌㄝㄙ | theme=adjectives | stage=3 base=care
 9576 | childless                      | 無子女的                           | 🎨        | chunks=['chil', 'dless'] | py=ㄔㄞㄦㄉ-ㄌㄜㄙ | theme=adjectives | stage=3 base=child
 9577 | clueless                       | 毫無頭緒的                          | 🤷        | chunks=['clue', 'less'] | py=ㄎㄌㄩ-ㄌㄝㄙ | theme=body | stage=3 base=clue
 9578 | countless                      | 無數的                            | 🎨        | chunks=['coun', 'tless'] | py=ㄎㄠㄣ-ㄊㄌㄝㄙ | theme=adjectives | stage=3 base=count
 9579 | endless                        | 無盡的                            | 🎨        | chunks=['en', 'dless'] | py=ㄣ-ㄉㄌㄝㄙ | theme=adjectives | stage=3 base=end
 9580 | fearless                       | 無畏的                            | 🎨        | chunks=['fear', 'less'] | py=ㄈㄧㄜ-ㄌㄝㄙ | theme=adjectives | stage=3 base=fear
 9581 | flawless                       | 無瑕的                            | 🎨        | chunks=['flaw', 'less'] | py=ㄈㄌㄛ-ㄌㄝㄙ | theme=adjectives | stage=3 base=flaw
 9582 | formless                       | 無形的                            | 🎨        | chunks=['for', 'mless'] | py=ㄈㄛ-ㄇㄌㄝㄙ | theme=adjectives | stage=3 base=form
 9583 | friendless                     | 沒朋友的                           | 🎨        | chunks=['frien', 'dless'] | py=ㄈㄖㄞㄋ-ㄉㄌㄝㄙ | theme=adjectives | stage=3 base=friend
 9584 | fruitless                      | 徒勞的                            | 🎨        | chunks=['fruit', 'less'] | py=ㄈㄌㄨㄊ-ㄌㄝㄙ | theme=adjectives | stage=3 base=fruit
 9585 | groundless                     | 無根據的                           | 🎨        | chunks=['groun', 'dless'] | py=ㄍㄖㄠㄋ-ㄉㄌㄝㄙ | theme=adjectives | stage=3 base=ground
 9586 | harmless                       | 無害的                            | 🎨        | chunks=['har', 'mless'] | py=ㄏㄚㄦ-ㄇㄌㄝㄙ | theme=adjectives | stage=3 base=harm
 9587 | helpless                       | 無助的                            | 🎨        | chunks=['hel', 'pless'] | py=ㄏㄝ-ㄆㄌㄝㄙ | theme=adjectives | stage=3 base=help
 9588 | homeless                       | 無家可歸的                          | 🎨        | chunks=['ho', 'me', 'less'] | py=ㄏㄚ-ㄇㄝ-ㄌㄝㄙ | theme=adjectives | stage=3 base=home
 9589 | hopeless                       | 絕望的                            | 🎨        | chunks=['ho', 'pe', 'less'] | py=ㄏㄚ-ㄆㄜ-ㄌㄝㄙ | theme=adjectives | stage=3 base=hope
 9590 | lifeless                       | 無生命的                           | 🎨        | chunks=['li', 'fe', 'less'] | py=ㄌㄧ-ㄈㄧ-ㄌㄝㄙ | theme=adjectives | stage=3 base=life
 9591 | lawless                        | 無法無天的、不守法的                     | ⚖️       | chunks=['law', 'less'] | py=ㄌㄛ-ㄌㄝㄙ | theme=law | stage=3 base=law
 9592 | limitless                      | 無限的                            | 🎨        | chunks=['li', 'mit', 'less'] | py=ㄌㄧ-ㄇㄧㄊ-ㄌㄝㄙ | theme=adjectives | stage=3 base=limit
 9593 | meaningless                    | 無意義的                           | 🎨        | chunks=['mea', 'nin', 'gless'] | py=ㄇㄧ-ㄋㄧㄣ-ㄍㄌㄝㄙ | theme=adjectives | stage=3 base=meaning
 9594 | motherless                     | 無母的                            | 🎨        | chunks=['mot', 'her', 'less'] | py=ㄇㄚ-ㄉㄜ-ㄌㄜㄙ | theme=adjectives | stage=3 base=mother
 9595 | motionless                     | 靜止的                            | 🎨        | chunks=['mo', 'tion', 'less'] | py=ㄇㄛ-ㄒㄣ-ㄌㄝㄙ | theme=adjectives | stage=3 base=motion
 9596 | nameless                       | 無名的                            | 🎨        | chunks=['na', 'me', 'less'] | py=ㄋㄚ-ㄇㄝ-ㄌㄝㄙ | theme=adjectives | stage=3 base=name
 9597 | needless                       | 不必要的                           | 🎨        | chunks=['need', 'less'] | py=ㄋㄧㄉ-ㄌㄝㄙ | theme=adjectives | stage=3 base=need
 9598 | numberless                     | 無數的                            | 🎨        | chunks=['num', 'ber', 'less'] | py=ㄋㄚㄇ-ㄅㄜ-ㄌㄝㄙ | theme=adjectives | stage=3 base=number
 9599 | odorless                       | 無味的                            | 🎨        | chunks=['o', 'dor', 'less'] | py=ㄛ-ㄉㄜ-ㄌㄝㄙ | theme=adjectives | stage=3 base=odor
 9600 | painless                       | 無痛的                            | 🎨        | chunks=['pain', 'less'] | py=ㄆㄟㄣ-ㄌㄝㄙ | theme=adjectives | stage=3 base=pain
 9601 | peerless                       | 無比的                            | 🎨        | chunks=['peer', 'less'] | py=ㄆㄧㄖ-ㄌㄝㄙ | theme=adjectives | stage=3 base=peer
 9602 | pointless                      | 無意義的                           | 🎨        | chunks=['poin', 'tless'] | py=ㄆㄛㄧㄣ-ㄊㄌㄝㄙ | theme=adjectives | stage=3 base=point
 9603 | restless                       | 不安的                            | 🎨        | chunks=['res', 'tless'] | py=ㄌㄝㄙ-ㄊㄌㄝㄙ | theme=adjectives | stage=3 base=rest
 9604 | ruthless                       | 無情的                            | 🎨        | chunks=['rut', 'hless'] | py=ㄖㄚㄊ-ㄏㄌㄝㄙ | theme=adjectives | stage=3
 9605 | seamless                       | 無縫的                            | 🎨        | chunks=['seam', 'less'] | py=ㄙㄧㄇ-ㄌㄝㄙ | theme=adjectives | stage=3
 9606 | senseless                      | 無意義的                           | 🎨        | chunks=['sen', 'se', 'less'] | py=ㄙㄝㄣ-ㄙㄜ-ㄌㄝㄙ | theme=adjectives | stage=3 base=sense
 9607 | shameless                      | 無恥的                            | 🎨        | chunks=['sha', 'me', 'less'] | py=ㄒㄚ-ㄇㄝ-ㄌㄝㄙ | theme=adjectives | stage=3 base=shame
 9608 | sleepless                      | 失眠的                            | 😴        | chunks=['sleep', 'less'] | py=ㄙㄌㄧ-ㄌㄝㄙ | theme=diseases | stage=3 base=sleep
 9609 | soundless                      | 無聲的                            | 🎨        | chunks=['soun', 'dless'] | py=ㄙㄠㄋ-ㄉㄌㄝㄙ | theme=adjectives | stage=3 base=sound
 9610 | speechless                     | 說不出話的                          | 🎨        | chunks=['speec', 'hless'] | py=ㄙㄆㄧㄔ-ㄌㄜㄙ | theme=adjectives | stage=3 base=speech
 9611 | stainless                      | 不鏽的                            | 🎨        | chunks=['stain', 'less'] | py=ㄙㄊㄟㄋ-ㄌㄝㄙ | theme=adjectives | stage=3 base=stain
 9612 | stateless                      | 無國籍的                           | 🌍        | chunks=['sta', 'te', 'less'] | py=ㄙㄉㄝ-ㄊㄧ-ㄌㄝㄙ | theme=countries | stage=3 base=state
 9613 | tasteless                      | 無味的                            | 🎨        | chunks=['tas', 'te', 'less'] | py=ㄊㄚㄙ-ㄊㄧ-ㄌㄝㄙ | theme=adjectives | stage=3 base=taste
 9614 | thankless                      | 吃力不討好的                         | 🎨        | chunks=['than', 'kless'] | py=ㄒㄚㄋㄎ-ㄌㄜㄙ | theme=adjectives | stage=3 base=thank
 9615 | timeless                       | 永恆的                            | 🎨        | chunks=['ti', 'me', 'less'] | py=ㄊㄞㄇ-ㄌㄜㄙ | theme=adjectives | stage=3 base=time
 9616 | tireless                       | 不知疲倦的                          | 🎨        | chunks=['ti', 're', 'less'] | py=ㄊㄞㄜ-ㄌㄜㄙ | theme=adjectives | stage=3 base=tire
 9617 | toothless                      | 沒牙的                            | 🎨        | chunks=['toot', 'hless'] | py=ㄊㄨㄊ-ㄏㄌㄝㄙ | theme=adjectives | stage=3 base=tooth
 9618 | useless                        | 無用的                            | 🎨        | chunks=['u', 'se', 'less'] | py=ㄧㄨ-ㄙㄜ-ㄌㄝㄙ | theme=adjectives | stage=3 base=use
 9619 | voiceless                      | 沒聲音的                           | 🎨        | chunks=['voi', 'ce', 'less'] | py=ㄨㄛㄧ-ㄙㄜ-ㄌㄝㄙ | theme=adjectives | stage=3 base=voice
 9620 | weightless                     | 無重的                            | 🎨        | chunks=['weigh', 'tless'] | py=ㄨㄝ-ㄊㄌㄝㄙ | theme=adjectives | stage=3 base=weight
 9621 | wordless                       | 無言的                            | 🎨        | chunks=['wor', 'dless'] | py=ㄨㄜ-ㄉㄌㄝㄙ | theme=adjectives | stage=3 base=word
 9622 | worthless                      | 無價值的                           | 🎨        | chunks=['wort', 'hless'] | py=ㄨㄛㄜㄊ-ㄏㄌㄝㄙ | theme=adjectives | stage=3 base=worth
 9623 | amorous                        | 多情的                            | 🎨        | chunks=['a', 'mo', 'rous'] | py=ㄜ-ㄇㄛ-ㄌㄨ | theme=adjectives | stage=3
 9624 | barbarous                      | 野蠻的                            | 🎨        | chunks=['bar', 'ba', 'rous'] | py=ㄅㄚㄦ-ㄅㄟ-ㄌㄨ | theme=adjectives | stage=4
 9625 | hideous                        | 醜陋的                            | 🎨        | chunks=['hi', 'deous'] | py=ㄏㄧ-ㄉㄧㄜㄙ | theme=adjectives | stage=3 base=hide
 9626 | infamous                       | 惡名昭彰的                          | 🎨        | chunks=['in', 'fa', 'mous'] | py=ㄧㄣ-ㄈㄜ-ㄇㄜㄙ | theme=adjectives | stage=3
 9627 | obnoxious                      | 令人討厭的                          | 🎨        | chunks=['ob', 'no', 'xious'] | py=ㄚㄅ-ㄋㄛ-ㄎㄙㄧㄜㄙ | theme=adjectives | stage=4
 9628 | ominous                        | 不祥的                            | 🎨        | chunks=['o', 'mi', 'nous'] | py=ㄚ-ㄇㄜ-ㄋㄜㄙ | theme=adjectives | stage=3
 9629 | precarious                     | 危險的                            | 🎨        | chunks=['pre', 'ca', 'rious'] | py=ㄆㄌㄧ-ㄎㄚ-ㄖㄧㄜㄙ | theme=adjectives | stage=4
 9630 | strenuous                      | 費力的                            | 🎨        | chunks=['stre', 'nuous'] | py=ㄙㄊㄖㄝ-ㄋㄚㄜㄙ | theme=adjectives | stage=3
 9631 | studious                       | 勤奮的                            | 🤔        | chunks=['stu', 'dious'] | py=ㄙㄉㄨ-ㄉㄧㄜㄙ | theme=personality | stage=3
 9632 | virtuous                       | 善良的                            | 🤔        | chunks=['vir', 'tuous'] | py=ㄈㄜ-ㄊㄚㄜㄙ | theme=personality | stage=3 base=virtue
 9633 | achievable                     | 可達成的                           | 🎨        | chunks=['ac', 'hie', 'vab', 'le'] | py=ㄚㄎ-ㄏㄞ-ㄨㄚㄅ-ㄌㄧ | theme=adjectives | stage=3 base=achieve
 9634 | adaptable                      | 適應力強的                          | 🎨        | chunks=['a', 'dap', 'tab', 'le'] | py=ㄜ-ㄉㄚㄆ-ㄊㄜ-ㄅㄜ | theme=adjectives | stage=3 base=adapt
 9635 | alterable                      | 可改變的                           | 🎨        | chunks=['al', 'te', 'rab', 'le'] | py=ㄦ-ㄊㄧ-ㄖㄝ-ㄌㄧ | theme=adjectives | stage=3 base=alter
 9636 | approachable                   | 平易近人的                          | 🎨        | chunks=['ap', 'proac', 'hab', 'le'] | py=ㄚ-ㄆㄖㄛㄎ-ㄏㄚㄅ-ㄌㄧ | theme=adjectives | stage=3 base=approach
 9637 | avoidable                      | 可避免的                           | 🎨        | chunks=['a', 'voi', 'dab', 'le'] | py=ㄜ-ㄨㄛㄧ-ㄉㄚㄅ-ㄌㄧ | theme=adjectives | stage=3 base=avoid
 9638 | breakable                      | 易碎的                            | 🎨        | chunks=['brea', 'kab', 'le'] | py=ㄅㄖㄧ-ㄎㄚㄅ-ㄌㄧ | theme=adjectives | stage=3 base=break
 9639 | contestable                    | 可爭辯的                           | 🎨        | chunks=['con', 'tes', 'tab', 'le'] | py=ㄎㄚㄣ-ㄊㄝㄙ-ㄊㄚ-ㄌㄧ | theme=adjectives | stage=3 base=contest
 9640 | controllable                   | 可控制的                           | 🎨        | chunks=['con', 'trol', 'lab', 'le'] | py=ㄎㄚㄣ-ㄊㄌㄚ-ㄌㄚ-ㄌㄧ | theme=adjectives | stage=3 base=control
 9641 | curable                        | 可治癒的                           | 🎨        | chunks=['cu', 'rab', 'le'] | py=ㄎㄧㄨ-ㄖㄝ-ㄌㄧ | theme=adjectives | stage=3 base=cure
 9642 | debatable                      | 有爭議的                           | 🎨        | chunks=['de', 'ba', 'tab', 'le'] | py=ㄉㄧ-ㄅㄟ-ㄊㄚ-ㄌㄧ | theme=adjectives | stage=3 base=debate
 9643 | detectable                     | 可偵測的                           | 🎨        | chunks=['de', 'tec', 'tab', 'le'] | py=ㄉㄧ-ㄊㄝㄎ-ㄊㄚ-ㄌㄧ | theme=adjectives | stage=3 base=detect
 9644 | disagreeable                   | 令人不快的                          | 🎨        | chunks=['di', 'sag', 'reeab', 'le'] | py=ㄉㄧ-ㄙㄚㄍ-ㄖㄧㄚㄅ-ㄌㄧ | theme=adjectives | stage=3
 9645 | drinkable                      | 可飲用的                           | 🎨        | chunks=['drin', 'kab', 'le'] | py=ㄉㄖㄧㄋ-ㄎㄚㄅ-ㄌㄧ | theme=adjectives | stage=3 base=drink
 9646 | eatable                        | 可食用的                           | 🎨        | chunks=['ea', 'tab', 'le'] | py=ㄧ-ㄊㄚ-ㄌㄧ | theme=adjectives | stage=3 base=eat
 9647 | enviable                       | 令人羡慕的                          | 🎨        | chunks=['en', 'viab', 'le'] | py=ㄣ-ㄨㄧㄚㄅ-ㄌㄧ | theme=adjectives | stage=3
 9648 | forgivable                     | 可原諒的                           | 🎨        | chunks=['for', 'gi', 'vab', 'le'] | py=ㄈㄛ-ㄐㄜ-ㄨㄚㄅ-ㄌㄧ | theme=adjectives | stage=3 base=forgive
 9649 | impossible                     | 不可能的                           | 🎨        | chunks=['im', 'pos', 'sib', 'le'] | py=ㄧㄇ-ㄆㄚ-ㄒㄧㄅ-ㄌㄧ | theme=adjectives | stage=3
 9650 | incredible                     | 令人難以置信的                        | 🎨        | chunks=['in', 'cre', 'dib', 'le'] | py=ㄧㄣ-ㄎㄌㄧ-ㄉㄧㄅ-ㄌㄧ | theme=adjectives | stage=3
 9651 | inflexible                     | 僵硬的                            | 🎨        | chunks=['in', 'fle', 'xib', 'le'] | py=ㄧㄣ-ㄈㄜ-ㄎㄙㄧㄅ-ㄌㄧ | theme=adjectives | stage=3
 9652 | invisible                      | 看不見的                           | 🎨        | chunks=['in', 'vi', 'sib', 'le'] | py=ㄧㄣ-ㄈㄞ-ㄒㄧㄅ-ㄌㄧ | theme=adjectives | stage=3
