# 字 1000-1499
 1000 | mosquito                       | 蚊子                             | 🦟        | chunks=['mos', 'qui', 'to'] | py=ㄇㄚㄙ-ㄎㄧ-ㄊㄛ | theme=animals | stage=1
 1013 | sweater                        | 毛衣                             | 🧶        | chunks=['swea', 'ter'] | py=ㄙㄨㄝ-ㄊㄜ | theme=clothing | stage=0
 1014 | jeans                          | 牛仔褲                            | 👖        | chunks=['j', 'eans'] | py=ㄐㄧㄣㄗ | theme=clothing | stage=0
 1015 | shorts                         | 短褲                             | 🩳        | chunks=['sh', 'orts'] | py=ㄒㄛㄦㄗ | theme=clothing | stage=0
 1016 | skirt                          | 裙子                             | 👗        | chunks=['sk', 'irt'] | py=ㄙㄎㄜㄦㄊ | theme=clothing | stage=0
 1017 | blouse                         | 女上衣                            | 👚        | chunks=['bl', 'ouse'] | py=ㄅㄌㄠㄗ | theme=clothing | stage=1
 1018 | suit                           | 西裝                             | 🤵        | chunks=['s', 'uit'] | py=ㄙㄨㄊ | theme=clothing | stage=1 [有易混提示]
 1019 | tie                            | 領帶                             | 👔        | chunks=['t', 'ie'] | py=ㄊㄞ | theme=clothing | stage=0 [有易混提示]
 1020 | underwear                      | 內衣                             | 🩲        | chunks=['un', 'der', 'wear'] | py=ㄚㄣ-ㄉㄜ-ㄨㄝㄜ | theme=clothing | stage=1
 1021 | bra                            | 胸罩                             | 👙        | chunks=['br', 'a'] | py=ㄅㄌㄚ | theme=clothing | stage=1
 1022 | pajamas                        | 睡衣                             | 🛌        | chunks=['pa', 'ja', 'mas'] | py=ㄆㄚ-ㄐㄚ-ㄇㄚㄗ | theme=clothing | stage=1
 1023 | uniform                        | 制服                             | 👮        | chunks=['u', 'ni', 'form'] | py=ㄧㄨ-ㄋㄧ-ㄈㄛㄦㄇ | theme=clothing | stage=1
 1024 | cap                            | 鴨舌帽                            | 🧢        | chunks=['c', 'ap'] | py=ㄎㄚㄆ | theme=clothing | stage=0 [有易混提示]
 1025 | helmet                         | 安全帽                            | ⛑️       | chunks=['hel', 'met'] | py=ㄏㄝㄦ-ㄇㄜㄊ | theme=clothing | stage=1
 1026 | boots                          | 靴子                             | 🥾        | chunks=['b', 'oots'] | py=ㄅㄨㄗ | theme=clothing | stage=0
 1027 | sandals                        | 涼鞋                             | 👡        | chunks=['san', 'dals'] | py=ㄙㄢ-ㄉㄜㄗ | theme=clothing | stage=1
 1028 | slippers                       | 拖鞋                             | 🩴        | chunks=['slip', 'pers'] | py=ㄙㄌㄧ-ㄆㄜㄗ | theme=clothing | stage=1
 1029 | heels                          | 高跟鞋                            | 👠        | chunks=['h', 'eels'] | py=ㄏㄧㄦㄗ | theme=clothing | stage=1
 1030 | sneakers                       | 運動鞋                            | 👟        | chunks=['snea', 'kers'] | py=ㄙㄋㄧ-ㄎㄜㄗ | theme=clothing | stage=1
 1031 | tights                         | 褲襪                             | 🧦        | chunks=['t', 'ights'] | py=ㄊㄞㄊㄙ | theme=clothing | stage=2
 1032 | mittens                        | 連指手套                           | 🧤        | chunks=['mit', 'tens'] | py=ㄇㄧ-ㄊㄣㄗ | theme=clothing | stage=1
 1033 | raincoat                       | 雨衣                             | 🧥        | chunks=['rain', 'coat'] | py=ㄌㄟㄣ-ㄎㄛㄊ | theme=clothing | stage=1
 1034 | vest                           | 背心                             | 🦺        | chunks=['v', 'est'] | py=ㄈㄝㄙㄊ | theme=clothing | stage=1 [有易混提示]
 1035 | hoodie                         | 連帽衣                            | 🧥        | chunks=['hoo', 'die'] | py=ㄏㄨ-ㄉㄧ | theme=clothing | stage=1
 1036 | cardigan                       | 開襟毛衣                           | 🧶        | chunks=['car', 'di', 'gan'] | py=ㄎㄚㄦ-ㄉㄧ-ㄍㄢ | theme=clothing | stage=2
 1037 | robe                           | 浴袍                             | 🥋        | chunks=['r', 'obe'] | py=ㄌㄛㄅ | theme=clothing | stage=1
 1038 | apron                          | 圍裙                             | 🥻        | chunks=['a', 'pron'] | py=ㄟ-ㄆㄌㄣ | theme=clothing | stage=1
 1039 | swimsuit                       | 泳裝                             | 🩱        | chunks=['swim', 'suit'] | py=ㄙㄨㄧㄇ-ㄙㄨㄊ | theme=clothing | stage=1
 1040 | bikini                         | 比基尼                            | 👙        | chunks=['bi', 'ki', 'ni'] | py=ㄅㄧ-ㄎㄧ-ㄋㄧ | theme=clothing | stage=1
 1041 | tuxedo                         | 燕尾服                            | 🤵        | chunks=['tux', 'e', 'do'] | py=ㄊㄚㄎ-ㄒㄧ-ㄉㄛ | theme=clothing | stage=2
 1042 | pocket                         | 口袋                             | 👖        | chunks=['poc', 'ket'] | py=ㄆㄚ-ㄎㄜㄊ | theme=clothing | stage=0
 1043 | zipper                         | 拉鍊                             | 🧷        | chunks=['zip', 'per'] | py=ㄗㄧ-ㄆㄜ | theme=clothing | stage=1
 1044 | button                         | 鈕扣                             | 🔘        | chunks=['but', 'ton'] | py=ㄅㄚ-ㄉㄣ | theme=clothing | stage=0
 1045 | collar                         | 衣領                             | 👔        | chunks=['col', 'lar'] | py=ㄎㄚ-ㄌㄜ | theme=clothing | stage=1
 1046 | sleeve                         | 袖子                             | 👕        | chunks=['sl', 'eeve'] | py=ㄙㄌㄧㄈ | theme=clothing | stage=1
 1047 | hem                            | 摺邊                             | 👗        | chunks=['h', 'em'] | py=ㄏㄝㄇ | theme=clothing | stage=2
 1048 | cuff                           | 袖口                             | 👔        | chunks=['c', 'uff'] | py=ㄎㄚㄈ | theme=clothing | stage=2
 1049 | lace                           | 蕾絲                             | 🪡        | chunks=['l', 'ace'] | py=ㄌㄟㄙ | theme=clothing | stage=1
 1050 | fabric                         | 布料                             | 🧵        | chunks=['fab', 'ric'] | py=ㄈㄚ-ㄅㄌㄧㄎ | theme=clothing | stage=2
 1051 | cotton                         | 棉                              | ☁️       | chunks=['cot', 'ton'] | py=ㄎㄚ-ㄉㄣ | theme=clothing | stage=1
 1052 | wool                           | 羊毛                             | 🧶        | chunks=['w', 'ool'] | py=ㄨㄨㄦ | theme=clothing | stage=1
 1053 | silk                           | 絲                              | 🪡        | chunks=['s', 'ilk'] | py=ㄒㄧㄦㄎ | theme=clothing | stage=1
 1054 | leather                        | 皮革                             | 🧥        | chunks=['lea', 'ther'] | py=ㄌㄝ-ㄉㄜ | theme=clothing | stage=1
 1055 | denim                          | 丹寧布                            | 👖        | chunks=['de', 'nim'] | py=ㄉㄝ-ㄋㄧㄇ | theme=clothing | stage=2
 1056 | weather                        | 天氣                             | 🌤️       | chunks=['wea', 'ther'] | py=ㄨㄝ-ㄉㄜ | theme=weather | stage=0 [有易混提示]
 1057 | sunny                          | 晴朗                             | ☀️       | chunks=['sun', 'ny'] | py=ㄙㄚ-ㄋㄧ | theme=weather | stage=0 base=sun
 1058 | rainy                          | 多雨的、下雨的                        | 🌧️       | chunks=['rai', 'ny'] | py=ㄌㄟ-ㄋㄧ | theme=weather | stage=0 base=rain
 1059 | snowy                          | 多雪的、下雪的                        | 🌨️       | chunks=['snow', 'y'] | py=ㄙㄋㄛ-ㄧ | theme=weather | stage=0 base=snow
 1060 | windy                          | 有風的、多風的                        | 💨        | chunks=['win', 'dy'] | py=ㄨㄧㄣ-ㄉㄧ | theme=weather | stage=0 base=wind
 1061 | cloudy                         | 多雲                             | ☁️       | chunks=['clou', 'dy'] | py=ㄎㄌㄠ-ㄉㄧ | theme=weather | stage=0 base=cloud
 1062 | foggy                          | 多霧的、起霧的                        | 🌫️       | chunks=['fog', 'gy'] | py=ㄈㄚ-ㄍㄧ | theme=weather | stage=1 base=fog
 1063 | fog                            | 霧                              | 🌫️       | chunks=['f', 'og'] | py=ㄈㄚㄍ | theme=weather | stage=1 [有易混提示]
 1064 | mist                           | 薄霧                             | 🌫️       | chunks=['m', 'ist'] | py=ㄇㄧㄙㄊ | theme=weather | stage=1
 1065 | dew                            | 露                              | 💧        | chunks=['d', 'ew'] | py=ㄉㄧㄨ | theme=weather | stage=2 [有易混提示]
 1066 | frost                          | 霜                              | ❄️       | chunks=['fr', 'ost'] | py=ㄈㄌㄚㄙㄊ | theme=weather | stage=1
 1067 | hail                           | 冰雹                             | 🧊        | chunks=['h', 'ail'] | py=ㄏㄟㄦ | theme=weather | stage=2 [有易混提示]
 1068 | thunder                        | 雷                              | ⛈️       | chunks=['thun', 'der'] | py=ㄙㄚㄣ-ㄉㄜ | theme=weather | stage=1
 1069 | lightning                      | 閃電                             | ⚡        | chunks=['light', 'ning'] | py=ㄌㄞㄊ-ㄋㄧㄥ | theme=weather | stage=1
 1070 | drizzle                        | 毛毛雨                            | 🌧️       | chunks=['driz', 'zle'] | py=ㄉㄌㄧ-ㄗㄜ | theme=weather | stage=2
 1071 | rainfall                       | 降雨                             | 🌧️       | chunks=['rain', 'fall'] | py=ㄌㄟㄣ-ㄈㄛㄦ | theme=weather | stage=1
 1072 | blizzard                       | 暴風雪                            | 🌨️       | chunks=['bliz', 'zard'] | py=ㄅㄌㄧ-ㄗㄜㄉ | theme=weather | stage=2
 1073 | hurricane                      | 颶風                             | 🌀        | chunks=['hur', 'ri', 'cane'] | py=ㄏㄜ-ㄌㄧ-ㄎㄟㄣ | theme=weather | stage=2
 1074 | tornado                        | 龍捲風                            | 🌪️       | chunks=['tor', 'na', 'do'] | py=ㄊㄛㄦ-ㄋㄟ-ㄉㄛ | theme=weather | stage=2
 1075 | typhoon                        | 颱風                             | 🌀        | chunks=['ty', 'phoon'] | py=ㄊㄞ-ㄈㄨㄣ | theme=weather | stage=1
 1076 | flood                          | 洪水                             | 🌊        | chunks=['fl', 'ood'] | py=ㄈㄌㄚㄉ | theme=weather | stage=1 [有易混提示]
 1077 | drought                        | 乾旱                             | 🏜️       | chunks=['dr', 'ought'] | py=ㄉㄌㄠㄊ | theme=weather | stage=2
 1078 | humid                          | 潮濕                             | 💦        | chunks=['hu', 'mid'] | py=ㄏㄧㄨ-ㄇㄧㄉ | theme=weather | stage=1
 1079 | freezing                       | 嚴寒                             | 🥶        | chunks=['free', 'zing'] | py=ㄈㄌㄧ-ㄗㄧㄥ | theme=weather | stage=1 base=freeze
 1080 | mild                           | 溫和                             | 😌        | chunks=['m', 'ild'] | py=ㄇㄞㄦㄉ | theme=weather | stage=1
 1081 | chilly                         | 涼颼颼                            | 🥶        | chunks=['chil', 'ly'] | py=ㄑㄧ-ㄌㄧ | theme=weather | stage=1
 1082 | breeze                         | 微風                             | 🍃        | chunks=['br', 'eeze'] | py=ㄅㄌㄧㄗ | theme=weather | stage=1
 1083 | gust                           | 陣風                             | 💨        | chunks=['g', 'ust'] | py=ㄍㄚㄙㄊ | theme=weather | stage=2
 1084 | gale                           | 強風                             | 🌬️       | chunks=['g', 'ale'] | py=ㄍㄟㄦ | theme=weather | stage=2
 1085 | heat                           | 高溫                             | 🥵        | chunks=['h', 'eat'] | py=ㄏㄧㄊ | theme=weather | stage=1 [有易混提示]
 1086 | degree                         | 度                              | 🌡️       | chunks=['de', 'gree'] | py=ㄉㄧ-ㄍㄌㄧ | theme=weather | stage=1 [有易混提示]
 1087 | temperature                    | 溫度                             | 🌡️       | chunks=['tem', 'pe', 'ra', 'ture'] | py=ㄊㄣ-ㄆㄜ-ㄌㄚ-ㄑㄜ | theme=weather | stage=1
 1088 | forecast                       | 預報                             | 📺        | chunks=['fore', 'cast'] | py=ㄈㄛㄦ-ㄎㄝㄙㄊ | theme=weather | stage=1 base=forecast
 1089 | climate                        | 氣候                             | 🌍        | chunks=['cli', 'mate'] | py=ㄎㄌㄞ-ㄇㄝㄊ | theme=weather | stage=2 [有易混提示]
 1090 | monsoon                        | 季風                             | 🌧️       | chunks=['mon', 'soon'] | py=ㄇㄚㄣ-ㄙㄨㄣ | theme=weather | stage=2
 1091 | cyclone                        | 氣旋                             | 🌀        | chunks=['cy', 'clone'] | py=ㄙㄞ-ㄎㄌㄛㄣ | theme=weather | stage=2
 1092 | tsunami                        | 海嘯                             | 🌊        | chunks=['tsu', 'na', 'mi'] | py=ㄙㄨ-ㄋㄚ-ㄇㄧ | theme=weather | stage=2
 1093 | earthquake                     | 地震                             | 🌍        | chunks=['earth', 'quake'] | py=ㄜㄙ-ㄎㄨㄝㄎ | theme=weather | stage=1
 1094 | avalanche                      | 雪崩                             | 🏔️       | chunks=['a', 'va', 'lanche'] | py=ㄚ-ㄈㄚ-ㄌㄢㄑ | theme=weather | stage=3
 1095 | eruption                       | 噴發                             | 🌋        | chunks=['e', 'rup', 'tion'] | py=ㄧ-ㄌㄚㄆ-ㄒㄣ | theme=weather | stage=3 base=erupt
 1096 | volcano                        | 火山                             | 🌋        | chunks=['vol', 'ca', 'no'] | py=ㄈㄚㄦ-ㄎㄟ-ㄋㄛ | theme=weather | stage=1
 1097 | wave                           | 波浪                             | 🌊        | chunks=['w', 'ave'] | py=ㄨㄟㄈ | theme=weather | stage=0 [有易混提示]
 1098 | tide                           | 潮汐                             | 🌊        | chunks=['t', 'ide'] | py=ㄊㄞㄉ | theme=weather | stage=2 [有易混提示]
 1099 | flame                          | 火焰                             | 🔥        | chunks=['fl', 'ame'] | py=ㄈㄌㄟㄇ | theme=weather | stage=1
 1100 | spark                          | 火花                             | ✨        | chunks=['sp', 'ark'] | py=ㄙㄆㄚㄦㄎ | theme=weather | stage=2
 1101 | smoke                          | 煙                              | 💨        | chunks=['sm', 'oke'] | py=ㄙㄇㄛㄎ | theme=weather | stage=1 [有易混提示]
 1102 | ash                            | 灰燼                             | 🪨        | chunks=['a', 'sh'] | py=ㄚㄒ | theme=weather | stage=2 [有易混提示]
 1103 | shadow                         | 影子                             | 👤        | chunks=['sha', 'dow'] | py=ㄒㄚ-ㄉㄛ | theme=weather | stage=1
 1104 | atmosphere                     | 大氣                             | 🌍        | chunks=['at', 'mo', 'sphere'] | py=ㄚㄊ-ㄇㄜ-ㄙㄈㄧㄜ | theme=weather | stage=3
 1105 | air                            | 空氣                             | 💨        | chunks=['a', 'ir'] | py=ㄝㄦ | theme=weather | stage=0 [有易混提示]
 1106 | food                           | 食物                             | 🍽️       | chunks=['f', 'ood'] | py=ㄈㄨㄉ | theme=food | stage=0
 1107 | butter                         | 奶油                             | 🧈        | chunks=['but', 'ter'] | py=ㄅㄚ-ㄉㄜ | theme=food | stage=0 [有易混提示]
 1108 | yogurt                         | 優格                             | 🥣        | chunks=['yo', 'gurt'] | py=ㄧㄛ-ㄍㄜㄊ | theme=food | stage=1
 1109 | cereal                         | 麥片                             | 🥣        | chunks=['ce', 're', 'al'] | py=ㄒㄧ-ㄌㄧ-ㄜㄦ | theme=food | stage=1
 1110 | oatmeal                        | 燕麥粥                            | 🥣        | chunks=['oat', 'meal'] | py=ㄛㄊ-ㄇㄧㄦ | theme=food | stage=2
 1111 | pasta                          | 義大利麵                           | 🍝        | chunks=['pas', 'ta'] | py=ㄆㄚㄙ-ㄊㄚ | theme=food | stage=1
 1112 | noodles                        | 麵條                             | 🍜        | chunks=['noo', 'dles'] | py=ㄋㄨ-ㄉㄜㄗ | theme=food | stage=0
 1113 | sandwich                       | 三明治                            | 🥪        | chunks=['sand', 'wich'] | py=ㄙㄢ-ㄨㄧㄑ | theme=food | stage=0
 1114 | burger                         | 漢堡                             | 🍔        | chunks=['bur', 'ger'] | py=ㄅㄜ-ㄍㄜ | theme=food | stage=0
 1115 | hotdog                         | 熱狗                             | 🌭        | chunks=['hot', 'dog'] | py=ㄏㄚㄊ-ㄉㄚㄍ | theme=food | stage=0
 1116 | fries                          | 薯條                             | 🍟        | chunks=['fr', 'ies'] | py=ㄈㄌㄞㄗ | theme=food | stage=0 base=fry
 1117 | chips                          | 洋芋片                            | 🍟        | chunks=['ch', 'ips'] | py=ㄑㄧㄆㄗ | theme=food | stage=0 [有易混提示]
 1118 | popcorn                        | 爆米花                            | 🍿        | chunks=['pop', 'corn'] | py=ㄆㄚㄆ-ㄎㄛㄦㄣ | theme=food | stage=0
 1119 | bacon                          | 培根                             | 🥓        | chunks=['ba', 'con'] | py=ㄅㄟ-ㄎㄣ | theme=food | stage=1
 1120 | ham                            | 火腿                             | 🍖        | chunks=['h', 'am'] | py=ㄏㄚㄇ | theme=food | stage=0 [有易混提示]
 1121 | sausage                        | 香腸                             | 🌭        | chunks=['sau', 'sage'] | py=ㄙㄛ-ㄒㄜㄐ | theme=food | stage=1
 1122 | steak                          | 牛排                             | 🥩        | chunks=['st', 'eak'] | py=ㄙㄉㄟㄎ | theme=food | stage=1
 1123 | beef                           | 牛肉                             | 🥩        | chunks=['b', 'eef'] | py=ㄅㄧㄈ | theme=food | stage=0
 1124 | pork                           | 豬肉                             | 🐖        | chunks=['p', 'ork'] | py=ㄆㄛㄦㄎ | theme=food | stage=0
 1125 | seafood                        | 海鮮                             | 🦐        | chunks=['sea', 'food'] | py=ㄒㄧ-ㄈㄨㄉ | theme=food | stage=1
 1126 | salad                          | 沙拉                             | 🥗        | chunks=['sa', 'lad'] | py=ㄙㄚ-ㄌㄜㄉ | theme=food | stage=0
 1127 | sauce                          | 醬汁                             | 🍶        | chunks=['s', 'auce'] | py=ㄙㄛㄙ | theme=food | stage=1
 1128 | ketchup                        | 番茄醬                            | 🍅        | chunks=['ket', 'chup'] | py=ㄎㄝ-ㄑㄚㄆ | theme=food | stage=1
 1129 | honey                          | 蜂蜜                             | 🍯        | chunks=['ho', 'ney'] | py=ㄏㄚ-ㄋㄧ | theme=food | stage=0
 1130 | jam                            | 果醬                             | 🍞        | chunks=['j', 'am'] | py=ㄐㄚㄇ | theme=food | stage=0 [有易混提示]
 1131 | syrup                          | 糖漿                             | 🍯        | chunks=['sy', 'rup'] | py=ㄒㄜ-ㄌㄚㄆ | theme=food | stage=2
 1132 | flour                          | 麵粉                             | 🌾        | chunks=['fl', 'our'] | py=ㄈㄌㄠㄜ | theme=food | stage=1 [有易混提示]
 1133 | sugar                          | 糖                              | 🍬        | chunks=['su', 'gar'] | py=ㄒㄨ-ㄍㄜ | theme=food | stage=0
 1134 | salt                           | 鹽                              | 🧂        | chunks=['s', 'alt'] | py=ㄙㄛㄦㄊ | theme=food | stage=0 [有易混提示]
 1135 | spice                          | 香料                             | 🌶️       | chunks=['sp', 'ice'] | py=ㄙㄆㄞㄙ | theme=food | stage=1
 1136 | herb                           | 香草                             | 🌿        | chunks=['h', 'erb'] | py=ㄜㄅ | theme=food | stage=2
 1137 | oil                            | 油                              | 🫗        | chunks=['o', 'il'] | py=ㄛㄧㄦ | theme=food | stage=0 [有易混提示]
 1138 | nut                            | 堅果                             | 🥜        | chunks=['n', 'ut'] | py=ㄋㄚㄊ | theme=food | stage=0 [有易混提示]
 1139 | seed                           | 種子                             | 🌱        | chunks=['s', 'eed'] | py=ㄒㄧㄉ | theme=food | stage=1 [有易混提示]
 1140 | wheat                          | 小麥                             | 🌾        | chunks=['wh', 'eat'] | py=ㄨㄧㄊ | theme=food | stage=1
 1141 | bagel                          | 貝果                             | 🥯        | chunks=['ba', 'gel'] | py=ㄅㄟ-ㄍㄜ | theme=food | stage=1
 1142 | pretzel                        | 蝴蝶餅                            | 🥨        | chunks=['pret', 'zel'] | py=ㄆㄌㄝ-ㄗㄜ | theme=food | stage=2
 1143 | taco                           | 墨西哥捲                           | 🌮        | chunks=['ta', 'co'] | py=ㄊㄚ-ㄎㄛ | theme=food | stage=1
 1144 | burrito                        | 墨西哥捲餅                          | 🌯        | chunks=['bur', 'ri', 'to'] | py=ㄅㄜ-ㄌㄧ-ㄊㄛ | theme=food | stage=2
 1145 | sushi                          | 壽司                             | 🍣        | chunks=['su', 'shi'] | py=ㄙㄨ-ㄒㄧ | theme=food | stage=1
 1146 | dumpling                       | 水餃                             | 🥟        | chunks=['dump', 'ling'] | py=ㄉㄚㄇㄆ-ㄌㄧㄥ | theme=food | stage=1
 1147 | jelly                          | 果凍                             | 🍮        | chunks=['jel', 'ly'] | py=ㄐㄝ-ㄌㄧ | theme=food | stage=1 [有易混提示]
 1148 | marshmallow                    | 棉花糖                            | 🍡        | chunks=['marsh', 'mal', 'low'] | py=ㄇㄚㄦㄒ-ㄇㄚ-ㄌㄛ | theme=food | stage=2
 1149 | peanut                         | 花生                             | 🥜        | chunks=['pea', 'nut'] | py=ㄆㄧ-ㄋㄚㄊ | theme=food | stage=1
 1150 | almond                         | 杏仁                             | 🥜        | chunks=['al', 'mond'] | py=ㄚ-ㄇㄢㄉ | theme=food | stage=2
 1151 | walnut                         | 核桃                             | 🥜        | chunks=['wal', 'nut'] | py=ㄨㄛㄦ-ㄋㄚㄊ | theme=food | stage=2
 1152 | raisin                         | 葡萄乾                            | 🍇        | chunks=['rai', 'sin'] | py=ㄌㄟ-ㄗㄣ | theme=food | stage=2
 1153 | broth                          | 清湯                             | 🥣        | chunks=['br', 'oth'] | py=ㄅㄌㄚㄙ | theme=food | stage=2
 1154 | oats                           | 燕麥                             | 🌾        | chunks=['o', 'ats'] | py=ㄛㄊㄙ | theme=food | stage=2
 1155 | grain                          | 穀物                             | 🌾        | chunks=['gr', 'ain'] | py=ㄍㄌㄟㄣ | theme=food | stage=2
 1156 | academy                        | 學院                             | 🏫        | chunks=['a', 'ca', 'de', 'my'] | py=ㄚ-ㄎㄚ-ㄉㄜ-ㄇㄧ | theme=school | stage=2
 1157 | classroom                      | 教室                             | 🏫        | chunks=['class', 'room'] | py=ㄎㄌㄚㄙ-ㄌㄨㄣ | theme=school | stage=0
 1158 | notebook                       | 筆記本                            | 📓        | chunks=['note', 'book'] | py=ㄋㄛㄊ-ㄅㄨㄎ | theme=school | stage=0
 1159 | eraser                         | 橡皮擦                            | 🧽        | chunks=['e', 'ra', 'ser'] | py=ㄧ-ㄌㄟ-ㄗㄜ | theme=school | stage=0 base=erase
 1160 | marker                         | 麥克筆                            | 🖍️       | chunks=['mar', 'ker'] | py=ㄇㄚㄦ-ㄎㄜ | theme=school | stage=1 base=mark
 1161 | crayon                         | 蠟筆                             | 🖍️       | chunks=['cra', 'yon'] | py=ㄎㄌㄟ-ㄢ | theme=school | stage=1
 1162 | chalk                          | 粉筆                             | 📝        | chunks=['ch', 'alk'] | py=ㄑㄛㄎ | theme=school | stage=1
 1163 | board                          | 白板                             | ⬜        | chunks=['b', 'oard'] | py=ㄅㄛㄦㄉ | theme=school | stage=0 [有易混提示]
 1164 | backpack                       | 背包                             | 🎒        | chunks=['back', 'pack'] | py=ㄅㄚㄎ-ㄆㄚㄎ | theme=school | stage=0
 1165 | lunchbox                       | 便當盒                            | 🍱        | chunks=['lunch', 'box'] | py=ㄌㄚㄣㄑ-ㄅㄚㄎㄙ | theme=school | stage=1
 1166 | textbook                       | 課本                             | 📖        | chunks=['text', 'book'] | py=ㄊㄝㄎㄙㄊ-ㄅㄨㄎ | theme=school | stage=1
 1167 | dictionary                     | 字典                             | 📔        | chunks=['dic', 'tion', 'a', 'ry'] | py=ㄉㄧㄎ-ㄒㄣ-ㄝ-ㄌㄧ | theme=school | stage=1
 1168 | homework                       | 作業                             | 📝        | chunks=['home', 'work'] | py=ㄏㄛㄇ-ㄨㄜㄎ | theme=school | stage=0
 1169 | test                           | 測驗                             | 📝        | chunks=['t', 'est'] | py=ㄊㄝㄙㄊ | theme=school | stage=0 [有易混提示]
 1170 | exam                           | 考試                             | 📝        | chunks=['ex', 'am'] | py=ㄧㄍ-ㄗㄚㄇ | theme=school | stage=1 [有易混提示]
 1171 | quiz                           | 小考                             | 📝        | chunks=['qu', 'iz'] | py=ㄎㄨㄧㄗ | theme=school | stage=1
 1172 | grade                          | 成績                             | 💯        | chunks=['gr', 'ade'] | py=ㄍㄌㄟㄉ | theme=school | stage=1 [有易混提示]
 1173 | lesson                         | 一課、課                           | 📚        | chunks=['les', 'son'] | py=ㄌㄝ-ㄙㄣ | theme=school | stage=1 [有易混提示]
 1174 | subject                        | 科目                             | 📚        | chunks=['sub', 'ject'] | py=ㄙㄚㄅ-ㄐㄝㄎㄊ | theme=school | stage=1 [有易混提示]
 1175 | math                           | 數學                             | ➗        | chunks=['m', 'ath'] | py=ㄇㄚㄙ | theme=school | stage=0 [有易混提示]
 1176 | english                        | 英文                             | 🇬🇧       | chunks=['en', 'glish'] | py=ㄧㄥ-ㄍㄌㄧㄒ | theme=school | stage=0 [有易混提示]
 1177 | principal                      | 校長                             | 👨‍🏫      | chunks=['prin', 'ci', 'pal'] | py=ㄆㄌㄧㄣ-ㄙㄜ-ㄆㄜ | theme=school | stage=2 [有易混提示]
 1178 | classmate                      | 同學                             | 🧑‍🎓      | chunks=['class', 'mate'] | py=ㄎㄌㄚㄙ-ㄇㄝㄊ | theme=school | stage=1
 1179 | bell                           | 鈴聲                             | 🔔        | chunks=['b', 'ell'] | py=ㄅㄝㄦ | theme=school | stage=0
 1180 | recess                         | 下課                             | ⏸️       | chunks=['re', 'cess'] | py=ㄌㄧ-ㄙㄝㄙ | theme=school | stage=2
 1181 | graduation                     | 畢業                             | 🎓        | chunks=['grad', 'u', 'a', 'tion'] | py=ㄍㄌㄚ-ㄐㄧㄨ-ㄝ-ㄒㄣ | theme=school | stage=2 base=graduate
 1182 | diploma                        | 文憑                             | 📜        | chunks=['di', 'plo', 'ma'] | py=ㄉㄧ-ㄆㄌㄛ-ㄇㄚ | theme=school | stage=3
 1183 | library                        | 圖書館                            | 📚        | chunks=['li', 'bra', 'ry'] | py=ㄌㄞ-ㄅㄌㄝ-ㄌㄧ | theme=school | stage=1
 1184 | college                        | 學院、大學                          | 🎓        | chunks=['col', 'lege'] | py=ㄎㄚ-ㄌㄧㄐ | theme=school | stage=1 [有易混提示]
 1185 | university                     | 大學                             | 🎓        | chunks=['u', 'ni', 'ver', 'si', 'ty'] | py=ㄧㄨ-ㄋㄧ-ㄈㄜ-ㄙㄜ-ㄊㄧ | theme=school | stage=2
