# 字 6500-6999
 6500 | shoot                          | 發射                             | 🏃        | chunks=['sh', 'oot'] | py=ㄒ-ㄨㄊ | theme=actions | stage=2 [有易混提示]
 6512 | soya bean                      | 大豆                             | 🔗        | chunks=['soya', 'bean'] | py=ㄙㄛㄧㄚ-ㄅㄧㄋ | theme=phrasal-verbs | stage=2
 6513 | soy                            | 大豆                             | 🏃        | chunks=['s', 'oy'] | py=ㄝㄙ-ㄛㄧ | theme=actions | stage=2
 6514 | speed                          | 速度、加速                          | 🏃        | chunks=['sp', 'eed'] | py=ㄙㄆ-ㄧㄉ | theme=actions | stage=2 [有易混提示]
 6515 | spelling                       | 拼字                             | 🎲        | chunks=['spel', 'ling'] | py=ㄙㄆㄝㄌ-ㄌㄧㄥ | theme=games | stage=2
 6516 | spot                           | 斑點                             | 🏃        | chunks=['sp', 'ot'] | py=ㄙㄆ-ㄚ | theme=actions | stage=2 [有易混提示]
 6517 | spread                         | 伸展                             | 🏃        | chunks=['spr', 'ead'] | py=ㄙㄆㄖ-ㄧㄉ | theme=actions | stage=2 base=spread [有易混提示]
 6518 | stage                          | 舞臺                             | 🏃        | chunks=['sta', 'ge'] | py=ㄙㄉㄝ-ㄐㄧ | theme=actions | stage=2 [有易混提示]
 6519 | stamp                          | 郵票                             | 🏃        | chunks=['st', 'amp'] | py=ㄙㄊ-ㄚㄇㄆ | theme=actions | stage=2 [有易混提示]
 6520 | standard                       | 標準                             | 🏃        | chunks=['stan', 'dard'] | py=ㄙㄊㄢ-ㄉㄚㄜㄉ | theme=actions | stage=2
 6521 | steal                          | 竊取                             | 🏃        | chunks=['st', 'eal'] | py=ㄙㄊ-ㄧㄌ | theme=actions | stage=2 [有易混提示]
 6522 | steam                          | 蒸汽                             | 🍎        | chunks=['st', 'eam'] | py=ㄙㄊ-ㄧㄇ | theme=food | stage=2 [有易混提示]
 6523 | stick                          | 棒狀物、刺、黏住                       | 🏃        | chunks=['st', 'ick'] | py=ㄙㄊ-ㄧㄎ | theme=actions | stage=2 [有易混提示]
 6524 | stove                          | 火爐                             | 🏃        | chunks=['sto', 've'] | py=ㄙㄉㄛ-ㄈㄜ | theme=actions | stage=2 [有易混提示]
 6525 | strict                         | 嚴格的                            | 🎨        | chunks=['str', 'ict'] | py=ㄙㄊㄖ-ㄧㄎㄊ | theme=adjectives | stage=2
 6526 | string                         | 細繩                             | 🔨        | chunks=['str', 'ing'] | py=ㄙㄊㄖ-ㄧㄥ | theme=tools | stage=2 [有易混提示]
 6527 | struggle                       | 奮鬥                             | 🏃        | chunks=['strug', 'gle'] | py=ㄙㄊㄖㄚㄍ-ㄍㄜ | theme=actions | stage=2
 6528 | succeed                        | 成功、繼承                          | 🏃        | chunks=['suc', 'ceed'] | py=ㄙㄜㄎ-ㄙㄧㄉ | theme=actions | stage=2 [有易混提示]
 6529 | success                        | 成就                             | ✅        | chunks=['suc', 'cess'] | py=ㄙㄜㄎ-ㄙㄝㄙ | theme=actions | stage=2 base=succeed
 6530 | successful                     | 成功的                            | 🎨        | chunks=['suc', 'ces', 'sful'] | py=ㄙㄜㄎ-ㄙㄝㄙ-ㄈㄜ | theme=adjectives | stage=2 base=success
 6531 | surface                        | 表面                             | 🏃        | chunks=['sur', 'fa', 'ce'] | py=ㄙㄜ-ㄈㄚ-ㄙㄜ | theme=actions | stage=2
 6532 | swallow                        | 燕子、嚥下                          | 🐾        | chunks=['swal', 'low'] | py=ㄙㄨㄚㄌ-ㄌㄛ | theme=animals | stage=2 [有易混提示]
 6533 | sweep                          | 清掃                             | 🏃        | chunks=['sw', 'eep'] | py=ㄙㄨ-ㄧㄆ | theme=actions | stage=2 [有易混提示]
 6534 | talent                         | 才能                             | 🎨        | chunks=['ta', 'lent'] | py=ㄊㄝ-ㄌㄣㄊ | theme=adjectives | stage=2
 6535 | tank                           | 槽                              | 🏃        | chunks=['t', 'ank'] | py=ㄊㄧ-ㄚㄋㄎ | theme=actions | stage=2 [有易混提示]
 6536 | tasty                          | 美味的                            | 😋        | chunks=['tas', 'ty'] | py=ㄊㄚㄙ-ㄊㄧ | theme=appearance | stage=2 base=taste
 6537 | teenage                        | 青少年時期                          | 🏃        | chunks=['tee', 'na', 'ge'] | py=ㄊㄧ-ㄋㄚ-ㄐㄧ | theme=actions | stage=2
 6538 | teenager                       | 青年                             | 🏃        | chunks=['tee', 'na', 'ger'] | py=ㄊㄧ-ㄋㄚ-ㄍㄜ | theme=actions | stage=2
 6539 | telephone                      | 電話                             | 📞        | chunks=['te', 'lep', 'ho', 'ne'] | py=ㄊㄝ-ㄌㄜ-ㄈㄛㄣ | theme=actions | stage=1
 6540 | television                     | 電視                             | 🎬        | chunks=['te', 'le', 'vi', 'sion'] | py=ㄊㄝ-ㄌㄜ-ㄈㄧ-ㄓㄣ | theme=movies-tv | stage=2
 6541 | tv                             | 電視                             | 🎬        | chunks=['t', 'v'] | py=ㄊㄧ-ㄈㄧ | theme=movies-tv | stage=2
 6542 | tent                           | 帳篷                             | 🏃        | chunks=['t', 'ent'] | py=ㄊㄧ-ㄖㄣㄊ | theme=actions | stage=2 [有易混提示]
 6543 | terrific                       | 極佳的                            | 🎨        | chunks=['ter', 'ri', 'fic'] | py=ㄊㄜ-ㄌㄧ-ㄈㄧㄎ | theme=adjectives | stage=2
 6544 | thief                          | 小偷                             | ⚖️       | chunks=['th', 'ief'] | py=ㄒ-ㄞㄈ | theme=crime | stage=2 [有易混提示]
 6545 | thirsty                        | 口乾的                            | 🎨        | chunks=['thir', 'sty'] | py=ㄙㄜ-ㄙㄊㄧ | theme=adjectives | stage=2 base=thirst
 6546 | thumb                          | 拇指                             | 👍        | chunks=['th', 'umb'] | py=ㄒ-ㄚㄇㄅ | theme=body | stage=2
 6547 | title                          | 標題                             | 🏃        | chunks=['tit', 'le'] | py=ㄊㄧㄊ-ㄌㄧ | theme=actions | stage=2
 6548 | tofu                           | 豆腐                             | 🏃        | chunks=['to', 'fu'] | py=ㄊㄛ-ㄈㄧㄨ | theme=actions | stage=2 [有易混提示]
 6549 | bean curd                      | 豆腐                             | 🔗        | chunks=['bean', 'curd'] | py=ㄅㄧㄋ-ㄎㄜㄉ | theme=phrasal-verbs | stage=2
 6550 | tower                          | 高樓                             | 🗼        | chunks=['to', 'wer'] | py=ㄊㄛ-ㄜ | theme=appearance | stage=2 [有易混提示]
 6551 | track                          | 足跡、追蹤                          | 👣        | chunks=['tr', 'ack'] | py=ㄊㄖ-ㄚ | theme=internet | stage=2 [有易混提示]
 6552 | traffic                        | 交通                             | 🚗        | chunks=['traf', 'fic'] | py=ㄊㄌㄚ-ㄈㄧㄎ | theme=transportation | stage=2
 6553 | trap                           | 陷阱                             | 🏃        | chunks=['tr', 'ap'] | py=ㄊㄖ-ㄚ | theme=actions | stage=2 [有易混提示]
 6554 | travel                         | 旅行                             | ✈️       | chunks=['tra', 'vel'] | py=ㄊㄌㄚ-ㄈㄜ | theme=travel | stage=2
 6555 | trick                          | 詭計、哄騙                          | 🏃        | chunks=['tr', 'ick'] | py=ㄊㄖ-ㄧㄎ | theme=actions | stage=2 [有易混提示]
 6556 | tube                           | 管                              | 🏃        | chunks=['tu', 'be'] | py=ㄑㄨ-ㄅㄧ | theme=actions | stage=2 [有易混提示]
 6557 | tunnel                         | 隧道                             | 🏃        | chunks=['tun', 'nel'] | py=ㄑㄜ-ㄋㄜ | theme=actions | stage=2
 6558 | umbrella                       | 雨傘                             | ☂️       | chunks=['um', 'brel', 'la'] | py=ㄜㄇ-ㄅㄖㄝㄌ-ㄌㄚ | theme=weather | stage=2
 6559 | upon                           | 在……之上                          | 🏃        | chunks=['u', 'pon'] | py=ㄜ-ㄆㄚㄣ | theme=sight-words | stage=2
 6560 | upper                          | 上面的                            | 🎨        | chunks=['up', 'per'] | py=ㄚㄆ-ㄆㄜ | theme=adjectives | stage=2
 6561 | used                           | 舊的                             | 🎨        | chunks=['u', 'sed'] | py=ㄧㄨ-ㄙㄝㄉ | theme=adjectives | stage=2 base=use [有易混提示]
 6562 | user                           | 使用者                            | 👨‍⚕️     | chunks=['u', 'ser'] | py=ㄧㄨ-ㄗㄜ | theme=jobs | stage=2 base=use
 6563 | usual                          | 平常的                            | 🎨        | chunks=['u', 'sual'] | py=ㄧㄨ-ㄙㄚㄚㄌ | theme=adjectives | stage=2
 6564 | video                          | 影片                             | 🌐        | chunks=['vi', 'deo'] | py=ㄈㄞ-ㄉㄝㄛ | theme=internet | stage=2 [有易混提示]
 6565 | visitor                        | 參觀者                            | 👨‍⚕️     | chunks=['vi', 'si', 'tor'] | py=ㄈㄞ-ㄗㄜ-ㄊㄜ | theme=jobs | stage=2 base=visit
 6566 | wed                            | 結婚                             | 💞        | chunks=['w', 'ed'] | py=ㄨ-ㄝㄉ | theme=relationships | stage=2 [有易混提示]
 6567 | wheel                          | 輪子                             | 🏃        | chunks=['wh', 'eel'] | py=ㄨ-ㄧㄌ | theme=actions | stage=2 [有易混提示]
 6568 | whisper                        | 耳語                             | 🏃        | chunks=['whis', 'per'] | py=ㄨㄧㄙ-ㄆㄜ | theme=actions | stage=2 [有易混提示]
 6569 | widen                          | 擴大                             | 🏃        | chunks=['wi', 'den'] | py=ㄨㄧ-ㄉㄣ | theme=actions | stage=2 base=wide
 6570 | wild                           | 野生的                            | 🎨        | chunks=['w', 'ild'] | py=ㄨ-ㄧㄌㄉ | theme=adjectives | stage=2 [有易混提示]
 6571 | willing                        | 願意的                            | 🎨        | chunks=['wil', 'ling'] | py=ㄨㄧㄌ-ㄌㄧㄥ | theme=adjectives | stage=2
 6572 | wing                           | 翅膀                             | 🏃        | chunks=['w', 'ing'] | py=ㄨ-ㄧㄥ | theme=actions | stage=2 [有易混提示]
 6573 | wonder                         | 想知道、奇蹟                         | 🏃        | chunks=['won', 'der'] | py=ㄨㄛㄋ-ㄉㄜ | theme=actions | stage=2 [有易混提示]
 6574 | wonderful                      | 極好的                            | 🎨        | chunks=['won', 'der', 'ful'] | py=ㄨㄛㄋ-ㄉㄜ-ㄈㄜ | theme=adjectives | stage=2 base=wonder
 6575 | wooden                         | 木製的                            | 🎨        | chunks=['woo', 'den'] | py=ㄨㄨ-ㄉㄜㄣ | theme=adjectives | stage=2
 6576 | worth                          | 有價值                            | 🏃        | chunks=['w', 'orth'] | py=ㄨ-ㄛㄜㄒ | theme=actions | stage=2
 6577 | wound                          | 傷口                             | 🏃        | chunks=['w', 'ound'] | py=ㄨ-ㄠㄋㄉ | theme=actions | stage=2 [有易混提示]
 6578 | aboard                         | 在船上                            | 🚗        | chunks=['a', 'board'] | py=ㄜ-ㄅㄛㄦㄉ | theme=transportation | stage=2
 6579 | acceptable                     | 可接受的                           | 🎨        | chunks=['ac', 'cep', 'tab', 'le'] | py=ㄚㄎ-ㄙㄝㄆ-ㄊㄚ-ㄌㄧ | theme=adjectives | stage=2 base=accept
 6580 | achievement                    | 成就                             | 🎨        | chunks=['ac', 'hie', 've', 'ment'] | py=ㄚㄎ-ㄏㄞ-ㄈㄜ-ㄇㄣㄊ | theme=adjectives | stage=2 base=achieve
 6581 | activity                       | 活力                             | 🎓        | chunks=['ac', 'ti', 'vi', 'ty'] | py=ㄚㄎ-ㄊㄜ-ㄈㄞ-ㄊㄧ | theme=academic-words | stage=2
 6582 | actual                         | 實際的                            | 🎨        | chunks=['ac', 'tual'] | py=ㄚㄎ-ㄊㄚㄚㄌ | theme=adjectives | stage=2
 6583 | additional                     | 額外的，附加的                        | 🎨        | chunks=['ad', 'di', 'tio', 'nal'] | py=ㄚㄉ-ㄉㄧ-ㄒㄛ-ㄋㄦ | theme=adjectives | stage=2 base=addition
 6584 | admire                         | 欽佩                             | 🏃        | chunks=['ad', 'mi', 're'] | py=ㄚㄉ-ㄇㄞ-ㄌㄧ | theme=actions | stage=2
 6585 | admit                          | 承認、坦承                          | 🏃        | chunks=['ad', 'mit'] | py=ㄚㄉ-ㄇㄧㄊ | theme=actions | stage=2
 6586 | adopt                          | 採取                             | 🏃        | chunks=['a', 'dopt'] | py=ㄜ-ㄉㄛㄆㄊ | theme=actions | stage=2 [有易混提示]
 6587 | advanced                       | 先進的                            | 🎨        | chunks=['ad', 'van', 'ced'] | py=ㄚㄉ-ㄈㄚㄣ-ㄙㄉ | theme=adjectives | stage=2
 6588 | advantage                      | 優點，優勢                          | 🏃        | chunks=['ad', 'van', 'ta', 'ge'] | py=ㄚㄉ-ㄈㄚㄣ-ㄊㄝ-ㄐㄧ | theme=actions | stage=2
 6589 | advertise                      | 為…做廣告                          | 📰        | chunks=['ad', 'ver', 'ti', 'se'] | py=ㄚㄉ-ㄈㄜ-ㄊㄜ-ㄙㄜ | theme=media | stage=2
 6590 | advice                         | 勸告，忠告                          | 🏃        | chunks=['ad', 'vi', 'ce'] | py=ㄚㄉ-ㄈㄞ-ㄙㄜ | theme=actions | stage=2 [有易混提示]
 6591 | advise                         | 勸告，忠告                          | 🏃        | chunks=['ad', 'vi', 'se'] | py=ㄚㄉ-ㄈㄞ-ㄙㄜ | theme=actions | stage=2 [有易混提示]
 6592 | adviser                        | 顧問                             | 🧑‍💼      | chunks=['ad', 'vi', 'ser'] | py=ㄚㄉ-ㄈㄞ-ㄗㄜ | theme=jobs-advanced | stage=2 base=advise
 6593 | afford                         | 買得起                            | 🏃        | chunks=['af', 'ford'] | py=ㄚㄈ-ㄈㄛㄜㄉ | theme=actions | stage=2
 6594 | air-conditioner                | 冷氣機                            | 🔨        | chunks=['air', 'conditioner'] | py=ㄟㄦ-ㄎㄛㄋㄉㄧㄒㄣㄜ | theme=tools | stage=2
 6595 | amaze                          | 使大為驚奇                          | 🏃        | chunks=['a', 'ma', 'ze'] | py=ㄜ-ㄇㄚ-ㄗㄧ | theme=actions | stage=2
 6596 | amazement                      | 驚奇，詫異                          | 🎨        | chunks=['a', 'ma', 'ze', 'ment'] | py=ㄜ-ㄇㄚ-ㄗㄧ-ㄇㄣㄊ | theme=adjectives | stage=2 base=amaze
 6597 | ambition                       | 雄心，抱負，野心                       | 🎓        | chunks=['am', 'bi', 'tion'] | py=ㄚㄇ-ㄅㄞ-ㄒㄣ | theme=academic-words | stage=2
 6598 | announce                       | 宣布，發布，通知                       | 📢        | chunks=['an', 'noun', 'ce'] | py=ㄜ-ㄋㄠㄣㄙ | theme=materials | stage=2
 6599 | announcement                   | 宣告                             | 🎨        | chunks=['an', 'noun', 'ce', 'ment'] | py=ㄜ-ㄋㄠㄣㄙ-ㄇㄣㄊ | theme=adjectives | stage=2 base=announce
 6600 | approve                        | 贊成，同意                          | 🏃        | chunks=['ap', 'pro', 've'] | py=ㄜ-ㄆㄖㄨㄈ | theme=actions | stage=2
 6601 | arithmetic                     | 算術，計算                          | 🎨        | chunks=['a', 'rit', 'hme', 'tic'] | py=ㄜ-ㄌㄝㄊ-ㄏㄇㄝ-ㄊㄧㄎ | theme=adjectives | stage=2
 6602 | attract                        | 吸引                             | 🏃        | chunks=['at', 'tract'] | py=ㄚ-ㄊㄌㄚㄎㄊ | theme=actions | stage=2
 6603 | automatic                      | 自動的                            | 🎨        | chunks=['au', 'to', 'ma', 'tic'] | py=ㄛ-ㄊㄛ-ㄇㄚ-ㄊㄧㄎ | theme=adjectives | stage=2
 6604 | automobile                     | 汽車                             | 🚗        | chunks=['au', 'to', 'mo', 'bi', 'le'] | py=ㄛ-ㄊㄜ-ㄇㄜ-ㄅㄧㄦ | theme=transportation | stage=3
 6605 | awake                          | 喚醒、醒來、醒著的                      | 🎨        | chunks=['a', 'wa', 'ke'] | py=ㄜ-ㄨㄛ-ㄎㄟ | theme=adjectives | stage=2
 6606 | awaken                         | 醒                              | 🏃        | chunks=['a', 'wa', 'ken'] | py=ㄜ-ㄨㄛ-ㄎㄣ | theme=actions | stage=2 base=awake
 6607 | award                          | 授予，給予獎                         | 🏃        | chunks=['a', 'ward'] | py=ㄜ-ㄨㄜㄉ | theme=actions | stage=2
 6608 | awful                          | 可怕的，嚇人的                        | 🎨        | chunks=['aw', 'ful'] | py=ㄛ-ㄈㄜ | theme=adjectives | stage=2 base=awe
 6609 | ax                             | 斧                              | 🏃        | chunks=['a', 'x'] | py=ㄜ-ㄝㄎㄙ | theme=actions | stage=2
 6610 | badly                          | 嚴重地、糟糕地                        | 👎        | chunks=['bad', 'ly'] | py=ㄅㄚㄉ-ㄌㄧ | theme=sight-words | stage=2 base=bad
 6611 | bait                           | 餌                              | 🏃        | chunks=['b', 'ait'] | py=ㄅㄧ-ㄟㄊ | theme=actions | stage=2 [有易混提示]
 6612 | bang                           | 砰的一聲、猛擊                        | 💥        | chunks=['b', 'ang'] | py=ㄅㄧ-ㄚㄥ | theme=actions | stage=2 [有易混提示]
 6613 | bare                           | 赤裸的                            | 🎨        | chunks=['ba', 're'] | py=ㄅㄟ-ㄌㄧ | theme=adjectives | stage=2 [有易混提示]
 6614 | barn                           | 穀倉                             | 🏃        | chunks=['b', 'arn'] | py=ㄅㄧ-ㄚㄜㄋ | theme=actions | stage=2 [有易混提示]
 6615 | barrel                         | 大桶                             | 🏃        | chunks=['bar', 'rel'] | py=ㄅㄚㄦ-ㄌㄝ | theme=home-items | stage=2
 6616 | beast                          | 野獸                             | 🏃        | chunks=['b', 'east'] | py=ㄅㄧ-ㄧㄙㄊ | theme=actions | stage=2 [有易混提示]
 6617 | beggar                         | 乞丐                             | 🏃        | chunks=['beg', 'gar'] | py=ㄅㄝㄍ-ㄍㄚㄦ | theme=actions | stage=2
 6618 | behave                         | 表現                             | 🏃        | chunks=['be', 'ha', 've'] | py=ㄅㄧ-ㄏㄜ-ㄈㄜ | theme=actions | stage=2
 6619 | being                          | 存在，生命                          | 🏃        | chunks=['b', 'eing'] | py=ㄅㄧ-ㄝㄥ | theme=actions | stage=2
 6620 | biscuit                        | 餅乾，小麵包                         | 🍎        | chunks=['bis', 'cuit'] | py=ㄅㄧㄙ-ㄎㄜㄊ | theme=food | stage=2
 6621 | blame                          | 責備，指責                          | 🏃        | chunks=['bla', 'me'] | py=ㄅㄌㄟ-ㄇㄝ | theme=actions | stage=2
 6622 | bleed                          | 流血，出血                          | 🏃        | chunks=['bl', 'eed'] | py=ㄅㄌ-ㄧㄉ | theme=actions | stage=2
 6623 | bless                          | 保佑，庇護                          | 🏃        | chunks=['bl', 'ess'] | py=ㄅㄌ-ㄊㄝㄙ | theme=actions | stage=2 [有易混提示]
 6624 | boot                           | 靴                              | 👕        | chunks=['b', 'oot'] | py=ㄅㄧ-ㄨㄊ | theme=clothing | stage=2 [有易混提示]
 6625 | brake                          | 煞車                             | 🏃        | chunks=['bra', 'ke'] | py=ㄅㄌㄚ-ㄎㄟ | theme=actions | stage=2 [有易混提示]
 6626 | brass                          | 黃銅                             | 🪨        | chunks=['br', 'ass'] | py=ㄅㄖ-ㄚㄙㄙ | theme=materials | stage=2
 6627 | bravery                        | 勇敢，勇氣                          | 🦁        | chunks=['bra', 've', 'ry'] | py=ㄅㄌㄚ-ㄈㄜ-ㄌㄧ | theme=personality | stage=2
 6628 | breath                         | 呼吸，氣息                          | 🏃        | chunks=['br', 'eath'] | py=ㄅㄖ-ㄧㄒ | theme=actions | stage=2 [有易混提示]
 6629 | breathe                        | 呼吸呼出                           | 🏃        | chunks=['breat', 'he'] | py=ㄅㄖㄧㄊ-ㄏㄝ | theme=actions | stage=2 [有易混提示]
 6630 | brook                          | 小河，小溪                          | 🌳        | chunks=['br', 'ook'] | py=ㄅㄖ-ㄨㄎ | theme=nature | stage=2
 6631 | bud                            | 芽                              | 🏃        | chunks=['b', 'ud'] | py=ㄅㄧ-ㄚㄉ | theme=actions | stage=2
 6632 | buffalo                        | 水牛                             | 🐃        | chunks=['buf', 'fa', 'lo'] | py=ㄅㄚ-ㄈㄚ-ㄌㄛ | theme=animals | stage=2
 6633 | bullet                         | 子彈                             | 🏃        | chunks=['bul', 'let'] | py=ㄅㄨ-ㄌㄝㄊ | theme=actions | stage=2
 6634 | bump                           | 碰，撞                            | 🏃        | chunks=['b', 'ump'] | py=ㄅㄧ-ㄚㄇㄆ | theme=actions | stage=2
 6635 | bunch                          | 串，束                            | 🏃        | chunks=['b', 'unch'] | py=ㄅㄧ-ㄚㄋㄔ | theme=actions | stage=2
 6636 | burden                         | 重擔                             | 🏃        | chunks=['bur', 'den'] | py=ㄅㄜ-ㄉㄣ | theme=actions | stage=2
 6637 | burglar                        | 破門盜竊者，夜賊                       | 🛋️       | chunks=['bur', 'glar'] | py=ㄅㄜ-ㄍㄌㄚㄜ | theme=home-items | stage=2
 6638 | bury                           | 埋葬，安葬                          | 🏃        | chunks=['bu', 'ry'] | py=ㄅㄧㄨ-ㄌㄧ | theme=actions | stage=2 [有易混提示]
 6639 | buzz                           | 嗡嗡叫                            | 🏃        | chunks=['b', 'uzz'] | py=ㄅㄧ-ㄚㄗㄗ | theme=actions | stage=2
 6640 | cabin                          | 客艙                             | 🏃        | chunks=['ca', 'bin'] | py=ㄎㄚ-ㄅㄧㄥ | theme=actions | stage=2
 6641 | campus                         | 校園                             | 🏃        | chunks=['cam', 'pus'] | py=ㄎㄚㄇ-ㄆㄚㄙ | theme=school | stage=2
 6642 | capture                        | 捕獲                             | 🎓        | chunks=['cap', 'tu', 're'] | py=ㄎㄚㄆ-ㄑㄨ-ㄌㄧ | theme=academic-words | stage=2
 6643 | cattle                         | 牛群                             | 🐾        | chunks=['cat', 'tle'] | py=ㄎㄚ-ㄉㄜ | theme=animals | stage=2
 6644 | celebrate                      | 慶祝                             | 🎉        | chunks=['ce', 'leb', 'ra', 'te'] | py=ㄙㄜ-ㄌㄝㄅ-ㄌㄚ-ㄊㄧ | theme=events | stage=2
 6645 | centimeter                     | 公分                             | 🏃        | chunks=['cen', 'ti', 'me', 'ter'] | py=ㄙㄝㄣ-ㄊㄜ-ㄇㄝ-ㄊㄜ | theme=actions | stage=2
 6646 | changeable                     | 易變的                            | 🎨        | chunks=['chan', 'geab', 'le'] | py=ㄑㄚ-ㄍㄧㄅ-ㄌㄧ | theme=adjectives | stage=2 base=change
 6647 | charm                          | 魅力                             | 🏃        | chunks=['ch', 'arm'] | py=ㄔ-ㄚㄦㄇ | theme=actions | stage=2
 6648 | chat                           | 閒談，聊天                          | 🏃        | chunks=['ch', 'at'] | py=ㄔ-ㄚ | theme=actions | stage=2 [有易混提示]
 6649 | chew                           | 咀嚼                             | 🏃        | chunks=['ch', 'ew'] | py=ㄔ-ㄩ | theme=actions | stage=2
 6650 | childhood                      | 幼年時期                           | 🎓        | chunks=['chil', 'dhood'] | py=ㄑㄧ-ㄉㄏㄨㄉ | theme=academic-words | stage=2
 6651 | chill                          | 寒冷                             | 🥶        | chunks=['ch', 'ill'] | py=ㄔ-ㄧㄦ | theme=weather | stage=2
 6652 | chip                           | 碎片                             | 🏃        | chunks=['ch', 'ip'] | py=ㄔ-ㄌㄧㄆ | theme=actions | stage=2 [有易混提示]
 6653 | chop                           | 砍，劈，斬                          | 🏃        | chunks=['ch', 'op'] | py=ㄔ-ㄚㄆ | theme=actions | stage=2 [有易混提示]
 6654 | cigarette                      | 香煙                             | 🏃        | chunks=['ci', 'ga', 'ret', 'te'] | py=ㄙㄜ-ㄍㄚ-ㄌㄝㄊ-ㄊㄧ | theme=actions | stage=2
 6655 | click                          | 卡嗒聲發出卡嗒聲                       | 🏃        | chunks=['cl', 'ick'] | py=ㄎㄌ-ㄧㄎ | theme=actions | stage=2
 6656 | clip                           | 剪                              | 🏃        | chunks=['cl', 'ip'] | py=ㄎㄌ-ㄌㄧㄆ | theme=actions | stage=2 [有易混提示]
 6657 | clue                           | 線索，跡象                          | 🔍        | chunks=['cl', 'ue'] | py=ㄎㄌ-ㄑㄨ | theme=academic-words | stage=2 [有易混提示]
 6658 | collection                     | 收集                             | 🎓        | chunks=['col', 'lec', 'tion'] | py=ㄎㄚ-ㄌㄝㄎ-ㄒㄣ | theme=academic-words | stage=2 base=collect
 6659 | colony                         | 殖民地                            | 🎨        | chunks=['co', 'lo', 'ny'] | py=ㄎㄛ-ㄌㄛ-ㄋㄧ | theme=adjectives | stage=2
 6660 | combine                        | 結合                             | 🎨        | chunks=['com', 'bi', 'ne'] | py=ㄎㄜㄇ-ㄅㄞㄣ | theme=adjectives | stage=2
 6661 | comma                          | 逗號                             | 🏃        | chunks=['com', 'ma'] | py=ㄎㄚㄇ-ㄇㄚ | theme=actions | stage=2
 6662 | command                        | 命令                             | 🏃        | chunks=['com', 'mand'] | py=ㄎㄚㄇ-ㄇㄚㄣㄉ | theme=actions | stage=2
 6663 | commercial                     | 電視廣告商業的                        | 🎬        | chunks=['com', 'mer', 'cial'] | py=ㄎㄚㄇ-ㄇㄜ-ㄒㄦ | theme=movies-tv | stage=2
 6664 | committee                      | 委員會                            | 🏃        | chunks=['com', 'mit', 'tee'] | py=ㄎㄚㄇ-ㄇㄧㄊ-ㄊㄧ | theme=actions | stage=2
 6665 | comparison                     | 比較                             | 🏃        | chunks=['com', 'pa', 'ri', 'son'] | py=ㄎㄜㄇ-ㄆㄝ-ㄌㄜ-ㄙㄣ | theme=actions | stage=2 base=compare
 6666 | compete                        | 競爭                             | 🏃        | chunks=['com', 'pe', 'te'] | py=ㄎㄜㄇ-ㄆㄧㄊ | theme=actions | stage=2
 6667 | complaint                      | 抱怨                             | 🏃        | chunks=['com', 'plaint'] | py=ㄎㄜㄇ-ㄆㄌㄟㄣㄊ | theme=actions | stage=2
 6668 | concern                        | 關於                             | 🏃        | chunks=['con', 'cern'] | py=ㄎㄚㄣ-ㄙㄜㄣ | theme=sight-words | stage=2
 6669 | confuse                        | 使…困惑                           | 🏃        | chunks=['con', 'fu', 'se'] | py=ㄎㄚㄣ-ㄈㄧㄨ-ㄙㄜ | theme=actions | stage=2
