# 字 0-1499
    0 | bedtime                        | 就寢時間                           | 🛏️🕘      | chunks=['bed', 'time'] | py=ㄅㄝㄉ-ㄊㄞㄇ | theme=phonics-compound | stage=0
   22 | morning                        | 早上                             | 🌅        | chunks=['mor', 'ning'] | py=ㄇㄛ-ㄋㄧㄥ | theme=time | stage=0
   23 | today                          | 今天                             | 📅        | chunks=['to', 'day'] | py=ㄊㄨ-ㄉㄟ | theme=time | stage=0
   24 | tomorrow                       | 明天                             | 📅➡️      | chunks=['to', 'mor', 'row'] | py=ㄊㄨ-ㄇㄚ-ㄖㄡ | theme=time | stage=0
   25 | week                           | 一週                             | 📆        | chunks=['w', 'eek'] | py=ㄨㄧㄎ | theme=time | stage=0 [有易混提示]
   26 | month                          | 月份                             | 📅        | chunks=['m', 'onth'] | py=ㄇㄢㄙ | theme=time | stage=0
   27 | year                           | 年                              | 🗓️       | chunks=['y', 'ear'] | py=ㄧㄦ | theme=time | stage=0
   28 | hour                           | 小時                             | ⏰        | chunks=['h', 'our'] | py=ㄠㄦ | theme=time | stage=0 [有易混提示]
   29 | minute                         | 分鐘                             | ⏱️       | chunks=['mi', 'nute'] | py=ㄇㄧ-ㄋㄧㄊ | theme=time | stage=0
   30 | mom                            | 媽媽                             | 👩        | chunks=['m', 'om'] | py=ㄇㄚㄇ | theme=family | stage=0
   31 | dad                            | 爸爸                             | 👨        | chunks=['d', 'ad'] | py=ㄉㄝㄉ | theme=family | stage=0
   32 | family                         | 家庭                             | 👨‍👩‍👧    | chunks=['fa', 'mi', 'ly'] | py=ㄈㄝ-ㄇㄧ-ㄌㄧ | theme=family | stage=0
   33 | brother                        | 兄弟                             | 👦        | chunks=['bro', 'ther'] | py=ㄅㄖㄚ-ㄉㄜ | theme=family | stage=0
   34 | sister                         | 姊妹                             | 👧        | chunks=['sis', 'ter'] | py=ㄒㄧㄙ-ㄊㄜ | theme=family | stage=0
   35 | baby                           | 嬰兒                             | 👶        | chunks=['ba', 'by'] | py=ㄅㄟ-ㄅㄧ | theme=family | stage=0
   36 | friend                         | 朋友                             | 🧑‍🤝‍🧑    | chunks=['fr', 'iend'] | py=ㄈㄖㄝㄣㄉ | theme=family | stage=0
   37 | boy                            | 男孩                             | 👦        | chunks=['b', 'oy'] | py=ㄅㄛㄧ | theme=family | stage=0
   38 | girl                           | 女孩                             | 👧        | chunks=['g', 'irl'] | py=ㄍㄦ | theme=family | stage=0
   39 | kid                            | 小孩                             | 🧒        | chunks=['k', 'id'] | py=ㄎㄧㄉ | theme=family | stage=0
   40 | head                           | 頭                              | 🗣️       | chunks=['h', 'ead'] | py=ㄏㄝㄉ | theme=body | stage=0
   41 | hand                           | 手                              | ✋        | chunks=['h', 'and'] | py=ㄏㄝㄣㄉ | theme=body | stage=0
   42 | foot                           | 腳                              | 🦶        | chunks=['f', 'oot'] | py=ㄈㄨㄊ | theme=body | stage=0
   43 | eye                            | 眼睛                             | 👁️       | chunks=['eye'] | py=ㄞ | theme=body | stage=0 [有易混提示]
   44 | ear                            | 耳朵                             | 👂        | chunks=['ear'] | py=ㄧㄦ | theme=body | stage=0
   45 | nose                           | 鼻子                             | 👃        | chunks=['n', 'ose'] | py=ㄋㄡㄗ | theme=body | stage=0
   46 | mouth                          | 嘴巴                             | 👄        | chunks=['m', 'outh'] | py=ㄇㄠㄙ | theme=body | stage=0
   47 | hair                           | 頭髮                             | 💇        | chunks=['h', 'air'] | py=ㄏㄟㄦ | theme=body | stage=0
   48 | arm                            | 手臂                             | 💪        | chunks=['arm'] | py=ㄚㄦㄇ | theme=body | stage=0
   49 | leg                            | 腿                              | 🦵        | chunks=['l', 'eg'] | py=ㄌㄝㄍ | theme=body | stage=0
   50 | red                            | 紅色                             | 🔴        | chunks=['r', 'ed'] | py=ㄖㄝㄉ | theme=colors | stage=0 [有易混提示]
   51 | blue                           | 藍色                             | 🔵        | chunks=['bl', 'ue'] | py=ㄅㄌㄨ | theme=colors | stage=0 [有易混提示]
   52 | green                          | 綠色                             | 🟢        | chunks=['gr', 'een'] | py=ㄍㄖㄧㄣ | theme=colors | stage=0
   53 | yellow                         | 黃色                             | 🟡        | chunks=['yel', 'low'] | py=ㄧㄝ-ㄌㄡ | theme=colors | stage=0
   54 | black                          | 黑色                             | ⚫        | chunks=['bl', 'ack'] | py=ㄅㄌㄝㄎ | theme=colors | stage=0
   55 | white                          | 白色                             | ⚪        | chunks=['wh', 'ite'] | py=ㄨㄞㄊ | theme=colors | stage=0
   56 | pink                           | 粉紅色                            | 🩷        | chunks=['p', 'ink'] | py=ㄆㄧㄣㄎ | theme=colors | stage=0
   57 | orange                         | 橘色、柳橙                          | 🟠        | chunks=['o', 'range'] | py=ㄛ-ㄖㄣㄐ | theme=colors | stage=0
   58 | purple                         | 紫色                             | 🟣        | chunks=['pur', 'ple'] | py=ㄆㄦ-ㄆㄛ | theme=colors | stage=0
   59 | brown                          | 棕色                             | 🟤        | chunks=['br', 'own'] | py=ㄅㄖㄠㄣ | theme=colors | stage=0
   60 | apple                          | 蘋果                             | 🍎        | chunks=['ap', 'ple'] | py=ㄝ-ㄆㄛ | theme=food | stage=0
   61 | banana                         | 香蕉                             | 🍌        | chunks=['ba', 'na', 'na'] | py=ㄅㄜ-ㄋㄝ-ㄋㄚ | theme=food | stage=0
   62 | milk                           | 牛奶                             | 🥛        | chunks=['m', 'ilk'] | py=ㄇㄧㄛㄎ | theme=food | stage=0
   63 | water                          | 水                              | 💧        | chunks=['wa', 'ter'] | py=ㄨㄚ-ㄊㄦ | theme=food | stage=0
   64 | bread                          | 麵包                             | 🍞        | chunks=['br', 'ead'] | py=ㄅㄖㄝㄉ | theme=food | stage=0
   65 | cake                           | 蛋糕                             | 🍰        | chunks=['c', 'ake'] | py=ㄎㄟㄎ | theme=food | stage=0
   66 | rice                           | 米飯                             | 🍚        | chunks=['r', 'ice'] | py=ㄖㄞㄙ | theme=food | stage=0
   67 | fish                           | 魚                              | 🐟        | chunks=['f', 'ish'] | py=ㄈㄧㄒ | theme=food | stage=0
   68 | meat                           | 肉                              | 🍖        | chunks=['m', 'eat'] | py=ㄇㄧㄊ | theme=food | stage=0 [有易混提示]
   69 | egg                            | 蛋                              | 🥚        | chunks=['e', 'gg'] | py=ㄝㄍ | theme=food | stage=0
   70 | pizza                          | 披薩                             | 🍕        | chunks=['piz', 'za'] | py=ㄆㄧ-ㄗㄚ | theme=food | stage=0
   71 | juice                          | 果汁                             | 🧃        | chunks=['j', 'uice'] | py=ㄐㄨㄙ | theme=food | stage=0
   72 | tea                            | 茶                              | 🍵        | chunks=['t', 'ea'] | py=ㄊㄧ | theme=food | stage=0
   73 | soup                           | 湯                              | 🍲        | chunks=['s', 'oup'] | py=ㄙㄨㄆ | theme=food | stage=0
   74 | cheese                         | 起司                             | 🧀        | chunks=['ch', 'eese'] | py=ㄔㄧㄗ | theme=food | stage=0
   75 | cat                            | 貓                              | 🐱        | chunks=['c', 'at'] | py=ㄎㄝㄊ | theme=animals | stage=0
   76 | dog                            | 狗                              | 🐶        | chunks=['d', 'og'] | py=ㄉㄚㄍ | theme=animals | stage=0
   77 | bird                           | 鳥                              | 🐦        | chunks=['b', 'ird'] | py=ㄅㄦㄉ | theme=animals | stage=0
   78 | cow                            | 牛                              | 🐮        | chunks=['c', 'ow'] | py=ㄎㄠ | theme=animals | stage=0
   79 | pig                            | 豬                              | 🐷        | chunks=['p', 'ig'] | py=ㄆㄧㄍ | theme=animals | stage=0
   80 | sheep                          | 綿羊                             | 🐑        | chunks=['sh', 'eep'] | py=ㄒㄧㄆ | theme=animals | stage=0
   81 | horse                          | 馬                              | 🐴        | chunks=['h', 'orse'] | py=ㄏㄛㄙ | theme=animals | stage=0
   82 | mouse                          | 老鼠                             | 🐭        | chunks=['m', 'ouse'] | py=ㄇㄠㄙ | theme=animals | stage=0
   83 | rabbit                         | 兔子                             | 🐰        | chunks=['rab', 'bit'] | py=ㄖㄝ-ㄅㄧㄊ | theme=animals | stage=0
   84 | bear                           | 熊                              | 🐻        | chunks=['b', 'ear'] | py=ㄅㄟㄦ | theme=animals | stage=0 [有易混提示]
   85 | lion                           | 獅子                             | 🦁        | chunks=['li', 'on'] | py=ㄌㄞ-ㄣ | theme=animals | stage=0
   86 | tiger                          | 老虎                             | 🐯        | chunks=['ti', 'ger'] | py=ㄊㄞ-ㄍㄦ | theme=animals | stage=0
   87 | monkey                         | 猴子                             | 🐵        | chunks=['mon', 'key'] | py=ㄇㄢ-ㄎㄧ | theme=animals | stage=0
   88 | duck                           | 鴨子                             | 🦆        | chunks=['d', 'uck'] | py=ㄉㄚㄎ | theme=animals | stage=0
   89 | frog                           | 青蛙                             | 🐸        | chunks=['fr', 'og'] | py=ㄈㄖㄚㄍ | theme=animals | stage=0
   90 | shirt                          | 襯衫                             | 👕        | chunks=['sh', 'irt'] | py=ㄕㄦㄊ | theme=clothing | stage=0
   91 | pants                          | 褲子                             | 👖        | chunks=['p', 'ants'] | py=ㄆㄝㄣㄗ | theme=clothing | stage=0
   92 | hat                            | 帽子                             | 🎩        | chunks=['h', 'at'] | py=ㄏㄝㄊ | theme=clothing | stage=0
   93 | shoes                          | 鞋子                             | 👟        | chunks=['sh', 'oes'] | py=ㄕㄨㄗ | theme=clothing | stage=0
   94 | socks                          | 襪子                             | 🧦        | chunks=['s', 'ocks'] | py=ㄙㄚㄎㄙ | theme=clothing | stage=0
   95 | dress                          | 洋裝                             | 👗        | chunks=['dr', 'ess'] | py=ㄉㄖㄝㄙ | theme=clothing | stage=0
   96 | coat                           | 外套                             | 🧥        | chunks=['c', 'oat'] | py=ㄎㄡㄊ | theme=clothing | stage=0
   97 | scarf                          | 圍巾                             | 🧣        | chunks=['sc', 'arf'] | py=ㄙㄎㄚㄈ | theme=clothing | stage=0
   98 | gloves                         | 手套                             | 🧤        | chunks=['gl', 'oves'] | py=ㄍㄌㄚㄈㄗ | theme=clothing | stage=0
   99 | belt                           | 皮帶                             | 🩹        | chunks=['b', 'elt'] | py=ㄅㄝㄛㄊ | theme=clothing | stage=0
  100 | sun                            | 太陽                             | ☀️       | chunks=['s', 'un'] | py=ㄙㄢ | theme=weather | stage=0 [有易混提示]
  101 | rain                           | 雨                              | 🌧️       | chunks=['r', 'ain'] | py=ㄖㄟㄣ | theme=weather | stage=0 [有易混提示]
  102 | snow                           | 雪                              | ❄️       | chunks=['sn', 'ow'] | py=ㄙㄋㄡ | theme=weather | stage=0
  103 | wind                           | 風                              | 💨        | chunks=['w', 'ind'] | py=ㄨㄧㄣㄉ | theme=weather | stage=0
  104 | cloud                          | 雲                              | ☁️       | chunks=['cl', 'oud'] | py=ㄎㄌㄠㄉ | theme=weather | stage=0
  105 | hot                            | 熱                              | 🥵        | chunks=['h', 'ot'] | py=ㄏㄚㄊ | theme=weather | stage=0
  106 | cold                           | 冷                              | 🥶        | chunks=['c', 'old'] | py=ㄎㄡㄉ | theme=weather | stage=0
  107 | warm                           | 溫暖                             | 🌤️       | chunks=['w', 'arm'] | py=ㄨㄛㄦㄇ | theme=weather | stage=0
  108 | ice                            | 冰                              | 🧊        | chunks=['i', 'ce'] | py=ㄞㄙ | theme=weather | stage=0
  109 | storm                          | 暴風雨                            | ⛈️       | chunks=['st', 'orm'] | py=ㄙㄊㄛㄦㄇ | theme=weather | stage=0
  110 | home                           | 家                              | 🏠        | chunks=['h', 'ome'] | py=ㄏㄡㄇ | theme=places | stage=0
  111 | school                         | 學校                             | 🏫        | chunks=['sch', 'ool'] | py=ㄙㄎㄨㄛ | theme=places | stage=0
  112 | park                           | 公園                             | 🏞️       | chunks=['p', 'ark'] | py=ㄆㄚㄦㄎ | theme=places | stage=0
  113 | store                          | 商店                             | 🏪        | chunks=['st', 'ore'] | py=ㄙㄊㄛ | theme=places | stage=0
  114 | road                           | 馬路                             | 🛣️       | chunks=['r', 'oad'] | py=ㄖㄡㄉ | theme=places | stage=0 [有易混提示]
  115 | beach                          | 海灘                             | 🏖️       | chunks=['b', 'each'] | py=ㄅㄧㄔ | theme=places | stage=0
  116 | mountain                       | 山                              | ⛰️       | chunks=['moun', 'tain'] | py=ㄇㄠㄣ-ㄊㄣ | theme=places | stage=0
  117 | river                          | 河                              | 🌊        | chunks=['ri', 'ver'] | py=ㄖㄧ-ㄈㄦ | theme=places | stage=0
  118 | garden                         | 花園                             | 🌷        | chunks=['gar', 'den'] | py=ㄍㄚㄦ-ㄉㄣ | theme=places | stage=0
  119 | kitchen                        | 廚房                             | 🍳        | chunks=['kit', 'chen'] | py=ㄎㄧ-ㄔㄣ | theme=places | stage=0
  120 | run                            | 跑                              | 🏃        | chunks=['r', 'un'] | py=ㄖㄢ | theme=actions | stage=0 base=run
  121 | jump                           | 跳                              | 🤸        | chunks=['j', 'ump'] | py=ㄐㄚㄇㄆ | theme=actions | stage=0
  122 | walk                           | 走                              | 🚶        | chunks=['w', 'alk'] | py=ㄨㄛㄎ | theme=actions | stage=0
  123 | sit                            | 坐                              | 🪑        | chunks=['s', 'it'] | py=ㄒㄧㄊ | theme=actions | stage=0 [有易混提示]
  124 | stand                          | 站                              | 🕴️       | chunks=['st', 'and'] | py=ㄙㄊㄝㄣㄉ | theme=actions | stage=0
  125 | sleep                          | 睡                              | 💤        | chunks=['sl', 'eep'] | py=ㄙㄌㄧㄆ | theme=actions | stage=0
  126 | eat                            | 吃                              | 🍴        | chunks=['e', 'at'] | py=ㄧㄊ | theme=actions | stage=0
  127 | drink                          | 喝                              | 🥤        | chunks=['dr', 'ink'] | py=ㄉㄖㄧㄣㄎ | theme=actions | stage=0
  128 | read                           | 讀                              | 📖        | chunks=['r', 'ead'] | py=ㄖㄧㄉ | theme=actions | stage=0 base=read [有易混提示]
  129 | write                          | 寫                              | ✍️       | chunks=['wr', 'ite'] | py=ㄖㄞㄊ | theme=actions | stage=0 [有易混提示]
  130 | big                            | 大                              | 📏        | chunks=['b', 'ig'] | py=ㄅㄧㄍ | theme=adjectives | stage=0
  131 | small                          | 小                              | 🔬        | chunks=['sm', 'all'] | py=ㄙㄇㄛㄛ | theme=adjectives | stage=0
  132 | tall                           | 高                              | 📐        | chunks=['t', 'all'] | py=ㄊㄛㄛ | theme=adjectives | stage=0
  133 | short                          | 短、矮                            | ↔️       | chunks=['sh', 'ort'] | py=ㄕㄛㄦㄊ | theme=adjectives | stage=0
  134 | fast                           | 快                              | ⚡        | chunks=['f', 'ast'] | py=ㄈㄝㄙㄊ | theme=adjectives | stage=0
  135 | slow                           | 慢                              | 🐢        | chunks=['sl', 'ow'] | py=ㄙㄌㄡ | theme=adjectives | stage=0
  136 | new                            | 新                              | ✨        | chunks=['n', 'ew'] | py=ㄋㄩ | theme=adjectives | stage=0 [有易混提示]
  137 | old                            | 舊、老                            | 👴        | chunks=['o', 'ld'] | py=ㄡㄉ | theme=adjectives | stage=0
  138 | good                           | 好                              | 👍        | chunks=['g', 'ood'] | py=ㄍㄨㄉ | theme=adjectives | stage=0
  139 | bad                            | 壞                              | 👎        | chunks=['b', 'ad'] | py=ㄅㄝㄉ | theme=adjectives | stage=0
  140 | car                            | 汽車                             | 🚗        | chunks=['c', 'ar'] | py=ㄎㄚㄦ | theme=transportation | stage=0
  141 | bus                            | 公車                             | 🚌        | chunks=['b', 'us'] | py=ㄅㄚㄙ | theme=transportation | stage=0
  142 | train                          | 火車                             | 🚂        | chunks=['tr', 'ain'] | py=ㄔㄦㄟㄣ | theme=transportation | stage=0
  143 | plane                          | 飛機                             | ✈️       | chunks=['pl', 'ane'] | py=ㄆㄌㄟㄣ | theme=transportation | stage=0 [有易混提示]
  144 | bike                           | 腳踏車                            | 🚲        | chunks=['b', 'ike'] | py=ㄅㄞㄎ | theme=transportation | stage=0
  145 | boat                           | 船                              | ⛵        | chunks=['b', 'oat'] | py=ㄅㄡㄊ | theme=transportation | stage=0
  146 | taxi                           | 計程車                            | 🚕        | chunks=['tax', 'i'] | py=ㄊㄝㄎ-ㄒㄧ | theme=transportation | stage=0
  147 | truck                          | 卡車                             | 🚚        | chunks=['tr', 'uck'] | py=ㄔㄦㄚㄎ | theme=transportation | stage=0
  148 | ship                           | 輪船                             | 🚢        | chunks=['sh', 'ip'] | py=ㄒㄧㄆ | theme=transportation | stage=0
  149 | subway                         | 地鐵                             | 🚇        | chunks=['sub', 'way'] | py=ㄙㄚㄅ-ㄨㄟ | theme=transportation | stage=0
  150 | happy                          | 開心                             | 😊        | chunks=['hap', 'py'] | py=ㄏㄝ-ㄆㄧ | theme=emotions | stage=0
  151 | sad                            | 難過                             | 😢        | chunks=['s', 'ad'] | py=ㄙㄝㄉ | theme=emotions | stage=0
  152 | angry                          | 生氣                             | 😠        | chunks=['an', 'gry'] | py=ㄝㄣ-ㄍㄖㄧ | theme=emotions | stage=0
  153 | scared                         | 害怕                             | 😨        | chunks=['sc', 'ared'] | py=ㄙㄎㄟㄦㄉ | theme=emotions | stage=0 base=scare
  154 | tired                          | 疲倦                             | 😴        | chunks=['ti', 'red'] | py=ㄊㄞ-ㄖㄉ | theme=emotions | stage=0 base=tire
  155 | excited                        | 興奮                             | 🤩        | chunks=['ex', 'ci', 'ted'] | py=ㄧㄎ-ㄙㄞ-ㄊㄉ | theme=emotions | stage=0 base=excite
  156 | bored                          | 覺得無聊(人)                        | 😑        | chunks=['b', 'ored'] | py=ㄅㄛㄦㄉ | theme=emotions | stage=0 base=bore [有易混提示]
  157 | love                           | 愛                              | ❤️       | chunks=['l', 'ove'] | py=ㄌㄚㄈ | theme=emotions | stage=0
  158 | shy                            | 害羞                             | 😳        | chunks=['sh', 'y'] | py=ㄒㄞ | theme=emotions | stage=0
  159 | smile                          | 微笑                             | 🙂        | chunks=['sm', 'ile'] | py=ㄙㄇㄞㄛ | theme=emotions | stage=0
  160 | pen                            | 筆                              | 🖊️       | chunks=['p', 'en'] | py=ㄆㄝㄣ | theme=school | stage=0
  161 | book                           | 書                              | 📚        | chunks=['b', 'ook'] | py=ㄅㄨㄎ | theme=school | stage=0
  162 | paper                          | 紙                              | 📄        | chunks=['pa', 'per'] | py=ㄆㄟ-ㄆㄜ | theme=school | stage=0
  163 | desk                           | 書桌                             | 🪑        | chunks=['d', 'esk'] | py=ㄉㄝㄙㄎ | theme=school | stage=0
  164 | bag                            | 包包                             | 🎒        | chunks=['b', 'ag'] | py=ㄅㄝㄍ | theme=school | stage=0
  165 | pencil                         | 鉛筆                             | ✏️       | chunks=['pen', 'cil'] | py=ㄆㄝㄣ-ㄙㄛ | theme=school | stage=0
  166 | ruler                          | 尺                              | 📏        | chunks=['ru', 'ler'] | py=ㄖㄨ-ㄌㄜ | theme=school | stage=0 base=rule
  167 | teacher                        | 老師                             | 👨‍🏫      | chunks=['tea', 'cher'] | py=ㄊㄧ-ㄔㄜ | theme=school | stage=0 base=teach
  168 | student                        | 學生                             | 🧑‍🎓      | chunks=['stu', 'dent'] | py=ㄙㄊㄨ-ㄉㄝㄣㄊ | theme=school | stage=0
  169 | class                          | 課堂、班級                          | 🏫        | chunks=['cl', 'ass'] | py=ㄎㄌㄝㄙ | theme=school | stage=0
  170 | bed                            | 床                              | 🛏️       | chunks=['b', 'ed'] | py=ㄅㄝㄉ | theme=home-items | stage=0
  171 | chair                          | 椅子                             | 🪑        | chunks=['ch', 'air'] | py=ㄔㄟㄦ | theme=home-items | stage=0
  172 | table                          | 桌子                             | 🪟        | chunks=['ta', 'ble'] | py=ㄊㄟ-ㄅㄛ | theme=home-items | stage=0
  173 | door                           | 門                              | 🚪        | chunks=['d', 'oor'] | py=ㄉㄛㄦ | theme=home-items | stage=0
  174 | window                         | 窗                              | 🪟        | chunks=['win', 'dow'] | py=ㄨㄧㄣ-ㄉㄡ | theme=home-items | stage=0
  175 | lamp                           | 燈                              | 💡        | chunks=['l', 'amp'] | py=ㄌㄝㄇㄆ | theme=home-items | stage=0
  176 | clock                          | 時鐘                             | 🕐        | chunks=['cl', 'ock'] | py=ㄎㄌㄚㄎ | theme=home-items | stage=0
  177 | mirror                         | 鏡子                             | 🪞        | chunks=['mir', 'ror'] | py=ㄇㄧ-ㄖㄜ | theme=home-items | stage=0
  178 | pillow                         | 枕頭                             | 🛏️       | chunks=['pil', 'low'] | py=ㄆㄧ-ㄌㄡ | theme=home-items | stage=0
  179 | sofa                           | 沙發                             | 🛋️       | chunks=['so', 'fa'] | py=ㄙㄡ-ㄈㄚ | theme=home-items | stage=0
  180 | tree                           | 樹                              | 🌳        | chunks=['tr', 'ee'] | py=ㄔㄦㄧ | theme=nature | stage=0
  181 | flower                         | 花                              | 🌸        | chunks=['flow', 'er'] | py=ㄈㄌㄠ-ㄜ | theme=nature | stage=0 [有易混提示]
  182 | leaf                           | 葉子                             | 🍃        | chunks=['l', 'eaf'] | py=ㄌㄧㄈ | theme=nature | stage=0
  183 | rock                           | 石頭                             | 🪨        | chunks=['r', 'ock'] | py=ㄖㄚㄎ | theme=nature | stage=0
  184 | grass                          | 草                              | 🌱        | chunks=['gr', 'ass'] | py=ㄍㄖㄝㄙ | theme=nature | stage=0
  185 | sand                           | 沙                              | 🏖️       | chunks=['s', 'and'] | py=ㄙㄝㄣㄉ | theme=nature | stage=0
  186 | sky                            | 天空                             | 🌤️       | chunks=['sk', 'y'] | py=ㄙㄎㄞ | theme=nature | stage=0
  187 | star                           | 星星                             | ⭐        | chunks=['st', 'ar'] | py=ㄙㄊㄚㄦ | theme=nature | stage=0
  188 | moon                           | 月亮                             | 🌙        | chunks=['m', 'oon'] | py=ㄇㄨㄣ | theme=nature | stage=0
  189 | earth                          | 地球                             | 🌍        | chunks=['ear', 'th'] | py=ㄜㄦㄙ | theme=nature | stage=0
  190 | doctor                         | 醫生                             | 👨‍⚕️     | chunks=['doc', 'tor'] | py=ㄉㄚㄎ-ㄊㄜ | theme=jobs | stage=0
  191 | nurse                          | 護士                             | 👩‍⚕️     | chunks=['n', 'urse'] | py=ㄋㄦㄙ | theme=jobs | stage=0
  192 | farmer                         | 農夫                             | 🧑‍🌾      | chunks=['far', 'mer'] | py=ㄈㄚㄦ-ㄇㄜ | theme=jobs | stage=0 base=farm
  193 | cook                           | 廚師                             | 👨‍🍳      | chunks=['c', 'ook'] | py=ㄎㄨㄎ | theme=jobs | stage=0
  194 | driver                         | 司機                             | 🧑‍✈️     | chunks=['dri', 'ver'] | py=ㄉㄖㄞ-ㄈㄜ | theme=jobs | stage=0 base=drive
  195 | police                         | 警察                             | 👮        | chunks=['po', 'lice'] | py=ㄆㄛ-ㄌㄧㄙ | theme=jobs | stage=0
  196 | artist                         | 藝術家                            | 🧑‍🎨      | chunks=['art', 'ist'] | py=ㄚㄦ-ㄊㄧㄙㄊ | theme=jobs | stage=0
  197 | singer                         | 歌手                             | 🎤        | chunks=['sing', 'er'] | py=ㄒㄧㄥ-ㄜ | theme=jobs | stage=0 base=sing
  198 | baker                          | 麵包師                            | 🥖        | chunks=['ba', 'ker'] | py=ㄅㄟ-ㄎㄜ | theme=jobs | stage=0 base=bake
  199 | worker                         | 工人                             | 👷        | chunks=['wor', 'ker'] | py=ㄨㄦ-ㄎㄜ | theme=jobs | stage=0 base=work
  200 | soccer                         | 足球                             | ⚽        | chunks=['soc', 'cer'] | py=ㄙㄚ-ㄎㄜ | theme=sports | stage=0
  201 | basketball                     | 籃球                             | 🏀        | chunks=['bas', 'ket', 'ball'] | py=ㄅㄝㄙ-ㄎㄝㄊ-ㄅㄛ | theme=sports | stage=0
  202 | baseball                       | 棒球                             | ⚾        | chunks=['base', 'ball'] | py=ㄅㄟㄙ-ㄅㄛ | theme=sports | stage=0
  203 | tennis                         | 網球                             | 🎾        | chunks=['ten', 'nis'] | py=ㄊㄝ-ㄋㄧㄙ | theme=sports | stage=0
  204 | swim                           | 游泳                             | 🏊        | chunks=['sw', 'im'] | py=ㄙㄨㄧㄇ | theme=sports | stage=0
  205 | dance                          | 跳舞                             | 💃        | chunks=['d', 'ance'] | py=ㄉㄝㄣㄙ | theme=sports | stage=0
  206 | golf                           | 高爾夫                            | ⛳        | chunks=['g', 'olf'] | py=ㄍㄚㄛㄈ | theme=sports | stage=0
  207 | ball                           | 球                              | 🏀        | chunks=['b', 'all'] | py=ㄅㄛ | theme=sports | stage=0
  208 | skate                          | 溜冰                             | ⛸️       | chunks=['sk', 'ate'] | py=ㄙㄎㄟㄊ | theme=sports | stage=0
  209 | yoga                           | 瑜伽                             | 🧘        | chunks=['yo', 'ga'] | py=ㄧㄛ-ㄍㄚ | theme=sports | stage=0
  210 | piano                          | 鋼琴                             | 🎹        | chunks=['pi', 'an', 'o'] | py=ㄆㄧ-ㄝ-ㄋㄛ | theme=music | stage=0
