# 字 4500-5999
 4500 | steppe                         | 大草原                            | 🌾        | chunks=['st', 'eppe'] | py=ㄙㄉㄝㄆ | theme=geography | stage=3
 4522 | urban                          | 都市的                            | 🏙️       | chunks=['ur', 'ban'] | py=ㄜ-ㄅㄣ | theme=geography | stage=2
 4523 | rural                          | 鄉村的                            | 🌾        | chunks=['ru', 'ral'] | py=ㄌㄨ-ㄦ | theme=geography | stage=2
 4524 | suburban                       | 郊區的                            | 🏘️       | chunks=['sub', 'ur', 'ban'] | py=ㄙㄜ-ㄅㄦ-ㄅㄣ | theme=geography | stage=2
 4525 | metropolitan                   | 大都會的                           | 🏙️       | chunks=['met', 'ro', 'pol', 'i', 'tan'] | py=ㄇㄝ-ㄊㄌㄜ-ㄆㄚ-ㄌㄜ-ㄊㄣ | theme=geography | stage=2
 4526 | downtown                       | 市中心                            | 🏙️       | chunks=['down', 'town'] | py=ㄉㄠㄣ-ㄊㄠㄣ | theme=geography | stage=1
 4527 | uptown                         | 市區外圍、上城區                       | 🏘️       | chunks=['up', 'town'] | py=ㄚㄆ-ㄊㄠㄣ | theme=geography | stage=2
 4528 | navigation                     | 導航                             | 🧭        | chunks=['nav', 'i', 'ga', 'tion'] | py=ㄋㄚ-ㄈㄜ-ㄍㄝ-ㄒㄣ | theme=geography | stage=2
 4529 | paris                          | 巴黎                             | 🗼        | chunks=['par', 'is'] | py=ㄆㄝ-ㄌㄧㄙ | theme=geography | stage=1
 4530 | london                         | 倫敦                             | 🇬🇧       | chunks=['lon', 'don'] | py=ㄌㄚㄣ-ㄉㄣ | theme=geography | stage=1
 4531 | tokyo                          | 東京                             | 🗼        | chunks=['to', 'ky', 'o'] | py=ㄊㄛ-ㄎㄧ-ㄛ | theme=geography | stage=1
 4532 | beijing                        | 北京                             | 🇨🇳       | chunks=['bei', 'jing'] | py=ㄅㄝ-ㄐㄧㄥ | theme=geography | stage=1
 4533 | sahara                         | 撒哈拉                            | 🏜️       | chunks=['sa', 'ha', 'ra'] | py=ㄙㄜ-ㄏㄚ-ㄌㄚ | theme=geography | stage=2
 4534 | amazon                         | 亞馬遜                            | 🌳        | chunks=['am', 'a', 'zon'] | py=ㄚ-ㄇㄜ-ㄗㄚㄣ | theme=geography | stage=2
 4535 | himalaya                       | 喜馬拉雅                           | ⛰️       | chunks=['him', 'a', 'la', 'ya'] | py=ㄏㄧ-ㄇㄜ-ㄌㄚ-ㄧㄚ | theme=geography | stage=2
 4536 | alps                           | 阿爾卑斯                           | ⛰️       | chunks=['al', 'ps'] | py=ㄚㄦㄆㄙ | theme=geography | stage=2
 4537 | andes                          | 安地斯                            | ⛰️       | chunks=['an', 'des'] | py=ㄢ-ㄉㄧㄗ | theme=geography | stage=3
 4538 | niagara                        | 尼加拉(瀑布)                        | 🌊        | chunks=['ni', 'ag', 'a', 'ra'] | py=ㄋㄞ-ㄚㄍ-ㄜ-ㄌㄚ | theme=geography | stage=3
 4539 | helpline                       | 求助專線                           | ☎️       | chunks=['help', 'line'] | py=ㄏㄝㄦㄆ-ㄌㄞㄣ | theme=emergencies | stage=2
 4540 | sos                            | 求救                             | 🆘        | chunks=['s', 'o', 's'] | py=ㄝㄙ-ㄛ-ㄝㄙ | theme=emergencies | stage=1
 4541 | alert                          | 警報                             | 🚨        | chunks=['a', 'lert'] | py=ㄚ-ㄌㄜㄊ | theme=emergencies | stage=1
 4542 | evacuation                     | 撤離                             | 🚨        | chunks=['e', 'vac', 'u', 'a', 'tion'] | py=ㄧ-ㄈㄚ-ㄎㄧㄨ-ㄝ-ㄒㄣ | theme=emergencies | stage=2
 4543 | evacuate                       | 撤離                             | 🚨        | chunks=['e', 'vac', 'u', 'ate'] | py=ㄧ-ㄈㄚ-ㄎㄧㄨ-ㄝㄊ | theme=emergencies | stage=2
 4544 | rescue                         | 救援                             | 🚑        | chunks=['res', 'cue'] | py=ㄌㄝㄙ-ㄎㄧㄨ | theme=emergencies | stage=1
 4545 | rescuer                        | 救援者                            | 🚒        | chunks=['res', 'cu', 'er'] | py=ㄌㄝㄙ-ㄎㄧㄨ-ㄜ | theme=emergencies | stage=2 base=rescue
 4546 | disaster                       | 災難                             | ⚠️       | chunks=['dis', 'as', 'ter'] | py=ㄉㄧ-ㄗㄚㄙ-ㄊㄜ | theme=emergencies | stage=1
 4547 | catastrophe                    | 大災難                            | 💥        | chunks=['ca', 'tas', 'tro', 'phe'] | py=ㄎㄜ-ㄊㄚㄙ-ㄊㄌㄜ-ㄈㄧ | theme=emergencies | stage=3
 4548 | calamity                       | 災禍                             | 💥        | chunks=['ca', 'lam', 'i', 'ty'] | py=ㄎㄜ-ㄌㄚ-ㄇㄜ-ㄊㄧ | theme=emergencies | stage=3
 4549 | wildfire                       | 野火                             | 🔥        | chunks=['wild', 'fire'] | py=ㄨㄞㄦㄉ-ㄈㄞㄜ | theme=emergencies | stage=2
 4550 | forestfire                     | 森林大火                           | 🔥        | chunks=['for', 'est', 'fire'] | py=ㄈㄛ-ㄝㄙㄊ-ㄈㄞㄜ | theme=emergencies | stage=2
 4551 | arson                          | 縱火                             | 🔥        | chunks=['ar', 'son'] | py=ㄚㄦ-ㄗㄣ | theme=emergencies | stage=3
 4552 | blaze                          | 烈火                             | 🔥        | chunks=['bl', 'aze'] | py=ㄅㄌㄝㄗ | theme=emergencies | stage=2
 4553 | explosion                      | 爆炸                             | 💥        | chunks=['ex', 'plo', 'sion'] | py=ㄝㄎㄙ-ㄆㄌㄛ-ㄓㄣ | theme=emergencies | stage=1
 4554 | blast                          | 爆炸                             | 💥        | chunks=['bl', 'ast'] | py=ㄅㄌㄚㄙㄊ | theme=emergencies | stage=2
 4555 | bomb                           | 炸彈                             | 💣        | chunks=['b', 'omb'] | py=ㄅㄚㄇ | theme=emergencies | stage=1
 4556 | grenade                        | 手榴彈                            | 💣        | chunks=['gre', 'nade'] | py=ㄍㄌㄜ-ㄋㄝㄉ | theme=emergencies | stage=3
 4557 | dynamite                       | 炸藥                             | 🧨        | chunks=['dy', 'na', 'mite'] | py=ㄉㄞ-ㄋㄜ-ㄇㄞㄊ | theme=emergencies | stage=3
 4558 | detonate                       | 引爆                             | 💥        | chunks=['det', 'o', 'nate'] | py=ㄉㄝ-ㄊㄜ-ㄋㄝㄊ | theme=emergencies | stage=3
 4559 | accident                       | 意外                             | ⚠️       | chunks=['ac', 'ci', 'dent'] | py=ㄚㄎ-ㄙㄜ-ㄉㄣㄊ | theme=emergencies | stage=1
 4560 | collision                      | 碰撞                             | 💥        | chunks=['col', 'li', 'sion'] | py=ㄎㄜ-ㄌㄧ-ㄓㄣ | theme=emergencies | stage=2
 4561 | crash                          | 撞車                             | 💥        | chunks=['cr', 'ash'] | py=ㄎㄌㄚㄒ | theme=emergencies | stage=1
 4562 | wreck                          | 殘骸                             | 💥        | chunks=['wr', 'eck'] | py=ㄌㄝㄎ | theme=emergencies | stage=2
 4563 | spillage                       | 溢出                             | 💧        | chunks=['spill', 'age'] | py=ㄙㄆㄧㄦ-ㄧㄐ | theme=emergencies | stage=3
 4564 | meltdown                       | 熔毀                             | ☢️       | chunks=['melt', 'down'] | py=ㄇㄝㄦㄊ-ㄉㄠㄣ | theme=emergencies | stage=3
 4565 | victim                         | 受害者                            | 😢        | chunks=['vic', 'tim'] | py=ㄈㄧㄎ-ㄊㄣ | theme=emergencies | stage=1
 4566 | survivor                       | 倖存者                            | 🙏        | chunks=['sur', 'vi', 'vor'] | py=ㄙㄜ-ㄈㄞ-ㄈㄜ | theme=emergencies | stage=2 base=survive
 4567 | casualty                       | 傷亡                             | 😢        | chunks=['cas', 'u', 'al', 'ty'] | py=ㄎㄚ-ㄓㄨ-ㄦ-ㄊㄧ | theme=emergencies | stage=3
 4568 | wounded                        | 受傷的、傷者                         | 🩹        | chunks=['wound', 'ed'] | py=ㄨㄣㄉ-ㄝㄉ | theme=emergencies | stage=2
 4569 | bleeding                       | 流血                             | 🩸        | chunks=['bleed', 'ing'] | py=ㄅㄌㄧㄉ-ㄧㄥ | theme=emergencies | stage=1
 4570 | concussion                     | 腦震盪                            | 🧠        | chunks=['con', 'cus', 'sion'] | py=ㄎㄜㄣ-ㄎㄚ-ㄒㄣ | theme=emergencies | stage=3
 4571 | unconscious                    | 昏迷                             | 😴        | chunks=['un', 'con', 'scious'] | py=ㄚㄣ-ㄎㄚㄣ-ㄒㄚㄙ | theme=emergencies | stage=2
 4572 | firstaid                       | 急救                             | 🚑        | chunks=['first', 'aid'] | py=ㄈㄜㄙㄊ-ㄝㄉ | theme=emergencies | stage=1
 4573 | cpr                            | 心肺復甦                           | 🚑        | chunks=['c', 'p', 'r'] | py=ㄒㄧ-ㄆㄧ-ㄚㄦ | theme=emergencies | stage=2
 4574 | heimlich                       | 哈姆立克                           | 🚑        | chunks=['heim', 'lich'] | py=ㄏㄞㄇ-ㄌㄧㄎ | theme=emergencies | stage=3
 4575 | hostage                        | 人質                             | 🚨        | chunks=['hos', 'tage'] | py=ㄏㄚㄙ-ㄊㄧㄐ | theme=emergencies | stage=2
 4576 | kidnap                         | 綁架                             | 🚨        | chunks=['kid', 'nap'] | py=ㄎㄧㄉ-ㄋㄚㄆ | theme=emergencies | stage=2
 4577 | kidnapping                     | 綁架                             | 🚨        | chunks=['kid', 'nap', 'ping'] | py=ㄎㄧㄉ-ㄋㄚ-ㄆㄧㄥ | theme=emergencies | stage=2
 4578 | abduct                         | 誘拐                             | 🚨        | chunks=['ab', 'duct'] | py=ㄚㄅ-ㄉㄚㄎㄊ | theme=emergencies | stage=3
 4579 | abduction                      | 誘拐                             | 🚨        | chunks=['ab', 'duc', 'tion'] | py=ㄚㄅ-ㄉㄚㄎ-ㄒㄣ | theme=emergencies | stage=3
 4580 | robbery                        | 搶劫                             | 🦹        | chunks=['rob', 'ber', 'y'] | py=ㄌㄚ-ㄅㄜ-ㄌㄧ | theme=emergencies | stage=2
 4581 | mugging                        | 街頭搶劫                           | 🦹        | chunks=['mug', 'ging'] | py=ㄇㄚ-ㄍㄧㄥ | theme=emergencies | stage=3
 4582 | shooting                       | 槍擊                             | 🔫        | chunks=['shoot', 'ing'] | py=ㄒㄨㄊ-ㄧㄥ | theme=emergencies | stage=1 base=shoot
 4583 | panic                          | 恐慌                             | 😱        | chunks=['pan', 'ic'] | py=ㄆㄚ-ㄋㄧㄎ | theme=emergencies | stage=1
 4584 | hysteria                       | 歇斯底里                           | 😱        | chunks=['hys', 'ter', 'i', 'a'] | py=ㄏㄧㄙ-ㄊㄝ-ㄌㄧ-ㄜ | theme=emergencies | stage=3
 4585 | chaos                          | 混亂                             | 🌪️       | chunks=['cha', 'os'] | py=ㄎㄝ-ㄚㄙ | theme=emergencies | stage=2
 4586 | mayhem                         | 混亂                             | 🌪️       | chunks=['may', 'hem'] | py=ㄇㄝ-ㄏㄝㄇ | theme=emergencies | stage=3
 4587 | shelter                        | 避難所                            | 🏠        | chunks=['shel', 'ter'] | py=ㄒㄝㄦ-ㄊㄜ | theme=emergencies | stage=1
 4588 | refugee                        | 難民                             | 🏃        | chunks=['ref', 'u', 'gee'] | py=ㄌㄝ-ㄈㄧㄨ-ㄐㄧ | theme=emergencies | stage=2
 4589 | refuge                         | 避難                             | 🏠        | chunks=['ref', 'uge'] | py=ㄌㄝ-ㄈㄧㄨㄐ | theme=emergencies | stage=2
 4590 | asylum                         | 庇護                             | 🏛️       | chunks=['a', 'sy', 'lum'] | py=ㄚ-ㄙㄞ-ㄌㄣ | theme=emergencies | stage=3
 4591 | warning                        | 警告                             | ⚠️       | chunks=['warn', 'ing'] | py=ㄨㄛㄦㄣ-ㄧㄥ | theme=emergencies | stage=1 base=warn
 4592 | signal                         | 信號                             | 🚦        | chunks=['sig', 'nal'] | py=ㄒㄧㄍ-ㄋㄦ | theme=emergencies | stage=1 base=sign
 4593 | siren                          | 警笛                             | 🚨        | chunks=['si', 'ren'] | py=ㄙㄞ-ㄌㄣ | theme=emergencies | stage=2
 4594 | horn                           | 喇叭                             | 📣        | chunks=['h', 'orn'] | py=ㄏㄛㄦㄣ | theme=emergencies | stage=1
 4595 | whistle                        | 哨子                             | 🎵        | chunks=['whis', 'tle'] | py=ㄨㄧㄙ-ㄜ | theme=emergencies | stage=2
 4596 | extinguisher                   | 滅火器                            | 🧯        | chunks=['ex', 'tin', 'guish', 'er'] | py=ㄝㄎㄙ-ㄊㄧㄣ-ㄍㄨㄧㄒ-ㄜ | theme=emergencies | stage=3 base=extinguish
 4597 | hose                           | 水管                             | 🚒        | chunks=['h', 'ose'] | py=ㄏㄛㄗ | theme=emergencies | stage=2
 4598 | hatchet                        | 小斧頭                            | 🪓        | chunks=['hatch', 'et'] | py=ㄏㄚ-ㄑㄝㄊ | theme=emergencies | stage=3
 4599 | collapse                       | 倒塌                             | 💥        | chunks=['col', 'lapse'] | py=ㄎㄜ-ㄌㄚㄆㄙ | theme=emergencies | stage=2
 4600 | faint                          | 昏倒                             | 😵        | chunks=['f', 'aint'] | py=ㄈㄝㄣㄊ | theme=emergencies | stage=2
 4601 | toxic                          | 有毒的                            | ☣️       | chunks=['tox', 'ic'] | py=ㄊㄚㄎ-ㄒㄧㄎ | theme=emergencies | stage=2
 4602 | poison                         | 毒藥                             | ☠️       | chunks=['poi', 'son'] | py=ㄆㄛㄧ-ㄗㄣ | theme=emergencies | stage=1
 4603 | antidote                       | 解毒劑                            | 💊        | chunks=['an', 'ti', 'dote'] | py=ㄢ-ㄊㄧ-ㄉㄛㄊ | theme=emergencies | stage=3
 4604 | urgent                         | 緊急的                            | 🚨        | chunks=['ur', 'gent'] | py=ㄜ-ㄐㄣㄊ | theme=emergencies | stage=1
 4605 | urgency                        | 急迫                             | 🚨        | chunks=['ur', 'gen', 'cy'] | py=ㄜ-ㄐㄣ-ㄒㄧ | theme=emergencies | stage=2
 4606 | critical                       | 危急的、關鍵的                        | ⚠️       | chunks=['crit', 'i', 'cal'] | py=ㄎㄌㄧ-ㄊㄜ-ㄎㄜ | theme=emergencies | stage=1 base=critic
 4607 | lockdown                       | 封城                             | 🔒        | chunks=['lock', 'down'] | py=ㄌㄚㄎ-ㄉㄠㄣ | theme=emergencies | stage=2
 4608 | curfew                         | 宵禁                             | 🌃        | chunks=['cur', 'few'] | py=ㄎㄜ-ㄈㄧㄨ | theme=emergencies | stage=3
 4609 | evacuee                        | 被疏散者                           | 🏃        | chunks=['e', 'vac', 'u', 'ee'] | py=ㄧ-ㄈㄚ-ㄎㄧㄨ-ㄧ | theme=emergencies | stage=3
 4610 | distress                       | 困境                             | 😰        | chunks=['dis', 'tress'] | py=ㄉㄧ-ㄙㄉㄌㄝㄙ | theme=emergencies | stage=2
 4611 | vital                          | 至關重要的                          | ❗        | chunks=['vi', 'tal'] | py=ㄈㄞ-ㄉㄦ | theme=emergencies | stage=2
 4612 | fatal                          | 致命的                            | 💀        | chunks=['fa', 'tal'] | py=ㄈㄝ-ㄉㄦ | theme=emergencies | stage=2
 4613 | lethal                         | 致命的                            | 💀        | chunks=['le', 'thal'] | py=ㄌㄧ-ㄙㄦ | theme=emergencies | stage=3
 4614 | perish                         | 死亡                             | 💀        | chunks=['per', 'ish'] | py=ㄆㄝ-ㄌㄧㄒ | theme=emergencies | stage=3
 4615 | drown                          | 溺水                             | 🌊        | chunks=['dr', 'own'] | py=ㄉㄌㄠㄣ | theme=emergencies | stage=2
 4616 | drowning                       | 溺水                             | 🌊        | chunks=['drown', 'ing'] | py=ㄉㄌㄠㄣ-ㄧㄥ | theme=emergencies | stage=2
 4617 | suffocate                      | 窒息                             | 😵        | chunks=['suf', 'fo', 'cate'] | py=ㄙㄚ-ㄈㄜ-ㄎㄝㄊ | theme=emergencies | stage=3
 4618 | crime                          | 罪                              | 🚔        | chunks=['cr', 'ime'] | py=ㄎㄌㄞㄇ | theme=crime | stage=1
 4619 | criminal                       | 罪犯                             | 🚔        | chunks=['crim', 'i', 'nal'] | py=ㄎㄌㄧ-ㄇㄜ-ㄋㄦ | theme=crime | stage=1
 4620 | felon                          | 重罪犯                            | 🚔        | chunks=['fel', 'on'] | py=ㄈㄝ-ㄌㄣ | theme=crime | stage=3
 4621 | suspect                        | 嫌犯                             | 🕵️       | chunks=['sus', 'pect'] | py=ㄙㄚㄙ-ㄆㄝㄎㄊ | theme=crime | stage=1
 4622 | accomplice                     | 共犯                             | 🚔        | chunks=['ac', 'com', 'plice'] | py=ㄚ-ㄎㄚㄇ-ㄆㄌㄧㄙ | theme=crime | stage=3
 4623 | murder                         | 謀殺                             | 🔪        | chunks=['mur', 'der'] | py=ㄇㄜ-ㄉㄜ | theme=crime | stage=1
 4624 | homicide                       | 殺人                             | 🔪        | chunks=['hom', 'i', 'cide'] | py=ㄏㄚ-ㄇㄜ-ㄙㄞㄉ | theme=crime | stage=2
 4625 | manslaughter                   | 過失殺人                           | 🔪        | chunks=['man', 'slaugh', 'ter'] | py=ㄇㄢ-ㄙㄌㄛ-ㄊㄜ | theme=crime | stage=3
 4626 | assassination                  | 暗殺                             | 🔫        | chunks=['as', 'sas', 'si', 'na', 'tion'] | py=ㄚ-ㄙㄚ-ㄗㄜ-ㄋㄝ-ㄒㄣ | theme=crime | stage=3
 4627 | theft                          | 竊盜                             | 🚔        | chunks=['th', 'eft'] | py=ㄙㄝㄈㄊ | theme=crime | stage=1
 4628 | burglary                       | 入室竊盜                           | 🚔        | chunks=['bur', 'gla', 'ry'] | py=ㄅㄜ-ㄍㄌㄜ-ㄌㄧ | theme=crime | stage=3
 4629 | shoplifting                    | 順手牽羊                           | 🛒        | chunks=['shop', 'lift', 'ing'] | py=ㄒㄚㄆ-ㄌㄧㄈㄊ-ㄧㄥ | theme=crime | stage=2
 4630 | larceny                        | 竊盜罪                            | 🚔        | chunks=['lar', 'ce', 'ny'] | py=ㄌㄚㄦ-ㄙㄜ-ㄋㄧ | theme=crime | stage=3
 4631 | pickpocket                     | 扒手                             | 🚔        | chunks=['pick', 'pock', 'et'] | py=ㄆㄧㄎ-ㄆㄚ-ㄎㄝㄊ | theme=crime | stage=2
 4632 | fraud                          | 詐欺                             | 🎭        | chunks=['fr', 'aud'] | py=ㄈㄌㄛㄉ | theme=crime | stage=2
 4633 | scam                           | 騙局                             | 🎭        | chunks=['sc', 'am'] | py=ㄙㄎㄚㄇ | theme=crime | stage=1
 4634 | scammer                        | 騙子                             | 🎭        | chunks=['scam', 'mer'] | py=ㄙㄎㄚ-ㄇㄜ | theme=crime | stage=2 base=scam
 4635 | swindle                        | 行騙                             | 🎭        | chunks=['swin', 'dle'] | py=ㄙㄨㄧㄣ-ㄉㄜ | theme=crime | stage=3
 4636 | embezzlement                   | 侵吞                             | 💰        | chunks=['em', 'bez', 'zle', 'ment'] | py=ㄝㄇ-ㄅㄝ-ㄗㄜ-ㄇㄣㄊ | theme=crime | stage=3 base=embezzle
 4637 | forgery                        | 偽造                             | 📝        | chunks=['for', 'ger', 'y'] | py=ㄈㄛㄦ-ㄐㄜ-ㄌㄧ | theme=crime | stage=3
 4638 | bribery                        | 賄賂                             | 💰        | chunks=['brib', 'er', 'y'] | py=ㄅㄌㄞ-ㄅㄜ-ㄌㄧ | theme=crime | stage=3
 4639 | corruption                     | 貪污                             | 💰        | chunks=['cor', 'rup', 'tion'] | py=ㄎㄜ-ㄌㄚㄆ-ㄒㄣ | theme=crime | stage=2
 4640 | blackmail                      | 勒索                             | 💰        | chunks=['black', 'mail'] | py=ㄅㄌㄚㄎ-ㄇㄝㄦ | theme=crime | stage=3
 4641 | extortion                      | 勒索                             | 💰        | chunks=['ex', 'tor', 'tion'] | py=ㄝㄎㄙ-ㄊㄛㄦ-ㄒㄣ | theme=crime | stage=3
 4642 | assault                        | 攻擊                             | ⚔️       | chunks=['as', 'sault'] | py=ㄚ-ㄙㄛㄦㄊ | theme=crime | stage=2
 4643 | violence                       | 暴力                             | 💥        | chunks=['vi', 'o', 'lence'] | py=ㄈㄞ-ㄜ-ㄌㄣㄙ | theme=crime | stage=1
 4644 | abuse                          | 虐待                             | 😢        | chunks=['a', 'buse'] | py=ㄚ-ㄅㄧㄨㄗ | theme=crime | stage=2
 4645 | harassment                     | 騷擾                             | 😡        | chunks=['ha', 'rass', 'ment'] | py=ㄏㄜ-ㄌㄚㄙ-ㄇㄣㄊ | theme=crime | stage=2 base=harass
 4646 | rape                           | 強姦                             | 🚔        | chunks=['r', 'ape'] | py=ㄌㄝㄆ | theme=crime | stage=2
 4647 | molest                         | 猥褻                             | 🚔        | chunks=['mo', 'lest'] | py=ㄇㄜ-ㄌㄝㄙㄊ | theme=crime | stage=3 base=mole
 4648 | molestation                    | 性騷擾                            | 🚔        | chunks=['mo', 'les', 'ta', 'tion'] | py=ㄇㄛ-ㄌㄝㄙ-ㄊㄝ-ㄒㄣ | theme=crime | stage=3 base=molest
 4649 | stalking                       | 跟蹤                             | 🕵️       | chunks=['stalk', 'ing'] | py=ㄙㄉㄛㄎ-ㄧㄥ | theme=crime | stage=2
 4650 | stalker                        | 跟蹤狂                            | 🕵️       | chunks=['stalk', 'er'] | py=ㄙㄉㄛㄎ-ㄜ | theme=crime | stage=2 base=stalk
 4651 | intruder                       | 入侵者                            | 🚪        | chunks=['in', 'tru', 'der'] | py=ㄧㄣ-ㄊㄌㄨ-ㄉㄜ | theme=crime | stage=3 base=intrude
 4652 | vandalism                      | 破壞公物                           | 🔨        | chunks=['van', 'dal', 'ism'] | py=ㄈㄚㄣ-ㄉㄦ-ㄧㄗㄣ | theme=crime | stage=3
 4653 | trafficking                    | 販運                             | 🚚        | chunks=['traf', 'fick', 'ing'] | py=ㄊㄌㄚ-ㄈㄧㄎ-ㄧㄥ | theme=crime | stage=3
 4654 | smuggling                      | 走私                             | 🚚        | chunks=['smug', 'gling'] | py=ㄙㄇㄚ-ㄍㄌㄧㄥ | theme=crime | stage=3
 4655 | smuggler                       | 走私客                            | 🚚        | chunks=['smug', 'gler'] | py=ㄙㄇㄚ-ㄍㄌㄜ | theme=crime | stage=3 base=smuggle
 4656 | contraband                     | 違禁品                            | 🚫        | chunks=['con', 'tra', 'band'] | py=ㄎㄚㄣ-ㄊㄌㄜ-ㄅㄚㄣㄉ | theme=crime | stage=3
 4657 | drugs                          | 毒品                             | 💊        | chunks=['dr', 'ugs'] | py=ㄉㄌㄚㄍㄗ | theme=crime | stage=1
 4658 | dealer                         | 毒販                             | 🚔        | chunks=['deal', 'er'] | py=ㄉㄧ-ㄌㄜ | theme=crime | stage=2 base=deal
 4659 | dealing                        | 販毒                             | 🚔        | chunks=['deal', 'ing'] | py=ㄉㄧ-ㄌㄧㄥ | theme=crime | stage=2
 4660 | mafia                          | 黑手黨                            | 🚔        | chunks=['ma', 'fi', 'a'] | py=ㄇㄚ-ㄈㄧ-ㄜ | theme=crime | stage=2
 4661 | gang                           | 幫派                             | 🚔        | chunks=['g', 'ang'] | py=ㄍㄚㄥ | theme=crime | stage=1
 4662 | gangster                       | 歹徒                             | 🚔        | chunks=['gang', 'ster'] | py=ㄍㄚㄥ-ㄙㄉㄜ | theme=crime | stage=2
 4663 | mob                            | 暴民                             | 👥        | chunks=['m', 'ob'] | py=ㄇㄚㄅ | theme=crime | stage=2
 4664 | mobster                        | 幫派分子                           | 🚔        | chunks=['mob', 'ster'] | py=ㄇㄚㄅ-ㄙㄉㄜ | theme=crime | stage=3
 4665 | syndicate                      | 犯罪集團                           | 🚔        | chunks=['syn', 'di', 'cate'] | py=ㄒㄧㄣ-ㄉㄜ-ㄎㄝㄊ | theme=crime | stage=3
 4666 | heist                          | 搶案                             | 💰        | chunks=['h', 'eist'] | py=ㄏㄞㄙㄊ | theme=crime | stage=3
 4667 | holdup                         | 持械搶劫                           | 🔫        | chunks=['hold', 'up'] | py=ㄏㄛㄉ-ㄚㄆ | theme=crime | stage=3
 4668 | getaway                        | 逃跑                             | 🚗        | chunks=['get', 'a', 'way'] | py=ㄍㄝㄊ-ㄜ-ㄨㄝ | theme=crime | stage=2
 4669 | arrest                         | 逮捕                             | 🚔        | chunks=['ar', 'rest'] | py=ㄚ-ㄌㄝㄙㄊ | theme=crime | stage=1
 4670 | witness                        | 目擊者                            | 👁️       | chunks=['wit', 'ness'] | py=ㄨㄧㄊ-ㄋㄝㄙ | theme=crime | stage=2 base=wit
